ENTRY            L0067   20110831                             L016L006700000001 
SUBENT        L0067001   20110831                             L016L006700100001 
BIB                 10         16                                 L006700100002 
INSTITUTE  (1USANMS,1USAARK,1USAWSA)                              L006700100003 
REFERENCE  (J,PR/C,16,2296,1977)                                  L006700100004 
AUTHOR     (J.C.Hogan,A.E.Richardson,J.L.Meason,H.L.Wright)       L006700100005 
TITLE      Photofission of 232Th with 9, 15, and 38 MeV peak      L006700100006 
            bremsstrahlung                                        L006700100007 
FACILITY   No information                                         L006700100008 
INC-SOURCE (BRST) Target irradiated with bremsstrahlung beam      L006700100009 
            produced by 9, 15 or 38 MeV electrons impinging on a  L006700100010 
            thin, water-cooled platinum target                    L006700100011 
DETECTOR   (GELI) Nuclear Diode detectors                         L006700100012 
SAMPLE     Pure 232Th target, 1.3 cm diameter disk, 0.38g,        L006700100013 
            wrapped in pure aluminum                              L006700100014 
METHOD     (GSPEC) Gamma-ray spectra measured after irradiation   L006700100015 
HISTORY    (20050421C) DR                                         L006700100016 
           (20110728A) OS. Several corrections in sub.2,          L006700100017 
            BIB additions in sub.1                                L006700100018 
ENDBIB              16          0                                 L006700100019 
NOCOMMON             0          0                                 L006700100020 
ENDSUBENT           19          0                                 L006700199999 
SUBENT        L0067002   20110831                             L016L006700200001 
BIB                  5          6                                 L006700200002 
REACTION   (90-TH-232(G,F)MASS,CHN,FY,,BRA)                       L006700200003 
ERR-ANALYS (DATA-ERR) Statistical and systematic errors           L006700200004 
COMMENT    Data are normalized to 140Ba                           L006700200005 
STATUS     (TABLE) Data taken from Table 5.                       L006700200006 
HISTORY    (20110728A) OS. REACTION SF2 and SF8 corrected,        L006700200007 
            EN changed to EN-MAX, units changed to PC/FIS         L006700200008 
ENDBIB               6          0                                 L006700200009 
NOCOMMON             0          0                                 L006700200010 
DATA                 4         69                                 L006700200011 
EN-MAX     MASS       DATA       DATA-ERR                         L006700200012 
MEV        NO-DIM     PC/FIS     PC/FIS                           L006700200013 
 9.         83.       1.52       0.16                             L006700200014 
 9.         85.       6.75       0.75                             L006700200015 
 9.         87.       7.87       0.65                             L006700200016 
 9.         88.       6.09       0.55                             L006700200017 
 9.         89.       7.81       0.71                             L006700200018 
 9.         91.       6.75       0.32                             L006700200019 
 9.         92.       5.99       0.39                             L006700200020 
 9.         93.       7.21       0.65                             L006700200021 
 9.         94.       5.42       0.54                             L006700200022 
 9.         97.       2.90       0.14                             L006700200023 
 9.         99.       1.09       0.10                             L006700200024 
 9.        131.       0.95       0.08                             L006700200025 
 9.        132.       1.69       0.10                             L006700200026 
 9.        133.       3.22       0.18                             L006700200027 
 9.        134.       7.90       0.72                             L006700200028 
 9.        135.       5.48       0.49                             L006700200029 
 9.        138.       6.09       0.50                             L006700200030 
 9.        139.       6.62       0.71                             L006700200031 
 9.        140.       7.81                                        L006700200032 
 9.        141.       9.06       0.51                             L006700200033 
 9.        142.       7.87       0.71                             L006700200034 
 9.        143.       8.53       0.41                             L006700200035 
 9.        146.       3.57       0.41                             L006700200036 
15.         83.       2.15       0.18                             L006700200037 
15.         85.       5.75       0.53                             L006700200038 
15.         87.       7.43       0.55                             L006700200039 
15.         88.       6.00       0.49                             L006700200040 
15.         89.       8.25       0.85                             L006700200041 
15.         91.       6.61       0.31                             L006700200042 
15.         92.       5.88       0.48                             L006700200043 
15.         93.       7.03       0.60                             L006700200044 
15.         97.       3.26       0.18                             L006700200045 
15.         99.       1.73       0.09                             L006700200046 
15.        131.       2.20       0.20                             L006700200047 
15.        132.       3.20       0.18                             L006700200048 
15.        133.       4.53       0.25                             L006700200049 
15.        134.       6.75       0.61                             L006700200050 
15.        135.       6.08       0.55                             L006700200051 
15.        138.       6.00       0.54                             L006700200052 
15.        139.       6.70       0.77                             L006700200053 
15.        140.       7.81                                        L006700200054 
15.        141.       8.26       0.61                             L006700200055 
15.        142.       7.20       0.71                             L006700200056 
15.        143.       7.89       0.37                             L006700200057 
38.         83.       2.24       0.16                             L006700200058 
38.         85.       5.50       0.50                             L006700200059 
38.         87.       7.20       0.53                             L006700200060 
38.         88.       6.16       0.48                             L006700200061 
38.         89.       7.92       0.80                             L006700200062 
38.         91.       8.37       0.40                             L006700200063 
38.         92.       7.33       0.60                             L006700200064 
38.         93.       8.02       0.53                             L006700200065 
38.         94.       6.10       0.88                             L006700200066 
38.         95.       5.39       0.60                             L006700200067 
38.         97.       3.88       0.21                             L006700200068 
38.         99.       2.40       0.13                             L006700200069 
38.        129.       1.04       0.16                             L006700200070 
38.        131.       2.74       0.18                             L006700200071 
38.        132.       3.71       0.21                             L006700200072 
38.        133.       5.61       0.37                             L006700200073 
38.        134.       6.46       0.38                             L006700200074 
38.        135.       6.70       0.55                             L006700200075 
38.        138.       7.16       0.76                             L006700200076 
38.        139.       6.75       0.70                             L006700200077 
38.        140.       7.81                                        L006700200078 
38.        141.       8.40       0.62                             L006700200079 
38.        142.       6.86       0.57                             L006700200080 
38.        143.       7.30       0.42                             L006700200081 
38.        146.       2.80       0.40                             L006700200082 
ENDDATA             71          0                                 L006700200083 
ENDSUBENT           82          0                                 L006700299999 
ENDENTRY             2          0                                 L006799999999 
