ENTRY            L0063   20111210                             L017L006300000001 
SUBENT        L0063001   20111210                             L017L006300100001 
BIB                 10         15                                 L006300100002 
INSTITUTE  (2UK GLS,2UK EDG,2GERMNZ)                              L006300100003 
REFERENCE  (J,PL/B,179,212,1986)                                  L006300100004 
AUTHOR     (J.C.McGeorge,G.I.Crawford,R.O.Owens,M.R.Sene,         L006300100005 
            D.Branford,A.C.Shotter,B.Schoch,R.Beck,P.Jennewein,   L006300100006 
            F.Klein,J.Vogt,F.Zettl)                               L006300100007 
TITLE      The 12C(gamma,p) reaction at E = 60 and 80 MeV         L006300100008 
FACILITY   (MICRT,2GERMNZ)                                        L006300100009 
INC-SOURCE (TAGD)                                                 L006300100010 
INC-SPECT  Electron beam from the University of Mainz microtron   L006300100011 
DETECTOR   (SCIN) DE,E plastic scintillator with a solid angle of L006300100012 
            70 msr.                                               L006300100013 
ERR-ANALYS (ERR-SYS,,15.) Systematic errors can be as high as 15 %L006300100014 
HISTORY    (20050420C) DR                                         L006300100015 
           (20111210A) OS. ERR-ANALYS, STATUS modified,           L006300100016 
            REACTION in sub.4 corrected                           L006300100017 
ENDBIB              15          0                                 L006300100018 
NOCOMMON             0          0                                 L006300100019 
ENDSUBENT           18          0                                 L006300199999 
SUBENT        L0063002   20111210                             L017L006300200001 
BIB                  3          3                                 L006300200002 
REACTION   (6-C-12(G,P)5-B-11,,DA/DE)                             L006300200003 
STATUS     (CURVE) Data taken from Fig 1.                         L006300200004 
ERR-ANALYS (ERR-S) Statistical errors given in Fig.               L006300200005 
ENDBIB               3          0                                 L006300200006 
NOCOMMON             0          0                                 L006300200007 
DATA                 5        521                                 L006300200008 
EN         ANG-CM     E          DATA-CM    ERR-S                 L006300200009 
MEV        ADEG       MEV        MUB/SR/MEV MUB/SR/MEV            L006300200010 
60.         30.         2.046E+01  8.140E-01  5.517E-01           L006300200011 
60.         30.         2.145E+01  2.639E+00  5.861E-01           L006300200012 
60.         30.         2.276E+01  1.671E+00  5.172E-01           L006300200013 
60.         30.         2.406E+01  9.108E-01  6.206E-01           L006300200014 
60.         30.         2.516E+01  2.012E+00  8.620E-01           L006300200015 
60.         30.         2.628E+01  2.079E+00  8.620E-01           L006300200016 
60.         30.         2.743E+01  8.011E-01  7.930E-01           L006300200017 
60.         30.         2.869E+01  1.729E+00  5.517E-01           L006300200018 
60.         30.         2.992E+01  8.999E-01  6.896E-01           L006300200019 
60.         30.         3.110E+01  1.552E+00  7.241E-01           L006300200020 
60.         30.         3.230E+01  1.861E+00  6.551E-01           L006300200021 
60.         30.         3.341E+01  2.376E+00  7.241E-01           L006300200022 
60.         30.         3.463E+01  1.822E+00  6.206E-01           L006300200023 
60.         30.         3.592E+01  1.199E+00  6.551E-01           L006300200024 
60.         30.         3.696E+01  1.438E+00  6.896E-01           L006300200025 
60.         30.         3.822E+01  2.470E+00  6.896E-01           L006300200026 
60.         30.         3.942E+01  2.399E+00  4.482E-01           L006300200027 
60.         30.         4.039E+01  2.363E+00  5.861E-01           L006300200028 
60.         30.         4.163E+01  3.912E+00  6.551E-01           L006300200029 
60.         30.         4.272E+01  5.289E+00  7.241E-01           L006300200030 
60.         30.         4.393E+01  8.183E+00  6.896E-01           L006300200031 
60.         30.         4.497E+01  8.354E+00  7.241E-01           L006300200032 
60.         30.         4.615E+01  6.076E+00  8.275E-01           L006300200033 
60.         30.         4.759E+01  2.798E+00  6.551E-01           L006300200034 
60.         30.         4.876E+01  1.106E+00  5.172E-01           L006300200035 
60.         30.         4.983E+01  1.045E-01  3.103E-01           L006300200036 
60.         30.         5.126E+01  5.845E-01  2.758E-01           L006300200037 
60.         30.         5.237E+01  1.134E+00  4.827E-01           L006300200038 
60.         30.         5.351E+01  2.356E-01  4.482E-01           L006300200039 
60.         30.         5.482E+01 -5.598E-01  4.482E-01           L006300200040 
60.         45.         1.857E+01  1.302E+00  3.893E-01           L006300200041 
60.         45.         1.947E+01  1.375E+00  3.539E-01           L006300200042 
60.         45.         2.050E+01  1.979E+00  2.831E-01           L006300200043 
60.         45.         2.153E+01  1.875E+00  4.601E-01           L006300200044 
60.         45.         2.256E+01  2.444E+00  3.539E-01           L006300200045 
