ENTRY            L0269   20210322                             L047L0269  0    1 
SUBENT        L0269001   20210314                             L047L0269  1    1 
BIB                  8         30                                 L0269  1    2 
TITLE      Electric and magnetic dipole strength in 66Zn          L0269  1    3 
AUTHOR     (R.Schwengner,R.Massarczyk,M.Scheck,W.Tornow,          L0269  1    4 
           G.Battaglia,T.Beck,D.Bemmerer,N.Benouaret,R.Beyer,     L0269  1    5 
           M.Butterling,F.Fiedler,S.W.Finch,C.Fransen,            L0269  1    6 
           U.Friman-Gayer,A.Frotscher,R.Gonzalez,M.Grieger,       L0269  1    7 
           A.Hartmann,T.Hensel,E.Hoemann,H.Hoffmann,              L0269  1    8 
           R.V.F.Janssens,S.Johnson,M.D.Jones,A.R.Junghans,       L0269  1    9 
           N.Kelly,J.Kleemann,Krishichayan,D.R.Little,F.Ludwig,   L0269  1   10 
           S.E.Muller,D.O'Donnell,O.Papst,E.Pirovano,J.Sinclair,  L0269  1   11 
           M.P.Takacs,S.Turkat,S.Urlass,A.Wagner,V.Werner,        L0269  1   12 
           O.Wieland,J.Wilhelmy)                                  L0269  1   13 
INSTITUTE  (2GERZFK,1USALAS,1USADKE,1USATNL,2GERTHD,2GERKLN,      L0269  1   14 
           3ALGUHB,2GERDRE,1USANCA,2ZZZCER,2ITYMIL)               L0269  1   15 
           (2UK UK) University of the West of Scotland, Paisley   L0269  1   16 
           (2UK UK) University of Strathclyde, Glasgow            L0269  1   17 
REFERENCE  (J,PR/C,103,024312,2021)                               L0269  1   18 
SAMPLE     (30-ZN-66,ENR=0.9800) Samples with mass of 1.4993 g    L0269  1   19 
           in disk form with diameter of 20 mm.                   L0269  1   20 
           (5-B-11,ENR=0.995) At ELBE the target was combined     L0269  1   21 
           with 0.300 g of boron, enriched in 11B                 L0269  1   22 
DETECTOR   (HPGE) Four high-purity Germanium detectors with 100%  L0269  1   23 
           efficiency were mounted around the target. All HPGe    L0269  1   24 
           detectors were surrounded by escape-suppression BGO    L0269  1   25 
           scintillation shields of 3 cm in thickness. Two HPGe   L0269  1   26 
           detectors were placed at 127deg relative to the        L0269  1   27 
           photon beam direction at 32 cm from the target. Two    L0269  1   28 
           HPGe detectors were positioned in a horizontal plane   L0269  1   29 
           at 90deg to the beam at 28 cm from the target.         L0269  1   30 
MONITOR    (5-B-11(G,EL)5-B-11,,SIG)                              L0269  1   31 
HISTORY    (20210314C) Compiled by S.H.                           L0269  1   32 
ENDBIB              30          0                                 L0269  1   33 
NOCOMMON             0          0                                 L0269  1   34 
ENDSUBENT           33          0                                 L0269  199999 
SUBENT        L0269002   20210314                             L047L0269  2    1 
BIB                  5         13                                 L0269  2    2 
REACTION   ((30-ZN-66(G,SCT)30-ZN-66,,DA)//                       L0269  2    3 
           (30-ZN-66(G,SCT)30-ZN-66,,DA))                         L0269  2    4 
FACILITY   (LINAC,2GERZFK) Experiment was performed at the        L0269  2    5 
           photon scattering facility at the superconducting      L0269  2    6 
           electron accelerator ELBE (gammaELBE) in Dresden       L0269  2    7 
INC-SOURCE (BRST) Bremsstrahlung was produced by electron beams ofL0269  2    8 
           energy 7.5 and 13.4 MeV. At 7.5 MeV the radiator was NbL0269  2    9 
           foil 5 mu-m thick. At 13.4 MeV the radiator was Nb foilL0269  2   10 
           12.5 mu-m thick. At 13.4 MeV A 10 cm thick aluminum    L0269  2   11 
           absorber was placed behind the radiator to reduce the  L0269  2   12 
           low-energy intensity of the bremsstrahlung.            L0269  2   13 
ERR-ANALYS (DATA-ERR) Origin of uncertainties not described       L0269  2   14 
STATUS     (TABLE) Data taken from tab.1 of the reference PR/C    L0269  2   15 
ENDBIB              13          0                                 L0269  2   16 
COMMON               2          3                                 L0269  2   17 
ANG-NM     ANG-DN                                                 L0269  2   18 
ADEG       ADEG                                                   L0269  2   19 
 90.        127.                                                  L0269  2   20 
ENDCOMMON            3          0                                 L0269  2   21 
DATA                 4        128                                 L0269  2   22 
   7997.6        0.8       0.80       0.18                        L0269  2   93 
   8065.1        0.4       0.75       0.10                        L0269  2   94 
   8112.5        0.3       0.75       0.09                        L0269  2   95 
   8158.8        0.5        1.1        0.3                        L0269  2   96 
   8200.4        0.5       0.53       0.15                        L0269  2   97 
   8266.8        0.4       0.87       0.14                        L0269  2   98 
   8349.9        0.6       0.87       0.15                        L0269  2   99 
   8366.8        0.3       0.70       0.09                        L0269  2  100 
   8457.4        0.5       0.81       0.13                        L0269  2  101 
   8476.2        0.3       0.80       0.09                        L0269  2  102 
   8530.8        0.9       0.52       0.23                        L0269  2  103 
   8597.2        0.7       0.93       0.18                        L0269  2  104 
   8688.7        0.3       0.64       0.08                        L0269  2  105 
   8714.6        0.6       0.47       0.16                        L0269  2  106 
   8765.7        0.5       0.70       0.11                        L0269  2  107 
   8800.2        0.4       0.56       0.13                        L0269  2  108 
   8847.3        0.7       0.57       0.19                        L0269  2  109 
   8857.8        0.6       0.64       0.18                        L0269  2  110 
   8871.1        0.6       0.73       0.22                        L0269  2  111 
   8926.5        0.3       0.63       0.06                        L0269  2  112 
   8987.0        0.5        0.9       0.06                        L0269  2  113 
   9009.7        0.4       0.59       0.14                        L0269  2  114 
   9044.2        0.5       0.47       0.12                        L0269  2  115 
   9102.4        0.3       0.73       0.09                        L0269  2  116 
   9210.0        0.8       0.53       0.17                        L0269  2  117 
   9293.0        0.7       0.58       0.16                        L0269  2  118 
   9317.4        0.6       0.49       0.10                        L0269  2  119 
   9349.0        0.5       0.63       0.08                        L0269  2  120 
   9456.7        0.6       0.71       0.14                        L0269  2  121 
   9470.9        0.4       0.74       0.09                        L0269  2  122 
   9491.1        0.5       0.80       0.11                        L0269  2  123 
   9504.5        0.5       0.63       0.11                        L0269  2  124 
   9521.2        0.6       0.71       0.14                        L0269  2  125 
   9541.8        0.3       0.57       0.07                        L0269  2  126 
   9578.5        0.5        1.3        0.6                        L0269  2  127 
   9648.9        0.5       0.90       0.14                        L0269  2  128 
   9683.4        0.4       0.86       0.11                        L0269  2  129 
   9726.2        0.6       0.42       0.11                        L0269  2  130 
   9743.8        0.6       0.89       0.27                        L0269  2  131 
   9802.5        0.4       0.63       0.10                        L0269  2  132 
   9824.9        0.6       0.41       0.17                        L0269  2  133 
   9850.3        0.8       0.50       0.16                        L0269  2  134 
   9869.8       0.12       0.42       0.09                        L0269  2  135 
   9949.2        0.5       0.64       0.17                        L0269  2  136 
   9968.0        0.4       0.81       0.15                        L0269  2  137 
   9992.4        0.5        0.7        0.3                        L0269  2  138 
  10016.8        0.6       0.69       0.27                        L0269  2  139 
  10054.1        0.6       0.61       0.13                        L0269  2  140 
  10109.8        0.9        0.6        0.4                        L0269  2  141 
  10126.0       0.11        0.7        0.6                        L0269  2  142 
  10145.2        0.8        0.6        0.3                        L0269  2  143 
  10196.2       0.10        0.7        0.5                        L0269  2  144 
  10243.8        0.6        0.7        0.4                        L0269  2  145 
  10433.7        0.9       0.63       0.17                        L0269  2  146 
  10530.0        0.7       0.61       0.18                        L0269  2  147 
  10843.2        0.7       0.48       0.19                        L0269  2  148 
  10858.6        0.5       0.76       0.18                        L0269  2  149 
  10937.7        0.5       0.50       0.13                        L0269  2  150 
  10991.0        0.7        1.3        0.7                        L0269  2  151 
  11015.8       0.10        0.5        0.3                        L0269  2  152 
ENDDATA            130          0                                 L0269  2  153 
ENDSUBENT          152          0                                 L0269  299999 
SUBENT        L0269003   20210314                             L047L0269  3    1 
BIB                  5         12                                 L0269  3    2 
REACTION   (30-ZN-66(G,SCT),,ARE)                                 L0269  3    3 
FACILITY   (LINAC,2GERZFK) Experiment was performed at the        L0269  3    4 
           photon scattering facility at the superconducting      L0269  3    5 
           electron accelerator ELBE (gammaELBE) in Dresden       L0269  3    6 
INC-SOURCE (BRST) Bremsstrahlung was produced by electron beams ofL0269  3    7 
