ENTRY            L0096   20050715                             L008L009600000001 
SUBENT        L0096001   20050715                             L008L009600100001 
BIB                  9         12                                 L009600100002 
INSTITUTE  (1USATAM)                                              L009600100003 
REFERENCE  (J,NP/A,175,501,1971)                                  L009600100004 
AUTHOR     (E.J.Dowdy,T.L.Krysinski)                              L009600100005 
TITLE      Angular distributions of 238U photofission fragments   L009600100006 
FACILITY   (REAC,1USATAM) a tangential beam tube of the Texas A   L009600100007 
            and M University 1 MW research reactor.               L009600100008 
INC-SOURCE (MPH) Generated in (n, gamma) reactions with Dy, Y, Ca,L009600100009 
           Fe, Cu, Ni, Ca.                                        L009600100010 
DETECTOR   Fission fragment detector: a Lexan polycarbonate resin L009600100011 
            strip                                                 L009600100012 
SAMPLE     1.25 x 1.9 cm rectangular 238U foil                    L009600100013 
HISTORY    (20050715C) DR                                         L009600100014 
ENDBIB              12          0                                 L009600100015 
NOCOMMON             0          0                                 L009600100016 
ENDSUBENT           15          0                                 L009600199999 
SUBENT        L0096002   20050715                             L008L009600200001 
BIB                  3          4                                 L009600200002 
REACTION   (92-U-238(G,F),,DA,FF,REL)                             L009600200003 
            Angular distribution                                  L009600200004 
ERR-ANALYS (DATA-ERR) No information                              L009600200005 
STATUS     (CURVE) Data taken from Fig. 3                         L009600200006 
ENDBIB               4          0                                 L009600200007 
NOCOMMON             0          0                                 L009600200008 
DATA                 5         41                                 L009600200009 
EN         ANG        ANG-RSL    DATA       DATA-ERR              L009600200010 
MEV        ADEG       ADEG       ARB-UNITS  ARB-UNITS             L009600200011 
5.58          2.15E-02   3.23E+00   6.43E-02   2.95E-02           L009600200012 
5.58          1.58E+01   2.88E+00   1.69E-01   2.95E-02           L009600200013 
5.58          3.18E+01   2.88E+00   4.42E-01   5.06E-02           L009600200014 
5.58          4.74E+01   3.24E+00   8.00E-01   4.22E-02           L009600200015 
5.58          6.33E+01   3.59E+00   1.12E+00   5.06E-02           L009600200016 
5.58          7.85E+01   3.59E+00   1.33E+00   5.06E-02           L009600200017 
5.58          9.29E+01   3.24E+00   1.39E+00   6.75E-02           L009600200018 
6.07          7.17E-01   3.94E+00   1.11E-01   2.51E-02           L009600200019 
6.07          1.64E+01   2.50E+00   2.37E-01   2.51E-02           L009600200020 
6.07          3.22E+01   2.50E+00   4.46E-01   3.76E-02           L009600200021 
6.07          4.73E+01   3.58E+00   7.77E-01   4.60E-02           L009600200022 
6.07          6.34E+01   3.22E+00   1.07E+00   4.18E-02           L009600200023 
6.07          7.78E+01   3.22E+00   1.22E+00   3.34E-02           L009600200024 
6.07          9.21E+01   2.86E+00   1.37E+00   5.85E-02           L009600200025 
6.43          1.25E+01   3.94E+00   3.30E-01   3.44E-02           L009600200026 
6.43          2.79E+01   3.58E+00   5.25E-01   4.21E-02           L009600200027 
6.43          4.33E+01   3.94E+00   7.97E-01   3.83E-02           L009600200028 
6.43          5.98E+01   3.22E+00   1.02E+00   4.21E-02           L009600200029 
6.43          7.49E+01   3.94E+00   1.12E+00   3.83E-02           L009600200030 
6.43          8.96E+01   3.58E+00   1.25E+00   5.36E-02           L009600200031 
7.64          5.03E-02   2.52E+00   7.10E-01   3.29E-02           L009600200032 
7.64          1.58E+01   2.51E+00   6.75E-01   2.63E-02           L009600200033 
7.64          3.21E+01   2.52E+00   8.05E-01   4.27E-02           L009600200034 
7.64          4.69E+01   3.24E+00   9.51E-01   3.28E-02           L009600200035 
7.64          6.31E+01   2.88E+00   9.69E-01   2.96E-02           L009600200036 
7.64          7.75E+01   2.88E+00   1.03E+00   3.61E-02           L009600200037 
7.64          9.20E+01   3.59E+00   1.06E+00   3.95E-02           L009600200038 
7.91          2.93E-01   2.52E+00   7.56E-01   3.01E-02           L009600200039 
7.91          1.52E+01   3.24E+00   8.25E-01   3.01E-02           L009600200040 
7.91          3.14E+01   3.60E+00   8.67E-01   4.50E-02           L009600200041 
7.91          4.70E+01   3.23E+00   9.22E-01   2.70E-02           L009600200042 
7.91          6.32E+01   3.24E+00   9.82E-01   4.20E-02           L009600200043 
7.91          7.83E+01   3.24E+00   9.52E-01   5.11E-02           L009600200044 
7.91          9.31E+01   2.87E+00   1.03E+00   3.60E-02           L009600200045 
8.99          6.68E-01   2.51E+00   8.06E-01   2.38E-02           L009600200046 
8.99          1.53E+01   2.86E+00   8.03E-01   2.67E-02           L009600200047 
8.99          3.15E+01   3.22E+00   8.75E-01   1.78E-02           L009600200048 
8.99          4.69E+01   3.22E+00   9.46E-01   2.67E-02           L009600200049 
8.99          6.31E+01   2.86E+00   9.52E-01   3.27E-02           L009600200050 
8.99          7.78E+01   3.22E+00   1.00E+00   4.76E-02           L009600200051 
8.99          9.25E+01   3.22E+00   1.01E+00   3.86E-02           L009600200052 
ENDDATA             43          0                                 L009600200053 
ENDSUBENT           52          0                                 L009600299999 
ENDENTRY             2          0                                 L009699999999 
