ENTRY            F0928   20100217                             F038F092800000001 
SUBENT        F0928001   20100217                             F038F092800100001 
BIB                 11         20                                 F092800100002 
TITLE      A study of some He-3 induced reactions on C-13 and the F092800100003 
           structure of O-16.                                     F092800100004 
AUTHOR     (H.R.Weller,N.R.Roberson,D.R.Tilley)                   F092800100005 
INSTITUTE  (1USADKE,1USANCS)                                      F092800100006 
REFERENCE  (J,NP/A,122,529,1968)                                  F092800100007 
           #doi:10.1016/0375-9474(68)90575-7                      F092800100008 
FACILITY   (VDG,1USADKE) 4 MeV Van de Graaff accelerator.         F092800100009 
INC-SOURCE The doubly ionized 3He beam was used which provided    F092800100010 
           0.2 mu-A of 3He particles on target with energies up   F092800100011 
           to 8.2 MeV.                                            F092800100012 
MONITOR    The absolute cross sections were obtained from a       F092800100013 
           normalization to the data of Holmgren.                 F092800100014 
MONIT-REF  (,H.D.Holmgren,J,PR,106,100,1957)                      F092800100015 
SAMPLE     The technique of cracking 60% enriched 13C methyl      F092800100016 
           iodide on a thin nickel foil and dissolving the foil inF092800100017 
           acid was used to obtain self-supporting targets of     F092800100018 
           about 75 mu-g/cm2 thickness.                           F092800100019 
ERR-ANALYS (ERR-DIG)   Data digitizing error                      F092800100020 
HISTORY    (20080425C)                                            F092800100021 
           (20100217A) Correction was made in the AUTHOR record.  F092800100022 
ENDBIB              20          0                                 F092800100023 
NOCOMMON             0          0                                 F092800100024 
ENDSUBENT           23          0                                 F092800199999 
SUBENT        F0928002   20080425                             F031F092800200001 
BIB                  4          9                                 F092800200002 
REACTION   (6-C-13(HE3,A)6-C-12,PAR,DA)                           F092800200003 
DETECTOR   (SIBAR) Four 300 mu-m surface barrier detectors        F092800200004 
           mounted in a 30 cm scattering chamber were used.       F092800200005 
ERR-ANALYS Carbon build-up on the target introduced an uncertaintyF092800200006 
           in the percentage of 13C in the target and resulted in F092800200007 
           an over-all error of approximately 50%                 F092800200008 
           (ANG-ERR-D) Angle digitizing error                     F092800200009 
           (ERR-S)     Statistical error                          F092800200010 
STATUS     (CURVE) Fig.3-5,18                                     F092800200011 
ENDBIB               9          0                                 F092800200012 
COMMON               2          3                                 F092800200013 
ANG-ERR-D  ERR-DIG                                                F092800200014 
ADEG       PER-CENT                                               F092800200015 
 0.142      0.2                                                   F092800200016 
ENDCOMMON            3          0                                 F092800200017 
DATA                 5        577                                 F092800200018 
E-LVL      EN         ANG-CM     DATA-CM    ERR-S                 F092800200019 
MEV        MEV        ADEG       MU-B/SR    MU-B/SR               F092800200020 
         0.         5.      6.474     550.23     43.595           F092800200021 
         0.         5.      11.12      542.1     36.106           F092800200022 
         0.         5.     17.688     900.89     71.441           F092800200023 
         0.         5.     23.225     646.49     34.646           F092800200024 
         0.         5.     23.551     741.88     39.758           F092800200025 
         0.         5.     30.682     771.84     41.364           F092800200026 
         0.         5.     34.688     644.71     42.895           F092800200027 
         0.         5.     39.622     531.03     42.111           F092800200028 
         0.         5.     45.801     462.03     36.639           F092800200029 
         0.         5.     57.179     228.28     20.977           F092800200030 
         0.         5.     67.956     131.26     12.053           F092800200031 
         0.         5.      77.81     79.762     8.3254           F092800200032 
         0.         5.     87.684     57.179     8.7126           F092800200033 
         0.         5.     93.735     220.13     14.647           F092800200034 
         0.         5.     98.901     96.232     7.6312           F092800200035 
         0.         5.     104.28     238.49     18.896           F092800200036 
         0.         5.     107.95     164.29      19.15           F092800200037 
         0.         5.     113.56     216.09     32.886           F092800200038 
         0.         5.     117.91     234.46     18.593           F092800200039 
         0.         5.     128.12     203.79     21.244           F092800200040 
         0.         5.     137.01     94.049     10.962           F092800200041 
         0.         5.     142.45      29.95     11.197           F092800200042 
         0.         5.     146.74     20.915     7.4527           F092800200043 
         0.         5.     151.72     25.332     9.6864           F092800200044 
         0.         5.     155.61      103.1     14.485           F092800200045 
         0.         6.     6.8181     401.05     37.953           F092800200046 
         0.         6.     11.166     436.22     35.632           F092800200047 
         0.         6.     17.442     813.53     107.71           F092800200048 
         0.         6.     23.619     694.72     56.747           F092800200049 
         0.         6.     23.975      1005.     55.576           F092800200050 
         0.         6.     28.905     811.06     76.692           F092800200051 
         0.         6.     29.235     948.12     77.445           F092800200052 
         0.         6.       35.1      798.3     65.208           F092800200053 
         0.         6.     40.956     626.08     90.463           F092800200054 
         0.         6.     46.466     369.64     39.672           F092800200055 
         0.         6.     52.049     385.15     60.324           F092800200056 
         0.         6.     56.907     176.13     14.387           F092800200057 
         0.         6.     63.354     110.04     17.234           F092800200058 
         0.         6.     67.918     57.184     6.8655           F092800200059 
         0.         6.     72.918     80.302      11.62           F092800200060 
         0.         6.     79.176     129.93      15.59           F092800200061 
         0.         6.     83.885     210.33      17.18           F092800200062 
         0.         6.     89.202      312.6     33.573           F092800200063 
         0.         6.     94.505      414.7     33.905           F092800200064 
         0.         6.      99.44     349.26     28.502           F092800200065 
         0.         6.      104.4     343.88     36.932           F092800200066 
         0.         6.     109.32     269.76     28.972           F092800200067 
         0.         6.     114.55     199.91     23.973           F092800200068 
         0.         6.     119.78     152.42     14.413           F092800200069 
         0.         6.     128.38     83.751     11.094           F092800200070 
         0.         6.      133.6       55.4       5.95           F092800200071 
         0.         6.     142.61     69.368     7.4501           F092800200072 
         0.         6.     147.04       137.     16.448           F092800200073 
         0.         6.     151.14      259.3     24.558           F092800200074 
         0.         6.     156.17     444.23     36.253           F092800200075 
         0.         6.     160.82       463.     31.702           F092800200076 
         0.         6.     163.34     614.68     58.169           F092800200077 
         0.         7.      9.836     58.468     5.3694           F092800200078 
         0.         7.     16.705     102.68     13.209           F092800200079 
         0.         7.     23.287     218.66     25.489           F092800200080 
         0.         7.     28.854      215.4     19.795           F092800200081 
         0.         7.     33.791     192.72      17.71           F092800200082 
         0.         7.     39.378     227.07     18.008           F092800200083 
         0.         7.     44.325     223.71     20.559           F092800200084 
         0.         7.     44.653     263.89     17.542           F092800200085 
         0.         7.     49.848     282.31     18.766           F092800200086 
         0.         7.     50.831     242.63     12.988           F092800200087 
         0.         7.     56.054     176.55     11.748           F092800200088 
         0.         7.     61.913     149.46     13.745           F092800200089 
         0.         7.     66.792     80.338     7.3828           F092800200090 
         0.         7.     72.901     40.298     3.7033           F092800200091 
         0.         7.     77.919     73.782     6.7804           F092800200092 
         0.         7.     82.325     142.76     18.366           F092800200093 
         0.         7.     88.232     185.21      17.02           F092800200094 
         0.         7.     93.509     218.23     14.507           F092800200095 
         0.         7.     99.087     236.74     21.755           F092800200096 
         0.         7.     103.71     197.73      18.17           F092800200097 
         0.         7.     107.08     150.01     11.896           F092800200098 
         0.         7.     112.68     197.33     20.585           F092800200099 
         0.         7.     117.61      169.4     15.568           F092800200100 
         0.         7.     122.85     145.42     13.364           F092800200101 
         0.         7.     127.83     183.57     14.558           F092800200102 
         0.         7.     131.83     149.18     13.709           F092800200103 
         0.         7.     137.31     73.816     5.8493           F092800200104 
         0.         7.     140.94     33.643     1.8031           F092800200105 
         0.         7.     145.33     57.506     5.2847           F092800200106 
         0.         7.     149.43     119.21     10.955           F092800200107 
         0.         7.     154.15     227.48     23.744           F092800200108 
         0.         7.     157.94     484.76     38.444           F092800200109 
         0.         8.     6.1643     48.431     9.7721           F092800200110 
         0.         8.     7.3439     147.39     6.0981           F092800200111 
         0.         8.     11.171      87.42     14.627           F092800200112 
         0.         8.     16.787     142.96     25.586           F092800200113 
         0.         8.     22.404     237.11     16.125           F092800200114 
         0.         8.     22.679     166.73     17.767           F092800200115 
         0.         8.     27.945      178.7     16.779           F092800200116 
         0.         8.     29.186     186.37     15.114           F092800200117 
         0.         8.     34.451     196.96     13.417           F092800200118 
         0.         8.     35.019     116.95     9.4707           F092800200119 
         0.         8.     40.022     202.36     13.761           F092800200120 
         0.         8.     44.701     304.18     12.585           F092800200121 
         0.         8.      50.58     308.13     20.954           F092800200122 
         0.         8.     56.455     299.22     16.392           F092800200123 
         0.         8.     61.993     219.24     9.0581           F092800200124 
         0.         8.     68.135     137.57     7.5364           F092800200125 
         0.         8.     73.335     74.994     9.8448           F092800200126 
         0.         8.     77.978     77.065     9.1754           F092800200127 
         0.         8.     82.979     131.48     17.268           F092800200128 
         0.         8.     88.261     166.88     11.358           F092800200129 
         0.         8.     93.564     261.64     14.333           F092800200130 
         0.         8.     98.494      214.6     20.149           F092800200131 
         0.         8.     103.73     176.01     23.115           F092800200132 
         0.         8.     109.26     112.02     10.511           F092800200133 
         0.         8.     113.23     69.337     7.3889           F092800200134 
         0.         8.     117.94      134.3     12.609           F092800200135 
         0.         8.       122.     204.75     11.217           F092800200136 
         0.         8.      127.6     271.07     25.436           F092800200137 
         0.         8.     132.25     316.21     29.671           F092800200138 
         0.         8.     136.25     241.77     22.713           F092800200139 
         0.         8.     140.23     169.87     13.766           F092800200140 
         0.         8.     146.66     79.292     8.4453           F092800200141 
         0.         8.     149.74     71.802     8.5449           F092800200142 
         0.         8.     153.91     337.81     31.717           F092800200143 
         0.         8.     157.97     500.72      34.08           F092800200144 
         0.         8.     161.13     943.19     135.43           F092800200145 
       4.43         5.     5.6673     648.04     85.245           F092800200146 
       4.43         5.     10.695     858.73      58.47           F092800200147 
       4.43         5.     17.271     834.21     67.687           F092800200148 
       4.43         5.     22.891     611.28     41.601           F092800200149 
       4.43         5.     34.186      856.4     58.311           F092800200150 
       4.43         5.     40.144     958.02     65.231           F092800200151 
       4.43         5.     45.453     722.12     39.634           F092800200152 
       4.43         5.     57.655     567.37     46.036           F092800200153 
       4.43         5.     67.973     415.52     22.792           F092800200154 
       4.43         5.     78.917     300.03     20.429           F092800200155 
       4.43         5.     89.262     349.97     19.196           F092800200156 
       4.43         5.     95.503     232.32     24.772           F092800200157 
       4.43         5.     99.924     431.88     35.057           F092800200158 
       4.43         5.     105.21     235.35     9.7501           F092800200159 
       4.43         5.     110.28      588.3      32.27           F092800200160 
       4.43         5.     114.98     658.21     44.794           F092800200161 
       4.43         5.     119.37     696.05      38.18           F092800200162 
       4.43         5.     128.78     811.98     55.259           F092800200163 
       4.43         5.     137.22     684.89     55.594           F092800200164 
       4.43         5.     142.55     684.47     28.356           F092800200165 
       4.43         5.     147.23     530.72     29.093           F092800200166 
       4.43         5.       151.     577.33     39.329           F092800200167 
       4.43         5.       156.     522.76     28.674           F092800200168 
       4.43         5.     162.27     593.08     48.122           F092800200169 
       4.43         6.     7.0377     555.35     105.88           F092800200170 
       4.43         6.      11.73     990.17     165.85           F092800200171 
       4.43         6.     17.679      1173.     196.45           F092800200172 
       4.43         6.     24.256      1277.     167.91           F092800200173 
       4.43         6.     30.521      1224.     326.46           F092800200174 
       4.43         6.      35.85     790.59     141.64           F092800200175 
       4.43         6.       41.8     923.38     143.75           F092800200176 
       4.43         6.     47.127      768.8     91.635           F092800200177 
       4.43         6.     52.455     571.81     128.18           F092800200178 
