ENTRY            F0420   20220605                             F092F0420  0    1 
SUBENT        F0420001   20220605                             F092F0420  1    1 
BIB                  8         10                                 F0420  1    2 
TITLE      Angular distributions of (alpha,n) reactions           F0420  1    3 
           on Be and C                                            F0420  1    4 
AUTHOR     (M.Kondo,T.Yamazaki,S.Yamabe)                          F0420  1    5 
INSTITUTE  (2JPNOSA)                                              F0420  1    6 
REFERENCE  (J,JPJ,18,22,1963)                                     F0420  1    7 
FACILITY   (CYCLO,2JPNOSA) 44-inch cyclotron                      F0420  1    8 
METHOD     (PHD,EXTB,BCINT)                                       F0420  1    9 
DETECTOR   (CSICR)                                                F0420  1   10 
HISTORY    (19860708C)                                            F0420  1   11 
           (20220605A) SD: Corrections in all Subents.            F0420  1   12 
ENDBIB              10          0                                 F0420  1   13 
NOCOMMON             0          0                                 F0420  1   14 
ENDSUBENT           13          0                                 F0420  199999 
SUBENT        F0420002   20220605                             F092F0420  2    1 
BIB                  5          7                                 F0420  2    2 
REACTION   (4-BE-9(A,N)6-C-12,PAR,DA)                             F0420  2    3 
SAMPLE     Self-supporting metallic foil of beryllium 3.2 mg/cm2  F0420  2    4 
           thick.                                                 F0420  2    5 
ERR-ANALYS (ERR-S) Statistical error                              F0420  2    6 
STATUS     (CURVE) Figs 4,5 from J.Phys.Soc.Japan,18(1963)22      F0420  2    7 
HISTORY    (20220605A) SD: SF9=EXP deleted from REACTION code.    F0420  2    8 
           ANG-ERR -> ANG-ERR-D; DATA-ERR -> ERR-S.               F0420  2    9 
ENDBIB               7          0                                 F0420  2   10 
COMMON               2          3                                 F0420  2   11 
ANG-RSL-HW ANG-ERR-D                                              F0420  2   12 
ADEG       ADEG                                                   F0420  2   13 
  4.5            2.0                                              F0420  2   14 
ENDCOMMON            3          0                                 F0420  2   15 
DATA                 5        183                                 F0420  2   16 
E-LVL      EN         ANG-CM     DATA-CM    ERR-S                 F0420  2   17 
MEV        MEV        ADEG       MB/SR      MB/SR                 F0420  2   18 
         0.       17.5        1.3      0.159      0.024           F0420  2   19 
         0.       17.5        3.6      0.194      0.037           F0420  2   20 
         0.       17.5        9.1      0.412      0.037           F0420  2   21 
         0.       17.5       15.4      0.520      0.049           F0420  2   22 
         0.       17.5       20.3      0.518      0.073           F0420  2   23 
         0.       17.5       26.5      0.602      0.049           F0420  2   24 
         0.       17.5       32.8      0.685      0.073           F0420  2   25 
         0.       17.5       38.3      0.513      0.049           F0420  2   26 
         0.       17.5       43.6      0.267      0.049           F0420  2   27 
         0.       17.5       54.5      0.264      0.049           F0420  2   28 
         0.       17.5       65.4      0.285      0.073           F0420  2   29 
         0.       17.5       75.1      0.319      0.048           F0420  2   30 
         0.       17.5       81.1      0.305      0.049           F0420  2   31 
         0.       17.5       86.6      0.120      0.037           F0420  2   32 
         0.       17.5       96.2      0.117      0.037           F0420  2   33 
         0.       17.5      106.2      0.236      0.061           F0420  2   34 
         0.       17.5      115.8      0.197      0.036           F0420  2   35 
         0.       17.5      125.4      0.206      0.048           F0420  2   36 
         0.       17.5      133.9      0.216      0.048           F0420  2   37 
         0.       17.5      143.8      0.311      0.061           F0420  2   38 
         0.       18.7        0.6      0.094      0.037           F0420  2   39 
         0.       18.7        9.5      0.261      0.049           F0420  2   40 
         0.       18.7       17.6      0.515      0.061           F0420  2   41 
         0.       18.7       22.0      0.757      0.085           F0420  2   42 
         0.       18.7       32.5      0.657      0.085           F0420  2   43 
         0.       18.7       44.2      0.531      0.061           F0420  2   44 
         0.       18.7       55.6      0.296      0.061           F0420  2   45 
         0.       18.7       66.5      0.304      0.061           F0420  2   46 
         0.       18.7       76.3      0.362      0.073           F0420  2   47 
         0.       18.7       87.3      0.383      0.060           F0420  2   48 
         0.       18.7       97.9      0.294      0.061           F0420  2   49 
         0.       18.7      106.3      0.292      0.049           F0420  2   50 
         0.       18.7      116.7      0.118      0.049           F0420  2   51 
         0.       18.7      126.6      0.212      0.048           F0420  2   52 
         0.       18.7      136.4      0.258      0.049           F0420  2   53 
         0.       18.7      145.1      0.328      0.061           F0420  2   54 
         0.       19.9        0.8      0.002      0.024           F0420  2   55 
         0.       19.9       10.2      0.182      0.036           F0420  2   56 
         0.       19.9       22.4      0.326      0.061           F0420  2   57 
         0.       19.9       33.2      0.408      0.060           F0420  2   58 
         0.       19.9       43.7      0.273      0.049           F0420  2   59 
         0.       19.9       49.9      0.381      0.061           F0420  2   60 
         0.       19.9       54.3      0.175      0.049           F0420  2   61 
         0.       19.9       60.4      0.271      0.060           F0420  2   62 
         0.       19.9       65.0      0.161      0.048           F0420  2   63 
         0.       19.9       77.0      0.183      0.036           F0420  2   64 
         0.       19.9       86.4      0.157      0.036           F0420  2   65 
         0.       19.9       98.4      0.216      0.036           F0420  2   66 
         0.       19.9      106.6      0.117      0.036           F0420  2   67 
         0.       19.9      116.2      0.152      0.036           F0420  2   68 
         0.       19.9      125.6      0.090      0.024           F0420  2   69 
         0.       19.9      135.3      0.185      0.061           F0420  2   70 
         0.       19.9      148.4      0.159      0.048           F0420  2   71 
         0.       22.1        1.0      0.087      0.024           F0420  2   72 
         0.       22.1       11.6      0.290      0.036           F0420  2   73 
         0.       22.1       22.9      0.481      0.061           F0420  2   74 
         0.       22.1       28.4      0.310      0.036           F0420  2   75 
         0.       22.1       34.6      0.381      0.036           F0420  2   76 
         0.       22.1       39.4      0.392      0.036           F0420  2   77 
         0.       22.1       44.1      0.354      0.060           F0420  2   78 
         0.       22.1       55.9      0.278      0.036           F0420  2   79 
         0.       22.1       65.4      0.239      0.024           F0420  2   80 
         0.       22.1       71.6      0.310      0.048           F0420  2   81 
         0.       22.1       77.5      0.260      0.036           F0420  2   82 
         0.       22.1       83.7      0.344      0.049           F0420  2   83 
         0.       22.1       89.4      0.245      0.037           F0420  2   84 
         0.       22.1       98.9      0.182      0.036           F0420  2   85 
         0.       22.1      108.6      0.216      0.049           F0420  2   86 
         0.       22.1      116.7      0.117      0.024           F0420  2   87 
         0.       22.1      132.4      0.161      0.024           F0420  2   88 
         0.       22.1      144.6      0.255      0.073           F0420  2   89 
         0.       22.1      150.5      0.205      0.024           F0420  2   90 
         0.       22.1      161.2      0.153      0.072           F0420  2   91 
       4.44       17.5        0.4      1.118      0.098           F0420  2   92 
       4.44       17.5        5.1      1.299      0.073           F0420  2   93 
       4.44       17.5        9.7      1.237      0.085           F0420  2   94 
       4.44       17.5       15.8      0.905      0.073           F0420  2   95 
       4.44       17.5       21.6      0.830      0.110           F0420  2   96 
       4.44       17.5       27.5      0.804      0.060           F0420  2   97 
       4.44       17.5       33.8      0.887      0.073           F0420  2   98 
       4.44       17.5       39.3      1.092      0.085           F0420  2   99 
       4.44       17.5       43.6      0.945      0.109           F0420  2  100 
       4.44       17.5       54.4      1.282      0.097           F0420  2  101 
       4.44       17.5       66.6      0.961      0.122           F0420  2  102 
       4.44       17.5       76.5      0.677      0.085           F0420  2  103 
       4.44       17.5       82.6      0.712      0.085           F0420  2  104 
       4.44       17.5       87.0      0.930      0.097           F0420  2  105 
       4.44       17.5       98.2      1.036      0.122           F0420  2  106 
       4.44       17.5      106.9      1.118      0.146           F0420  2  107 
