ENTRY            F1503   20240410                             F099F1503  0    1 
SUBENT        F1503001   20240410                             F099F1503  1    1 
BIB                 11         25                                 F1503  1    2 
TITLE      Investigation of excited states of the 13C nucleus in  F1503  1    3 
           alpha-particle scattering                              F1503  1    4 
AUTHOR     (S.A.Goncharov,A.S.Demyanova,A.N.Danilov,              F1503  1    5 
           V.I.Starastsin,T.L.Belyaeva,W.Trzaska,N.Burtebaev,     F1503  1    6 
           N.Nassurlla,Yu.B.Gurov)                                F1503  1    7 
INSTITUTE  (4RUSMOS,4RUSKUR,4RUSMIF,3MEXUMX,2SF JYV,4KASKAZ,      F1503  1    8 
           4KASAFU,4ZZZDUB)                                       F1503  1    9 
REFERENCE  (J,PAN,85,785,2022) English translation                F1503  1   10 
           #doi:10.1134/S1063778823010210                         F1503  1   11 
           (J,YF,86,72,2023) Russian original                     F1503  1   12 
           #doi:10.31857/S004400272301021X                        F1503  1   13 
FACILITY   (CYCLO,2SF JYV)                                        F1503  1   14 
METHOD     (EDE)                                                  F1503  1   15 
DETECTOR   (TELES) dE-E telescopes were used. Thin detectors      F1503  1   16 
           100, 250 and 380 mu-m thick were used as dE-detectors. F1503  1   17 
           All E-detectors were 3.6 mm thick. Simultaneously,     F1503  1   18 
           four telescopes were used positioned at different      F1503  1   19 
           angles in the reaction plane.                          F1503  1   20 
SAMPLE     Self-supported 13C films 0.3 mg/cm2 thick were used as F1503  1   21 
           targets. Presence of 12C and 16O impurities was in a   F1503  1   22 
           total amount not exceeding 2%.                         F1503  1   23 
ADD-RES    (POT) Parameters of a semimicroscopic potential on the F1503  1   24 
           basis of the dispersive optical model were found.      F1503  1   25 
ERR-ANALYS (ERR-S) Statistical error                              F1503  1   26 
HISTORY    (20240410C)                                            F1503  1   27 
ENDBIB              25          0                                 F1503  1   28 
NOCOMMON             0          0                                 F1503  1   29 
ENDSUBENT           28          0                                 F1503  199999 
SUBENT        F1503002   20240410                             F099F1503  2    1 
BIB                  2          3                                 F1503  2    2 
REACTION   (6-C-13(A,INL)6-C-13,PAR,DA)                           F1503  2    3 
STATUS     (TABLE,,S.A.Goncharov+,J,PAN,85,785,2022) The same on  F1503  2    4 
           Figs. 6, 7. Data were presented by Dr. A.S. Demyanova. F1503  2    5 
ENDBIB               3          0                                 F1503  2    6 
NOCOMMON             0          0                                 F1503  2    7 
DATA                 5        193                                 F1503  2    8 
E-LVL      EN         ANG-CM     DATA-CM    ERR-S                 F1503  2    9 
MEV        MEV        ADEG       MB/SR      MB/SR                 F1503  2   10 
       3.68        65.    6.60999     7.3392    0.49693           F1503  2   11 
       3.68        65.    7.93101    6.39704    0.37303           F1503  2   12 
       3.68        65.       10.5       10.2      0.444           F1503  2   13 
       3.68        65.   11.23108    9.99535    0.64074           F1503  2   14 
       3.68        65.   13.20897   10.67778    0.74435           F1503  2   15 
       3.68        65.   14.52648   10.93849    0.47312           F1503  2   16 
       3.68        65.    16.5009    8.96355    0.52155           F1503  2   17 
       3.68        65.       17.1       7.51     0.0917           F1503  2   18 
       3.68        65.   17.81583    6.97181    0.32777           F1503  2   19 
       3.68        65.       18.4         7.      0.111           F1503  2   20 
       3.68        65.       19.7       4.98     0.0789           F1503  2   21 
       3.68        65.        21.        3.5     0.0667           F1503  2   22 
       3.68        65.       22.3       2.77      0.063           F1503  2   23 
       3.68        65.       23.6       2.01     0.0537           F1503  2   24 
       3.68        65.       24.9       2.52     0.0686           F1503  2   25 
       3.68        65.       26.2      2.625     0.0722           F1503  2   26 
       3.68        65.       27.5      3.275     0.0848           F1503  2   27 
       3.68        65.       28.8      3.275     0.0773           F1503  2   28 
       3.68        65.      30.22     3.2882    0.05569           F1503  2   29 
       3.68        65.      31.52       2.84    0.05186           F1503  2   30 
       3.68        65.      32.82      2.475    0.05155           F1503  2   31 
       3.68        65.      34.11      2.135    0.04808           F1503  2   32 
       3.68        65.       35.4    1.94215    0.05001           F1503  2   33 
       3.68        65.      36.69    1.86735    0.04916           F1503  2   34 
       3.68        65.      39.26       1.69     0.0513           F1503  2   35 
       3.68        65.   40.55705      1.965    0.03316           F1503  2   36 
       3.68        65.      42.14       2.12     0.0522           F1503  2   37 
       3.68        65.      44.36        2.1     0.0494           F1503  2   38 
       3.68        65.      45.63       1.97     0.0521           F1503  2   39 
       3.68        65.       46.9      1.855     0.0502           F1503  2   40 
       3.68        65.      48.49       1.68      0.046           F1503  2   41 
       3.68        65.      49.75       1.13       0.04           F1503  2   42 
       3.68        65.      50.68       1.08     0.0286           F1503  2   43 
       3.68        65.      51.93      0.706     0.0232           F1503  2   44 
       3.68        65.      53.18       1.21     0.0305           F1503  2   45 
       3.68        65.      54.03    1.49738     0.0228           F1503  2   46 
       3.68        65.      54.42      0.991     0.0277           F1503  2   47 
       3.68        65.      55.27       1.43     0.0224           F1503  2   48 
       3.68        65.      59.37    1.50418    0.03171           F1503  2   49 
       3.68        65.       60.6     1.3162    0.02979           F1503  2   50 
       3.68        65.      61.82       1.63      0.021           F1503  2   51 
       3.68        65.      63.04       1.57     0.0207           F1503  2   52 
       3.68        65.      64.25       1.55     0.0206           F1503  2   53 
       3.68        65.      65.46       1.51     0.0205           F1503  2   54 
       3.68        65.      66.67        1.5     0.0182           F1503  2   55 
       3.68        65.      69.07       1.47       0.02           F1503  2   56 
       3.68        65.      71.45       1.37     0.0201           F1503  2   57 
       3.68        65.      72.63       1.39     0.0203           F1503  2   58 
       3.68        65.      73.81       1.45     0.0188           F1503  2   59 
       3.68        65.      74.98       1.38     0.0184           F1503  2   60 
       3.68        65.      76.15       1.45     0.0259           F1503  2   61 
       3.68        65.      77.31       1.38     0.0254           F1503  2   62 
       3.68        65.      79.63       1.07     0.0227           F1503  2   63 
       3.68        65.      81.92    1.13409    0.01866           F1503  2   64 
       3.68        65.      83.06    1.10414    0.01852           F1503  2   65 
       3.68        65.      85.32    0.79245    0.01583           F1503  2   66 
       3.68        90.       9.25       8.32       1.01           F1503  2   67 
       3.68        90.       9.91       9.28      0.995           F1503  2   68 
       3.68        90.      11.23       11.7       1.24           F1503  2   69 
       3.68        90.      11.89       10.4       1.22           F1503  2   70 
       3.68        90.      13.21       7.72      0.838           F1503  2   71 
       3.68        90.      14.26       7.54      0.934           F1503  2   72 
       3.68        90.      15.58         5.      0.671           F1503  2   73 
       3.68        90.      16.23        3.2      0.383           F1503  2   74 
       3.68        90.      17.15       3.34      0.353           F1503  2   75 
       3.68        90.      17.55       2.13      0.274           F1503  2   76 
       3.68        90.      18.47       2.76      0.295           F1503  2   77 
       3.68        90.      19.78       2.03      0.346           F1503  2   78 
       3.68        90.      20.44       1.88      0.206           F1503  2   79 
       3.68        90.      21.09        2.7      0.334           F1503  2   80 
       3.68        90.      21.75       3.34      0.353           F1503  2   81 
       3.68        90.      23.45       3.94      0.413           F1503  2   82 
       3.68        90.      24.75       3.58      0.377           F1503  2   83 
       3.68        90.      26.19       3.95    0.63453           F1503  2   84 
       3.68        90.      27.49       3.65    0.58997           F1503  2   85 
       3.68        90.      28.92       1.61      0.167           F1503  2   86 
       3.68        90.      29.57        2.1      0.224           F1503  2   87 
       3.68        90.      30.22       1.86      0.192           F1503  2   88 
       3.68        90.      30.87       2.82      0.296           F1503  2   89 
       3.68        90.      32.56       2.49      0.263           F1503  2   90 
       3.68        90.      33.85        2.9      0.304           F1503  2   91 
       3.68        90.       35.4       2.25      0.231           F1503  2   92 
       3.68        90.      36.69       2.08      0.214           F1503  2   93 
       3.68        90.      37.97       1.27      0.134           F1503  2   94 
       3.68        90.      39.26       1.52      0.159           F1503  2   95 
       3.68        90.      41.56       1.28      0.134           F1503  2   96 
       3.68        90.      42.83       1.34       0.14           F1503  2   97 
       3.68        90.      44.36       1.61      0.165           F1503  2   98 
       3.68        90.      45.63       1.68      0.172           F1503  2   99 
       3.68        90.       46.9      0.957        0.1           F1503  2  100 
       3.68        90.      48.16       1.19      0.124           F1503  2  101 
       3.68        90.      50.42       1.32      0.136           F1503  2  102 
       3.68        90.      51.68       1.14      0.119           F1503  2  103 
       7.55        65.    6.69838    4.34982    0.43498           F1503  2  104 
       7.55        65.    8.03703     6.4089    0.64089           F1503  2  105 
       7.55        65.   10.04397    7.47537    0.74754           F1503  2  106 
       7.55        65.    11.3811    9.00889    0.90089           F1503  2  107 
       7.55        65.   14.72029    9.34724    0.93472           F1503  2  108 
       7.55        65.   16.72088    7.64298     0.7643           F1503  2  109 
       7.55        65.       17.3       5.82      0.582           F1503  2  110 
       7.55        65.   18.05319    5.54781    0.55478           F1503  2  111 
       7.55        65.        20.       4.46      0.446           F1503  2  112 
       7.55        65.       21.3        2.6       0.26           F1503  2  113 
       7.55        65.       22.6       2.64      0.264           F1503  2  114 
       7.55        65.       23.9       2.23      0.223           F1503  2  115 
       7.55        65.       25.2       3.05      0.305           F1503  2  116 
       7.55        65.       26.5       2.68      0.268           F1503  2  117 
       7.55        65.       27.8       3.34      0.334           F1503  2  118 
       7.55        65.       29.1       2.57      0.257           F1503  2  119 
       7.55        65.       30.4        2.9       0.29           F1503  2  120 
       7.55        65.       31.7       2.11      0.211           F1503  2  121 
       7.55        65.       33.1       1.57      0.157           F1503  2  122 
       7.55        65.       34.4       1.17      0.117           F1503  2  123 
       7.55        65.       35.7       1.36      0.136           F1503  2  124 
       7.55        65.        37.       1.38      0.138           F1503  2  125 
       7.55        65.       38.2       0.76      0.076           F1503  2  126 
       7.55        65.      39.64       1.16      0.116           F1503  2  127 
       7.55        65.       40.8       1.72      0.172           F1503  2  128 
       7.55        65.       42.1       2.02      0.202           F1503  2  129 
       7.55        65.      43.21       2.12      0.212           F1503  2  130 
       7.55        65.      44.51         2.        0.2           F1503  2  131 
       7.55        65.      46.12       1.97      0.197           F1503  2  132 
       7.55        65.      47.36      1.765     0.1765           F1503  2  133 
       7.55        65.       48.5        2.1       0.21           F1503  2  134 
       7.55        65.      49.63        1.4       0.14           F1503  2  135 
       7.55        65.      50.86       1.38      0.138           F1503  2  136 
       7.55        65.       52.3       1.32      0.132           F1503  2  137 
       7.55        65.       53.6       1.38      0.138           F1503  2  138 
       7.55        65.       54.8       0.98      0.098           F1503  2  139 
       7.55        65.        56.       1.23      0.123           F1503  2  140 
