ENTRY            F1358   20180723                             F070F1358  0    1 
SUBENT        F1358001   20180723                             F070F1358  1    1 
BIB                 11         19                                 F1358  1    2 
TITLE      Elastic scattering of 10-15 MeV alpha-particles by     F1358  1    3 
           gold and aluminum.                                     F1358  1    4 
AUTHOR     (M.P.Konstantinov,E.V.Myakinin,A.M.Romanov,T.V.Tsareva)F1358  1    5 
INSTITUTE  (4RUSFTI)                                              F1358  1    6 
REFERENCE  (J,ZET,41,49,1961)                                     F1358  1    7 
           (J,JET,14,38,1962) English translation                 F1358  1    8 
FACILITY   (CYCLO,4RUSFTI)                                        F1358  1    9 
DETECTOR   (PLATE) Photonuclear plates Ya-2 with 100 mu-m         F1358  1   10 
           thickness emulsion placed around the target at equal   F1358  1   11 
           distances were used.                                   F1358  1   12 
SAMPLE     Aluminum foil with 0.13 mu-g/cm2 thickness was used.   F1358  1   13 
METHOD     (BCINT)                                                F1358  1   14 
ERR-ANALYS (DATA-ERR) Apart from the statistical and geometrical  F1358  1   15 
           errors of the experiment, errors related to            F1358  1   16 
           incomplete separation of the groups of elastically     F1358  1   17 
           and inelastically scattered alpha-particles are also   F1358  1   18 
           taken into account.                                    F1358  1   19 
STATUS     (CURVE) Figure from ZET,41,49,1961.                    F1358  1   20 
HISTORY    (20180723C)                                            F1358  1   21 
ENDBIB              19          0                                 F1358  1   22 
COMMON               2          3                                 F1358  1   23 
ANG-ERR-D  ERR-DIG                                                F1358  1   24 
ADEG       PER-CENT                                               F1358  1   25 
      0.158       0.45                                            F1358  1   26 
ENDCOMMON            3          0                                 F1358  1   27 
ENDSUBENT           26          0                                 F1358  199999 
SUBENT        F1358002   20180723                             F070F1358  2    1 
BIB                  1          1                                 F1358  2    2 
REACTION   (13-AL-27(A,EL)13-AL-27,,DA,,RTH)                      F1358  2    3 
ENDBIB               1          0                                 F1358  2    4 
NOCOMMON             0          0                                 F1358  2    5 
DATA                 4         46                                 F1358  2    6 
EN-CM      ANG-CM     DATA       DATA-ERR                         F1358  2    7 
MEV        ADEG       NO-DIM     NO-DIM                           F1358  2    8 
       9.05     28.012 7.0903E-01 4.3355E-02                      F1358  2    9 
       9.05     34.021 6.3514E-01 4.1367E-02                      F1358  2   10 
       9.05     39.685 6.3037E-01 3.8545E-02                      F1358  2   11 
       9.05     44.831 6.8231E-01 4.1722E-02                      F1358  2   12 
       9.05     50.325 6.4081E-01 3.9184E-02                      F1358  2   13 
       9.05     51.702 5.6488E-01 3.4541E-02                      F1358  2   14 
       9.05     55.483 4.5664E-01 3.1290E-02                      F1358  2   15 
       9.05     60.809 3.8402E-01 2.0631E-02                      F1358  2   16 
       9.05     66.646 3.5503E-01 2.0148E-02                      F1358  2   17 
       9.05     71.796 3.4141E-01 2.5892E-02                      F1358  2   18 
       9.05     76.763 4.7189E-01 3.2340E-02                      F1358  2   19 
       9.05     80.880 5.0275E-01 4.1779E-02                      F1358  2   20 
       9.05     82.265 3.3894E-01 2.5709E-02                      F1358  2   21 
       9.05     86.893 4.0328E-01 2.9671E-02                      F1358  2   22 
       9.05     91.700 3.9087E-01 3.2485E-02                      F1358  2   23 
       9.05     97.357 4.9149E-01 3.3678E-02                      F1358  2   24 
       9.05    107.300 6.6890E-01 4.0902E-02                      F1358  2   25 
       9.05    112.280 5.8978E-01 4.0408E-02                      F1358  2   26 
       9.05    117.090 4.9990E-01 3.7913E-02                      F1358  2   27 
       11.9     17.992 8.9246E-01 6.7252E-02                      F1358  2   28 
       11.9     22.973 7.8143E-01 4.7477E-02                      F1358  2   29 
       11.9     28.638 7.2850E-01 4.4253E-02                      F1358  2   30 
       11.9     33.959 7.2874E-01 3.8878E-02                      F1358  2   31 
       11.9     39.115 5.6735E-01 3.8622E-02                      F1358  2   32 
       11.9     45.125 5.0861E-01 2.8669E-02                      F1358  2   33 
       11.9     50.633 2.9867E-01 2.1817E-02                      F1358  2   34 
       11.9     55.951 3.2060E-01 1.7110E-02                      F1358  2   35 
       11.9     56.634 3.5778E-01 2.6135E-02                      F1358  2   36 
       11.9     61.766 6.0968E-01 4.4528E-02                      F1358  2   37 
       11.9     67.267 4.6364E-01 3.1562E-02                      F1358  2   38 
       11.9     71.562 4.0277E-01 2.2703E-02                      F1358  2   39 
       11.9     77.055 3.7844E-01 2.2988E-02                      F1358  2   40 
       11.9     80.316 3.8449E-01 2.3356E-02                      F1358  2   41 
       11.9     82.548 3.6978E-01 2.3915E-02                      F1358  2   42 
       11.9     87.508 6.3507E-01 6.1484E-02                      F1358  2   43 
       11.9     93.002 5.8743E-01 4.4261E-02                      F1358  2   44 
       11.9     97.814 4.8310E-01 4.3475E-02                      F1358  2   45 
       11.9    108.110 4.2647E-01 3.5210E-02                      F1358  2   46 
       11.9    112.740 5.4385E-01 3.9727E-02                      F1358  2   47 
       11.9    117.200 6.4633E-01 5.8156E-02                      F1358  2   48 
       11.9    121.830 7.3285E-01 6.5759E-02                      F1358  2   49 
       11.9    127.490 8.0537E-01 8.3655E-02                      F1358  2   50 
       11.9    133.000 4.8041E-01 3.6202E-02                      F1358  2   51 
       11.9    136.430 4.2060E-01 3.7737E-02                      F1358  2   52 
       11.9    140.900 4.1418E-01 3.1207E-02                      F1358  2   53 
       11.9    144.670 4.3422E-01 3.9076E-02                      F1358  2   54 
ENDDATA             48          0                                 F1358  2   55 
ENDSUBENT           54          0                                 F1358  299999 
ENDENTRY             2          0                                 F135899999999 
