ENTRY            F1253   20150625                             F058F1253  0    1 
SUBENT        F1253001   20150625                             F058F1253  1    1 
BIB                 13         25                                 F1253  1    2 
TITLE      Analyzing power of d(pol)+C->p+X and d(pol)+C->p+p(d)+XF1253  1    3 
           reactions at 0.6-2.1 GeV/nucleon energy.               F1253  1    4 
AUTHOR     (G.G.Beznogikh,V.A.Budilov,A.Golembevsky,N.K.Zhidkov,  F1253  1    5 
           A.P.Laricheva,V.V.Myalkovsky,V.A.Nikitin,              F1253  1    6 
           P.V.Nomokonov,A.V.Pavlyuk,I.A.Rufanov,M.Traikova,      F1253  1    7 
           A.Filipkovsky,B.Khurelbaatar)                          F1253  1    8 
INSTITUTE  (4ZZZDUB)                                              F1253  1    9 
REFERENCE  (J,YF,54,(5),1333,1991)                                F1253  1   10 
           (J,SNP,54,812,1991) English translation                F1253  1   11 
           (J,KSO,1991,(4/50),5,1991) The same data are given.    F1253  1   12 
FACILITY   (SYNCH,4ZZZDUB)                                        F1253  1   13 
SAMPLE     2 mu-m thickness polyethylene target.                  F1253  1   14 
INC-SOURCE (POLIS) Polarized deuteron beam. The intensity was up  F1253  1   15 
           to 0.5*10**9 deuterons.                                F1253  1   16 
DETECTOR   (TELES,SCIN,NAICR) Two plastic scintillators (8 mm     F1253  1   17 
           thick) and two NaI(Tl) crystals (80 and 150 mm thick)  F1253  1   18 
           were used. To extend the upper limit of measurable     F1253  1   19 
           proton energy up to 600 MeV, some absorbers were       F1253  1   20 
           inserted between the plastic scintillators.            F1253  1   21 
PART-DET   (P)                                                    F1253  1   22 
ERR-ANALYS (DATA-ERR) No source of uncertainties is given         F1253  1   23 
COMMENT    *By compiler* Original Data Units were presented in    F1253  1   24 
           percents.                                              F1253  1   25 
STATUS     (TABLE) Tables 1-4 from YF,54,(5),1333,1991.           F1253  1   26 
HISTORY    (20150625C)                                            F1253  1   27 
ENDBIB              25          0                                 F1253  1   28 
NOCOMMON             0          0                                 F1253  1   29 
ENDSUBENT           28          0                                 F1253  199999 
SUBENT        F1253002   20150625                             F058F1253  2    1 
BIB                  1          1                                 F1253  2    2 
REACTION   (6-C-12(D,X)1-H-1,,POL/DA/DE,,ANA)                     F1253  2    3 
ENDBIB               1          0                                 F1253  2    4 
NOCOMMON             0          0                                 F1253  2    5 
DATA                 5        124                                 F1253  2    6 
EN         ANG        E          DATA       DATA-ERR              F1253  2    7 
GEV/A      ADEG       MEV        NO-DIM     NO-DIM                F1253  2    8 
        0.6        75.        90.     -0.068       0.03           F1253  2    9 
        0.6        75.       110.     -0.087      0.027           F1253  2   10 
        0.6        75.       130.     -0.064      0.034           F1253  2   11 
        0.6        75.       150.      -0.06       0.03           F1253  2   12 
        0.6        75.       170.      0.034      0.034           F1253  2   13 
        0.6        75.       190.       0.06      0.038           F1253  2   14 
        0.6        75.       210.      0.038      0.038           F1253  2   15 
        0.6        75.       230.       0.09      0.038           F1253  2   16 
        0.6        75.       250.       0.12      0.038           F1253  2   17 
        0.6        75.       270.      0.131      0.056           F1253  2   18 
        0.6        75.       290.      0.128      0.083           F1253  2   19 
        0.6       120.        50.     -0.004      0.006           F1253  2   20 
        0.6       120.        70.      -0.01      0.008           F1253  2   21 
        0.6       120.        90.     -0.004       0.01           F1253  2   22 
        0.6       120.       110.     -0.015      0.013           F1253  2   23 
        0.6       120.       130.      0.005      0.015           F1253  2   24 
        0.6       120.       150.     -0.011      0.027           F1253  2   25 
        0.6       120.       170.      -0.03      0.032           F1253  2   26 
        0.8        75.        90.     -0.184      0.019           F1253  2   27 
        0.8        75.       110.     -0.165      0.015           F1253  2   28 
        0.8        75.       130.     -0.154      0.011           F1253  2   29 
        0.8        75.       150.     -0.101      0.019           F1253  2   30 
        0.8        75.       170.     -0.075       0.03           F1253  2   31 
        0.8        75.       190.     -0.049      0.019           F1253  2   32 
        0.8        75.       210.     -0.083      0.023           F1253  2   33 
        0.8        75.       230.     -0.008      0.015           F1253  2   34 
        0.8        75.       250.     -0.008      0.015           F1253  2   35 
        0.8        75.       280.      0.019      0.019           F1253  2   36 
        0.8        75.       320.      0.056      0.041           F1253  2   37 
        0.8        75.       350.      0.161      0.026           F1253  2   38 
        0.8        75.       360.      0.098      0.068           F1253  2   39 
        0.8        75.       370.      0.168      0.027           F1253  2   40 
        0.8        75.       390.      0.218      0.035           F1253  2   41 
        0.8        75.       400.      0.056      0.064           F1253  2   42 
        0.8        75.       410.      0.169      0.051           F1253  2   43 
        0.8        75.       430.      0.199      0.079           F1253  2   44 
        0.8        75.       450.      0.285      0.065           F1253  2   45 
        0.8        75.       480.      0.207      0.078           F1253  2   46 
        0.8        90.       330.      0.155      0.033           F1253  2   47 
        0.8        90.       350.      0.136      0.044           F1253  2   48 
        0.8        90.       370.      0.076      0.065           F1253  2   49 
        0.8        90.       390.      0.101       0.09           F1253  2   50 
        0.8        90.       430.      0.281      0.072           F1253  2   51 
        0.8       102.        50.     -0.042      0.024           F1253  2   52 
        0.8       102.        70.     -0.052      0.014           F1253  2   53 
        0.8       102.        90.      -0.03      0.014           F1253  2   54 
        0.8       102.       110.      -0.03      0.014           F1253  2   55 
        0.8       102.       130.     -0.024      0.012           F1253  2   56 
        0.8       102.       150.     -0.056      0.012           F1253  2   57 
        0.8       102.       170.     -0.044       0.01           F1253  2   58 
        0.8       102.       190.     -0.042      0.014           F1253  2   59 
        0.8       102.       210.      0.012      0.028           F1253  2   60 
        0.8       102.       230.      0.035      0.029           F1253  2   61 
        0.8       102.       250.      0.054      0.038           F1253  2   62 
        0.8       102.       280.      0.114      0.046           F1253  2   63 
        1.0        75.        90.     -0.116     0.0001           F1253  2   64 
        1.0        75.       110.     -0.105     0.0001           F1253  2   65 
        1.0        75.       130.     -0.101     0.0001           F1253  2   66 
        1.0        75.       150.     -0.098      0.015           F1253  2   67 
        1.0        75.       170.      -0.09      0.023           F1253  2   68 
        1.0        75.       190.      -0.06      0.015           F1253  2   69 
        1.0        75.       210.     -0.056      0.019           F1253  2   70 
        1.0        75.       230.     -0.038      0.015           F1253  2   71 
        1.0        75.       250.     -0.008       0.03           F1253  2   72 
        1.0        75.       270.      0.008      0.038           F1253  2   73 
        1.0        75.       290.      0.053       0.03           F1253  2   74 
        1.0        75.       310.     -0.049      0.079           F1253  2   75 
        1.0        75.       370.      0.173      0.053           F1253  2   76 
        1.0        75.       390.      0.116      0.026           F1253  2   77 
        1.0        75.       410.       0.12      0.038           F1253  2   78 
        1.0        75.       430.      0.158       0.03           F1253  2   79 
        1.0        75.       450.      0.113      0.023           F1253  2   80 
        1.0        75.       470.      0.098      0.023           F1253  2   81 
        1.0        75.       490.      0.191      0.034           F1253  2   82 
        1.0        75.       510.      0.173       0.03           F1253  2   83 
        1.0        75.       530.      0.255      0.038           F1253  2   84 
        1.0        75.       550.      0.281      0.056           F1253  2   85 
        1.0        75.       570.      0.221      0.026           F1253  2   86 
        1.0        75.       590.      0.109      0.041           F1253  2   87 
        1.0        75.       610.        0.3      0.165           F1253  2   88 
        1.0       102.        50.     -0.045      0.011           F1253  2   89 
        1.0       102.        70.     -0.042      0.008           F1253  2   90 
        1.0       102.        90.     -0.033      0.009           F1253  2   91 
        1.0       102.       110.     -0.045      0.007           F1253  2   92 
        1.0       102.       130.     -0.057      0.009           F1253  2   93 
        1.0       102.       150.     -0.045      0.007           F1253  2   94 
