ENTRY            F0337   19990409                             0000F033700000001 
SUBENT        F0337001   19990409                             0000F033700100001 
BIB                  7         12                                 F033700100002 
TITLE      Radiative proton capture by light nuclei above the GDR F033700100003 
AUTHOR     (M.ANGHINOLFI,P.CORVISIERO,M.GUARNONE,G.RICCO,         F033700100004 
           M.SANZONE,M.TAIUTI,A.ZUCCHIATTI)                       F033700100005 
INSTITUTE  (2ITYGVA)                                              F033700100006 
REFERENCE  (J,NC/A,76,159,198305)                                 F033700100007 
DETECTOR   (NAICR) Rotating anticoincidence specrometer (24 x 32mmF033700100008 
           NaI detector surrounded by a 9 cm thick plastic ritig).F033700100009 
ERR-ANALYS (EN-ERR) Digitizing error                              F033700100010 
           (DATA-ERR) Error from graphic bars (statistical) and   F033700100011 
           digitizing error                                       F033700100012 
HISTORY    (19851004C)                                            F033700100013 
           (19990409A) CNPD: corrected 4-dig. year                F033700100014 
ENDBIB              12          0                                 F033700100015 
COMMON               1          3                                 F033700100016 
EN-RSL                                                            F033700100017 
PER-CENT                                                          F033700100018 
 4.0                                                              F033700100019 
ENDCOMMON            3          0                                 F033700100020 
ENDSUBENT           19          0                                 F033700199999 
SUBENT        F0337002   19990409                             0000F033700200001 
BIB                  3          3                                 F033700200002 
REACTION   (5-B-11(P,G)6-C-12,PAR,SIG,,,EXP)                      F033700200003 
STATUS     (CURVE) Fig 3                                          F033700200004 
EN-SEC     (E-LVL,6-C-12)                                         F033700200005 
ENDBIB               3          0                                 F033700200006 
COMMON               1          3                                 F033700200007 
E-LVL                                                             F033700200008 
MEV                                                               F033700200009 
 0.                                                               F033700200010 
ENDCOMMON            3          0                                 F033700200011 
DATA                 4         13                                 F033700200012 
EN         EN-ERR     DATA       DATA-ERR                         F033700200013 
MEV        MEV        MB         MB                               F033700200014 
    17.99       0.1485     0.0102 0.6768E-03                      F033700200015 
    18.94       0.1564 0.8875E-02 0.6770E-03                      F033700200016 
    21.61       0.1785 0.6622E-02 0.6772E-03                      F033700200017 
    23.95       0.1978 0.5384E-02 0.3385E-03                      F033700200018 
    26.94       0.2224 0.4597E-02 0.3383E-03                      F033700200019 
    30.07       0.2483 0.4037E-02 0.1126E-03                      F033700200020 
    32.12       0.2652 0.3700E-02 0.6422E-04                      F033700200021 
    34.07       0.2813 0.3025E-02 0.6422E-04                      F033700200022 
    36.13       0.2983 0.2913E-02 0.6422E-04                      F033700200023 
    39.16       0.3233 0.2464E-02 0.6422E-04                      F033700200024 
    44.04       0.3636 0.1678E-02 0.6422E-04                      F033700200025 
    47.74       0.3941 0.1680E-02 0.6422E-04                      F033700200026 
    59.06       0.4876 0.1009E-02 0.6422E-04                      F033700200027 
ENDDATA             15          0                                 F033700200028 
ENDSUBENT           27          0                                 F033700299999 
SUBENT        F0337003   19990409                             0000F033700300001 
BIB                  3          3                                 F033700300002 
REACTION   (5-B-11(P,G)6-C-12,PAR,DA,,LEG/RS,EXP)                 F033700300003 
STATUS     (COREL,F0357002) Fig 3                                 F033700300004 
EN-SEC     (E-LVL,6-C-12)                                         F033700300005 
ENDBIB               3          0                                 F033700300006 
COMMON               1          3                                 F033700300007 
E-LVL                                                             F033700300008 
MEV                                                               F033700300009 
 0.                                                               F033700300010 
ENDCOMMON            3          0                                 F033700300011 
DATA                 5         91                                 F033700300012 
EN         EN-ERR     NUMBER     DATA-CM    DATA-ERR              F033700300013 
MEV        MEV        NO-DIM     NO-DIM     NO-DIM                F033700300014 
    11.69       0.1238     3.        -0.0707     0.0194           F033700300015 
    12.76       0.1351     3.        -0.2105     0.0194           F033700300016 
    13.04       0.112      2.        -0.6217     0.0209           F033700300017 
    13.06       0.0984     1.         0.1071     0.0203           F033700300018 
    13.73       0.1179     2.        -0.7709     0.0209           F033700300019 
    13.83       0.1464     3.        -0.1763     0.0194           F033700300020 
    13.92       0.062      4.        -0.0726     0.0193           F033700300021 
    14.05       0.1059     1.         0.2883     0.0203           F033700300022 
    14.66       0.1259     2.        -0.6969     0.0209           F033700300023 
    14.66       0.1552     3.        -0.3158     0.0194           F033700300024 
    14.68       0.1107     1.         0.3607     0.0203           F033700300025 
    14.87       0.0662     4.        -0.0384     0.0193           F033700300026 
    14.99       0.1287     2.        -0.8086     0.0209           F033700300027 
    14.99       0.1587     3.        -0.1769     0.0194           F033700300028 
    15.66       0.1658     3.        -0.1076     0.0194           F033700300029 
    15.68       0.1182     1.         0.2148     0.0203           F033700300030 
    15.89       0.1365     2.        -0.6602     0.0209           F033700300031 
    16.         0.0712     4.        -0.1782     0.0193           F033700300032 
    16.01       0.1375     2.        -0.7719     0.0209           F033700300033 
    16.14       0.1217     1.         0.2509     0.0203           F033700300034 
    16.72       0.1771     3.        -0.3168     0.0194           F033700300035 
    16.72       0.0744     4.        -0.1438     0.0193           F033700300036 
    16.75       0.1262     1.         0.3233     0.0203           F033700300037 
    17.47       0.185      3.        -0.178      0.0194           F033700300038 
    17.48       0.1501     2.        -0.7724     0.1116           F033700300039 
    17.5        0.1319     1.         0.323      0.0203           F033700300040 
    18.12       0.1919     3.        -0.2826     0.0194           F033700300041 
    18.13       0.1557     2.        -0.8842     0.0209           F033700300042 
    18.15       0.1368     1.         0.3955     0.0203           F033700300043 
    18.38       0.0818     4.        -0.0403     0.0193           F033700300044 
    18.69       0.1408     1.         0.2861     0.0203           F033700300045 
    18.8        0.1991     3.        -0.3524     0.0194           F033700300046 
    18.94       0.1627     2.        -0.7357     0.0209           F033700300047 
    18.94       0.2005     3.        -0.2829     0.0194           F033700300048 
    19.07       0.0849     4.        -0.0754     0.0193           F033700300049 
    19.08       0.202      3.        -0.4917     0.0194           F033700300050 
    19.22       0.1651     2.        -0.8474     0.0209           F033700300051 
    19.24       0.145      1.         0.2495     0.0203           F033700300052 
    19.79       0.2095     3.        -0.3528     0.0194           F033700300053 
    20.08       0.1725     2.        -0.7361     0.0209           F033700300054 
    20.11       0.1515     1.         0.431      0.0203           F033700300055 
    20.23       0.2142     3.        -0.353      0.0194           F033700300056 
    20.36       0.0907     4.        -0.1108     0.0193           F033700300057 
    20.38       0.175      2.        -0.7734     0.0209           F033700300058 
    20.55       0.1549     1.         0.4672     0.0203           F033700300059 
    20.98       0.2222     3.        -0.2489     0.1739           F033700300060 
    21.01       0.1584     1.         0.5034     0.0203           F033700300061 
    21.12       0.094      4.        -0.0763     0.1739           F033700300062 
    21.14       0.1815     2.        -0.8108     0.1488           F033700300063 
    21.44       0.2271     3.        -0.2838     0.0194           F033700300064 
    21.61       0.1856     2.        -0.6993     0.0209           F033700300065 
    21.63       0.163      1.         0.5032     0.0203           F033700300066 
    23.75       0.1057     4.        -0.1121     0.0193           F033700300067 
    23.94       0.2056     2.        -0.6256     0.0209           F033700300068 
