ENTRY            F0729   20051123                             F023F072900000001 
SUBENT        F0729001   20051123                             F023F072900100001 
BIB                 10         22                                 F072900100002 
TITLE       (p,a)reactions on 9Be and 10B for Ep=18-45 MeV.       F072900100003 
AUTHOR     (H.J.Hauser,M.Walz,F.Weng,G.Staudt,P.K.Rath)           F072900100004 
INSTITUTE  (2GERTUE)                                              F072900100005 
REFERENCE  (J,NP/A,456,253,1986)                                  F072900100006 
FACILITY   (ISOCY,2GERJUL)The proton beam with energies between   F072900100007 
           22.5 and 45 MeV was obtained from the isochronous      F072900100008 
           cyclotron JULIC of the KFA Julich.                     F072900100009 
           (CYCLO,2GERHAM)The experiment at 18 MeV was performed  F072900100010 
           using the proton beam of the cyclotron at the          F072900100011 
           University of Hamburg.                                 F072900100012 
DETECTOR   (TELES,SIBAR)Counter telescopes consisting of 50 mu-m  F072900100013 
            (dE) and 1000 mu-m (E) surface-barrier silicon        F072900100014 
           detectors were used for detecting and measuring the    F072900100015 
           energy of the outgoing alpha particles.                F072900100016 
           (GELI)Detector served as proton monitor.               F072900100017 
SAMPLE     The targets were self-supporting beryllium and enrichedF072900100018 
           boron foils,respectively, with typical areal densities F072900100019 
           of 150 mu-g/cm2.                                       F072900100020 
METHOD     (EDE)                                                  F072900100021 
           (BCINT)                                                F072900100022 
ERR-ANALYS (ERR-DIG)Digitizing error                              F072900100023 
HISTORY    (20050824C)                                            F072900100024 
ENDBIB              22          0                                 F072900100025 
NOCOMMON             0          0                                 F072900100026 
ENDSUBENT           25          0                                 F072900199999 
SUBENT        F0729002   20051123                             F023F072900200001 
BIB                  3          4                                 F072900200002 
REACTION   (4-BE-9(P,A)3-LI-6,PAR,DA)                             F072900200003 
ERR-ANALYS (ANG-ERR-D)Digitizing error                            F072900200004 
           (DATA-ERR)Error from the graphic bars                  F072900200005 
STATUS     (CURVE)Fig.3                                           F072900200006 
ENDBIB               4          0                                 F072900200007 
COMMON               2          3                                 F072900200008 
ANG-ERR-D  ERR-DIG                                                F072900200009 
ADEG       PER-CENT                                               F072900200010 
 0.2        0.2                                                   F072900200011 
ENDCOMMON            3          0                                 F072900200012 
DATA                 5        449                                 F072900200013 
E-LVL      EN         ANG-CM     DATA-CM    DATA-ERR              F072900200014 
MEV        MEV        ADEG       MU-B/SR    MU-B/SR               F072900200015 
 0.0000     18.600     13.227     224.54     17.587               F072900200016 
 0.0000     18.600     21.934     335.26     23.401               F072900200017 
 0.0000     18.600     31.336     340.62     16.615               F072900200018 
 0.0000     18.600     48.398     168.72     10.350               F072900200019 
 0.0000     18.600     60.237     150.38     12.423               F072900200020 
 0.0000     18.600     66.681     337.92     20.729               F072900200021 
 0.0000     18.600     75.909     425.38     24.306               F072900200022 
 0.0000     18.600     82.003     447.90     33.170               F072900200023 
 0.0000     18.600     87.575     524.97     32.203               F072900200024 
 0.0000     18.600     98.370     299.98     18.401               F072900200025 
 0.0000     18.600     108.64     317.11     20.791               F072900200026 
 0.0000     18.600     117.00     158.96     10.422               F072900200027 
 0.0000     18.600     126.93     460.51     28.248               F072900200028 
 0.0000     18.600     135.81     552.74     40.933               F072900200029 
 0.0000     18.600     140.33     514.63     33.740               F072900200030 
 0.0000     18.600     151.48     539.73     35.386               F072900200031 
 0.0000     18.600     159.83     658.20     37.608               F072900200032 
 0.0000     18.600     167.67     990.59     64.946               F072900200033 
 0.0000     22.500     11.309     102.86     6.7399               F072900200034 
 0.0000     22.500     17.404     190.98     9.3107               F072900200035 
 0.0000     22.500     23.498     253.11     11.288               F072900200036 
 0.0000     22.500     29.418     274.00     11.699               F072900200037 
 0.0000     22.500     35.512     287.36     10.444               F072900200038 
 0.0000     22.500     41.780     276.18     11.176               F072900200039 
 0.0000     22.500     47.874     187.97     10.734               F072900200040 
 0.0000     22.500     54.142     154.77     8.1902               F072900200041 
 0.0000     22.500     59.887     129.47     5.2387               F072900200042 
 0.0000     22.500     65.981     128.95     4.0279               F072900200043 
 0.0000     22.500     71.553     179.23     7.2524               F072900200044 
 0.0000     22.500     77.299     200.28     8.9326               F072900200045 
 0.0000     22.500     82.697     215.96     7.5739               F072900200046 
 0.0000     22.500     88.095     245.19     8.9114               F072900200047 
 0.0000     22.500     93.318     264.38     9.6090               F072900200048 
 0.0000     22.500     98.542     239.42     8.7018               F072900200049 
 0.0000     22.500     103.76     200.28     6.2558               F072900200050 
 0.0000     22.500     108.64     178.52     8.7029               F072900200051 
 0.0000     22.500     113.69     150.52     5.8539               F072900200052 
 0.0000     22.500     118.22     148.74     8.4938               F072900200053 
 0.0000     22.500     122.92     173.63     8.4645               F072900200054 
 0.0000     22.500     127.62     168.87     5.9224               F072900200055 
 0.0000     22.500     131.80     199.48     6.9960               F072900200056 
 0.0000     22.500     135.98     250.09     11.154               F072900200057 
 0.0000     22.500     140.15     267.54     8.6260               F072900200058 
 0.0000     22.500     144.51     270.74     8.4566               F072900200059 
 0.0000     22.500     148.34     297.78     14.517               F072900200060 
 0.0000     22.500     152.69     297.78     12.049               F072900200061 
 0.0000     22.500     156.35     279.46     20.684               F072900200062 
 0.0000     22.500     160.00     353.16     17.217               F072900200063 
 0.0000     22.500     163.83     326.22     14.549               F072900200064 
 0.0000     26.700     10.785     50.362     3.7273               F072900200065 
 0.0000     26.700     17.750     55.172     3.8488               F072900200066 
 0.0000     26.700     23.845     81.709     5.0092               F072900200067 
 0.0000     26.700     29.765     124.91     6.6102               F072900200068 
 0.0000     26.700     35.685     140.14     9.1824               F072900200069 
 0.0000     26.700     41.779     147.55     7.8084               F072900200070 
 0.0000     26.700     48.047     118.16     6.2530               F072900200071 
 0.0000     26.700     54.315     96.902     6.3495               F072900200072 
 0.0000     26.700     60.756     59.726     4.6753               F072900200073 
 0.0000     26.700     67.198     40.169     2.4626               F072900200074 
 0.0000     26.700     72.422     54.517     3.5722               F072900200075 
