EN         E-LVL      ANG-CM     DATA-CM                          F045200200014 
MEV        MEV        ADEG       MB/SR                            F045200200015 
     2.4        0.48      63.31       3.598                       F045200200093 
     2.4        0.48      68.1        3.284                       F045200200094 
     2.4        0.48      78.97       3.138                       F045200200095 
     2.4        0.48      83.75       2.824                       F045200200096 
     2.4        0.48      88.46       2.67                        F045200200097 
     2.4        0.48      93.2        2.436                       F045200200098 
     2.4        0.48      99.53       2.124                       F045200200099 
     2.4        0.48     104.2        1.97                        F045200200100 
     2.4        0.48     107.3        1.974                       F045200200101 
     2.4        0.48     113.5        1.902                       F045200200102 
     2.4        0.48     118.2        1.828                       F045200200103 
     2.4        0.48     127.6        1.6                         F045200200104 
     2.4        0.48     132.2        1.526                       F045200200105 
     2.4        0.48     138.5        1.375                       F045200200106 
     2.4        0.48     147.7        1.467                       F045200200107 
     2.4        0.48     153.8        1.636                       F045200200108 
     2.4        0.48     156.8        1.64                        F045200200109 
     2.4        0.48     161.4        1.726                       F045200200110 
     2.4        0.48     166.         1.893                       F045200200111 
     2.5        0.        16.12       5.21                        F045200200112 
     2.5        0.        22.36       5.139                       F045200200113 
     2.5        0.        27.09       4.986                       F045200200114 
     2.5        0.        31.74       4.993                       F045200200115 
     2.5        0.        38.4        4.125                       F045200200116 
     2.5        0.        43.08       4.052                       F045200200117 
     2.5        0.        49.62       3.424                       F045200200118 
     2.5        0.        52.55       3.747                       F045200200119 
     2.5        0.        63.56       3.443                       F045200200120 
     2.5        0.        74.14       3.936                       F045200200121 
     2.5        0.        84.77       4.35                        F045200200122 
     2.5        0.        97.33       4.049                       F045200200123 
     2.5        0.       102.2        3.577                       F045200200124 
     2.5        0.       107.         3.424                       F045200200125 
     2.5        0.       116.7        2.561                       F045200200126 
     2.5        0.       120.1        2.088                       F045200200127 
     2.5        0.       126.4        1.857                       F045200200128 
     2.5        0.       131.1        1.704                       F045200200129 
     2.5        0.       134.3        1.629                       F045200200130 
     2.5        0.       139.         1.556                       F045200200131 
     2.5        0.       142.         1.64                        F045200200132 
     2.5        0.       146.6        1.726                       F045200200133 
     2.5        0.       149.6        1.969                       F045200200134 
     2.5        0.       155.6        2.217                       F045200200135 
     2.5        0.       160.2        2.383                       F045200200136 
     2.5        0.       164.8        2.469                       F045200200137 
     2.5        0.48      18.12       4.764                       F045200200138 
     2.5        0.48      24.54       4.321                       F045200200139 
     2.5        0.48      30.7        4.329                       F045200200140 
     2.5        0.48      35.33       4.335                       F045200200141 
     2.5        0.48      40.21       3.89                        F045200200142 
     2.5        0.48      44.92       3.746                       F045200200143 
     2.5        0.48      52.71       3.606                       F045200200144 
     2.5        0.48      58.88       3.614                       F045200200145 
     2.5        0.48      70.         3.027                       F045200200146 
     2.5        0.48      79.34       2.889                       F045200200147 
     2.5        0.48      90.43       2.377                       F045200200148 
     2.5        0.48      98.26       2.162                       F045200200149 
     2.5        0.48     104.5        2.02                        F045200200150 
     2.5        0.48     109.2        1.875                       F045200200151 
     2.5        0.48     112.4        1.729                       F045200200152 
     2.5        0.48     118.6        1.587                       F045200200153 
     2.5        0.48     121.7        1.591                       F045200200154 
     2.5        0.48     128.         1.449                       F045200200155 
     2.5        0.48     132.6        1.38                        F045200200156 
     2.5        0.48     137.2        1.462                       F045200200157 
     2.5        0.48     145.         1.397                       F045200200158 
     2.5        0.48     157.2        1.564                       F045200200159 
     2.5        0.48     164.9        1.649                       F045200200160 
     2.65       0.        14.56       5.585                       F045200200161 
     2.65       0.        22.3        5.597                       F045200200162 
     2.65       0.        27.12       5.282                       F045200200163 
     2.65       0.        32.08       4.727                       F045200200164 
     2.65       0.        38.54       4.254                       F045200200165 
     2.65       0.        43.36       3.939                       F045200200166 
     2.65       0.        49.69       3.708                       F045200200167 
     2.65       0.        60.75       3.322                       F045200200168 
     2.65       0.        70.         3.416                       F045200200169 
     2.65       0.        82.13       3.917                       F045200200170 
     2.65       0.        92.83       4.174                       F045200200171 
     2.65       0.        97.52       4.1                         F045200200172 
     2.65       0.       102.3        3.866                       F045200200173 
     2.65       0.       107.1        3.552                       F045200200174 
     2.65       0.       110.5        3.074                       F045200200175 
     2.65       0.       118.5        2.604                       F045200200176 
     2.65       0.       121.9        2.126                       F045200200177 
     2.65       0.       125.2        1.729                       F045200200178 
     2.65       0.       131.5        1.497                       F045200200179 
     2.65       0.       136.3        1.344                       F045200200180 
     2.65       0.       143.8        1.676                       F045200200181 
     2.65       0.       149.8        2.087                       F045200200182 
     2.65       0.       159.         2.181                       F045200200183 
     2.65       0.       163.4        2.751                       F045200200184 
     2.65       0.48      17.11       5.298                       F045200200185 
