ENTRY            F0872   20201123                             F082F0872  0    1 
SUBENT        F0872001   20201123                             F082F0872  1    1 
BIB                 11         22                                 F0872  1    2 
TITLE      Nuclear reactions induced by beryllium ions.           F0872  1    3 
AUTHOR     (N.I.Venikov,Yu.A.Glukhov,V.I.Manko,B.G.Novatsky,      F0872  1    4 
           A.A.Ogloblin,S.B.Sakuta,D.N.Stepanov,V.N.Unezhev,      F0872  1    5 
           V.I.Chuev,N.I.Chumakov)                                F0872  1    6 
INSTITUTE  (4RUSKUR)                                              F0872  1    7 
REFERENCE  (J,YF,22,924,1975)                                     F0872  1    8 
           (J,SNP,22,481,1975) English translation                F0872  1    9 
FACILITY   (CYCLO,4RUSKUR)                                        F0872  1   10 
DETECTOR   (TELES,IOCH,SILI)Scattered particles were detected withF0872  1   11 
           a telescope of extended ionizing chamber  (dE-detector)F0872  1   12 
           and Si(Li) detector (E-detector) with the thickness    F0872  1   13 
           of 2.5 mm.                                             F0872  1   14 
SAMPLE     Foils of 12C with the thickness of 0.1-0.2 mg/cm2      F0872  1   15 
           enriched in 12C to 75% were used as targets.           F0872  1   16 
METHOD     (EDE)                                                  F0872  1   17 
ERR-ANALYS (DATA-ERR) No source of uncertainties for the          F0872  1   18 
           graphic bars is given.                                 F0872  1   19 
STATUS     (CURVE) Fig.3.                                         F0872  1   20 
HISTORY    (20071116C)                                            F0872  1   21 
           (20201123A) TITLE, REFERENCE, FACILITY, ERR-ANALYS     F0872  1   22 
           were corrected, STATUS moved to sub 001. Data in sub   F0872  1   23 
           002 were redigitized.                                  F0872  1   24 
ENDBIB              22          0                                 F0872  1   25 
COMMON               3          3                                 F0872  1   26 
EN         ANG-ERR-D  ERR-DIG                                     F0872  1   27 
MEV        ADEG       MB/SR                                       F0872  1   28 
        26.      0.102    0.00031                                 F0872  1   29 
ENDCOMMON            3          0                                 F0872  1   30 
ENDSUBENT           29          0                                 F0872  199999 
SUBENT        F0872002   20201123                             F082F0872  2    1 
BIB                  1          1                                 F0872  2    2 
REACTION   (6-C-12(4-BE-9,A)8-O-17,PAR,DA)                        F0872  2    3 
ENDBIB               1          0                                 F0872  2    4 
NOCOMMON             0          0                                 F0872  2    5 
DATA                 4         34                                 F0872  2    6 
E-LVL      ANG-CM     DATA-CM    DATA-ERR                         F0872  2    7 
MEV        ADEG       MB/SR      MB/SR                            F0872  2    8 
       3.06     13.010    0.02812    0.01513                      F0872  2    9 
       3.06     20.417    0.01424    0.00462                      F0872  2   10 
       3.06     26.244    0.03313    0.01555                      F0872  2   11 
       3.06     33.669    0.02723    0.00756                      F0872  2   12 
       3.06     46.474    0.02510    0.00714                      F0872  2   13 
       3.06     53.090    0.02719    0.00672                      F0872  2   14 
       3.06     59.693    0.02339    0.00588                      F0872  2   15 
       3.06     71.226    0.00656    0.00420                      F0872  2   16 
       3.06     83.680    0.03258    0.00756                      F0872  2   17 
       3.06    101.020    0.02582    0.01008                      F0872  2   18 
       3.06    110.990    0.04765    0.01261                      F0872  2   19 
        7.5     12.923    1.24220    0.17991                      F0872  2   20 
        7.5     19.937    1.12070    0.07113                      F0872  2   21 
        7.5     26.833    0.63509    0.09625                      F0872  2   22 
        7.5     33.863    0.56373    0.07112                      F0872  2   23 
        7.5     47.947    0.48795    0.06276                      F0872  2   24 
        7.5     53.734    0.42081    0.06276                      F0872  2   25 
        7.5     61.211    0.44567    0.05021                      F0872  2   26 
        7.5     72.767    0.25700    0.06277                      F0872  2   27 
        7.5     87.298    0.28163    0.05021                      F0872  2   28 
        7.5    102.250    0.33971    0.06276                      F0872  2   29 
        7.5    113.890    0.38535    0.07114                      F0872  2   30 
        7.5    124.180    0.12560    0.05859                      F0872  2   31 
        9.8     14.240    1.36160    0.17010                      F0872  2   32 
        9.8     21.137    1.09220    0.23237                      F0872  2   33 
        9.8     28.150    0.55305    0.12863                      F0872  2   34 
        9.8     35.860    0.36250    0.07470                      F0872  2   35 
        9.8     49.866    0.30914    0.04977                      F0872  2   36 
        9.8     55.409    0.23054    0.04564                      F0872  2   37 
        9.8     63.011    0.28894    0.04564                      F0872  2   38 
        9.8     75.787    0.14010    0.04566                      F0872  2   39 
        9.8     88.024    0.25679    0.04979                      F0872  2   40 
        9.8    105.450    0.14548    0.04149                      F0872  2   41 
        9.8    116.440    0.20818    0.05394                      F0872  2   42 
ENDDATA             36          0                                 F0872  2   43 
ENDSUBENT           42          0                                 F0872  299999 
ENDENTRY             2          0                                 F087299999999 
