ENTRY            F0469   19990410                             0000F046900000001 
SUBENT        F0469001   19990410                             0000F046900100001 
BIB                  9         15                                 F046900100002 
TITLE      Neutron angular distributions from the                 F046900100003 
           reaction 11B(a,n)14N at 13.9 and 13.5 MeV              F046900100004 
AUTHOR     (J.KJELLMAN)                                           F046900100005 
INSTITUTE  (2UK HAR)                                              F046900100006 
REFERENCE  (J,AF,21,543,196209)                                   F046900100007 
SAMPLE     11B target was supplied from the Atomic Energy Reseach F046900100008 
           Establishment, Harwell, England. The backing material  F046900100009 
           of the target was Au, thick enough to stop 14-MeV      F046900100010 
           a-particles. Nominal thickness was 425 mu-g/cm**2      F046900100011 
METHOD     (EXTB,TOF,PSD)                                         F046900100012 
FACILITY   (CYCLO)                                                F046900100013 
DETECTOR   (SOLST) Neutron detector. For monitoring of the neutronF046900100014 
           intensity, a stilbene detecter with pulse-shape        F046900100015 
           discrimination was used.                               F046900100016 
HISTORY    (19920914C)                                            F046900100017 
ENDBIB              15          0                                 F046900100018 
NOCOMMON             0          0                                 F046900100019 
ENDSUBENT           18          0                                 F046900199999 
SUBENT        F0469002   19990410                             0000F046900200001 
BIB                  4          8                                 F046900200002 
REACTION   (5-B-11(A,N)7-N-14,PAR,DA,,,EXP)                       F046900200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F046900200004 
           (DATA-ERR) Error from graphic bars (statistical) and   F046900200005 
           and digitizing error                                   F046900200006 
           The resulting statistical error in the points were 10- F046900200007 
           20% for n0 and 15-25% for n2.                          F046900200008 
EN-SEC     (E-LVL,7-N-14)                                         F046900200009 
STATUS     (CURVE) Fig.3,5                                        F046900200010 
ENDBIB               8          0                                 F046900200011 
COMMON               1          3                                 F046900200012 
ANG-ERR                                                           F046900200013 
ADEG                                                              F046900200014 
  1.                                                              F046900200015 
ENDCOMMON            3          0                                 F046900200016 
DATA                 5         70                                 F046900200017 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              F046900200018 
MEV        MEV        ADEG       MB/SR      MB/SR                 F046900200019 
    13.5        0.         6.313      2.041      0.129            F046900200020 
    13.5        0.        12.21       1.77       0.129            F046900200021 
    13.5        0.        18.11       1.64       0.129            F046900200022 
    13.5        0.        26.15       1.24       0.1161           F046900200023 
    13.5        0.        34.73       0.956      0.0516           F046900200024 
    13.5        0.        43.85       0.8913     0.0774           F046900200025 
    13.5        0.        51.91       0.8523     0.0645           F046900200026 
    13.5        0.        62.64       0.6069     0.0774           F046900200027 
    13.5        0.        73.38       0.5808     0.0645           F046900200028 
    13.5        0.        84.67       0.8127     0.0774           F046900200029 
    13.5        0.       104.6        1.173      0.0774           F046900200030 
    13.5        0.       114.2        1.251      0.0774           F046900200031 
    13.5        0.       123.9        1.354      0.0903           F046900200032 
    13.5        0.       132.5        1.315      0.0774           F046900200033 
    13.5        0.       141.6        1.418      0.1032           F046900200034 
    13.5        0.       150.8        1.701      0.0903           F046900200035 
    13.5        0.       159.4        1.791      0.1032           F046900200036 
    13.5        3.95       5.862      0.671      0.0644           F046900200037 
    13.5        3.95      12.01       0.7343     0.0581           F046900200038 
    13.5        3.95      18.12       0.7783     0.0645           F046900200039 
    13.5        3.95      26.93       0.7831     0.0644           F046900200040 
    13.5        3.95      36.06       0.6199     0.0194           F046900200041 
    13.5        3.95      44.74       0.5279     0.0453           F046900200042 
    13.5        3.95      53.26       0.3262     0.0387           F046900200043 
    13.5        3.95      64.82       0.324      0.0324           F046900200044 
    13.5        3.95      76.24       0.2314     0.0324           F046900200045 
    13.5        3.95      86.74       0.2616     0.0258           F046900200046 
    13.5        3.95     107.4        0.4577     0.0074           F046900200047 
    13.5        3.95     116.6        0.3849     0.045            F046900200048 
    13.5        3.95     126.         0.4025     0.0452           F046900200049 
    13.5        3.95     135.4        0.3942     0.0581           F046900200050 
    13.5        3.95     143.6        0.3926     0.0385           F046900200051 
    13.5        3.95     152.6        0.4941     0.0517           F046900200052 
    13.5        3.95     160.5        0.6281     0.0258           F046900200053 
    13.9        0.         6.858      1.543      0.1282           F046900200054 
    13.9        0.        12.22       1.388      0.1154           F046900200055 
    13.9        0.        17.58       1.273      0.1282           F046900200056 
    13.9        0.        26.16       1.016      0.0769           F046900200057 
    13.9        0.        34.74       0.8619     0.0641           F046900200058 
    13.9        0.        43.32       0.618      0.0897           F046900200059 
    13.9        0.        51.4        0.9638     0.2359           F046900200060 
    13.9        0.        62.63       0.3737     0.0641           F046900200061 
    13.9        0.        73.91       0.3604     0.0641           F046900200062 
    13.9        0.        84.13       0.5139     0.0641           F046900200063 
    13.9        0.       104.5        0.6541     0.0769           F046900200064 
    13.9        0.       114.8        0.705      0.0897           F046900200065 
    13.9        0.       123.9        0.7559     0.0897           F046900200066 
    13.9        0.       132.5        0.7556     0.0897           F046900200067 
    13.9        0.       141.6        0.9988     0.0897           F046900200068 
    13.9        0.       150.8        1.075      0.0641           F046900200069 
    13.9        0.       159.9        1.293      0.1026           F046900200070 
    13.9        0.       168.         1.241      0.0898           F046900200071 
    13.9        3.95       5.755      0.2156     0.0261           F046900200072 
    13.9        3.95      11.37       0.2996     0.0327           F046900200073 
    13.9        3.95      17.47       0.3377     0.0393           F046900200074 
    13.9        3.95      26.52       0.5256     0.0458           F046900200075 
    13.9        3.95      36.06       0.6612     0.0655           F046900200076 
    13.9        3.95      44.28       0.6335     0.0588           F046900200077 
    13.9        3.95      52.89       0.4881     0.0458           F046900200078 
    13.9        3.95      64.33       0.3945     0.0392           F046900200079 
    13.9        3.95      75.88       0.3923     0.0589           F046900200080 
    13.9        3.95      86.19       0.2793     0.0392           F046900200081 
    13.9        3.95     106.9        0.5109     0.0458           F046900200082 
    13.9        3.95     116.2        0.4699     0.0522           F046900200083 
    13.9        3.95     126.7        0.4942     0.0524           F046900200084 
    13.9        3.95     135.3        0.401      0.0588           F046900200085 
    13.9        3.95     142.5        0.4128     0.0588           F046900200086 
    13.9        3.95     152.         0.4961     0.0524           F046900200087 
    13.9        3.95     160.9        0.599      0.0524           F046900200088 
    13.9        3.95     168.5        0.493      0.0523           F046900200089 
ENDDATA             72          0                                 F046900200090 
ENDSUBENT           89          0                                 F046900299999 
ENDENTRY             2          0                                 F046999999999 
