ENTRY            F0117   20220421                             F089F0117  0    1 
SUBENT        F0117001   20220421                             F089F0117  1    1 
BIB                  9         15                                 F0117  1    2 
TITLE      Backscattering cross section of 5.5 to 8 MeV alpha     F0117  1    3 
           particles from carbon, oxygen and silicon              F0117  1    4 
AUTHOR     (H.Yonezawa,K.Shikano,T.Shigematsu)                    F0117  1    5 
INSTITUTE  (2JPNJPN) NTT Interdisciplinary Research Lab., Tokai   F0117  1    6 
REFERENCE  (J,NIM/B,88,207,1994)                                  F0117  1    7 
FACILITY   (CYCLO,2JPNJPN) NTT  cyclotron                         F0117  1    8 
SAMPLE     The samples were quartz glass, silicon single crystal  F0117  1    9 
           and carbon film deposited on silicon substrates, all   F0117  1   10 
           with a mirror surface.                                 F0117  1   11 
DETECTOR   (SIBAR) The detector had a thickness of 500 mu-m and   F0117  1   12 
           an area of 100 mm**2. Particles were measured with a   F0117  1   13 
           detector at an angle of 169 degr.                      F0117  1   14 
ERR-ANALYS  No information about source of uncertainty            F0117  1   15 
HISTORY    (20030925C)                                            F0117  1   16 
           (20220421A) SD: Corrections in Subent 006.             F0117  1   17 
ENDBIB              15          0                                 F0117  1   18 
COMMON               1          3                                 F0117  1   19 
ANG                                                               F0117  1   20 
ADEG                                                              F0117  1   21 
  169.                                                            F0117  1   22 
ENDCOMMON            3          0                                 F0117  1   23 
ENDSUBENT           22          0                                 F0117  199999 
SUBENT        F0117002   20040209                             0000F011700200001 
BIB                  3          3                                 F011700200002 
REACTION   (6-C-12(A,EL)6-C-12,,DA)                               F011700200003 
SAMPLE     The thickness of the carbon film was 1.5 mu-m.         F011700200004 
STATUS     (CURVE)Fig.1                                           F011700200005 
ENDBIB               3          0                                 F011700200006 
COMMON               2          3                                 F011700200007 
EN-ERR-DIG ERR-DIG                                                F011700200008 
MEV        B/SR                                                   F011700200009 
 0.004      0.001                                                 F011700200010 
ENDCOMMON            3          0                                 F011700200011 
DATA                 2        128                                 F011700200012 
EN         DATA                                                   F011700200013 
MEV        B/SR                                                   F011700200014 
 6.3977    0.17969                                                F011700200015 
 6.4036    0.18545                                                F011700200016 
 6.4126    0.18931                                                F011700200017 
 6.4216    0.18552                                                F011700200018 
 6.4276    0.18171                                                F011700200019 
 6.4367    0.17983                                                F011700200020 
 6.4456    0.18178                                                F011700200021 
 6.4546    0.17990                                                F011700200022 
 6.4636    0.17993                                                F011700200023 
 6.4726    0.18188                                                F011700200024 
 6.4816    0.17808                                                F011700200025 
 6.4907    0.17429                                                F011700200026 
 6.4997    0.17050                                                F011700200027 
 6.5087    0.17053                                                F011700200028 
 6.5147    0.17438                                                F011700200029 
 6.5206    0.17823                                                F011700200030 
 6.5296    0.18017                                                F011700200031 
 6.5386    0.18021                                                F011700200032 
 6.5476    0.17833                                                F011700200033 
 6.5596    0.17646                                                F011700200034 
 6.5716    0.17650                                                F011700200035 
 6.5836    0.17463                                                F011700200036 
 6.5956    0.17276                                                F011700200037 
 6.6076    0.17089                                                F011700200038 
 6.6196    0.17093                                                F011700200039 
 6.6317    0.16906                                                F011700200040 
 6.6407    0.16718                                                F011700200041 
 6.6496    0.16913                                                F011700200042 
 6.6586    0.17108                                                F011700200043 
 6.6677    0.16537                                                F011700200044 
 6.6797    0.16541                                                F011700200045 
 6.6917    0.16546                                                F011700200046 
 6.7036    0.16741                                                F011700200047 
 6.7156    0.16554                                                F011700200048 
 6.7276    0.16559                                                F011700200049 
 6.7396    0.16563                                                F011700200050 
 6.7516    0.16568                                                F011700200051 
 6.7606    0.16954                                                F011700200052 
 6.7726    0.17149                                                F011700200053 
 6.7846    0.16962                                                F011700200054 
 6.7966    0.16967                                                F011700200055 
 6.8085    0.17162                                                F011700200056 
 6.8235    0.17168                                                F011700200057 
 6.8355    0.17555                                                F011700200058 
 6.8475    0.17942                                                F011700200059 
 6.8594    0.18138                                                F011700200060 
 6.8684    0.18715                                                F011700200061 
 6.8803    0.19102                                                F011700200062 
 6.8923    0.19489                                                F011700200063 
 6.9043    0.19685                                                F011700200064 
 6.9162    0.20264                                                F011700200065 
 6.9312    0.20843                                                F011700200066 
 6.9461    0.21040                                                F011700200067 
 6.9581    0.21427                                                F011700200068 
 6.9701    0.21623                                                F011700200069 
 6.9790    0.22200                                                F011700200070 
 6.9850    0.22777                                                F011700200071 
 6.9969    0.22781                                                F011700200072 
 7.0030    0.22018                                                F011700200073 
 7.0121    0.21064                                                F011700200074 
 7.0182    0.20110                                                F011700200075 
 7.0243    0.18964                                                F011700200076 
 7.0304    0.17818                                                F011700200077 
 7.0335    0.16479                                                F011700200078 
 7.0396    0.15524                                                F011700200079 
 7.0427    0.14377                                                F011700200080 
 7.0488    0.13040                                                F011700200081 
 7.0549    0.11703                                                F011700200082 
 7.0640    0.10366                                                F011700200083 
 7.0701    0.92204E-01                                            F011700200084 
 7.0762    0.82657E-01                                            F011700200085 
 7.0853    0.76949E-01                                            F011700200086 
 7.0973    0.71252E-01                                            F011700200087 
 7.1123    0.69393E-01                                            F011700200088 
 7.1273    0.69448E-01                                            F011700200089 
 7.1423    0.67589E-01                                            F011700200090 
 7.1543    0.69547E-01                                            F011700200091 
 7.1693    0.71515E-01                                            F011700200092 
 7.1842    0.75397E-01                                            F011700200093 
 7.1932    0.77344E-01                                            F011700200094 
 7.2112    0.77409E-01                                            F011700200095 
 7.2381    0.83249E-01                                            F011700200096 
 7.2501    0.83293E-01                                            F011700200097 
 7.2621    0.83337E-01                                            F011700200098 
 7.2741    0.85294E-01                                            F011700200099 
 7.2891    0.87262E-01                                            F011700200100 
 7.3040    0.89231E-01                                            F011700200101 
 7.3220    0.89297E-01                                            F011700200102 
 7.3370    0.91265E-01                                            F011700200103 
 7.3490    0.91309E-01                                            F011700200104 
 7.3849    0.95268E-01                                            F011700200105 
 7.3999    0.99150E-01                                            F011700200106 
 7.4149    0.99204E-01                                            F011700200107 
 7.4269    0.97335E-01                                            F011700200108 
 7.4358    0.10311                                                F011700200109 
 7.4478    0.10507                                                F011700200110 
 7.4628    0.10512                                                F011700200111 
 7.4778    0.10709                                                F011700200112 
 7.4928    0.10714                                                F011700200113 
 7.5137    0.11488                                                F011700200114 
 7.5257    0.11492                                                F011700200115 
 7.5407    0.11497                                                F011700200116 
 7.5436    0.12073                                                F011700200117 
 7.5556    0.12460                                                F011700200118 
 7.5646    0.12080                                                F011700200119 
 7.5736    0.12275                                                F011700200120 
 7.5856    0.12471                                                F011700200121 
 7.5945    0.13048                                                F011700200122 
 7.6095    0.13245                                                F011700200123 
 7.6634    0.14030                                                F011700200124 
 7.6783    0.14801                                                F011700200125 
 7.6993    0.15000                                                F011700200126 
 7.7143    0.15005                                                F011700200127 
 7.7353    0.15013                                                F011700200128 
 7.7533    0.14828                                                F011700200129 
 7.7743    0.14453                                                F011700200130 
 7.7894    0.13502                                                F011700200131 
 7.8105    0.12361                                                F011700200132 
 7.8255    0.11793                                                F011700200133 
 7.8346    0.10839                                                F011700200134 
 7.8436    0.10460                                                F011700200135 
 7.8528    0.89322E-01                                            F011700200136 
 7.8558    0.81678E-01                                            F011700200137 
 7.8619    0.72132E-01                                            F011700200138 
 7.8739    0.68348E-01                                            F011700200139 
 7.8800    0.56888E-01                                            F011700200140 
 7.8861    0.49256E-01                                            F011700200141 
 7.8952    0.43548E-01                                            F011700200142 
ENDDATA            130          0                                 F011700200143 
ENDSUBENT          142          0                                 F011700299999 
SUBENT        F0117003   20040209                             0000F011700300001 
BIB                  3          3                                 F011700300002 
REACTION   (8-O-16(A,EL)8-O-16,,DA)                               F011700300003 
SAMPLE     16O                                                    F011700300004 
STATUS     (CURVE)Fig.1                                           F011700300005 
ENDBIB               3          0                                 F011700300006 
COMMON               2          3                                 F011700300007 
EN-ERR-DIG ERR-DIG                                                F011700300008 
MEV        B/SR                                                   F011700300009 
 0.001      0.001                                                 F011700300010 
ENDCOMMON            3          0                                 F011700300011 
DATA                 2        268                                 F011700300012 
EN         DATA                                                   F011700300013 
MEV        B/SR                                                   F011700300014 
 6.0235    0.99049E-01                                            F011700300015 
 6.0354    0.10288                                                F011700300016 
 6.0474    0.10482                                                F011700300017 
 6.0564    0.10108                                                F011700300018 
 6.0715    0.99248E-01                                            F011700300019 
 6.0864    0.10309                                                F011700300020 
 6.0984    0.10693                                                F011700300021 
 6.1134    0.10699                                                F011700300022 
 6.1253    0.11082                                                F011700300023 
 6.1373    0.11276                                                F011700300024 
 6.1523    0.11283                                                F011700300025 
 6.1643    0.10909                                                F011700300026 
 6.1763    0.11293                                                F011700300027 
 6.1882    0.11487                                                F011700300028 
 6.1972    0.11680                                                F011700300029 
 6.2122    0.11875                                                F011700300030 
 6.2272    0.11881                                                F011700300031 
 6.2422    0.11888                                                F011700300032 
 6.2541    0.12460                                                F011700300033 
 6.2691    0.12655                                                F011700300034 
 6.2840    0.13040                                                F011700300035 
 6.2990    0.13046                                                F011700300036 
 6.3110    0.13619                                                F011700300037 
 6.3229    0.14002                                                F011700300038 
 6.3349    0.14196                                                F011700300039 
 6.3468    0.14580                                                F011700300040 
 6.3588    0.15342                                                F011700300041 
 6.3707    0.15914                                                F011700300042 
 6.3796    0.16485                                                F011700300043 
 6.3886    0.17057                                                F011700300044 
 6.4005    0.17440                                                F011700300045 
 6.4124    0.18013                                                F011700300046 
 6.4214    0.18773                                                F011700300047 
 6.4303    0.19723                                                F011700300048 
 6.4362    0.20482                                                F011700300049 
 6.4451    0.21054                                                F011700300050 
 6.4510    0.21813                                                F011700300051 
 6.4599    0.22573                                                F011700300052 
 6.4688    0.23523                                                F011700300053 
 6.4718    0.24281                                                F011700300054 
 6.4776    0.25419                                                F011700300055 
 6.4805    0.26366                                                F011700300056 
 6.4864    0.27315                                                F011700300057 
 6.4894    0.28073                                                F011700300058 
 6.4953    0.29021                                                F011700300059 
 6.5012    0.29781                                                F011700300060 
 6.5041    0.30728                                                F011700300061 
 6.5099    0.32055                                                F011700300062 
 6.5158    0.33192                                                F011700300063 
 6.5217    0.34708                                                F011700300064 
 6.5244    0.36791                                                F011700300065 
 6.5333    0.38498                                                F011700300066 
 6.5360    0.40769                                                F011700300067 
 6.5419    0.42285                                                F011700300068 
 6.5447    0.43422                                                F011700300069 
