ENTRY            F0147   19990409                             0000F014700000001 
SUBENT        F0147001   19990409                             0000F014700100001 
BIB                  9         12                                 F014700100002 
TITLE      Heavy-particle stripping in the 9Be(He3,alpha)8Be      F014700100003 
           reaction and energy levels of 8Be                      F014700100004 
AUTHOR     (W.E.DORENBUSCH,C.P.BROWNE)                            F014700100005 
INSTITUTE  (1USANOT)                                              F014700100006 
REFERENCE  (J,PR,131,1212,196308)                                 F014700100007 
MONITOR    ((MONIT)4-BE-9(D,P)4-BE-10,,DA,,,EXP)                  F014700100008 
MONIT-REF  (,FULBRIGHT+,J,PR,88,700,1952)                         F014700100009 
SAMPLE     Thin targets were prepared by evaporating beryllium    F014700100010 
           metal from a tantalum boat onto thin Formvar backings. F014700100011 
DETECTOR   (PLATE)                                                F014700100012 
HISTORY    (19840817C)                                            F014700100013 
           (19990407A) CNPD: corrected 4-dig. year                F014700100014 
ENDBIB              12          0                                 F014700100015 
COMMON               4          3                                 F014700100016 
EN-NRM     ANG-NRM    E-LVL-NRM  MONIT                            F014700100017 
MEV        ADEG       MEV        MB/SR                            F014700100018 
  3.6        90.       0.         1.                              F014700100019 
ENDCOMMON            3          0                                 F014700100020 
ENDSUBENT           19          0                                 F014700199999 
SUBENT        F0147002   19990409                             0000F014700200001 
BIB                  4          5                                 F014700200002 
REACTION   ((4-BE-9(HE3,A)4-BE-8,PAR,DA,,,EXP)/                   F014700200003 
           (4-BE-9(D,P)4-BE-10,,DA,,,EXP))                        F014700200004 
ERR-ANALYS (DATA-ERR) The estimated uncertainty in the yield.     F014700200005 
STATUS     (TABLE) Table 1                                        F014700200006 
EN-SEC     (E-LVL,4-BE-8)                                         F014700200007 
ENDBIB               5          0                                 F014700200008 
NOCOMMON             0          0                                 F014700200009 
DATA                 5        132                                 F014700200010 
EN         E-LVL      ANG        DATA       DATA-ERR              F014700200011 
     4.         2.9       60.         0.64       5.               F014700200103 
     4.         2.9       70.         0.55       5.               F014700200104 
     4.         2.9       80.         0.74       5.               F014700200105 
     4.         2.9       90.         0.78       5.               F014700200106 
     4.         2.9      100.         0.78       5.               F014700200107 
     4.         2.9      110.         0.77       5.               F014700200108 
     4.         2.9      120.         0.77       5.               F014700200109 
     4.         2.9      130.         0.78       5.               F014700200110 
     4.         2.9      140.         0.82       5.               F014700200111 
     4.        16.6       10.         0.21      10.               F014700200112 
     4.        16.6       15.         0.27      10.               F014700200113 
     4.        16.6       20.         0.66       5.               F014700200114 
     4.        16.6       30.         0.76       5.               F014700200115 
     4.        16.6       40.         0.88       5.               F014700200116 
     4.        16.6       50.         0.73       5.               F014700200117 
     4.        16.6       60.         0.65       5.               F014700200118 
     4.        16.6       70.         0.71       5.               F014700200119 
     4.        16.6       80.         0.53       5.               F014700200120 
     4.        16.6       90.         0.5        5.               F014700200121 
     4.        16.6      100.         0.33       5.               F014700200122 
     4.        16.6      110.         0.45       5.               F014700200123 
     4.        16.9        5.        13.12       5.               F014700200124 
     4.        16.9       10.        12.82       5.               F014700200125 
     4.        16.9       15.        12.29       5.               F014700200126 
     4.        16.9       20.        10.02       5.               F014700200127 
     4.        16.9       30.         8.35       5.               F014700200128 
     4.        16.9       40.         3.85       5.               F014700200129 
     4.        16.9       50.         2.82       5.               F014700200130 
     4.        16.9       60.         2.99       5.               F014700200131 
     4.        16.9       70.         3.68       5.               F014700200132 
     4.        16.9       80.         2.9        5.               F014700200133 
     4.        16.9       90.         2.73       5.               F014700200134 
     4.        16.9      100.         1.87       5.               F014700200135 
     4.        16.9      110.         1.51       5.               F014700200136 
     4.        17.6       10.         3.04       5.               F014700200137 
     4.        17.6       15.         3.19       5.               F014700200138 
     4.        17.6       20.         4.26       5.               F014700200139 
     4.        17.6       30.         4.18       5.               F014700200140 
     4.        17.6       40.         2.84       5.               F014700200141 
     4.        17.6       50.         2.04       5.               F014700200142 
     4.        17.6       60.         1.75       5.               F014700200143 
     4.        17.6       80.         1.16       5.               F014700200144 
ENDDATA            134          0                                 F014700200145 
ENDSUBENT          144          0                                 F014700299999 
SUBENT        F0147003   19990409                             0000F014700300001 
BIB                  4          7                                 F014700300002 
REACTION   (4-BE-9(HE3,A)4-BE-8,PAR,DA,,,EXP)                     F014700300003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F014700300004 
           (DATA-ERR) The error bars represent the estimated      F014700300005 
           uncertainty in the yield. The uncertainty in the       F014700300006 
           absolute cross section is not included in this estimateF014700300007 
STATUS     (CURVE) FIG 3,4,5,6,7                                  F014700300008 
EN-SEC     (E-LVL,4-BE-8)                                         F014700300009 
ENDBIB               7          0                                 F014700300010 
COMMON               1          3                                 F014700300011 
ANG-ERR                                                           F014700300012 
ADEG                                                              F014700300013 
 1.0                                                              F014700300014 
ENDCOMMON            3          0                                 F014700300015 
DATA                 5        133                                 F014700300016 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              F014700300017 
MEV        MEV        ADEG       MB/SR      MB/SR                 F014700300018 
     3.         0.         5.117      0.1348     0.0151           F014700300019 
     3.         0.        11.75       0.1376 0.9589E-02           F014700300020 
     3.         0.        18.5        0.1061     0.011            F014700300021 
     3.         0.        22.57       0.0828 0.6849E-02           F014700300022 
     3.         0.        34.57       0.0678 0.4109E-02           F014700300023 
     3.         0.        46.51       0.0706 0.6844E-02           F014700300024 
     3.         0.        57.14       0.0706 0.5474E-02           F014700300025 
     3.         0.        67.79       0.0638 0.4105E-02           F014700300026 
     3.         0.        77.09       0.0625 0.5474E-02           F014700300027 
