ENTRY            F0389   20220602                             F091F0389  0    1 
SUBENT        F0389001   20220602                             F091F0389  1    1 
BIB                  8         32                                 F0389  1    2 
TITLE      Differential cross sections at 0 degree and angular    F0389  1    3 
           distributions of resolved neutrons from 11B + d        F0389  1    4 
AUTHOR     (P.R.Almond,J.R.Risser)                                F0389  1    5 
INSTITUTE  (1USARIC)                                              F0389  1    6 
REFERENCE  (J,NP,72,436,1965)                                     F0389  1    7 
FACILITY   (VDG,1USARIC) 5.5 MeV                                  F0389  1    8 
           (VDGT,1USARIC) 12 MeV                                  F0389  1    9 
SAMPLE     One target was made by evaporating natural boron from aF0389  1   10 
           tantalum strip onto a tantalum backing which was 1.9 cmF0389  1   11 
           diam. and 0.13 cm thick.                               F0389  1   12 
           The other target was an electromagnetically separated  F0389  1   13 
           target of 11B obtained from the Atomic Energy Research F0389  1   14 
           Establishment, Harwell, England. The 11B was deposited F0389  1   15 
           on a 2x2 cm tantalum backing that was 0.013 cm thick.  F0389  1   16 
           The thickness of the natural boron target was          F0389  1   17 
           determined to be 275+-50 ug/cm2 and the 11B (Harwell)  F0389  1   18 
           target to be 187+-34 ug/cm2.                           F0389  1   19 
DETECTOR   (TELES,SCIN) For neutrons. The neutron spectrometer    F0389  1   20 
           was of the recoil telescope type. A single Argon-CO2   F0389  1   21 
           filled proportional dE/dx counter was used between     F0389  1   22 
           the radiator and a thin-crystal proportional counter.  F0389  1   23 
           Radiators were used of three different thicknesses:    F0389  1   24 
           in the 1-5 MeV deuteron range, 15 mg/cm2 to 45 cm2     F0389  1   25 
           thick and above 5 MeV, 30 mg/cm2 to 60 mg/cm2).        F0389  1   26 
           In order to resolve four neutron groups (n0 to n3) two F0389  1   27 
           radiators were used at given energy and angle.         F0389  1   28 
           (CSICR) For deuterons. 0.25 cm thick, 2.5 cm in        F0389  1   29 
           diam., coved on the sides and in front face with       F0389  1   30 
           0.0013 cm thick Al foil.                               F0389  1   31 
HISTORY    (19860409C)                                            F0389  1   32 
           (19990409A) CNPD: corrected 4-dig. year                F0389  1   33 
           (20220602A) SD: Corrections in all Subents.            F0389  1   34 
ENDBIB              32          0                                 F0389  1   35 
NOCOMMON             0          0                                 F0389  1   36 
ENDSUBENT           35          0                                 F0389  199999 
SUBENT        F0389002   20220602                             F091F0389  2    1 
BIB                  4          6                                 F0389  2    2 
REACTION   (5-B-11(D,N)6-C-12,PAR,DA)                             F0389  2    3 
ERR-ANALYS (DATA-ERR) Errors are weighted standard deviations     F0389  2    4 
           from the weighted average                              F0389  2    5 
STATUS     (CURVE) Fig.4 from Nucl.Phys.,72(1965)436              F0389  2    6 
HISTORY    (20220602A) SD: SF9=EXP deleted from REACTION code.    F0389  2    7 
           EN-ERR -> EN-ERR-DIG.                                  F0389  2    8 
ENDBIB               6          0                                 F0389  2    9 
COMMON               2          3                                 F0389  2   10 
ANG        EN-ERR-DIG                                             F0389  2   11 
ADEG       MEV                                                    F0389  2   12 
      0.         0.05                                             F0389  2   13 
ENDCOMMON            3          0                                 F0389  2   14 
DATA                 4        208                                 F0389  2   15 
E-LVL      EN         DATA       DATA-ERR                         F0389  2   16 
MEV        MEV        MB/SR      MB/SR                            F0389  2   17 
         0.       1.05      0.825      0.247                      F0389  2   18 
         0.       1.27      2.487      0.247                      F0389  2   19 
         0.       1.48      2.978      0.123                      F0389  2   20 
         0.       1.48      3.224      0.062                      F0389  2   21 
         0.       1.63      3.407      0.369                      F0389  2   22 
         0.       1.83      3.280      0.246                      F0389  2   23 
         0.       2.07      1.796      0.247                      F0389  2   24 
         0.       2.26      0.929      0.308                      F0389  2   25 
         0.       2.37      1.297      0.061                      F0389  2   26 
         0.       2.51      0.863      0.124                      F0389  2   27 
         0.       2.57      1.356      0.247                      F0389  2   28 
         0.       2.66      0.860      0.061                      F0389  2   29 
         0.       2.82      1.290      0.123                      F0389  2   30 
         0.       2.87      1.042      0.046                      F0389  2   31 
         0.       3.07      1.471      0.123                      F0389  2   32 
         0.       3.23      1.839      0.046                      F0389  2   33 
         0.       3.33      1.652      0.308                      F0389  2   34 
         0.       3.48      1.649      0.123                      F0389  2   35 
         0.       3.53      1.957      0.046                      F0389  2   36 
         0.       3.68      1.646      0.123                      F0389  2   37 
         0.       3.78      1.706      0.046                      F0389  2   38 
         0.       3.83      1.705      0.184                      F0389  2   39 
         0.       3.83      1.767      0.123                      F0389  2   40 
         0.       4.03      1.455      0.186                      F0389  2   41 
         0.       4.08      1.578      0.123                      F0389  2   42 
         0.       4.08      1.068      0.123                      F0389  2   43 
         0.       4.18      1.638      0.123                      F0389  2   44 
         0.       4.29      2.253      0.123                      F0389  2   45 
         0.       4.34      2.191      0.123                      F0389  2   46 
         0.       4.38      1.820      0.061                      F0389  2   47 
         0.       4.58      1.755      0.184                      F0389  2   48 
         0.       4.68      1.260      0.123                      F0389  2   49 
         0.       4.83      1.442      0.184                      F0389  2   50 
         0.       4.93      0.947      0.123                      F0389  2   51 
         0.       5.28      0.942      0.123                      F0389  2   52 
         0.       5.53      0.876      0.123                      F0389  2   53 
         0.       5.63      0.689      0.123                      F0389  2   54 
         0.       5.68      0.626      0.046                      F0389  2   55 
         0.       5.93      0.622      0.185                      F0389  2   56 
         0.       6.08      0.311      0.046                      F0389  2   57 
         0.       6.28      0.493      0.123                      F0389  2   58 
         0.       6.53      0.366      0.046                      F0389  2   59 
         0.       6.73      0.424      0.046                      F0389  2   60 
         0.       6.93      0.298      0.046                      F0389  2   61 
         0.       7.13      0.294      0.046                      F0389  2   62 
         0.       7.29      0.230      0.046                      F0389  2   63 
         0.       7.49      0.350      0.185                      F0389  2   64 
         0.       7.69      0.409      0.046                      F0389  2   65 
         0.       7.89      0.591      0.046                      F0389  2   66 
         0.       8.09      0.588      0.046                      F0389  2   67 
         0.       8.30      0.769      0.046                      F0389  2   68 
         0.       8.49      0.458      0.046                      F0389  2   69 
         0.       8.70      0.516      0.046                      F0389  2   70 
         0.       8.90      0.760      0.185                      F0389  2   71 
         0.       9.10      0.448      0.046                      F0389  2   72 
         0.       9.30      0.506      0.046                      F0389  2   73 
         0.       9.50      0.441      0.046                      F0389  2   74 
         0.       9.71      0.932      0.046                      F0389  2   75 
         0.       9.91      0.682      0.046                      F0389  2   76 
         0.      10.01      0.742      0.185                      F0389  2   77 
         0.      10.10      0.370      0.046                      F0389  2   78 
         0.      10.31      0.490      0.046                      F0389  2   79 
         0.      10.51      0.672      0.046                      F0389  2   80 
         0.      10.71      0.484      0.046                      F0389  2   81 
         0.      10.91      0.419      0.046                      F0389  2   82 
         0.      11.06      0.416      0.046                      F0389  2   83 
       4.44       1.03      1.031      0.321                      F0389  2   84 
       4.44       1.21      3.853      1.091                      F0389  2   85 
       4.44       1.41      3.914      0.449                      F0389  2   86 
       4.44       1.63      5.067      0.385                      F0389  2   87 
       4.44       1.83      5.641      0.835                      F0389  2   88 
       4.44       2.02      4.675      0.514                      F0389  2   89 
       4.44       2.23      4.607      0.513                      F0389  2   90 
       4.44       2.46      3.255      0.257                      F0389  2   91 
       4.44       2.62      3.766      0.321                      F0389  2   92 
       4.44       2.77      3.379      0.899                      F0389  2   93 
       4.44       2.87      3.377      0.321                      F0389  2   94 
       4.44       3.02      3.503      0.257                      F0389  2   95 
       4.44       3.27      3.114      0.128                      F0389  2   96 
       4.44       3.31      2.342      0.642                      F0389  2   97 
       4.44       3.43      4.074      0.385                      F0389  2   98 
       4.44       3.57      2.980      0.049                      F0389  2   99 
       4.44       3.68      3.878      0.450                      F0389  2  100 
       4.44       3.72      3.299      0.257                      F0389  2  101 
       4.44       3.82      3.490      0.643                      F0389  2  102 
       4.44       3.84      4.646      0.257                      F0389  2  103 
       4.44       3.93      4.451      0.128                      F0389  2  104 
       4.44       4.04      4.835      0.449                      F0389  2  105 
       4.44       4.14      5.090      0.321                      F0389  2  106 
