ENTRY            F1021   20090723                             F037F102100000001 
SUBENT        F1021001   20090723                             F037F102100100001 
BIB                 10         21                                 F102100100002 
TITLE      Elastic and inelastic scattering of protons by 23Na.   F102100100003 
AUTHOR     (A.E.Antropov,P.P.Zarubin,M.F.Kydoyarov,B.N.Orlov,     F102100100004 
           A.V.Plavko,A.I.Sorokin)                                F102100100005 
INSTITUTE  (4RUSSUL)                                              F102100100006 
REFERENCE  (J,IZV,33,1379,1969)                                   F102100100007 
           (J,BAS,33,1274,1970)                                   F102100100008 
FACILITY   (CYCLO)                                                F102100100009 
SAMPLE     Metallic sodium evaporated onto carbon, silver leaf or F102100100010 
           gold leaf backings were used as a target. In some case F102100100011 
           sodium was covered by thin protective silver film.     F102100100012 
MONITOR    Absolute cross sections were obtained by measurement ofF102100100013 
           elastic scattering (at large angles) on the oxidized   F102100100014 
           sodium targets (scattering on oxygen was taken into    F102100100015 
           account) and by measurement of proton elastic          F102100100016 
           scattering with the NaCl targets.                      F102100100017 
MONIT-REF  (,S.R.Salisbury,J,PR,126,2143,1967)                    F102100100018 
           (,G.Harolie,J,PR,129,353,1963)                         F102100100019 
           (,P.D.Ioannu,W,Ioannu,1969)                            F102100100020 
ERR-ANALYS (ANG-ERR-D)  Angle digitizing error                    F102100100021 
           (ERR-DIG)    Data digitizing error                     F102100100022 
HISTORY    (20090723C)                                            F102100100023 
ENDBIB              21          0                                 F102100100024 
NOCOMMON             0          0                                 F102100100025 
ENDSUBENT           24          0                                 F102100199999 
SUBENT        F1021002   20090723                             F037F102100200001 
BIB                  2          2                                 F102100200002 
REACTION   (11-NA-23(P,EL)11-NA-23,,DA,,RTH)                      F102100200003 
STATUS     (CURVE) Fig.3                                          F102100200004 
ENDBIB               2          0                                 F102100200005 
COMMON               3          3                                 F102100200006 
EN         ANG-ERR-D  ERR-DIG                                     F102100200007 
MEV        ADEG       NO-DIM                                      F102100200008 
  6.05      0.255      0.0129                                     F102100200009 
ENDCOMMON            3          0                                 F102100200010 
DATA                 2         17                                 F102100200011 
ANG-CM     DATA                                                   F102100200012 
ADEG       NO-DIM                                                 F102100200013 
     21.262    0.52303                                            F102100200014 
     32.742    0.42799                                            F102100200015 
     39.989    0.37711                                            F102100200016 
     49.913    0.39508                                            F102100200017 
     59.217    0.45069                                            F102100200018 
     64.867    0.60359                                            F102100200019 
     69.291    0.80152                                            F102100200020 
     78.805     1.0614                                            F102100200021 
     84.105     1.3201                                            F102100200022 
     89.077     1.6392                                            F102100200023 
     100.03     2.0508                                            F102100200024 
     109.88       2.22                                            F102100200025 
     119.76     2.3287                                            F102100200026 
     129.03     2.4675                                            F102100200027 
     140.24     2.3119                                            F102100200028 
     149.03     2.1632                                            F102100200029 
      158.8     1.8634                                            F102100200030 
ENDDATA             19          0                                 F102100200031 
ENDSUBENT           30          0                                 F102100299999 
SUBENT        F1021003   20090723                             F037F102100300001 
BIB                  3          3                                 F102100300002 
REACTION   (11-NA-23(P,INL)11-NA-23,PAR,DA)                       F102100300003 
ERR-ANALYS (DATA-ERR)   Error from the graphic bars               F102100300004 
STATUS     (CURVE) Fig.3,4                                        F102100300005 
ENDBIB               3          0                                 F102100300006 
COMMON               2          3                                 F102100300007 
ANG-ERR-D  ERR-DIG                                                F102100300008 
ADEG       MB/SR                                                  F102100300009 
 0.844      0.027                                                 F102100300010 
ENDCOMMON            3          0                                 F102100300011 
DATA                 5        142                                 F102100300012 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              F102100300013 
MEV        MEV        ADEG       MB/SR      MB/SR                 F102100300014 
       5.84       2.08     45.249     1.7308    0.49677           F102100300015 
       5.84       2.08     64.682     3.2024    0.39223           F102100300016 
       5.84       2.08     75.762     3.2592    0.36589           F102100300017 
       5.84       2.08      86.33     3.3681    0.41816           F102100300018 
       5.84       2.08     98.398      3.556    0.39202           F102100300019 
       5.84       2.08     109.01     3.4035    0.39202           F102100300020 
       5.84       2.08      120.6     3.4083    0.33976           F102100300021 
       5.84       2.08      131.2      3.282    0.31362           F102100300022 
       5.84       2.08      139.8     3.1025    0.26114           F102100300023 
       6.03       2.08     31.226     2.1643    0.71858           F102100300024 
       6.03       2.08     40.396     2.3573    0.52682           F102100300025 
       6.03       2.08     51.092     2.6224     0.6706           F102100300026 
       6.03       2.08     61.784     2.9354    0.43118           F102100300027 
       6.03       2.08     71.975     3.1286    0.43118           F102100300028 
       6.03       2.08     79.604      3.465    0.35925           F102100300029 
       6.03       2.08     85.211     3.5377    0.35925           F102100300030 
       6.03       2.08     97.463     3.4438    0.35917           F102100300031 
       6.03       2.08     115.34     3.1113    0.38328           F102100300032 
       6.03       2.08     127.61     2.7778    0.40707           F102100300033 
       6.03       2.08     133.75     2.5153    0.43125           F102100300034 
       6.03       2.08     141.41     2.4686    0.43118           F102100300035 
       6.03       2.08     159.78     2.3516    0.45513           F102100300036 
       6.03      2.391     32.339     1.1342    0.48268           F102100300037 
       6.03      2.391     49.179     1.0662    0.51716           F102100300038 
       6.03      2.391      59.38     1.1186    0.50001           F102100300039 
       6.03      2.391     68.569     1.0157    0.53446           F102100300040 
       6.03      2.391     80.823    0.84404    0.62063           F102100300041 
       6.03      2.391     87.975    0.65484      0.362           F102100300042 
       6.03      2.391     99.719    0.48315    0.31034           F102100300043 
       6.03      2.391     107.37     0.4319     0.2758           F102100300044 
       6.03      2.391      113.5    0.39779    0.25853           F102100300045 
       6.03      2.391      128.8    0.57111    0.46547           F102100300046 
       6.03      2.391     140.02    0.55455    0.36203           F102100300047 
       6.03      2.391     148.69    0.58955    0.36203           F102100300048 
       6.03      2.391     158.88      0.866    0.48268           F102100300049 
       6.03      2.984     31.124     3.0524      1.859           F102100300050 
       6.03      2.984     41.044     1.6164    0.42088           F102100300051 
       6.03      2.984     51.302       1.18    0.26295           F102100300052 
       6.03      2.984     57.921     1.1814    0.45616           F102100300053 
       6.03      2.984     68.642     1.0082    0.35073           F102100300054 
       6.03      2.984      74.27    0.85149    0.28059           F102100300055 
       6.03      2.984     89.083    0.57392    0.21034           F102100300056 
       6.03      2.984     99.283    0.47078    0.21054           F102100300057 
       6.03      2.984     109.49    0.33256    0.26315           F102100300058 
       6.03      2.984     124.25    0.37065    0.21034           F102100300059 
       6.03      2.984     148.67    0.49839    0.22798           F102100300060 
       6.03      3.678     30.826    0.58131    0.33372           F102100300061 
       6.03      3.678     38.943    0.63021    0.38131           F102100300062 
       6.03      3.678     47.266    0.34546    0.17477           F102100300063 
       6.03      3.678     54.853    0.42605    0.30989           F102100300064 
       6.03      3.678     63.528    0.39559    0.17484           F102100300065 
       6.03      3.678     73.319     0.2064    0.15101           F102100300066 
       6.03      3.678     88.088    0.20069     0.1271           F102100300067 
       6.03      3.678     96.195    0.26548    0.19073           F102100300068 
       6.03      3.678     108.89    0.32301    0.19073           F102100300069 
       6.03      3.678     122.64    0.31715    0.19073           F102100300070 
       6.03      3.678     132.91     0.1757    0.11916           F102100300071 
       6.03      3.678     152.62    0.40909    0.14307           F102100300072 
