ENTRY            F0360   20210517                             F083F0360  0    1 
SUBENT        F0360001   20210517                             F083F0360  1    1 
BIB                  8         16                                 F0360  1    2 
TITLE      Radiative capture of protons by 11B above the peak of  F0360  1    3 
           the giant dipole resonance                             F0360  1    4 
AUTHOR     (G.Kernel,W.M.Mason)                                   F0360  1    5 
INSTITUTE  (2UK OXF)                                              F0360  1    6 
REFERENCE  (J,NP/A,123,205,1969)                                  F0360  1    7 
FACILITY   (VDGT,2UK OXF)                                         F0360  1    8 
SAMPLE     The target used for most of the run was 2 mg/cm**2     F0360  1    9 
           thick was prepared by sintering natural boron powder.  F0360  1   10 
           Additional spectra at a few energies were obtained by  F0360  1   11 
           bombarding two superimposed self-supporting            F0360  1   12 
           90 ug/cm**2 thick enriched 11B target                  F0360  1   13 
DETECTOR   (NAICR) 24.cm x 30.cm at 90 degr. 12.5cm x 15.cm at 45 F0360  1   14 
           and 135 degr.                                          F0360  1   15 
HISTORY    (19851218C)                                            F0360  1   16 
           (19990409U) CNPD: corrected 4-dig. year                F0360  1   17 
           (20210517A) SD: Corrections in all Subents.            F0360  1   18 
ENDBIB              16          0                                 F0360  1   19 
NOCOMMON             0          0                                 F0360  1   20 
ENDSUBENT           19          0                                 F0360  199999 
SUBENT        F0360002   20210517                             F083F0360  2    1 
BIB                  4          8                                 F0360  2    2 
REACTION   (5-B-11(P,G)6-C-12,PAR,DA,,REL)                        F0360  2    3 
            No explanation of relative units is given.            F0360  2    4 
ERR-ANALYS (ERR-S) Error from graphic bars (statistical)          F0360  2    5 
STATUS     (CURVE) Figs 3,4 from Nucl.Phys.,A123(1969)205         F0360  2    6 
HISTORY    (20210502A) SD: SF9=EXP deleted from REACTION code.    F0360  2    7 
           STATUS updated. EN-SEC deleted. Accuracy of digitized  F0360  2    8 
           data presentation revised. EN-ERR -> EN-ERR-DIG;       F0360  2    9 
           DATA-ERR -> ERR-S.                                     F0360  2   10 
ENDBIB               8          0                                 F0360  2   11 
COMMON               1          3                                 F0360  2   12 
EN-ERR-DIG                                                        F0360  2   13 
MEV                                                               F0360  2   14 
 0.05                                                             F0360  2   15 
ENDCOMMON            3          0                                 F0360  2   16 
DATA                 5        169                                 F0360  2   17 
ANG        E-LVL      EN         DATA       ERR-S                 F0360  2   18 
ADEG       MEV        MEV        ARB-UNITS  ARB-UNITS             F0360  2   19 
        45.         0.      13.05      7.206      0.436           F0360  2   20 
        45.         0.      13.91      5.766      0.436           F0360  2   21 
        45.         0.      14.04      5.702      0.560           F0360  2   22 
        45.         0.      14.27      5.887      0.685           F0360  2   23 
        45.         0.      14.50      6.631      0.498           F0360  2   24 
        45.         0.      14.68      5.945      0.623           F0360  2   25 
        45.         0.      14.86      6.130      0.497           F0360  2   26 
        45.         0.      15.04      5.879      0.436           F0360  2   27 
        45.         0.      15.27      6.873      0.685           F0360  2   28 
        45.         0.      15.49      5.252      0.498           F0360  2   29 
        45.         0.      15.68      6.433      0.747           F0360  2   30 
        45.         0.      15.85      5.747      0.373           F0360  2   31 
        45.         0.      16.08      5.309      0.747           F0360  2   32 
        45.         0.      16.17      5.246      0.498           F0360  2   33 
        45.         0.      16.26      4.996      0.623           F0360  2   34 
        45.         0.      16.53      5.180      0.561           F0360  2   35 
        45.         0.      16.67      4.556      0.623           F0360  2   36 
        45.         0.      16.85      5.177      0.623           F0360  2   37 
        45.         0.      17.12      5.112      0.498           F0360  2   38 
        45.         0.      17.21      4.115      0.622           F0360  2   39 
        45.         0.      17.34      4.052      0.373           F0360  2   40 
        45.         0.      17.43      3.926      0.747           F0360  2   41 
        45.         0.      17.66      4.235      0.498           F0360  2   42 
        45.         0.      17.84      3.922      0.684           F0360  2   43 
        45.         0.      18.06      3.298      0.436           F0360  2   44 
        45.         0.      18.25      4.354      0.560           F0360  2   45 
        45.         0.      18.43      3.356      0.498           F0360  2   46 
        45.         0.      18.61      3.417      0.810           F0360  2   47 
        45.         0.      18.75      3.913      0.497           F0360  2   48 
        45.         0.      18.88      2.667      1.183           F0360  2   49 
        45.         0.      19.02      4.533      0.497           F0360  2   50 
        45.         0.      19.24      2.352      0.995           F0360  2   51 
        45.         0.      19.42      3.222      0.684           F0360  2   52 
        45.         0.      19.64      2.348      0.685           F0360  2   53 
        45.         0.      19.88      3.716      0.623           F0360  2   54 
        45.         0.      20.05      2.220      0.872           F0360  2   55 
        45.         0.      20.15      3.091      0.623           F0360  2   56 
        45.         0.      20.28      3.401      0.809           F0360  2   57 
        45.         0.      20.46      2.154      0.872           F0360  2   58 
