ENTRY            F1489   20231208                             F095F1489  0    1 
SUBENT        F1489001   20231208                             F095F1489  1    1 
BIB                 11         19                                 F1489  1    2 
TITLE      Optical model analysis of proton elastic scattering    F1489  1    3 
           on 7Li nucleus with resonant part                      F1489  1    4 
AUTHOR     (L.N.Generalov,V.A.Zherebtsov,S.M.Selyankina)          F1489  1    5 
INSTITUTE  (4RUSEPA)                                              F1489  1    6 
REFERENCE  (J,BAS,87,1899,2023) English translation               F1489  1    7 
           #doi:10.1134/S1062873823704282                         F1489  1    8 
           (J,IZV,87,1828,2023) Russian original                  F1489  1    9 
           #doi:10.31857/S0367676523703155                        F1489  1   10 
REL-REF    (M,F1451001,L.N.Generalov+,J,BAS,84,1511,2020)         F1489  1   11 
           Experiment description is given.                       F1489  1   12 
           (M,F1451001,L.N.Generalov+,J,IZV,84,1774,2020) Russian F1489  1   13 
           original                                               F1489  1   14 
FACILITY   (VDGT,4RUSEPA) EGP-10 tandem accelerator               F1489  1   15 
SAMPLE     (3-LI-7,ENR=0.7) LiF sample with the thickness of 470  F1489  1   16 
           mu-g/cm2 deposited onto thin carbon backing was used.  F1489  1   17 
ERR-ANALYS (ERR-S) Statistical error                              F1489  1   18 
ADD-RES    Total 7Li+p reaction cross section was obtained.       F1489  1   19 
STATUS     (APRVD) Entry was approved by Dr. L.N.Generalov.       F1489  1   20 
HISTORY    (20231208C)                                            F1489  1   21 
ENDBIB              19          0                                 F1489  1   22 
NOCOMMON             0          0                                 F1489  1   23 
ENDSUBENT           22          0                                 F1489  199999 
SUBENT        F1489002   20231208                             F095F1489  2    1 
BIB                  2          3                                 F1489  2    2 
REACTION   (3-LI-7(P,EL)3-LI-7,,DA)                               F1489  2    3 
STATUS     (TABLE,,L.N.Generalov+,J,BAS,87,1899,2023) Data were   F1489  2    4 
           presented by authors. The same on Fig. 3.              F1489  2    5 
ENDBIB               3          0                                 F1489  2    6 
NOCOMMON             0          0                                 F1489  2    7 
DATA                 4        120                                 F1489  2    8 
EN         ANG-CM     DATA-CM    ERR-S                            F1489  2    9 
MEV        ADEG       MB/SR      PER-CENT                         F1489  2   10 
         5.       28.5       389.      16.16                      F1489  2   11 
         5.       34.1       297.      11.66                      F1489  2   12 
         5.       39.7      194.7       9.68                      F1489  2   13 
         5.       45.3      140.8       8.92                      F1489  2   14 
         5.       50.8      107.8       8.01                      F1489  2   15 
         5.       56.3       84.7       7.56                      F1489  2   16 
         5.       61.7       60.5       6.85                      F1489  2   17 
         5.       72.4       49.5       7.05                      F1489  2   18 
         5.       82.9       53.9       7.16                      F1489  2   19 
         5.       88.1       51.7       7.10                      F1489  2   20 
         5.       93.2       57.2       6.80                      F1489  2   21 
         5.      103.2       58.3       7.10                      F1489  2   22 
         5.      108.1       59.4       7.32                      F1489  2   23 
         5.      112.9       61.6       6.80                      F1489  2   24 
         5.      127.1       64.9       6.95                      F1489  2   25 
         5.      131.7       62.7       7.44                      F1489  2   26 
         5.      136.2       63.8       7.44                      F1489  2   27 
         5.      149.7       83.6       7.56                      F1489  2   28 
         5.      154.1       78.1       7.56                      F1489  2   29 
         6.       28.5       337.      11.66                      F1489  2   30 
         6.       34.1       262.       9.14                      F1489  2   31 
         6.       39.7       175.       8.41                      F1489  2   32 
         6.       45.3       146.       7.56                      F1489  2   33 
         6.       56.3       68.1       7.32                      F1489  2   34 
         6.       72.4       37.4       7.16                      F1489  2   35 
         6.       82.9       39.2       6.85                      F1489  2   36 
         6.       93.2       41.2       7.05                      F1489  2   37 
         6.      103.2       39.9       7.38                      F1489  2   38 
         6.      127.9       49.4       6.90                      F1489  2   39 
         6.      131.7       43.5       6.71                      F1489  2   40 
         6.      136.3       37.2       7.50                      F1489  2   41 
         6.      149.7       49.3       7.44                      F1489  2   42 
         6.      154.1       47.4       8.41                      F1489  2   43 
         7.       28.5       353.      14.32                      F1489  2   44 
         7.       34.1       255.       9.22                      F1489  2   45 
         7.       39.7       208.       8.14                      F1489  2   46 
         7.       45.3       175.       9.60                      F1489  2   47 
         7.       50.8       106.       8.70                      F1489  2   48 
         7.       56.3       63.6       7.10                      F1489  2   49 
         7.       61.7       47.7       7.50                      F1489  2   50 
         7.       77.7        16.       7.32                      F1489  2   51 
         7.       82.9       16.7       7.16                      F1489  2   52 
