ENTRY            F0314   20210619                             F085F0314  0    1 
SUBENT        F0314001   20210619                             F085F0314  1    1 
BIB                  9         13                                 F0314  1    2 
TITLE      Angular distribution for protons of 11B(d,p(0,1))12B   F0314  1    3 
           reaction in energy range from 0.7 to 1.7 MeV           F0314  1    4 
AUTHOR     (G.Hanke,D.Kamke)                                      F0314  1    5 
INSTITUTE  (2GERBOC)                                              F0314  1    6 
REFERENCE  (J,ZP,190,468,1966) in German                          F0314  1    7 
FACILITY   (CCW,2GERBOC)                                          F0314  1    8 
SAMPLE     The targets of boron (enriched 11B (95%)) on tantalum  F0314  1    9 
           backing. Target thicknesses were 100 - 200 mu-g/cm2    F0314  1   10 
METHOD     (PHD) Three measurements were done.                    F0314  1   11 
DETECTOR   (SIBAR) Surface-barrier detectors.                     F0314  1   12 
HISTORY    (19850911C)                                            F0314  1   13 
           (19990409U) CNPD: corrected 4-dig. year, lower case    F0314  1   14 
           (20210619A) SD: Corrections in all Subents.            F0314  1   15 
ENDBIB              13          0                                 F0314  1   16 
NOCOMMON             0          0                                 F0314  1   17 
ENDSUBENT           16          0                                 F0314  199999 
SUBENT        F0314002   20210619                             F085F0314  2    1 
BIB                  4          9                                 F0314  2    2 
REACTION   (5-B-11(D,P)5-B-12,PAR,DA,,REL)                        F0314  2    3 
            No explanation of relative units is given.            F0314  2    4 
ERR-ANALYS (ERR-S) From graphic bars (statistical)                F0314  2    5 
STATUS     (CURVE) Figs 8,9,10,11,12,13,14,15,16,17,18,19  from   F0314  2    6 
            Zeitschrift fuer Physik,190(1966)468                  F0314  2    7 
HISTORY    (20210619A) SD: SF9=EXP deleted from REACTION code.    F0314  2    8 
           EN-SEC deleted. STATUS, ERR-ANALYS updated.            F0314  2    9 
           ANG-ERR -> ANG-ERR-D. Accuracy of digitized data       F0314  2   10 
           presentation revised. DATA-ERR -> ERR-S.               F0314  2   11 
ENDBIB               9          0                                 F0314  2   12 
COMMON               1          3                                 F0314  2   13 
ANG-ERR-D                                                         F0314  2   14 
ADEG                                                              F0314  2   15 
 1.5                                                              F0314  2   16 
ENDCOMMON            3          0                                 F0314  2   17 
DATA                 5        463                                 F0314  2   18 
E-LVL      EN         ANG-CM     DATA-CM    ERR-S                 F0314  2   19 
MEV        MEV        ADEG       ARB-UNITS  ARB-UNITS             F0314  2   20 
         0.        0.7        4.4      1.208      0.122           F0314  2   21 
         0.        0.7        9.3      1.232      0.073           F0314  2   22 
         0.        0.7       14.2      1.306      0.098           F0314  2   23 
         0.        0.7       20.3      1.428      0.073           F0314  2   24 
         0.        0.7       25.2      1.501      0.098           F0314  2   25 
         0.        0.7       31.3      1.575      0.146           F0314  2   26 
         0.        0.7       37.5      1.672      0.049           F0314  2   27 
         0.        0.7       42.3      1.868      0.049           F0314  2   28 
         0.        0.7       47.2      1.941      0.073           F0314  2   29 
         0.        0.7       53.4      1.966      0.020           F0314  2   30 
         0.        0.7       59.5      1.942      0.020           F0314  2   31 
         0.        0.7       63.2      1.917      0.020           F0314  2   32 
         0.        0.7       69.3      1.918      0.098           F0314  2   33 
         0.        0.7       74.2      1.723      0.020           F0314  2   34 
         0.        0.7       79.1      1.845      0.049           F0314  2   35 
         0.        0.7       84.0      1.821      0.049           F0314  2   36 
         0.        0.7       88.9      1.845      0.073           F0314  2   37 
         0.        0.7       93.8      1.870      0.073           F0314  2   38 
         0.        0.7       99.9      1.846      0.098           F0314  2   39 
         0.        0.7      104.8      1.870      0.073           F0314  2   40 
         0.        0.7      108.5      1.919      0.098           F0314  2   41 
         0.        0.7      114.6      1.895      0.098           F0314  2   42 
         0.        0.7      118.3      1.969      0.049           F0314  2   43 
         0.        0.7      124.4      1.993      0.073           F0314  2   44 
         0.        0.7      129.3      1.969      0.020           F0314  2   45 
         0.        0.7      134.2      2.067      0.020           F0314  2   46 
         0.        0.7      139.1      2.116      0.020           F0314  2   47 
         0.        0.7      144.0      2.067      0.020           F0314  2   48 
         0.        0.7      147.6      2.165      0.073           F0314  2   49 
         0.        0.7      152.6      2.238      0.020           F0314  2   50 
         0.        0.7      157.4      2.312      0.020           F0314  2   51 
         0.        0.7      163.6      2.239      0.020           F0314  2   52 
         0.        0.7      167.2      2.288      0.073           F0314  2   53 
         0.        0.8       25.6      1.771      0.073           F0314  2   54 
         0.        0.8       32.9      1.819      0.099           F0314  2   55 
         0.        0.8       39.1      2.014      0.123           F0314  2   56 
         0.        0.8       45.2      2.086      0.098           F0314  2   57 
         0.        0.8       50.1      2.208      0.123           F0314  2   58 
         0.        0.8       54.9      2.158      0.098           F0314  2   59 
         0.        0.8       61.0      2.181      0.098           F0314  2   60 
         0.        0.8       65.8      2.180      0.099           F0314  2   61 
         0.        0.8       69.4      2.032      0.098           F0314  2   62 
         0.        0.8       75.5      2.080      0.098           F0314  2   63 
         0.        0.8       81.5      1.980      0.098           F0314  2   64 
         0.        0.8       86.4      1.954      0.074           F0314  2   65 
         0.        0.8       90.0      1.904      0.073           F0314  2   66 
         0.        0.8       94.8      1.854      0.074           F0314  2   67 
         0.        0.8       99.7      1.878      0.098           F0314  2   68 
         0.        0.8      104.5      1.827      0.123           F0314  2   69 
         0.        0.8      109.4      1.949      0.098           F0314  2   70 
         0.        0.8      115.5      1.997      0.098           F0314  2   71 
         0.        0.8      120.3      1.972      0.074           F0314  2   72 
         0.        0.8      128.9      2.043      0.074           F0314  2   73 
         0.        0.8      133.7      1.944      0.073           F0314  2   74 
         0.        0.8      138.6      2.090      0.074           F0314  2   75 
         0.        0.8      144.7      2.163      0.049           F0314  2   76 
         0.        0.8      148.4      2.187      0.073           F0314  2   77 
         0.        0.8      154.4      2.185      0.049           F0314  2   78 
         0.        0.8      158.1      2.258      0.098           F0314  2   79 
         0.        0.8      163.0      2.355      0.049           F0314  2   80 
         0.        0.8      169.1      2.280      0.099           F0314  2   81 
         0.         1.        4.5      1.287      0.147           F0314  2   82 
         0.         1.       10.5      1.508      0.122           F0314  2   83 
         0.         1.       14.1      1.606      0.122           F0314  2   84 
         0.         1.       20.1      1.925      0.122           F0314  2   85 
         0.         1.       25.0      2.121      0.122           F0314  2   86 
         0.         1.       31.0      2.318      0.171           F0314  2   87 
         0.         1.       35.8      2.514      0.098           F0314  2   88 
         0.         1.       43.1      2.589      0.098           F0314  2   89 
         0.         1.       48.1      2.565      0.220           F0314  2   90 
         0.         1.       52.9      2.615      0.293           F0314  2   91 
         0.         1.       57.8      2.640      0.196           F0314  2   92 
         0.         1.       62.8      2.567      0.171           F0314  2   93 
         0.         1.       67.7      2.372      0.245           F0314  2   94 
         0.         1.       73.9      2.227      0.122           F0314  2   95 
         0.         1.       80.1      2.155      0.122           F0314  2   96 
         0.         1.       83.8      2.057      0.049           F0314  2   97 
         0.         1.       89.9      2.083      0.024           F0314  2   98 
         0.         1.       93.6      1.985      0.049           F0314  2   99 
         0.         1.       99.8      1.864      0.098           F0314  2  100 
         0.         1.      104.7      1.816      0.074           F0314  2  101 
         0.         1.      109.6      1.841      0.122           F0314  2  102 
         0.         1.      114.5      1.842      0.073           F0314  2  103 
         0.         1.      120.6      1.843      0.049           F0314  2  104 
         0.         1.      123.1      1.819      0.074           F0314  2  105 
         0.         1.      129.2      1.893      0.073           F0314  2  106 
         0.         1.      132.8      1.943      0.049           F0314  2  107 
         0.         1.      138.9      1.993      0.049           F0314  2  108 
         0.         1.      143.8      1.993      0.049           F0314  2  109 
         0.         1.      148.7      2.019      0.073           F0314  2  110 
         0.         1.      152.4      2.019      0.025           F0314  2  111 
         0.         1.      158.5      2.093      0.024           F0314  2  112 
         0.         1.      162.2      2.094      0.073           F0314  2  113 
         0.         1.      167.1      2.095      0.024           F0314  2  114 
         0.       1.07        6.3      1.353      0.122           F0314  2  115 
         0.       1.07       10.0      1.572      0.122           F0314  2  116 
         0.       1.07       16.1      1.987      0.014           F0314  2  117 
         0.       1.07       21.0      2.328      0.073           F0314  2  118 
         0.       1.07       25.9      2.790      0.014           F0314  2  119 
         0.       1.07       27.1      2.668      0.073           F0314  2  120 
         0.       1.07       32.0      3.083      0.014           F0314  2  121 
         0.       1.07       33.2      3.010      0.122           F0314  2  122 
         0.       1.07       38.0      3.131      0.014           F0314  2  123 
         0.       1.07       38.0      3.204      0.073           F0314  2  124 
         0.       1.07       41.7      3.350      0.014           F0314  2  125 
         0.       1.07       42.9      3.253      0.098           F0314  2  126 
         0.       1.07       48.9      3.277      0.014           F0314  2  127 
         0.       1.07       48.9      3.398      0.049           F0314  2  128 
         0.       1.07       53.7      3.325      0.122           F0314  2  129 
         0.       1.07       58.5      3.447      0.014           F0314  2  130 
         0.       1.07       58.6      3.276      0.014           F0314  2  131 
         0.       1.07       59.8      3.325      0.049           F0314  2  132 
         0.       1.07       63.3      3.154      0.014           F0314  2  133 
         0.       1.07       63.3      3.032      0.014           F0314  2  134 
         0.       1.07       69.3      2.958      0.122           F0314  2  135 
         0.       1.07       69.3      2.714      0.014           F0314  2  136 
         0.       1.07       75.3      2.714      0.122           F0314  2  137 
         0.       1.07       80.1      2.616      0.098           F0314  2  138 
         0.       1.07       80.1      2.762      0.014           F0314  2  139 
         0.       1.07       84.9      2.469      0.049           F0314  2  140 
         0.       1.07       84.9      2.615      0.014           F0314  2  141 
         0.       1.07       89.7      2.273      0.014           F0314  2  142 
         0.       1.07       90.9      2.420      0.073           F0314  2  143 
         0.       1.07       93.3      2.224      0.014           F0314  2  144 
         0.       1.07       94.5      2.102      0.014           F0314  2  145 
         0.       1.07       94.5      2.298      0.098           F0314  2  146 
         0.       1.07       98.1      2.127      0.014           F0314  2  147 
         0.       1.07       99.3      2.200      0.098           F0314  2  148 
         0.       1.07      104.1      2.077      0.171           F0314  2  149 
         0.       1.07      104.1      1.907      0.014           F0314  2  150 
         0.       1.07      110.1      2.028      0.293           F0314  2  151 
         0.       1.07      113.8      2.052      0.073           F0314  2  152 
         0.       1.07      119.8      2.076      0.146           F0314  2  153 
         0.       1.07      123.4      2.076      0.098           F0314  2  154 
         0.       1.07      128.2      2.197      0.098           F0314  2  155 
         0.       1.07      133.1      2.148      0.098           F0314  2  156 
         0.       1.07      137.9      2.172      0.146           F0314  2  157 
         0.       1.07      142.7      2.221      0.122           F0314  2  158 
         0.       1.07      146.3      2.269      0.098           F0314  2  159 
         0.       1.07      157.2      2.390      0.098           F0314  2  160 
