ENTRY            F1198   20171114                             F066F1198  0    1 
SUBENT        F1198001   20171114                             F066F1198  1    1 
BIB                  9         12                                 F1198  1    2 
TITLE      Excitation of isobaric analogue states in the          F1198  1    3 
           Al-27(d,n)Si-28 reaction.                              F1198  1    4 
AUTHOR     (B.Lawergren,G.C.Morrison,A.T.G.Ferguson)              F1198  1    5 
INSTITUTE  (2UK HAR,1USAANL)                                      F1198  1    6 
REFERENCE  (J,NP/A,106,455,1968)                                  F1198  1    7 
           #doi:10.1016/0375-9474(67)90890-1                      F1198  1    8 
FACILITY   (ACCEL,2UK HAR) 3 MeV pulsed accelerator IBIS was used.F1198  1    9 
DETECTOR   Neutron detector was used.                             F1198  1   10 
METHOD     (TOF)                                                  F1198  1   11 
ERR-ANALYS (ERR-DIG)    Data digitizing error                     F1198  1   12 
HISTORY    (20140821C)                                            F1198  1   13 
           (20171114U) REFERENCE was corrected: 1967->1968.       F1198  1   14 
ENDBIB              12          0                                 F1198  1   15 
COMMON               1          3                                 F1198  1   16 
EN                                                                F1198  1   17 
MEV                                                               F1198  1   18 
      2.980                                                       F1198  1   19 
ENDCOMMON            3          0                                 F1198  1   20 
ENDSUBENT           19          0                                 F1198  199999 
SUBENT        F1198002   20140821                             F055F119800200001 
BIB                  6          6                                 F119800200002 
REACTION   (13-AL-27(D,N)14-SI-28,,DA/DE,,REL)                    F119800200003 
COMMENT    Relative units represent relative intensity.           F119800200004 
EN-SEC     (E,N) Neutron energy                                   F119800200005 
SAMPLE     A target with the thickness of 150 mu-g/cm2 was used.  F119800200006 
ERR-ANALYS (E-ERR-DIG)  Energy digitizing error                   F119800200007 
STATUS     (CURVE) Fig.1                                          F119800200008 
ENDBIB               6          0                                 F119800200009 
COMMON               3          3                                 F119800200010 
ANG        E-ERR-DIG  ERR-DIG                                     F119800200011 
ADEG       PER-CENT   ARB-UNITS                                   F119800200012 
 0.         0.45       0.74536                                    F119800200013 
ENDCOMMON            3          0                                 F119800200014 
DATA                 2        521                                 F119800200015 
E          DATA                                                   F119800200016 
MEV        ARB-UNITS                                              F119800200017 
     0.5709    0.28883                                            F119800200018 
     0.5758    0.28846                                            F119800200019 
     0.5810    0.34547                                            F119800200020 
     0.5849    0.29823                                            F119800200021 
     0.5857    0.23036                                            F119800200022 
     0.5921    0.33945                                            F119800200023 
     0.5969    0.24520                                            F119800200024 
     0.6003    0.35451                                            F119800200025 
     0.6015    0.40660                                            F119800200026 
     0.6055    0.34372                                            F119800200027 
     0.6090    0.47911                                            F119800200028 
     0.6095    0.28084                                            F119800200029 
     0.6131    0.44231                                            F119800200030 
     0.6160    0.34820                                            F119800200031 
     0.6206    0.43658                                            F119800200032 
     0.6218    0.48867                                            F119800200033 
     0.6230    0.55118                                            F119800200034 
     0.6326    0.48794                                            F119800200035 
     0.6349    0.54516                                            F119800200036 
     0.6374    0.64412                                            F119800200037 
     0.6429    0.63854                                            F119800200038 
     0.6434    0.78980                                            F119800200039 
     0.6468    0.83130                                            F119800200040 
     0.6521    0.73184                                            F119800200041 
     0.6560    0.89331                                            F119800200042 
     0.6625    0.78856                                            F119800200043 
     0.6627    0.86679                                            F119800200044 
     0.6676    0.57434                                            F119800200045 
     0.6687    0.92902                                            F119800200046 
     0.6727    0.72531                                            F119800200047 
     0.6771    0.66243                                            F119800200048 
     0.6782    0.63106                                            F119800200049 
     0.6820    0.72994                                            F119800200050 
     0.6857    0.77666                                            F119800200051 
     0.6875    0.97479                                            F119800200052 
     0.6917    1.17800                                            F119800200053 
     0.6964    1.52720                                            F119800200054 
     0.6981    1.67840                                            F119800200055 
     0.7027    1.97030                                            F119800200056 
     0.7029    2.02770                                            F119800200057 
     0.7091    2.43940                                            F119800200058 
     0.7133    2.23050                                            F119800200059 
