ENTRY            F0322   20210619                             F085F0322  0    1 
SUBENT        F0322001   20210619                             F085F0322  1    1 
BIB                  8         13                                 F0322  1    2 
TITLE      Gamma-ray and neutron yields from the proton           F0322  1    3 
           bombardment of boron                                   F0322  1    4 
AUTHOR     (J.K.Bair,J.D.Kington,H.B.Willard)                     F0322  1    5 
INSTITUTE  (1USAORL)                                              F0322  1    6 
REFERENCE  (J,PR,100,21,1955)                                     F0322  1    7 
FACILITY   (VDG,1USAORL)                                          F0322  1    8 
SAMPLE     Thin boron targets were prepared by evaporating        F0322  1    9 
           elemental boron of natural isotopic ratio on           F0322  1   10 
           tantalum backing.                                      F0322  1   11 
DETECTOR   (NAICR) 3 x 3 in. crystal                              F0322  1   12 
HISTORY    (19850924C)                                            F0322  1   13 
           (19990409U) CNPD: corrected 4-dig. year                F0322  1   14 
           (20210619A) SD: Corrections in all Subents.            F0322  1   15 
ENDBIB              13          0                                 F0322  1   16 
NOCOMMON             0          0                                 F0322  1   17 
ENDSUBENT           16          0                                 F0322  199999 
SUBENT        F0322002   20210619                             F085F0322  2    1 
BIB                  3          7                                 F0322  2    2 
REACTION   (5-B-11(P,G)6-C-12,PAR,DA,,REL)                        F0322  2    3 
            Counts per unit charge                                F0322  2    4 
STATUS     (CURVE) Fig 3 from Phys.Rev.,100(1955)21               F0322  2    5 
HISTORY    (20210619A) SD: SF9=EXP deleted from REACTION code.    F0322  2    6 
           EN-SEC, ERR-ANALYS deleted. STATUS updated.            F0322  2    7 
           EN-ERR -> EN-ERR-DIG; DATA-ERR -> ERR-DIG. Accuracy    F0322  2    8 
           of digitized data presentation revised.                F0322  2    9 
ENDBIB               7          0                                 F0322  2   10 
COMMON               2          3                                 F0322  2   11 
EN-ERR-DIG ERR-DIG                                                F0322  2   12 
MEV        ARB-UNITS                                              F0322  2   13 
         0.         0.      5.348       37.1                      F0322  2  104 
         0.         0.      5.383       38.8                      F0322  2  105 
         0.         0.      5.434       40.4                      F0322  2  106 
         0.       4.43      2.024       34.0                      F0322  2  107 
         0.       4.43      2.076       33.9                      F0322  2  108 
         0.       4.43      2.127       33.8                      F0322  2  109 
         0.       4.43      2.144       30.3                      F0322  2  110 
         0.       4.43      2.196       33.7                      F0322  2  111 
         0.       4.43      2.212       30.2                      F0322  2  112 
         0.       4.43      2.229       30.2                      F0322  2  113 
         0.       4.43      2.263       28.4                      F0322  2  114 
         0.       4.43      2.281       30.1                      F0322  2  115 
         0.       4.43      2.315       30.0                      F0322  2  116 
         0.       4.43      2.349       28.2                      F0322  2  117 
         0.       4.43      2.383       28.1                      F0322  2  118 
         0.       4.43      2.400       26.4                      F0322  2  119 
         0.       4.43      2.434       28.0                      F0322  2  120 
         0.       4.43      2.451       24.6                      F0322  2  121 
         0.       4.43      2.468       27.9                      F0322  2  122 
         0.       4.43      2.502       27.9                      F0322  2  123 
         0.       4.43      2.503       24.4                      F0322  2  124 
         0.       4.43      2.537       26.1                      F0322  2  125 
         0.       4.43      2.571       26.0                      F0322  2  126 
         0.       4.43      2.588       26.0                      F0322  2  127 
         0.       4.43      2.604       20.8                      F0322  2  128 
         0.       4.43      2.621       19.1                      F0322  2  129 
         0.       4.43      2.655       19.0                      F0322  2  130 
         0.       4.43      2.671       15.5                      F0322  2  131 
         0.       4.43      2.705       13.7                      F0322  2  132 
         0.       4.43      2.722       10.3                      F0322  2  133 
         0.       4.43      2.740       13.7                      F0322  2  134 
         0.       4.43      2.773        8.5                      F0322  2  135 
         0.       4.43      2.806        6.7                      F0322  2  136 
         0.       4.43      2.842       10.0                      F0322  2  137 
         0.       4.43      2.858        8.3                      F0322  2  138 
