ENTRY            F1075   20100701                             F039F107500000001 
SUBENT        F1075001   20100701                             F039F107500100001 
BIB                  9         16                                 F107500100002 
TITLE      A resonance in the O-16 + He-3 reactions at 5.05 MeV   F107500100003 
           bombarding energy.                                     F107500100004 
AUTHOR     (H.Ropke,K.P.Lieb,R.Konig)                             F107500100005 
INSTITUTE  (2GERFRB)                                              F107500100006 
REFERENCE  (J,NP/A,97,609,1967)                                   F107500100007 
           #doi:10.1016/0375-9474(67)90525-8                      F107500100008 
FACILITY   (VDG,2GERFRB) The 5.5 MeV Van de Graaff accelerator.   F107500100009 
INC-SOURCE A beam current of 0.3 mu-A was used.                   F107500100010 
DETECTOR   (SIBAR) Two surface barrier detectors which were       F107500100011 
           movable in a 36 cm diam. scattering chamber.           F107500100012 
           A fixed detector at 45 degr. with respect to the beam  F107500100013 
           served as monitor by counting the 3He particles        F107500100014 
           elastically scattered by the target backing.           F107500100015 
SAMPLE     Targets were prepared by evaporating 30-40 mu-g/cm2    F107500100016 
           SiO on 50 nm nickel foils.                             F107500100017 
HISTORY    (20100701C)                                            F107500100018 
ENDBIB              16          0                                 F107500100019 
NOCOMMON             0          0                                 F107500100020 
ENDSUBENT           19          0                                 F107500199999 
SUBENT        F1075002   20100701                             F039F107500200001 
BIB                  3          6                                 F107500200002 
REACTION   (8-O-16(HE3,EL)8-O-16,,DA,,RTH)                        F107500200003 
ERR-ANALYS (ERR-SYS)    Absolute cross section error              F107500200004 
           (EN-ERR-DIG) Energy digitizing error                   F107500200005 
           (ERR-DIG)    Data digitizing error                     F107500200006 
           (DATA-ERR)   Error from the graphic bars               F107500200007 
STATUS     (CURVE) Fig.1                                          F107500200008 
ENDBIB               6          0                                 F107500200009 
COMMON               3          3                                 F107500200010 
ERR-SYS    EN-ERR-DIG ERR-DIG                                     F107500200011 
PER-CENT   MEV        NO-DIM                                      F107500200012 
 10.        0.0015     0.0009                                     F107500200013 
ENDCOMMON            3          0                                 F107500200014 
DATA                 4        131                                 F107500200015 
ANG        EN         DATA       DATA-ERR                         F107500200016 
ADEG       MEV        NO-DIM     NO-DIM                           F107500200017 
        75.     4.4057    0.52422  1.895E-02                      F107500200018 
        75.     4.5006     0.4844  1.897E-02                      F107500200019 
        75.     4.6002    0.48248  1.474E-02                      F107500200020 
        75.     4.6975    0.47425  1.472E-02                      F107500200021 
        75.     4.8017    0.58392  1.684E-02                      F107500200022 
        75.     4.8964    0.60725  1.263E-02                      F107500200023 
        75.     4.9474    0.61156  1.474E-02                      F107500200024 
        75.     5.0009     0.5864  1.473E-02                      F107500200025 
        75.     5.0422    0.62437  1.684E-02                      F107500200026 
        75.     5.1006    0.59711  1.474E-02                      F107500200027 
        75.     5.1516    0.60563  1.895E-02                      F107500200028 
        75.     5.2999    0.58065  1.474E-02                      F107500200029 
       79.4      4.501    0.59133   1.72E-02                      F107500200030 
       79.4     4.5517     0.5397  1.504E-02                      F107500200031 
       79.4     4.5961    0.56547   1.29E-02                      F107500200032 
       79.4     4.6454    0.60199   1.72E-02                      F107500200033 
       79.4     4.6971     0.6127  1.505E-02                      F107500200034 
       79.4     4.7488    0.57612   1.71E-02                      F107500200035 
       79.4     4.7981    0.58684  1.505E-02                      F107500200036 
       79.4     4.8473    0.55671   1.72E-02                      F107500200037 
       79.4     4.9015    0.60827   1.73E-02                      F107500200038 
       79.4     4.9508    0.65123   2.15E-02                      F107500200039 
       79.4     5.0494    0.71996  1.935E-02                      F107500200040 
       79.4     5.1011    0.71133  1.938E-02                      F107500200041 
       79.4     5.1553    0.65755   2.15E-02                      F107500200042 
       79.4     5.1971    0.67687   2.17E-02                      F107500200043 
       79.4     5.3005    0.58866  1.935E-02                      F107500200044 
       79.4     5.3522    0.52628   1.29E-02                      F107500200045 
       79.4     5.4014     0.5155  1.935E-02                      F107500200046 
       79.4     5.4507    0.52192  1.937E-02                      F107500200047 
       79.4     5.5024    0.54983   1.72E-02                      F107500200048 
        90.     4.5027    0.58696  2.581E-02                      F107500200049 
        90.     4.6044    0.59327  2.366E-02                      F107500200050 
        90.     4.7013    0.60605  2.367E-02                      F107500200051 
        90.     4.7983    0.70914  2.151E-02                      F107500200052 
        90.     4.9001    0.77783  2.581E-02                      F107500200053 
        90.     4.9994    0.79705  2.152E-02                      F107500200054 
        90.     5.0503    0.78623  2.151E-02                      F107500200055 
        90.     5.0986    0.75391  2.153E-02                      F107500200056 
