ENTRY            F0252   19990412                             0000F025200000001 
SUBENT        F0252001   19990412                             0000F025200100001 
BIB                 10         22                                 F025200100002 
TITLE      Differential cross sections for the 9Be(3He,p)11B      F025200100003 
           reaction                                               F025200100004 
AUTHOR     (E.A.WOLICKI,H.D.HOLMGREN,R.L.JOHNSTON,E.G.ILLSLEY)    F025200100005 
INSTITUTE  (1USANRL)                                              F025200100006 
REFERENCE  (J,PR,116,1585,195912)                                 F025200100007 
SAMPLE     Targets were prepared by evaporating a thin layer of   F025200100008 
           beryllium onto 10-microinch nickel foil. The targets   F025200100009 
           had thicknesses of between 25 and 50 keV to the        F025200100010 
           incident beam.                                         F025200100011 
METHOD     (PHD)                                                  F025200100012 
FACILITY   (VDG)                                                  F025200100013 
DETECTOR   (PLATE) Ilford C-2 200-micron nuclear emulsions for    F025200100014 
           angular distributions of the proton groups leaving the F025200100015 
           11B nucleus in its ground and 1-st excited states      F025200100016 
           (CSICR) A sliding seal chamber and CsI scintillation   F025200100017 
           detector for proton groups p0 - p6 at 4.5 MeV.         F025200100018 
ERR-ANALYS (ERR-1) The error due to normalization. Absolute cross F025200100019 
           sections were obtained by normalizing all measurements F025200100020 
           to an absolute differential cross-section determinationF025200100021 
           made at 2.0 MeV.                                       F025200100022 
HISTORY    (19850318C)                                            F025200100023 
           (19990409A) CNPD: corrected 4-dig. year                F025200100024 
ENDBIB              22          0                                 F025200100025 
COMMON               1          3                                 F025200100026 
ERR-1                                                             F025200100027 
PER-CENT                                                          F025200100028 
  20.0                                                            F025200100029 
ENDCOMMON            3          0                                 F025200100030 
ENDSUBENT           29          0                                 F025200199999 
SUBENT        F0252002   19990412                             0000F025200200001 
BIB                  5         18                                 F025200200002 
REACTION   (4-BE-9(HE3,P)5-B-11,PAR,DA,,,EXP)                     F025200200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F025200200004 
           (DATA-ERR) Error from error bars ann digitizing.       F025200200005 
           The error bars include a uncertainty in the            F025200200006 
           determination of the solid angle, an estimated         F025200200007 
           uncertainty in the counting of the track statistical   F025200200008 
           uncertainties due to the number of track counted,      F025200200009 
           due to a small overlap in the pulse-height spectrum    F025200200010 
           between proton groups p2 and p3 or due to pulses causedF025200200011 
           by other reaction products from the target which lay   F025200200012 
           in the same region of the pulse-height spectrum a      F025200200013 
           proton groups p4,5 and p6 (major portion of the        F025200200014 
           total uncertainty for these two groups).               F025200200015 
FLAG       (1.) Points obtained using nuclear emulsion            F025200200016 
           (2.) Points obtained using a sliding seal chamber and  F025200200017 
           CsI scintillation counters                             F025200200018 
STATUS     (CURVE) fig 2,3,4                                      F025200200019 
EN-SEC     (E-LVL,5-B-11)                                         F025200200020 
ENDBIB              18          0                                 F025200200021 
COMMON               2          3                                 F025200200022 
EN         ANG-ERR                                                F025200200023 
MEV        ADEG                                                   F025200200024 
  4.5        0.7                                                  F025200200025 
ENDCOMMON            3          0                                 F025200200026 
DATA                 5        160                                 F025200200027 
E-LVL      ANG-CM     DATA-CM    DATA-ERR   FLAG                  F025200200028 
REACTION   (4-BE-9(HE3,P)5-B-11,PAR,DA,,LEG/RS,EXP)               F025200400003 
STATUS     (TABLE) TABLE 1                                        F025200400004 
EN-SEC     (E-LVL,5-B-11)                                         F025200400005 
ENDBIB               3          0                                 F025200400006 
COMMON               1          3                                 F025200400007 
EN                                                                F025200400008 
MEV                                                               F025200400009 
  4.5                                                             F025200400010 
ENDCOMMON            3          0                                 F025200400011 
DATA                 3         16                                 F025200400012 
E-LVL      NUMBER-CM  DATA-CM                                     F025200400013 
MEV        NO-DIM     NO-DIM                                      F025200400014 
     0.         1.        -0.09                                   F025200400015 
     0.         2.         0.097                                  F025200400016 
     0.         3.         0.295                                  F025200400017 
     0.         4.         0.165                                  F025200400018 
     0.         5.        -0.112                                  F025200400019 
     0.         6.        -0.028                                  F025200400020 
     0.         7.         0.056                                  F025200400021 
     0.         8.         0.017                                  F025200400022 
     2.138      1.         0.028                                  F025200400023 
     2.138      2.         0.573                                  F025200400024 
     2.138      3.        -0.112                                  F025200400025 
     2.138      4.        -0.277                                  F025200400026 
     2.138      5.         0.231                                  F025200400027 
     2.138      6.         0.539                                  F025200400028 
     2.138      7.         0.225                                  F025200400029 
     2.138      8.         0.23                                   F025200400030 
ENDDATA             18          0                                 F025200400031 
ENDSUBENT           30          0                                 F025200499999 
SUBENT        F0252005   19990412                             0000F025200500001 
BIB                  3          3                                 F025200500002 
REACTION   (4-BE-9(HE3,P)5-B-11,PAR,SIG,,,EXP)                    F025200500003 
STATUS     (TABLE) TABLE 1                                        F025200500004 
EN-SEC     (E-LVL,5-B-11)                                         F025200500005 
ENDBIB               3          0                                 F025200500006 
COMMON               1          3                                 F025200500007 
EN                                                                F025200500008 
MEV                                                               F025200500009 
  4.5                                                             F025200500010 
ENDCOMMON            3          0                                 F025200500011 
DATA                 2          2                                 F025200500012 
E-LVL      DATA                                                   F025200500013 
MEV        MB                                                     F025200500014 
     0.        11.5                                               F025200500015 
     2.138      7.4                                               F025200500016 
ENDDATA              4          0                                 F025200500017 
ENDSUBENT           16          0                                 F025200599999 
SUBENT        F0252006   19990412                             0000F025200600001 
BIB                  3          3                                 F025200600002 
REACTION   (4-BE-9(HE3,P)5-B-11,PAR,DA,,,EXP)                     F025200600003 
STATUS     (TABLE) TABLE 2                                        F025200600004 
EN-SEC     (E-LVL,5-B-11)                                         F025200600005 
ENDBIB               3          0                                 F025200600006 
COMMON               1          3                                 F025200600007 
E-LVL                                                             F025200600008 
MEV                                                               F025200600009 
 0.                                                               F025200600010 
ENDCOMMON            3          0                                 F025200600011 
DATA                 3        200                                 F025200600012 
EN         ANG        DATA                                        F025200600013 
MEV        ADEG       MB/SR                                       F025200600014 
     1.8        0.         1.56                                   F025200600015 
     1.8       30.         1.26                                   F025200600016 
     1.8       60.         0.78                                   F025200600017 
     1.8       90.         0.84                                   F025200600018 
     1.8      120.         1.01                                   F025200600019 
     1.8      150.         1.08                                   F025200600020 
     1.9        0.         1.92                                   F025200600021 
     1.9       30.         1.42                                   F025200600022 
     1.9       60.         0.9                                    F025200600023 
     1.9       90.         0.95                                   F025200600024 
     1.9      120.         1.05                                   F025200600025 
     1.9      150.         1.26                                   F025200600026 
     2.         0.         2.1                                    F025200600027 
     2.        30.         1.52                                   F025200600028 
     2.        60.         0.93                                   F025200600029 
     2.        90.         1.01                                   F025200600030 
     2.       120.         1.14                                   F025200600031 
     2.       150.         1.47                                   F025200600032 
     2.1        0.         2.31                                   F025200600033 
     2.1       30.         1.58                                   F025200600034 
     2.1       60.         0.92                                   F025200600035 
     2.1       90.         0.97                                   F025200600036 
     2.1      120.         1.16                                   F025200600037 
     2.1      150.         1.5                                    F025200600038 
     2.2        0.         2.36                                   F025200600039 
     2.2       30.         1.59                                   F025200600040 
     2.2       60.         0.91                                   F025200600041 
     2.2       90.         1.04                                   F025200600042 
     2.2      120.         1.21                                   F025200600043 
     2.2      150.         1.58                                   F025200600044 
     2.3        0.         2.22                                   F025200600045 
     2.3       30.         1.52                                   F025200600046 
     2.3       60.         0.87                                   F025200600047 
     2.3       90.         1.04                                   F025200600048 
     2.3      120.         1.16                                   F025200600049 
     2.3      150.         1.61                                   F025200600050 
     2.4        0.         2.17                                   F025200600051 
     2.4       30.         1.48                                   F025200600052 
     2.4       60.         0.86                                   F025200600053 
     2.4       90.         0.99                                   F025200600054 
     2.4      120.         1.11                                   F025200600055 
     2.4      150.         1.61                                   F025200600056 
     2.5        0.         2.06                                   F025200600057 
     2.5       30.         1.29                                   F025200600058 
     2.5       60.         0.82                                   F025200600059 
     2.5       90.         1.                                     F025200600060 
     2.5      120.         1.19                                   F025200600061 
     2.5      150.         1.6                                    F025200600062 
     2.6       30.         1.24                                   F025200600063 
     2.6       60.         0.78                                   F025200600064 
     2.6       90.         0.98                                   F025200600065 
     2.6      120.         1.16                                   F025200600066 
     2.6      150.         1.69                                   F025200600067 
     2.7       30.         1.17                                   F025200600068 
     2.7       60.         0.77                                   F025200600069 
     2.7       90.         0.99                                   F025200600070 
     2.7      120.         1.17                                   F025200600071 
     2.7      150.         1.62                                   F025200600072 
     2.8        7.         1.84                                   F025200600073 
     2.8       30.         1.23                                   F025200600074 
     2.8       60.         0.76                                   F025200600075 
     2.8       90.         1.02                                   F025200600076 
     2.8      120.         1.14                                   F025200600077 
     2.8      150.         1.59                                   F025200600078 
     2.9        7.         1.8                                    F025200600079 
     2.9       30.         1.16                                   F025200600080 
     2.9       60.         0.79                                   F025200600081 
     2.9       90.         1.02                                   F025200600082 
     2.9      120.         1.13                                   F025200600083 
     2.9      150.         1.47                                   F025200600084 
     3.         7.         1.76                                   F025200600085 
     3.        30.         1.14                                   F025200600086 
     3.        60.         0.84                                   F025200600087 
     3.        90.         1.09                                   F025200600088 
     3.       120.         1.08                                   F025200600089 
     3.       150.         1.39                                   F025200600090 
     3.1        7.         1.79                                   F025200600091 
     3.1       30.         1.12                                   F025200600092 
     3.1       60.         0.82                                   F025200600093 
     3.1       90.         1.05                                   F025200600094 
     3.1      120.         1.13                                   F025200600095 
     3.1      150.         1.32                                   F025200600096 
     3.2        7.         1.85                                   F025200600097 
     3.2       30.         1.15                                   F025200600098 
     3.2       60.         0.92                                   F025200600099 
     3.2       90.         1.06                                   F025200600100 
     3.2      120.         1.03                                   F025200600101 
     3.2      150.         1.22                                   F025200600102 
     3.3        7.         1.86                                   F025200600103 
     3.3       30.         1.1                                    F025200600104 
     3.3       60.         0.88                                   F025200600105 
     3.3       90.         1.03                                   F025200600106 
     3.3      120.         1.06                                   F025200600107 
     3.3      150.         1.21                                   F025200600108 
     3.4        7.         1.74                                   F025200600109 
     3.4       30.         1.15                                   F025200600110 
     3.4       60.         0.84                                   F025200600111 
     3.4       90.         1.                                     F025200600112 
     3.4      120.         1.14                                   F025200600113 
     3.4      150.         1.16                                   F025200600114 
     3.5        7.         1.77                                   F025200600115 
     3.5       30.         1.12                                   F025200600116 
     3.5       60.         0.84                                   F025200600117 
     3.5       90.         1.03                                   F025200600118 
     3.5      120.         1.11                                   F025200600119 
     3.5      150.         1.09                                   F025200600120 
     3.6        7.         1.78                                   F025200600121 
     3.6       30.         1.06                                   F025200600122 
     3.6       60.         0.78                                   F025200600123 
     3.6       90.         0.96                                   F025200600124 
     3.6      120.         1.01                                   F025200600125 
     3.6      150.         1.02                                   F025200600126 
     3.7        7.         1.88                                   F025200600127 
     3.7       30.         1.1                                    F025200600128 
     3.7       60.         0.79                                   F025200600129 
     3.7       90.         0.95                                   F025200600130 
     3.7      120.         1.                                     F025200600131 
     3.7      150.         0.95                                   F025200600132 
     3.8        7.         1.8                                    F025200600133 
     3.8       30.         1.11                                   F025200600134 
     3.8       60.         0.79                                   F025200600135 
     3.8       90.         0.97                                   F025200600136 
     3.8      120.         0.92                                   F025200600137 
     3.8      150.         0.92                                   F025200600138 
     3.9        7.         1.88                                   F025200600139 
     3.9       30.         1.16                                   F025200600140 
     3.9       60.         0.75                                   F025200600141 
     3.9       90.         0.93                                   F025200600142 
     3.9      120.         0.9                                    F025200600143 
     3.9      150.         0.92                                   F025200600144 
     4.         7.         1.9                                    F025200600145 
     4.        30.         1.06                                   F025200600146 
     4.        60.         0.76                                   F025200600147 
     4.        90.         0.94                                   F025200600148 
     4.       120.         0.83                                   F025200600149 
     4.       150.         0.85                                   F025200600150 
     4.1        7.         1.8                                    F025200600151 
     4.1       30.         1.11                                   F025200600152 
     4.1       60.         0.74                                   F025200600153 
     4.1       90.         0.94                                   F025200600154 
     4.1      120.         0.79                                   F025200600155 
     4.1      150.         0.85                                   F025200600156 
     4.2        7.         1.82                                   F025200600157 
     4.2       30.         1.08                                   F025200600158 
     4.2       60.         0.78                                   F025200600159 
     4.2       90.         0.94                                   F025200600160 
     4.2      120.         0.79                                   F025200600161 
     4.2      150.         0.82                                   F025200600162 
     4.3        7.         1.61                                   F025200600163 
     4.3       30.         1.08                                   F025200600164 
     4.3       60.         0.8                                    F025200600165 
     4.3       90.         0.98                                   F025200600166 
     4.3      120.         0.82                                   F025200600167 
     4.3      150.         0.82                                   F025200600168 
     4.4        7.         1.49                                   F025200600169 
     4.4       30.         0.98                                   F025200600170 
     4.4       60.         0.75                                   F025200600171 
     4.4       90.         1.02                                   F025200600172 
     4.4      120.         0.83                                   F025200600173 
     4.4      150.         0.79                                   F025200600174 
     4.5        7.         1.54                                   F025200600175 
     4.5       30.         1.08                                   F025200600176 
     4.5       60.         0.69                                   F025200600177 
     4.5       90.         0.95                                   F025200600178 
     4.5      120.         0.86                                   F025200600179 
     4.5      150.         0.89                                   F025200600180 
     4.6        7.         1.47                                   F025200600181 
     4.6       30.         1.13                                   F025200600182 
     4.6       60.         0.73                                   F025200600183 
     4.6       90.         0.94                                   F025200600184 
     4.6      120.         0.91                                   F025200600185 
     4.6      150.         0.86                                   F025200600186 
     4.7        7.         1.62                                   F025200600187 
     4.7       30.         1.09                                   F025200600188 
     4.7       60.         0.67                                   F025200600189 
     4.7       90.         0.91                                   F025200600190 
     4.7      120.         0.92                                   F025200600191 
     4.7      150.         0.83                                   F025200600192 
     4.8        7.         1.33                                   F025200600193 
     4.8       30.         1.01                                   F025200600194 
     4.8       60.         0.72                                   F025200600195 
     4.8       90.         0.99                                   F025200600196 
     4.8      120.         0.94                                   F025200600197 
     4.8      150.         0.74                                   F025200600198 
     4.9        7.         1.47                                   F025200600199 
     4.9       30.         1.1                                    F025200600200 
     4.9       60.         0.68                                   F025200600201 
     4.9       90.         0.99                                   F025200600202 
     4.9      120.         0.83                                   F025200600203 
     4.9      150.         0.83                                   F025200600204 
     5.         7.         1.48                                   F025200600205 
     5.        60.         0.56                                   F025200600206 
     5.        90.         0.94                                   F025200600207 
     5.       120.         0.93                                   F025200600208 
     5.       150.         0.69                                   F025200600209 
     5.1        7.         1.48                                   F025200600210 
     5.1       60.         0.5                                    F025200600211 
     5.1       90.         0.91                                   F025200600212 
     5.1      120.         0.92                                   F025200600213 
     5.1      150.         0.68                                   F025200600214 
ENDDATA            202          0                                 F025200600215 
ENDSUBENT          214          0                                 F025200699999 
SUBENT        F0252007   19990412                             0000F025200700001 
BIB                  3          3                                 F025200700002 
REACTION   (4-BE-9(HE3,P)5-B-11,PAR,DA,,,EXP)                     F025200700003 
STATUS     (TABLE) TABLE 3                                        F025200700004 
EN-SEC     (E-LVL,5-B-11)                                         F025200700005 
ENDBIB               3          0                                 F025200700006 
COMMON               1          3                                 F025200700007 
E-LVL                                                             F025200700008 
MEV                                                               F025200700009 
  2.138                                                           F025200700010 
ENDCOMMON            3          0                                 F025200700011 
DATA                 3        199                                 F025200700012 
EN         ANG        DATA                                        F025200700013 
MEV        ADEG       MB/SR                                       F025200700014 
     1.8        0.         0.26                                   F025200700015 
     1.8       30.         0.4                                    F025200700016 
     1.8       60.         0.58                                   F025200700017 
     1.8       90.         0.46                                   F025200700018 
     1.8      120.         0.45                                   F025200700019 
     1.8      150.         0.63                                   F025200700020 
     1.9        0.         0.32                                   F025200700021 
     1.9       30.         0.39                                   F025200700022 
     1.9       60.         0.62                                   F025200700023 
     1.9       90.         0.46                                   F025200700024 
     1.9      120.         0.5                                    F025200700025 
     1.9      150.         0.73                                   F025200700026 
     2.         0.         0.34                                   F025200700027 
     2.        30.         0.36                                   F025200700028 
     2.        60.         0.59                                   F025200700029 
     2.        90.         0.44                                   F025200700030 
     2.       120.         0.51                                   F025200700031 
     2.       150.         0.82                                   F025200700032 
     2.1        0.         0.36                                   F025200700033 
     2.1       30.         0.37                                   F025200700034 
     2.1       60.         0.6                                    F025200700035 
     2.1       90.         0.42                                   F025200700036 
     2.1      120.         0.51                                   F025200700037 
     2.1      150.         0.84                                   F025200700038 
     2.2        0.         0.4                                    F025200700039 
     2.2       30.         0.32                                   F025200700040 
     2.2       60.         0.6                                    F025200700041 
     2.2       90.         0.44                                   F025200700042 
     2.2      120.         0.52                                   F025200700043 
     2.2      150.         0.92                                   F025200700044 
     2.3        0.         0.44                                   F025200700045 
     2.3       30.         0.32                                   F025200700046 
     2.3       60.         0.66                                   F025200700047 
     2.3       90.         0.44                                   F025200700048 
     2.3      120.         0.48                                   F025200700049 
     2.3      150.         0.85                                   F025200700050 
     2.4        0.         0.49                                   F025200700051 
     2.4       30.         0.34                                   F025200700052 
     2.4       60.         0.69                                   F025200700053 
     2.4       90.         0.45                                   F025200700054 
     2.4      120.         0.48                                   F025200700055 
     2.4      150.         0.82                                   F025200700056 
     2.5        0.         0.62                                   F025200700057 
     2.5       30.         0.33                                   F025200700058 
     2.5       60.         0.77                                   F025200700059 
     2.5       90.         0.44                                   F025200700060 
     2.5      120.         0.45                                   F025200700061 
     2.5      150.         0.76                                   F025200700062 
     2.6       30.         0.35                                   F025200700063 
     2.6       60.         0.8                                    F025200700064 
     2.6       90.         0.47                                   F025200700065 
     2.6      120.         0.44                                   F025200700066 
     2.6      150.         0.66                                   F025200700067 
     2.7       30.         0.37                                   F025200700068 
     2.7       60.         0.86                                   F025200700069 
     2.7       90.         0.49                                   F025200700070 
     2.7      120.         0.43                                   F025200700071 
     2.7      150.         0.59                                   F025200700072 
     2.8        7.         0.69                                   F025200700073 
     2.8       30.         0.43                                   F025200700074 
     2.8       60.         0.85                                   F025200700075 
     2.8       90.         0.52                                   F025200700076 
     2.8      120.         0.42                                   F025200700077 
     2.8      150.         0.6                                    F025200700078 
     2.9        7.         0.78                                   F025200700079 
     2.9       30.         0.47                                   F025200700080 
     2.9       60.         0.88                                   F025200700081 
     2.9       90.         0.5                                    F025200700082 
     2.9      120.         0.4                                    F025200700083 
     2.9      150.         0.56                                   F025200700084 
     3.         7.         0.95                                   F025200700085 
     3.        30.         0.56                                   F025200700086 
     3.        60.         0.89                                   F025200700087 
     3.        90.         0.49                                   F025200700088 
     3.       120.         0.39                                   F025200700089 
     3.       150.         0.53                                   F025200700090 
     3.1        7.         1.11                                   F025200700091 
     3.1       30.         0.6                                    F025200700092 
     3.1       60.         0.96                                   F025200700093 
     3.1       90.         0.46                                   F025200700094 
     3.1      120.         0.41                                   F025200700095 
     3.1      150.         0.49                                   F025200700096 
     3.2        7.         1.21                                   F025200700097 
     3.2       30.         0.65                                   F025200700098 
     3.2       60.         0.97                                   F025200700099 
     3.2       90.         0.41                                   F025200700100 
     3.2      120.         0.44                                   F025200700101 
     3.2      150.         0.56                                   F025200700102 
     3.3        7.         1.33                                   F025200700103 
     3.3       30.         0.69                                   F025200700104 
     3.3       60.         1.02                                   F025200700105 
     3.3       90.         0.4                                    F025200700106 
     3.3      120.         0.5                                    F025200700107 
     3.3      150.         0.56                                   F025200700108 
     3.4        7.         1.31                                   F025200700109 
     3.4       30.         0.66                                   F025200700110 
     3.4       60.         1.05                                   F025200700111 
     3.4       90.         0.34                                   F025200700112 
     3.4      120.         0.52                                   F025200700113 
     3.4      150.         0.59                                   F025200700114 
     3.5        7.         1.27                                   F025200700115 
     3.5       30.         0.71                                   F025200700116 
     3.5       60.         1.03                                   F025200700117 
     3.5       90.         0.29                                   F025200700118 
     3.5      120.         0.5                                    F025200700119 
     3.5      150.         0.67                                   F025200700120 
     3.6        7.         1.22                                   F025200700121 
     3.6       30.         0.73                                   F025200700122 
     3.6       60.         1.03                                   F025200700123 
     3.6       90.         0.29                                   F025200700124 
     3.6      120.         0.51                                   F025200700125 
     3.6      150.         0.68                                   F025200700126 
     3.7        7.         1.28                                   F025200700127 
     3.7       30.         0.78                                   F025200700128 
     3.7       60.         1.06                                   F025200700129 
     3.7       90.         0.31                                   F025200700130 
     3.7      120.         0.49                                   F025200700131 
     3.7      150.         0.73                                   F025200700132 
     3.8        7.         1.19                                   F025200700133 
     3.8       30.         0.72                                   F025200700134 
     3.8       60.         1.06                                   F025200700135 
     3.8       90.         0.27                                   F025200700136 
     3.8      120.         0.53                                   F025200700137 
     3.8      150.         0.68                                   F025200700138 
     3.9        7.         1.17                                   F025200700139 
     3.9       30.         0.71                                   F025200700140 
     3.9       60.         1.03                                   F025200700141 
     3.9       90.         0.27                                   F025200700142 
     3.9      120.         0.5                                    F025200700143 
     3.9      150.         0.71                                   F025200700144 
     4.         7.         1.25                                   F025200700145 
     4.        30.         0.68                                   F025200700146 
     4.        60.         0.96                                   F025200700147 
     4.        90.         0.29                                   F025200700148 
     4.       120.         0.55                                   F025200700149 
     4.       150.         0.73                                   F025200700150 
     4.1        7.         1.26                                   F025200700151 
     4.1       30.         0.66                                   F025200700152 
     4.1       60.         0.95                                   F025200700153 
     4.1       90.         0.29                                   F025200700154 
     4.1      120.         0.55                                   F025200700155 
     4.1      150.         0.7                                    F025200700156 
     4.2        7.         1.36                                   F025200700157 
     4.2       30.         0.7                                    F025200700158 
     4.2       60.         0.91                                   F025200700159 
     4.2       90.         0.28                                   F025200700160 
     4.2      120.         0.58                                   F025200700161 
     4.2      150.         0.69                                   F025200700162 
     4.3        7.         1.38                                   F025200700163 
     4.3       30.         0.66                                   F025200700164 
     4.3       60.         0.75                                   F025200700165 
     4.3       90.         0.29                                   F025200700166 
     4.3      120.         0.62                                   F025200700167 
     4.3      150.         0.67                                   F025200700168 
     4.4        7.         1.4                                    F025200700169 
     4.4       30.         0.63                                   F025200700170 
     4.4       60.         0.83                                   F025200700171 
     4.4       90.         0.33                                   F025200700172 
     4.4      120.         0.58                                   F025200700173 
     4.4      150.         0.68                                   F025200700174 
     4.5        7.         1.37                                   F025200700175 
     4.5       30.         0.71                                   F025200700176 
     4.5       60.         0.78                                   F025200700177 
     4.5       90.         0.32                                   F025200700178 
     4.5      120.         0.62                                   F025200700179 
     4.5      150.         0.68                                   F025200700180 
     4.6        7.         1.48                                   F025200700181 
     4.6       30.         0.69                                   F025200700182 
     4.6       60.         0.72                                   F025200700183 
     4.6       90.         0.35                                   F025200700184 
     4.6      120.         0.62                                   F025200700185 
     4.7        7.         1.49                                   F025200700186 
     4.7       30.         0.76                                   F025200700187 
     4.7       60.         0.66                                   F025200700188 
     4.7       90.         0.34                                   F025200700189 
     4.7      120.         0.55                                   F025200700190 
     4.7      150.         0.57                                   F025200700191 
     4.8        7.         1.45                                   F025200700192 
     4.8       30.         0.8                                    F025200700193 
     4.8       60.         0.69                                   F025200700194 
     4.8       90.         0.37                                   F025200700195 
     4.8      120.         0.6                                    F025200700196 
     4.8      150.         0.56                                   F025200700197 
     4.9        7.         1.48                                   F025200700198 
     4.9       30.         0.84                                   F025200700199 
     4.9       60.         0.65                                   F025200700200 
     4.9       90.         0.32                                   F025200700201 
     4.9      120.         0.57                                   F025200700202 
     4.9      150.         0.56                                   F025200700203 
     5.         7.         1.51                                   F025200700204 
     5.        60.         0.67                                   F025200700205 
     5.        90.         0.37                                   F025200700206 
     5.       120.         0.56                                   F025200700207 
     5.       150.         0.53                                   F025200700208 
     5.1        7.         1.47                                   F025200700209 
     5.1       60.         0.69                                   F025200700210 
     5.1       90.         0.34                                   F025200700211 
     5.1      120.         0.58                                   F025200700212 
     5.1      150.         0.52                                   F025200700213 
ENDDATA            201          0                                 F025200700214 
ENDSUBENT          213          0                                 F025200799999 
ENDENTRY             7          0                                 F025299999999 
