     8.64      75.84      40.32                                   F019800300017 
     8.64      81.33      51.1                                    F019800300018 
     8.64      86.68      63.78                                   F019800300019 
     8.64      92.7       79.61                                   F019800300020 
     8.64      97.77      65.32                                   F019800300021 
     8.64     102.7       49.29                                   F019800300022 
     8.64     107.1       28.69                                   F019800300023 
     8.64     112.7       17.89                                   F019800300024 
     8.64     116.7        3.983                                  F019800300025 
     8.64     121.4        1.683                                  F019800300026 
     8.64     125.2        4.973                                  F019800300027 
     8.64     130.7        7.067                                  F019800300028 
     8.64     134.8        8.82                                   F019800300029 
     8.64     139.1       13.63                                   F019800300030 
     8.64     143.8       18.22                                   F019800300031 
     8.64     147.8       29.02                                   F019800300032 
     8.64     152.        46.94                                   F019800300033 
     8.64     156.2       81.95                                   F019800300034 
     8.64     160.       120.                                     F019800300035 
     8.64     164.1      238.6                                    F019800300036 
     8.64     167.3      180.                                     F019800300037 
     9.31      30.39    1061.                                     F019800300038 
     9.31      36.05     358.3                                    F019800300039 
     9.31      42.15     143.2                                    F019800300040 
     9.31      48.08     104.8                                    F019800300041 
     9.31      53.7      104.7                                    F019800300042 
     9.31      59.92     104.6                                    F019800300043 
     9.31      65.1       82.59                                   F019800300044 
     9.31      71.48      55.11                                   F019800300045 
     9.31      76.51      59.39                                   F019800300046 
     9.31      81.99      39.97                                   F019800300047 
     9.31      87.18      35.8                                    F019800300048 
     9.31      92.96      22.72                                   F019800300049 
     9.31      97.44       7.742                                  F019800300050 
     9.31     102.6        4.671                                  F019800300051 
     9.31     107.5        6.532                                  F019800300052 
     9.31     113.1       17.89                                   F019800300053 
     9.31     118.2       38.72                                   F019800300054 
     9.31     122.7       61.94                                   F019800300055 
     9.31     127.5       79.64                                   F019800300056 
     9.31     132.1       87.28                                   F019800300057 
     9.31     135.7       71.89                                   F019800300058 
     9.31     140.1       51.76                                   F019800300059 
     9.31     144.3       33.41                                   F019800300060 
     9.31     147.8       23.26                                   F019800300061 
     9.31     152.4       54.32                                   F019800300062 
     9.31     156.2      113.7                                    F019800300063 
     9.31     159.8      217.1                                    F019800300064 
     9.31     164.2      344.3                                    F019800300065 
