EN         ANG-CM     DATA-CM    DATA-ERR1                        F029400200016 
MEV        ADEG       ARB-UNITS  ARB-UNITS                        F029400200017 
     6.29     111.8        5.081      0.0937                      F029400200099 
     6.29     115.4        5.316      0.0937                      F029400200100 
     6.29     119.1        5.903      0.0937                      F029400200101 
     6.29     124.6        6.138      0.0937                      F029400200102 
     6.29     130.         6.137      0.0937                      F029400200103 
     6.29     135.5        6.842      0.1178                      F029400200104 
     6.29     139.2        7.194      0.2349                      F029400200105 
     6.29     142.8        6.958      0.0937                      F029400200106 
     6.29     148.3        7.311      0.0937                      F029400200107 
     6.29     153.8        7.78       0.0937                      F029400200108 
     6.29     163.         8.249      0.2351                      F029400200109 
     6.29     166.6        8.719      0.2351                      F029400200110 
     6.89      35.32       3.318      0.0531                      F029400200111 
     6.89      44.35       3.563      0.1227                      F029400200112 
     6.89      46.17       3.87       0.0531                      F029400200113 
     6.89      49.79       4.054      0.0531                      F029400200114 
     6.89      55.22       4.36       0.0531                      F029400200115 
     6.89      57.03       4.605      0.1841                      F029400200116 
     6.89      64.27       5.096      0.1839                      F029400200117 
     6.89      69.7        5.341      0.184                       F029400200118 
     6.89      75.13       5.709      0.184                       F029400200119 
     6.89      80.55       5.77       0.2453                      F029400200120 
     6.89      85.98       6.138      0.184                       F029400200121 
     6.89      96.82       6.444      0.184                       F029400200122 
     6.89     102.3        6.628      0.184                       F029400200123 
     6.89     105.9        6.689      0.1227                      F029400200124 
     6.89     114.9        6.688      0.1839                      F029400200125 
     6.89     120.3        6.566      0.1839                      F029400200126 
     6.89     125.7        6.627      0.2453                      F029400200127 
     6.89     127.5        6.381      0.1227                      F029400200128 
     6.89     132.9        6.136      0.1839                      F029400200129 
     6.89     140.1        5.829      0.1839                      F029400200130 
     6.89     141.9        5.583      0.1839                      F029400200131 
     6.89     145.6        5.277      0.1839                      F029400200132 
     6.89     154.6        5.092      0.0614                      F029400200133 
     6.89     161.8        4.602      0.184                       F029400200134 
     6.89     165.8        4.234      0.1226                      F029400200135 
     6.89     169.         4.478      0.184                       F029400200136 
     7.39      32.84       3.265      0.059                       F029400200137 
     7.39      41.87       3.263      0.059                       F029400200138 
     7.39      50.9        3.261      0.059                       F029400200139 
     7.39      58.16       3.443      0.059                       F029400200140 
     7.39      61.77       3.442      0.059                       F029400200141 
     7.39      65.37       3.379      0.059                       F029400200142 
     7.39      72.65       3.623      0.059                       F029400200143 
     7.39      78.09       3.744      0.059                       F029400200144 
     7.39      96.37       4.721      0.059                       F029400200145 
     7.39     103.7        5.087      0.059                       F029400200146 
     7.39     109.2        5.392      0.059                       F029400200147 
     7.39     112.8        5.759      0.059                       F029400200148 
     7.39     116.5        5.942      0.059                       F029400200149 
     7.39     122.         6.309      0.1835                      F029400200150 
     7.39     132.9        6.735      0.1226                      F029400200151 
     7.39     136.6        6.796      0.1227                      F029400200152 
     7.39     140.1        6.611      0.1222                      F029400200153 
     7.39     143.7        6.426      0.1226                      F029400200154 
     7.39     149.1        6.486      0.1226                      F029400200155 
     7.39     154.5        6.301      0.059                       F029400200156 
     7.39     167.         5.562      0.2448                      F029400200157 
     7.39     172.4        5.376      0.184                       F029400200158 
ENDDATA            143          0                                 F029400200159 
ENDSUBENT          158          0                                 F029400299999 
SUBENT        F0294003   19990409                             0000F029400300001 
BIB                  5          8                                 F029400300002 
REACTION   (5-B-11(P,A)4-BE-8,PAR,SIG,,,EXP)                      F029400300003 
ERR-ANALYS (EN-ERR) Digitizing error                              F029400300004 
           (DATA-ERR1) Digitizing error and from graphic          F029400300005 
           bars (statistical)                                     F029400300006 
FLAG       (1.) Cross section in the energy region where only     F029400300007 
            four-point angular distribution                       F029400300008 
STATUS     (CURVE) Fig 7                                          F029400300009 
EN-SEC     (E-LVL,4-BE-8)                                         F029400300010 
ENDBIB               8          0                                 F029400300011 
COMMON               2          3                                 F029400300012 
EN-ERR     E-LVL                                                  F029400300013 
MEV        MEV                                                    F029400300014 
 0.015      0.                                                    F029400300015 
ENDCOMMON            3          0                                 F029400300016 
DATA                 4         61                                 F029400300017 
EN         DATA       DATA-ERR1  FLAG                             F029400300018 
MEV        MB         MB         NO-DIM                           F029400300019 
     3.39       7.581      0.0744     1.                          F029400300020 
     3.46       8.763      0.0744     1.                          F029400300021 
     3.496      9.421      0.0744     1.                          F029400300022 
     3.658     12.98       0.0744     1.                          F029400300023 
     3.724     13.36       0.0744     1.                          F029400300024 
     3.756     13.22       0.0744     1.                          F029400300025 
     3.819     12.8        0.0744     1.                          F029400300026 
     3.867     12.78       0.0744     1.                          F029400300027 
     3.896     11.97       0.0744     1.                          F029400300028 
     3.986     10.6        0.0744     1.                          F029400300029 
     4.091      8.958      0.0744     1.                          F029400300030 
     4.184      7.99       0.0744     1.                          F029400300031 
     4.275      6.756      0.0744     1.                          F029400300032 
     4.385      6.05       0.0744     1.                          F029400300033 
     4.496      5.613      0.0744                                 F029400300034 
     4.608      5.442      0.0744                                 F029400300035 
     4.706      5.677      0.401                                  F029400300036 
     4.804      5.913      0.0744                                 F029400300037 
     4.806      6.314      0.0744     1.                          F029400300038 
     4.856      6.699      0.5347                                 F029400300039 
     4.89       7.089      0.2673                                 F029400300040 
     4.926      7.881      0.401                                  F029400300041 
     4.997      9.196      0.0744                                 F029400300042 
     5.052     10.38       0.401                                  F029400300043 
     5.077     12.25       0.3957                                 F029400300044 
     5.154     11.56       0.401                                  F029400300045 
     5.222      8.855      0.0744                                 F029400300046 
     5.316      8.155      0.1337                                 F029400300047 
     5.404      6.386      0.0744                                 F029400300048 
     5.515      5.948      0.0744                                 F029400300049 
     5.608      4.98       0.0744                                 F029400300050 
     5.709      5.984      0.0744                                 F029400300051 
     5.805      5.919      0.0744                                 F029400300052 
     5.904      6.088      0.0744                                 F029400300053 
     5.988      6.73       0.0744                                 F029400300054 
     6.053      6.842      0.0744                                 F029400300055 
     6.104      7.495      0.0744                                 F029400300056 
     6.152      7.345      0.0744                                 F029400300057 
     6.198      6.661      0.0744                                 F029400300058 
     6.296      6.897      0.0744                                 F029400300059 
     6.409      6.993      0.0744                                 F029400300060 
     6.51       7.897      0.0744                                 F029400300061 
     6.571      7.074      0.0744                                 F029400300062 
     6.685      7.171      0.0744                                 F029400300063 
     6.781      7.005      0.0744                                 F029400300064 
     6.898      7.904      0.2673                                 F029400300065 
     6.993      7.471      0.0744                                 F029400300066 
     7.088      7.039      0.0744     1.                          F029400300067 
     7.106      7.301      0.0744                                 F029400300068 
     7.201      7.002      0.0744                                 F029400300069 
     7.299      7.237      0.0744                                 F029400300070 
