ENTRY            F0172   19990409                             0000F017200000001 
SUBENT        F0172001   19990409                             0000F017200100001 
BIB                  9         12                                 F017200100002 
TITLE      Investigation of the 9Be(t,n)11B reaction at the energyF017200100003 
           range of the tritium ions 1.1-1.7 MeV                  F017200100004 
AUTHOR     (K.MALUSHIN'SKA,K.NEDVEDJUK,V.I.SALACKIJ,I.KHALVEK)    F017200100005 
INSTITUTE  (4ZZZDUB)                                              F017200100006 
REFERENCE  (R,JINR-9986,1976)                                     F017200100007 
SAMPLE     A self-supporting thin beryllium target                F017200100008 
FACILITY   (VDG)                                                  F017200100009 
DETECTOR   (PLATE) 20x40 mm of the thicknesses 250 and 400 mu-m atF017200100010 
           the ten angles from 0 to 180 degr.                     F017200100011 
ERR-ANALYS (ERR-1) Error from normalization                       F017200100012 
HISTORY    (19840823C)                                            F017200100013 
           (19990409A) CNPD: corrected 4-dig. year                F017200100014 
ENDBIB              12          0                                 F017200100015 
COMMON               1          3                                 F017200100016 
ERR-1                                                             F017200100017 
PER-CENT                                                          F017200100018 
  30.0                                                            F017200100019 
ENDCOMMON            3          0                                 F017200100020 
ENDSUBENT           19          0                                 F017200199999 
SUBENT        F0172002   19990409                             0000F017200200001 
BIB                  4          6                                 F017200200002 
REACTION   (4-BE-9(T,N)5-B-11,PAR,DA,,,EXP)                       F017200200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F017200200004 
           (DATA-ERR) Error fron graphic bars (relative) and      F017200200005 
           digitizing                                             F017200200006 
EN-SEC     (E-LVL,5-B-11)                                         F017200200007 
STATUS     (CURVE) fig 3                                          F017200200008 
ENDBIB               6          0                                 F017200200009 
COMMON               1          3                                 F017200200010 
ANG-ERR                                                           F017200200011 
ADEG                                                              F017200200012 
 1.0                                                              F017200200013 
ENDCOMMON            3          0                                 F017200200014 
DATA                 5        200                                 F017200200015 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              F017200200016 
MEV        MEV        ADEG       MB/SR      MB/SR                 F017200200017 
     1.1        0.         3.329      0.8339     0.1111           F017200200018 
     1.1        0.        19.58       0.7672     0.1249           F017200200019 
     1.1        0.        36.97       0.8256     0.1388           F017200200020 
     1.1        0.        53.05       0.87       0.1113           F017200200021 
     1.1        0.        73.11       0.9428     0.1391           F017200200022 
     1.1        0.        91.79       1.043      0.1527           F017200200023 
     1.1        0.       109.8        0.7407     0.1111           F017200200024 
     1.1        0.       128.5        0.7716     0.0972           F017200200025 
     1.1        0.       146.         0.8023     0.1111           F017200200026 
     1.1        0.       163.1        1.013      0.1111           F017200200027 
     1.1        2.125      1.788      0.7348     0.094            F017200200028 
     1.1        2.125     18.92       0.5656     0.1406           F017200200029 
     1.1        2.125     37.02       0.7716     0.125            F017200200030 
     1.1        2.125     55.55       0.6964     0.1096           F017200200031 
     1.1        2.125     73.72       0.8555     0.1252           F017200200032 
     1.1        2.125     93.88       0.718      0.1094           F017200200033 
     1.1        2.125    110.4        0.9238     0.1718           F017200200034 
     1.1        2.125    127.5        0.8014     0.0784           F017200200035 
     1.1        2.125    144.2        0.9291     0.0937           F017200200036 
     1.1        2.125    162.         1.307      0.1562           F017200200037 
     1.1        4.445      2.649      0.5761     0.1064           F017200200038 
     1.1        4.445     19.23       0.6709     0.1216           F017200200039 
     1.1        4.445     39.38       0.539      0.1364           F017200200040 
     1.1        4.445     56.13       0.558      0.0909           F017200200041 
     1.1        4.445     76.15       0.4868     0.1061           F017200200042 
     1.1        4.445     92.83       0.5361     0.1061           F017200200043 
     1.1        4.445    109.3        0.6612     0.1216           F017200200044 
     1.1        4.445    127.5        0.7108     0.1216           F017200200045 
     1.1        4.445    145.2        1.003      0.197            F017200200046 
     1.1        4.445    161.6        1.143      0.1519           F017200200047 
     1.1        7.286      1.562      0.8017     0.1232           F017200200048 
     1.1        7.286     18.92       0.8753     0.2109           F017200200049 
