ENTRY            F0224   19990409                             0000F022400000001 
SUBENT        F0224001   19990409                             0000F022400100001 
BIB                  9         14                                 F022400100002 
TITLE      The 10B(p,alpha)7Be reaction between 2 and 11 MeV      F022400100003 
AUTHOR     (J.G.JENKIN,L.G.EARWAKER,E.W.TITTERTON)                F022400100004 
INSTITUTE  (3AULCBR)                                              F022400100005 
REFERENCE  (J,NP,50,516,196401)                                   F022400100006 
SAMPLE     A 100 mu-g/cm**2 self-supporting boron target,         F022400100007 
           containing 89% 10B AND 8% 11B. The thickness of 10B in F022400100008 
           the target is 77 +- 15 mu-g/cm**2                      F022400100009 
FACILITY   (VDGT)                                                 F022400100010 
DETECTOR   (SOLST) 4.5*4.5 mm, 300 omega*cm gold-silicon surface  F022400100011 
           barrier                                                F022400100012 
ERR-ANALYS (DATA-ERR) Digitizing error. Statistical errors are of F022400100013 
           the order of the size of the points.                   F022400100014 
HISTORY    (19850214C)                                            F022400100015 
           (19990409A) CNPD: corrected 4-dig. year                F022400100016 
ENDBIB              14          0                                 F022400100017 
NOCOMMON             0          0                                 F022400100018 
ENDSUBENT           17          0                                 F022400199999 
SUBENT        F0224002   19990409                             0000F022400200001 
BIB                  4          4                                 F022400200002 
REACTION   (5-B-10(P,A)4-BE-7,PAR,DA,,,EXP)                       F022400200003 
ERR-ANALYS (EN-ERR) Digitizing error                              F022400200004 
STATUS     (CURVE) fig 2                                          F022400200005 
EN-SEC     (E-LVL,4-BE-7)                                         F022400200006 
ENDBIB               4          0                                 F022400200007 
COMMON               2          3                                 F022400200008 
EN-ERR     DATA-ERR                                               F022400200009 
MEV        MB/SR                                                  F022400200010 
     3.351      0.429     90.         1.135                       F022400200112 
     3.356      0.        50.         3.166                       F022400200113 
     3.356      0.        90.         2.871                       F022400200114 
     3.358      0.429     50.         4.348                       F022400200115 
     3.391      0.        50.         3.635                       F022400200116 
     3.395      0.429     50.         3.955                       F022400200117 
     3.395      0.429     90.         1.11                        F022400200118 
     3.4        0.        90.         2.625                       F022400200119 
     3.431      0.429     90.         1.012                       F022400200120 
     3.435      0.        50.         3.438                       F022400200121 
     3.437      0.        90.         2.502                       F022400200122 
     3.475      0.429     50.         3.734                       F022400200123 
     3.48       0.        90.         2.552                       F022400200124 
     3.49       0.429     90.         1.112                       F022400200125 
     3.519      0.429     90.         0.8645                      F022400200126 
     3.522      0.        50.         3.414                       F022400200127 
     3.523      0.        90.         2.823                       F022400200128 
     3.535      0.429     50.         3.119                       F022400200129 
     3.563      0.429     90.         0.865                       F022400200130 
     3.572      0.        50.         4.081                       F022400200131 
     3.572      0.429     50.         2.971                       F022400200132 
     3.573      0.        90.         2.947                       F022400200133 
     3.614      0.429     90.         0.7914                      F022400200134 
     3.616      0.        90.         3.292                       F022400200135 
     3.622      0.        50.         4.229                       F022400200136 
     3.63       0.429     50.         2.799                       F022400200137 
     3.665      0.        50.         4.353                       F022400200138 
     3.672      0.        90.         3.785                       F022400200139 
     3.672      0.429     90.         1.04                        F022400200140 
     3.674      0.429     50.         2.602                       F022400200141 
     3.715      0.429     90.         1.313                       F022400200142 
     3.721      0.        50.         5.142                       F022400200143 
     3.722      0.        90.         4.179                       F022400200144 
     3.724      0.429     50.         2.751                       F022400200145 
     3.757      0.        50.         5.34                        F022400200146 
