ENTRY            F0984   20090205                             F035F098400000001 
SUBENT        F0984001   20090205                             F035F098400100001 
BIB                 10         18                                 F098400100002 
TITLE      The 23Na(d,a)21Ne reaction for deuteron energies of    F098400100003 
           2.3-4.0 MeV.                                           F098400100004 
AUTHOR     (G.Ya.Vysotskij,I.I.Zalyubovskij,B.M.Zabegaj,          F098400100005 
           A.V.Kuznichenko,A.P.Lobkovskij,A.A.Melenevskij,        F098400100006 
           O.F.Nemets,V.N.Nemykin)                                F098400100007 
INSTITUTE  (4UKRKHU,4UKRIFU)                                      F098400100008 
REFERENCE  (J,IZV,34,1761,1970)                                   F098400100009 
           (J,BAS,34,1566,1971)                                   F098400100010 
FACILITY   (VDG,4UKRIFU)                                          F098400100011 
DETECTOR   (SIBAR)  Two silicon surface barrier detectors         F098400100012 
           with the energy resolution for alpha particles no worseF098400100013 
           than 20 keV in the working area of 5-10 MeV were used. F098400100014 
METHOD     (BCINT)                                                F098400100015 
SAMPLE     A layer of NaBr (~ 200 mu-g/cm2 thick) evaporated on   F098400100016 
           a thin coal backing (30 mu-g/cm2) was used as a target.F098400100017 
ERR-ANALYS (ERR-DIG)    Data digitizing error                     F098400100018 
           (DATA-ERR)   Error from the graphic bars               F098400100019 
HISTORY    (20090205C)                                            F098400100020 
ENDBIB              18          0                                 F098400100021 
NOCOMMON             0          0                                 F098400100022 
ENDSUBENT           21          0                                 F098400199999 
SUBENT        F0984002   20090205                             F035F098400200001 
BIB                  3          3                                 F098400200002 
REACTION   (11-NA-23(D,A)10-NE-21,PAR,DA)                         F098400200003 
ERR-ANALYS (EN-ERR-DIG) Energy digitizing error                   F098400200004 
STATUS     (CURVE) Fig.2                                          F098400200005 
ENDBIB               3          0                                 F098400200006 
COMMON               2          3                                 F098400200007 
EN-ERR-DIG ERR-DIG                                                F098400200008 
MEV        MB/SR                                                  F098400200009 
 0.005      0.006                                                 F098400200010 
ENDCOMMON            3          0                                 F098400200011 
DATA                 5        441                                 F098400200012 
E-LVL      ANG        EN         DATA       DATA-ERR              F098400200013 
MEV        ADEG       MEV        MB/SR      MB/SR                 F098400200014 
         0.        40.     2.3096     0.3406   5.90E-02           F098400200015 
         0.        40.      2.364     0.3804   3.93E-02           F098400200016 
         0.        40.     2.4114      0.366   4.92E-02           F098400200017 
         0.        40.      2.459     0.3074   4.91E-02           F098400200018 
         0.        40.     2.5103     0.2144   4.43E-02           F098400200019 
         0.        40.     2.5575     0.2492   4.44E-02           F098400200020 
         0.        40.     2.6048     0.2397   4.42E-02           F098400200021 
         0.        40.     2.6555      0.309   3.93E-02           F098400200022 
         0.        40.     2.7097     0.3832   3.91E-02           F098400200023 
         0.        40.     2.7532     0.4229   5.90E-02           F098400200024 
         0.        40.     2.8148     0.4824   4.43E-02           F098400200025 
         0.        40.     2.8628     0.3402   4.92E-02           F098400200026 
         0.        40.     2.9066     0.3111   5.41E-02           F098400200027 
         0.        40.      2.957     0.4344   5.43E-02           F098400200028 
         0.        40.     3.0075     0.5233   4.92E-02           F098400200029 
         0.        40.     3.0548     0.5385   4.91E-02           F098400200030 
         0.        40.     3.1093     0.5488   4.93E-02           F098400200031 
         0.        40.     3.1535     0.4311   5.90E-02           F098400200032 
         0.        40.     3.2044     0.4463   6.39E-02           F098400200033 
         0.        40.     3.2588      0.491   4.92E-02           F098400200034 
         0.        40.     3.2995     0.3241   7.38E-02           F098400200035 
         0.        40.     3.3506      0.295   6.39E-02           F098400200036 
         0.        40.     3.4049     0.3643   7.38E-02           F098400200037 
         0.        40.      3.452      0.409   7.37E-02           F098400200038 
         0.        40.     3.5029     0.4094   6.88E-02           F098400200039 
         0.        40.     3.5505     0.3655   5.41E-02           F098400200040 
         0.        40.     3.6091     0.2774   6.39E-02           F098400200041 
         0.        40.     3.6564     0.2778   6.87E-02           F098400200042 
         0.        40.     3.7036     0.3028   5.90E-02           F098400200043 
         0.        40.     3.7545     0.3082   6.88E-02           F098400200044 
         0.        40.     3.8017     0.3233   6.86E-02           F098400200045 
         0.        40.     3.8561     0.3778   6.39E-02           F098400200046 
         0.        40.     3.9033      0.393   6.38E-02           F098400200047 
