EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              F026000200016 
MEV        MEV        ADEG       MB/SR      MB/SR                 F026000200017 
     9.8        9.63     139.4        5.328      0.0361           F026000200092 
     9.8        9.63     148.2        6.904      0.0361           F026000200093 
     9.8        9.63     158.4        7.148      0.0361           F026000200094 
    11.3        0.         6.42       1.453      0.0743           F026000200095 
    11.3        0.        11.81       1.494      0.0743           F026000200096 
    11.3        0.        17.37       2.046      0.0743           F026000200097 
    11.3        0.        25.54       2.374      0.0743           F026000200098 
    11.3        0.        33.54       2.213      0.0743           F026000200099 
    11.3        0.        42.58       1.926      0.0637           F026000200100 
    11.3        0.        51.06       1.564      0.0531           F026000200101 
    11.3        0.        61.2        1.339      0.0637           F026000200102 
    11.3        0.        72.48       1.349      0.0531           F026000200103 
    11.3        0.        82.69       1.326      0.0743           F026000200104 
    11.3        0.       102.5        1.164      0.0424           F026000200105 
    11.3        0.       113.3        1.131      0.0091           F026000200106 
    11.3        0.       113.8        1.194      0.0531           F026000200107 
    11.3        0.       123.5        1.225      0.0637           F026000200108 
    11.3        0.       133.3        1.67       0.0531           F026000200109 
    11.3        0.       142.1        2.252      0.0637           F026000200110 
    11.3        0.       150.8        2.431      0.0637           F026000200111 
    11.3        0.       158.3        2.484      0.0637           F026000200112 
    11.3        4.43       4.762      6.622      0.1357           F026000200113 
    11.3        4.43      11.56       6.077      0.1086           F026000200114 
    11.3        4.43      16.04       4.884      0.162            F026000200115 
    11.3        4.43      25.27       3.31       0.162            F026000200116 
    11.3        4.43      34.62       2.06       0.1079           F026000200117 
    11.3        4.43      43.63       1.866      0.1082           F026000200118 
    11.3        4.43      51.5        2.376      0.1353           F026000200119 
    11.3        4.43      62.81       2.749      0.1349           F026000200120 
    11.3        4.43      73.94       2.689      0.1082           F026000200121 
    11.3        4.43      73.97       2.608      0.0808           F026000200122 
    11.3        4.43      85.58       1.925      0.1082           F026000200123 
    11.3        4.43     106.         2.456      0.1357           F026000200124 
    11.3        4.43     115.4        3.263      0.1082           F026000200125 
    11.3        4.43     124.7        3.826      0.1082           F026000200126 
    11.3        4.43     133.2        4.174      0.1086           F026000200127 
    11.3        4.43     141.6        4.305      0.1082           F026000200128 
    11.3        4.43     150.6        4.029      0.1086           F026000200129 
    11.3        4.43     157.5        3.809      0.1086           F026000200130 
    11.3        7.66       6.117      0.8731     0.0423           F026000200131 
    11.3        7.66      12.06       0.9252     0.037            F026000200132 
    11.3        7.66      18.46       0.9244     0.037            F026000200133 
    11.3        7.66      27.56       0.9443     0.0317           F026000200134 
    11.3        7.66      35.72       0.668      0.037            F026000200135 
    11.3        7.66      45.18       0.5609     0.0026           F026000200136 
    11.3        7.66      53.74       0.5809     0.037            F026000200137 
    11.3        7.66      65.74       0.7645     0.037            F026000200138 
    11.3        7.66      76.53       0.853      0.037            F026000200139 
    11.3        7.66      76.96       0.7789     0.037            F026000200140 
    11.3        7.66      87.53       0.7034     0.0026           F026000200141 
    11.3        7.66     107.9        0.4149     0.0265           F026000200142 
    11.3        7.66     117.4        0.3342     0.0317           F026000200143 
    11.3        7.66     117.4        0.2972     0.0026           F026000200144 
    11.3        7.66     127.5        0.3064     0.0026           F026000200145 
    11.3        7.66     136.2        0.4163     0.0026           F026000200146 
    11.3        7.66     144.9        0.5316     0.0264           F026000200147 
    11.3        7.66     144.9        0.5263     0.0158           F026000200148 
    11.3        7.66     153.         0.5887     0.0026           F026000200149 
    11.3        7.66     159.3        0.5138     0.0026           F026000200150 
    11.3        9.63       6.026     10.87       0.0361           F026000200151 
    11.3        9.63      12.39      10.77       0.0361           F026000200152 
    11.3        9.63      19.11       9.864      0.0361           F026000200153 
    11.3        9.63      29.         8.821      0.0361           F026000200154 
    11.3        9.63      37.8        7.694      0.0361           F026000200155 
    11.3        9.63      46.87       5.237      0.0361           F026000200156 
    11.3        9.63      55.68       4.153      0.0361           F026000200157 
    11.3        9.63      67.57       2.507      0.0361           F026000200158 
    11.3        9.63      79.23       2.32       0.0361           F026000200159 
    11.3        9.63      90.27       1.705      0.0361           F026000200160 
    11.3        9.63     110.2        3.094      0.0361           F026000200161 
    11.3        9.63     120.1        4.754      0.0361           F026000200162 
    11.3        9.63     129.3        5.599      0.0361           F026000200163 
    11.3        9.63     144.8        8.238      0.0361           F026000200164 
    11.3        9.63     153.7        7.583      0.0361           F026000200165 
    11.3        9.63     164.3        7.569      0.0361           F026000200166 
    12.7        0.         5.666      0.8054     0.0636           F026000200167 
    12.7        0.        11.65       1.017      0.0637           F026000200168 
    12.7        0.        17.62       1.207      0.0531           F026000200169 
    12.7        0.        25.66       1.132      0.0637           F026000200170 
    12.7        0.        33.67       0.9821     0.053            F026000200171 
    12.7        0.        42.15       0.6308     0.053            F026000200172 
    12.7        0.        50.67       0.4068     0.0424           F026000200173 
    12.7        0.        60.97       0.6708     0.0531           F026000200174 
    12.7        0.        72.4        1.083      0.0637           F026000200175 
    12.7        0.        82.65       1.23       0.0424           F026000200176 
    12.7        0.       103.5        0.835      0.0091           F026000200177 
    12.7        0.       103.5        0.8987     0.0637           F026000200178 
    12.7        0.       113.7        0.7594     0.0425           F026000200179 
    12.7        0.       123.9        0.8112     0.0091           F026000200180 
    12.7        0.       132.5        0.9586     0.0531           F026000200181 
    12.7        0.       142.3        1.318      0.0637           F026000200182 
    12.7        0.       151.         1.487      0.0637           F026000200183 
    12.7        0.       158.6        1.794      0.0531           F026000200184 
    12.7        4.43       3.562      7.191      0.1079           F026000200185 
    12.7        4.43      10.38       6.701      0.1082           F026000200186 
    12.7        4.43      17.11       5.966      0.1082           F026000200187 
    12.7        4.43      25.66       4.419      0.1082           F026000200188 
    12.7        4.43      35.83       3.521      0.1082           F026000200189 
    12.7        4.43      43.36       3.084      0.0812           F026000200190 
    12.7        4.43      51.85       3.377      0.0808           F026000200191 
    12.7        4.43      63.63       3.1        0.1086           F026000200192 
    12.7        4.43      73.84       2.337      0.1082           F026000200193 
    12.7        4.43      84.78       1.628      0.1082           F026000200194 
    12.7        4.43     105.7        1.455      0.0215           F026000200195 
    12.7        4.43     106.4        1.4        0.0215           F026000200196 
    12.7        4.43     115.5        1.639      0.0215           F026000200197 
    12.7        4.43     125.4        1.85       0.0215           F026000200198 
    12.7        4.43     133.8        1.981      0.1353           F026000200199 
    12.7        4.43     142.2        2.112      0.1082           F026000200200 
    12.7        4.43     150.6        2.189      0.1086           F026000200201 
    12.7        4.43     157.7        2.402      0.0812           F026000200202 
    12.7        7.66       5.746      0.6033     0.0371           F026000200203 
    12.7        7.66      12.23       0.6606     0.0371           F026000200204 
    12.7        7.66      18.36       0.8503     0.0265           F026000200205 
    12.7        7.66      27.81       0.7379     0.0265           F026000200206 
    12.7        7.66      35.65       0.6151     0.0317           F026000200207 
    12.7        7.66      44.66       0.5716     0.0317           F026000200208 
    12.7        7.66      53.69       0.5386     0.0026           F026000200209 
    12.7        7.66      65.47       0.5688     0.0371           F026000200210 
    12.7        7.66      76.25       0.652      0.037            F026000200211 
    12.7        7.66      87.56       0.7245     0.0026           F026000200212 
    12.7        7.66      87.62       0.7668     0.0371           F026000200213 
    12.7        7.66     107.         0.5208     0.0026           F026000200214 
    12.7        7.66     107.1        0.5473     0.037            F026000200215 
    12.7        7.66     127.5        0.2958     0.0317           F026000200216 
    12.7        7.66     136.3        0.4322     0.0026           F026000200217 
    12.7        7.66     144.4        0.5422     0.037            F026000200218 
    12.7        7.66     153.         0.5993     0.0476           F026000200219 
    12.7        7.66     159.9        0.556      0.037            F026000200220 
    12.7        9.63       5.359      7.609      0.0361           F026000200221 
    12.7        9.63      12.22       7.385      0.0361           F026000200222 
    12.7        9.63      18.6        7.377      0.0361           F026000200223 
    12.7        9.63      28.42       5.991      0.0361           F026000200224 
    12.7        9.63      37.65       4.349      0.0361           F026000200225 
    12.7        9.63      46.36       2.75       0.0361           F026000200226 
    12.7        9.63      55.28       2.181      0.0361           F026000200227 
    12.7        9.63      66.84       1.522      0.0361           F026000200228 
    12.7        9.63      78.61       1.892      0.0361           F026000200229 
    12.7        9.63      89.27       2.049      0.0361           F026000200230 
    12.7        9.63     108.9        2.023      0.0361           F026000200231 
    12.7        9.63     118.6        2.439      0.0361           F026000200232 
    12.7        9.63     127.9        3.714      0.0361           F026000200233 
    12.7        9.63     136.2        5.547      0.0361           F026000200234 
    12.7        9.63     137.         6.619      0.0361           F026000200235 
    12.7        9.63     144.2        7.896      0.0361           F026000200236 
    12.7        9.63     153.3        8.141      0.0361           F026000200237 
    12.7        9.63     162.1        9.588      0.0361           F026000200238 
ENDDATA            223          0                                 F026000200239 
ENDSUBENT          238          0                                 F026000299999 
SUBENT        F0260003   19990412                             0000F026000300001 
BIB                  4          5                                 F026000300002 
REACTION   (4-BE-9(A,N)6-C-12,PAR,SIG,,,EXP)                      F026000300003 
ERR-ANALYS (EN-ERR) Digitizing error                              F026000300004 
           (DATA-ERR) Digitizing error                            F026000300005 
STATUS     (CURVE) Fig 9                                          F026000300006 
EN-SEC     (E-LVL,6-C-12)                                         F026000300007 
ENDBIB               5          0                                 F026000300008 
COMMON               1          3                                 F026000300009 
EN-ERR                                                            F026000300010 
MEV                                                               F026000300011 
 0.025                                                            F026000300012 
ENDCOMMON            3          0                                 F026000300013 
DATA                 4         20                                 F026000300014 
EN         E-LVL      DATA       DATA-ERR                         F026000300015 
MEV        MEV        MB         MB                               F026000300016 
     9.801      9.63      35.59       0.2499                      F026000300017 
     9.803      0.        17.54       0.0629                      F026000300018 
     9.818      4.43      53.33       0.2746                      F026000300019 
     9.846      7.66       6.513      0.0397                      F026000300020 
    11.27       9.63      58.27       0.2499                      F026000300021 
    11.28       4.43      37.15       0.2746                      F026000300022 
    11.3        7.66       7.411      0.0397                      F026000300023 
    11.37       0.        20.4        0.0629                      F026000300024 
    12.68       7.66       7.121      0.0397                      F026000300025 
    12.7        0.        12.57       0.0629                      F026000300026 
    12.71       4.43      31.3        0.2746                      F026000300027 
    12.74       9.63      44.27       0.2499                      F026000300028 
    13.49       0.        13.1        0.0629                      F026000300029 
    13.49       9.63      30.64       0.2499                      F026000300030 
    13.53       4.43      20.28       0.2746                      F026000300031 
    13.55       7.66       6.205      0.0397                      F026000300032 
    14.         4.43      19.25       0.2746                      F026000300033 
    14.03       7.66       4.663      0.0397                      F026000300034 
    14.03       9.63      33.08       0.2499                      F026000300035 
    14.05       0.        12.8        0.0629                      F026000300036 
ENDDATA             22          0                                 F026000300037 
ENDSUBENT           36          0                                 F026000399999 
ENDENTRY             3          0                                 F026099999999 
