ENTRY            F0521   20210723                             F086F0521  0    1 
SUBENT        F0521001   20210723                             F086F0521  1    1 
BIB                 11         18                                 F0521  1    2 
TITLE      Reaction 27Al(alpha,d)29Si at 27.2 MeV.                F0521  1    3 
AUTHOR     (L.C.Bland,H.T.Fortune,O.K.Gorpinich,Yu.S.Stryuk,      F0521  1    4 
           V.N.Shcherbin,V.V.Tokarevski)                          F0521  1    5 
INSTITUTE  (4UKRIJD)                                              F0521  1    6 
REFERENCE  (J,PR/C,21,2227,1980)                                  F0521  1    7 
FACILITY   (CYCLO,4UKRIJD) The R-7 cyclotron                      F0521  1    8 
REL-REF    (M,,V.V.Alekseev+,J,IZV,32,1726,1968) - Same geometry  F0521  1    9 
           of the experiment, monitoring technique of the incidentF0521  1   10 
           beam, and the method of absolute cross section         F0521  1   11 
           determination are described.                           F0521  1   12 
SAMPLE     27Al self-supported foils.                             F0521  1   13 
METHOD     (EDE)                                                  F0521  1   14 
DETECTOR   (TELES,SILI,SILI) dE-E Si(Li) counter telescopes. The  F0521  1   15 
           thickness of the dE detectors was about 200 um and     F0521  1   16 
           the thickness of the E detectors about 1500 um.        F0521  1   17 
ERR-ANALYS (DATA-ERR) The uncertainty in the absolute cross sect. F0521  1   18 
HISTORY    (19991010C)                                            F0521  1   19 
           (20210723A) SD: Corrections in all Subents.            F0521  1   20 
ENDBIB              18          0                                 F0521  1   21 
COMMON               2          3                                 F0521  1   22 
DATA-ERR   EN                                                     F0521  1   23 
PER-CENT   MEV                                                    F0521  1   24 
  7.0        27.2                                                 F0521  1   25 
ENDCOMMON            3          0                                 F0521  1   26 
ENDSUBENT           25          0                                 F0521  199999 
SUBENT        F0521002   20210723                             F086F0521  2    1 
BIB                  4          7                                 F0521  2    2 
REACTION   (13-AL-27(A,D)14-SI-29,PAR,DA)                         F0521  2    3 
ERR-ANALYS (ERR-S) Error from graphic bars. The experimental      F0521  2    4 
           errors are the weighted mean values of the statistical F0521  2    5 
           errors of several measurements.                        F0521  2    6 
STATUS     (CURVE) Fig.2 from Phys.Rev.,C21(1980)2227             F0521  2    7 
HISTORY    (20210723U) SD: STATUS, ERR-ANALYS updated. ERR-DIG    F0521  2    8 
           added. ANG-ERR -> ANG-ERR-D; DATA-ERR1 -> ERR-S.       F0521  2    9 
ENDBIB               7          0                                 F0521  2   10 
COMMON               2          3                                 F0521  2   11 
ANG-ERR-D  ERR-DIG                                                F0521  2   12 
ADEG       PER-CENT                                               F0521  2   13 
 0.5         0.6                                                  F0521  2   14 
ENDCOMMON            3          0                                 F0521  2   15 
DATA                 4        348                                 F0521  2   16 
E-LVL      ANG-CM     DATA-CM    ERR-S                            F0521  2   17 
MEV        ADEG       MB/SR      MB/SR                            F0521  2   18 
         0.        9.6  2.653E-01  3.110E-02                      F0521  2   19 
         0.       13.0  1.828E-01  2.310E-02                      F0521  2   20 
         0.       16.7  2.029E-01  1.980E-02                      F0521  2   21 
         0.       19.6  1.600E-01  1.930E-02                      F0521  2   22 
         0.       23.3  1.315E-01  1.300E-02                      F0521  2   23 
         0.       27.4  9.740E-02  9.613E-03                      F0521  2   24 
         0.       29.5  8.790E-02  7.001E-03                      F0521  2   25 
         0.       33.2  1.094E-01  8.713E-03                      F0521  2   26 
         0.       36.8  1.306E-01  1.160E-02                      F0521  2   27 
         0.       39.4  1.348E-01  1.330E-02                      F0521  2   28 
         0.       42.8  1.391E-01  1.370E-02                      F0521  2   29 
         0.       45.6  1.052E-01  1.040E-02                      F0521  2   30 
         0.       49.2  7.400E-02  8.090E-03                      F0521  2   31 
         0.       52.6  5.840E-02  6.836E-03                      F0521  2   32 
         0.       55.4  4.950E-02  3.939E-03                      F0521  2   33 
         0.       58.3  3.860E-02  3.526E-03                      F0521  2   34 
         0.       58.3  4.370E-02  4.123E-03                      F0521  2   35 
         0.       58.4  4.900E-02  3.816E-03                      F0521  2   36 
         0.       61.1  4.330E-02  5.068E-03                      F0521  2   37 
         0.       62.7  4.030E-02  4.867E-03                      F0521  2   38 
         0.       66.1  3.560E-02  3.888E-03                      F0521  2   39 
         0.       71.7  3.250E-02  3.500E-03                      F0521  2   40 
         0.       77.1  2.730E-02  3.934E-03                      F0521  2   41 
         0.       82.2  2.150E-02  2.849E-03                      F0521  2   42 
         0.       87.0  2.150E-02  2.120E-03                      F0521  2   43 
         0.       91.4  1.810E-02  1.767E-03                      F0521  2   44 
         0.       97.1  1.750E-02  2.118E-03                      F0521  2   45 
         0.      102.2  1.630E-02  1.911E-03                      F0521  2   46 
         0.      105.1  1.670E-02  1.824E-03                      F0521  2   47 
         0.      107.9  1.340E-02  1.313E-03                      F0521  2   48 
         0.      111.3  1.470E-02  1.590E-03                      F0521  2   49 
         0.      113.9  1.650E-02  1.808E-03                      F0521  2   50 
         0.      117.1  1.390E-02  1.359E-03                      F0521  2   51 
         0.      119.9  1.590E-02  1.554E-03                      F0521  2   52 
         0.      122.9  1.860E-02  1.830E-03                      F0521  2   53 
         0.      127.2  1.690E-02  2.048E-03                      F0521  2   54 
         0.      128.8  1.770E-02  1.905E-03                      F0521  2   55 
         0.      131.3  1.470E-02  1.982E-03                      F0521  2   56 
         0.      133.4  1.160E-02  1.263E-03                      F0521  2   57 
