EN         E-LVL      ANG        DATA                             F028800200014 
MEV        MEV        ADEG       MB/SR                            F028800200015 
     5.725      0.        40.        19.58                        F028800200067 
     5.75       0.       140.        16.09                        F028800200068 
     5.751      0.        20.        25.75                        F028800200069 
     5.752      0.        20.        27.81                        F028800200070 
     5.76       0.       160.        13.77                        F028800200071 
     5.771      0.        40.        19.6                         F028800200072 
     5.774      0.        80.         9.949                       F028800200073 
     5.775      0.       160.        15.31                        F028800200074 
     5.783      0.        20.        25.76                        F028800200075 
     5.798      0.        20.        27.31                        F028800200076 
     5.802      0.        40.        21.12                        F028800200077 
     5.811      0.       140.        18.16                        F028800200078 
     5.82       0.        80.        10.49                        F028800200079 
     5.826      0.       140.        19.19                        F028800200080 
     5.829      0.        20.        25.77                        F028800200081 
     5.836      0.        80.         9.979                       F028800200082 
     5.837      0.       160.        16.86                        F028800200083 
     5.842      0.       140.        18.17                        F028800200084 
     5.848      0.        40.        20.14                        F028800200085 
     5.852      0.       160.        18.4                         F028800200086 
     5.876      0.        20.        25.79                        F028800200087 
     5.888      0.       140.        19.22                        F028800200088 
     5.894      0.        40.        21.16                        F028800200089 
     5.897      0.       160.        20.47                        F028800200090 
     5.898      0.        80.        11.04                        F028800200091 
     5.906      0.        20.        26.32                        F028800200092 
     5.922      0.        20.        25.29                        F028800200093 
     5.925      0.        40.        21.17                        F028800200094 
     5.943      0.        80.        12.1                         F028800200095 
     5.95       0.       140.        20.78                        F028800200096 
     5.954      0.        20.        23.76                        F028800200097 
     5.959      0.       160.        21.                          F028800200098 
     5.975      0.       160.        21.01                        F028800200099 
     5.981      0.       140.        21.31                        F028800200100 
     5.986      0.        40.        23.71                        F028800200101 
     5.987      0.        40.        22.7                         F028800200102 
     5.99       0.        80.        11.6                         F028800200103 
     6.         0.        20.        23.26                        F028800200104 
     6.005      0.       160.        22.55                        F028800200105 
     6.016      0.        20.        23.27                        F028800200106 
     6.021      0.       160.        22.05                        F028800200107 
     6.027      0.       140.        21.32                        F028800200108 
     6.033      0.        40.        23.73                        F028800200109 
     6.036      0.        80.        13.18                        F028800200110 
     6.047      0.        20.        22.25                        F028800200111 
     6.051      0.       160.        22.57                        F028800200112 
     6.052      0.        80.        11.64                        F028800200113 
     6.058      0.       140.        20.82                        F028800200114 
     6.064      0.        40.        23.74                        F028800200115 
     6.078      0.        20.        22.26                        F028800200116 
     6.082      0.       160.        23.6                         F028800200117 
     6.089      0.       140.        20.32                        F028800200118 
     6.095      0.        40.        24.25                        F028800200119 
     6.098      0.        80.        12.69                        F028800200120 
     6.109      0.        20.        20.73                        F028800200121 
     6.111      0.        40.        22.25                        F028800200122 
     6.112      0.       160.        25.15                        F028800200123 
     6.114      0.        80.        11.66                        F028800200124 
     6.12       0.       140.        21.36                        F028800200125 
     6.14       0.        20.        20.74                        F028800200126 
     6.141      0.        40.        22.77                        F028800200127 
     6.144      0.       160.        23.63                        F028800200128 
     6.145      0.        80.        12.2                         F028800200129 
     6.151      0.       140.        21.37                        F028800200130 
     6.172      0.        20.        20.23                        F028800200131 
     6.173      0.        40.        21.78                        F028800200132 
     6.174      0.       160.        24.66                        F028800200133 
     6.181      0.       140.        22.92                        F028800200134 
     6.191      0.        80.        12.22                        F028800200135 
     6.202      0.        20.        20.25                        F028800200136 
     6.213      0.       140.        21.91                        F028800200137 
     6.22       0.        40.        21.29                        F028800200138 
     6.221      0.       160.        25.19                        F028800200139 
     6.234      0.        20.        17.68                        F028800200140 
     6.234      0.        40.        23.31                        F028800200141 
     6.243      0.       140.        22.95                        F028800200142 
     6.249      0.        20.        20.26                        F028800200143 
     6.252      0.       160.        25.71                        F028800200144 
     6.253      0.        80.        11.73                        F028800200145 
     6.259      0.       140.        22.44                        F028800200146 
     6.266      0.        40.        21.31                        F028800200147 
     6.297      0.        40.        20.32                        F028800200148 
     6.298      0.       160.        25.73                        F028800200149 
     6.3        0.        80.        11.24                        F028800200150 
     6.306      0.       140.        21.43                        F028800200151 
     6.311      0.        20.        18.74                        F028800200152 
     6.312      0.        20.        16.17                        F028800200153 
     6.328      0.        40.        19.83                        F028800200154 
     6.344      0.       160.        27.28                        F028800200155 
     6.346      0.        80.        11.26                        F028800200156 
     6.352      0.       140.        20.43                        F028800200157 
     6.358      0.        20.        16.7                         F028800200158 
     6.36       0.        40.        18.84                        F028800200159 
     6.362      2.        20.         5.111                       F028800200160 
     6.365      2.        40.         1.156                       F028800200161 
     6.375      0.        40.        18.35                        F028800200162 
     6.375      0.       160.        26.27                        F028800200163 
     6.378      0.        80.        10.76                        F028800200164 
     6.393      2.        20.         5.635                       F028800200165 
     6.399      0.       140.        20.96                        F028800200166 
     6.405      0.        20.        16.71                        F028800200167 
     6.412      2.        40.         1.718                       F028800200168 
     6.421      0.        40.        19.37                        F028800200169 
     6.436      0.        20.        15.18                        F028800200170 
     6.436      0.        20.        16.73                        F028800200171 
     6.44       2.        20.         5.14                        F028800200172 
     6.445      0.       140.        21.49                        F028800200173 
     6.452      0.       160.        27.83                        F028800200174 
     6.453      0.        40.        17.88                        F028800200175 
     6.454      0.        80.        11.83                        F028800200176 
     6.468      0.        40.        17.88                        F028800200177 
     6.474      2.        40.         1.207                       F028800200178 
     6.483      0.        20.        15.2                         F028800200179 
     6.485      0.        80.        11.84                        F028800200180 
     6.498      0.       160.        27.85                        F028800200181 
     6.507      0.       140.        21.                          F028800200182 
     6.514      0.       160.        26.83                        F028800200183 
     6.515      0.        40.        18.41                        F028800200184 
     6.516      0.        80.        11.34                        F028800200185 
     6.517      2.        20.         4.656                       F028800200186 
     6.52       2.        40.         1.77                        F028800200187 
     6.536      2.        40.         1.237                       F028800200188 
     6.538      0.       140.        20.5                         F028800200189 
     6.546      0.        40.        18.42                        F028800200190 
     6.548      0.        80.        10.84                        F028800200191 
     6.548      2.        20.         5.181                       F028800200192 
     6.56       0.        20.        14.71                        F028800200193 
     6.561      0.        40.        17.92                        F028800200194 
     6.566      2.        40.         1.792                       F028800200195 
     6.576      0.       160.        26.85                        F028800200196 
     6.579      0.        80.        10.85                        F028800200197 
     6.579      2.        20.         4.68                        F028800200198 
     6.585      0.       140.        18.47                        F028800200199 
     6.592      0.        20.        13.69                        F028800200200 
     6.593      0.        40.        16.93                        F028800200201 
     6.598      2.        40.         1.266                       F028800200202 
     6.614      2.        80.         3.276                       F028800200203 
     6.622      0.       160.        27.38                        F028800200204 
     6.623      0.        20.        12.67                        F028800200205 
     6.623      0.        40.        17.45                        F028800200206 
     6.625      2.        20.         5.209                       F028800200207 
     6.628      2.        40.         1.821                       F028800200208 
     6.64       0.        80.        11.92                        F028800200209 
     6.645      2.        80.         2.751                       F028800200210 
     6.653      0.       160.        27.9                         F028800200211 
     6.654      0.       160.        26.37                        F028800200212 
     6.655      0.        40.        16.46                        F028800200213 
     6.656      0.        80.        10.89                        F028800200214 
     6.66       2.        40.         1.296                       F028800200215 
     6.662      0.       140.        20.04                        F028800200216 
     6.669      0.        20.        13.2                         F028800200217 
     6.672      0.        80.        10.38                        F028800200218 
     6.685      0.        20.        12.7                         F028800200219 
     6.686      0.        40.        16.47                        F028800200220 
     6.687      2.        20.         5.233                       F028800200221 
     6.706      2.        40.         1.318                       F028800200222 
     6.707      2.        80.         2.241                       F028800200223 
     6.709      0.       140.        19.54                        F028800200224 
     6.716      0.       160.        25.88                        F028800200225 
     6.717      0.        40.        16.48                        F028800200226 
     6.721      2.        40.         2.406                       F028800200227 
     6.725      0.       140.        18.52                        F028800200228 
     6.731      0.        20.        13.74                        F028800200229 
     6.738      2.        80.         2.256                       F028800200230 
     6.746      0.       160.        27.42                        F028800200231 
     6.748      0.        40.        15.49                        F028800200232 
     6.749      2.        20.         5.256                       F028800200233 
     6.752      2.        40.         1.88                        F028800200234 
     6.762      0.        20.        13.24                        F028800200235 
     6.762      0.       160.        25.38                        F028800200236 
     6.765      0.        80.        10.43                        F028800200237 
     6.765      2.        20.         5.262                       F028800200238 
     6.768      2.        40.         1.887                       F028800200239 
     6.769      2.        80.         2.271                       F028800200240 
     6.779      0.        40.        16.                          F028800200241 
     6.786      0.       140.        18.55                        F028800200242 
     6.793      0.        20.        14.28                        F028800200243 
     6.793      0.       160.        26.42                        F028800200244 
     6.795      0.        80.        10.44                        F028800200245 
     6.8        2.        80.         2.286                       F028800200246 
     6.808      0.        20.        13.77                        F028800200247 
     6.81       0.        40.        15.01                        F028800200248 
     6.811      2.        20.         5.279                       F028800200249 
     6.824      0.       160.        25.92                        F028800200250 
     6.83       2.        40.         1.917                       F028800200251 
     6.831      2.        80.         1.761                       F028800200252 
     6.842      0.        80.        10.98                        F028800200253 
     6.842      2.        20.         5.803                       F028800200254 
     6.848      0.       140.        18.06                        F028800200255 
     6.854      0.        20.        14.82                        F028800200256 
     6.854      0.       160.        27.97                        F028800200257 
     6.858      2.        20.         4.784                       F028800200258 
     6.871      0.       160.        26.44                        F028800200259 
     6.872      0.        40.        15.54                        F028800200260 
     6.873      0.        80.         9.962                       F028800200261 
     6.878      2.        80.         1.783                       F028800200262 
     6.879      0.       140.        19.1                         F028800200263 
     6.885      0.        20.        14.83                        F028800200264 
     6.888      0.        80.        10.49                        F028800200265 
     6.891      2.        40.         2.487                       F028800200266 
     6.895      0.       140.        18.59                        F028800200267 
     6.901      0.       160.        27.48                        F028800200268 
     6.903      0.        40.        15.55                        F028800200269 
     6.904      2.        20.         5.826                       F028800200270 
     6.916      0.        20.        15.36                        F028800200271 
     6.924      2.        80.         2.346                       F028800200272 
     6.926      0.       140.        18.09                        F028800200273 
     6.935      0.        80.         9.475                       F028800200274 
     6.935      2.        20.         6.35                        F028800200275 
     6.947      0.        20.        16.4                         F028800200276 
     6.948      0.       160.        25.96                        F028800200277 
     6.95       2.        20.         5.331                       F028800200278 
     6.953      2.        40.         1.976                       F028800200279 
     6.955      2.        80.         1.281                       F028800200280 
     6.965      0.        40.        15.58                        F028800200281 
     6.966      0.        80.        10.52                        F028800200282 
     6.973      0.       140.        16.57                        F028800200283 
     6.978      0.        20.        16.41                        F028800200284 
     6.978      0.       160.        27.51                        F028800200285 
     6.994      0.       160.        26.49                        F028800200286 
     6.997      2.        20.         5.861                       F028800200287 
     7.         2.        40.         1.998                       F028800200288 
     7.009      0.        20.        16.42                        F028800200289 
     7.011      0.        40.        14.6                         F028800200290 
     7.012      0.        80.        10.03                        F028800200291 
     7.012      2.        20.         4.842                       F028800200292 
     7.017      2.        80.         1.311                       F028800200293 
     7.035      0.       140.        16.09                        F028800200294 
     7.043      0.        80.        10.56                        F028800200295 
     7.043      2.        20.         5.878                       F028800200296 
     7.056      0.       160.        28.05                        F028800200297 
     7.062      2.        40.         2.568                       F028800200298 
     7.063      2.        80.         1.874                       F028800200299 
     7.07       0.        20.        17.47                        F028800200300 
     7.073      0.        40.        15.62                        F028800200301 
     7.074      0.        80.        10.06                        F028800200302 
     7.074      2.        20.         5.89                        F028800200303 
     7.081      0.       140.        16.62                        F028800200304 
     7.092      2.        40.         2.582                       F028800200305 
     7.101      0.        20.        18.                          F028800200306 
     7.103      0.       160.        26.53                        F028800200307 
     7.104      0.        40.        15.64                        F028800200308 
     7.105      0.        80.        11.11                        F028800200309 
     7.11       2.        80.         1.896                       F028800200310 
     7.112      0.       140.        17.14                        F028800200311 
     7.121      2.        20.         5.907                       F028800200312 
     7.123      2.        40.         3.138                       F028800200313 
     7.128      0.       140.        15.61                        F028800200314 
     7.136      0.        80.         9.572                       F028800200315 
     7.147      0.        20.        18.53                        F028800200316 
     7.149      0.       160.        26.54                        F028800200317 
     7.151      0.        40.        14.65                        F028800200318 
     7.151      2.        20.         6.944                       F028800200319 
     7.156      2.        80.         2.459                       F028800200320 
     7.163      0.        20.        17.51                        F028800200321 
     7.167      0.        80.        10.62                        F028800200322 
     7.182      2.        20.         6.443                       F028800200323 
     7.185      2.        40.         3.167                       F028800200324 
     7.187      2.        80.         3.015                       F028800200325 
     7.19       0.       140.        15.64                        F028800200326 
     7.195      0.       160.        27.07                        F028800200327 
     7.197      0.        40.        15.17                        F028800200328 
     7.197      2.       140.         2.695                       F028800200329 
     7.209      0.        20.        18.04                        F028800200330 
     7.213      0.        80.        11.68                        F028800200331 
     7.218      2.        80.         3.03                        F028800200332 
     7.218      2.        80.         2.489                       F028800200333 
     7.228      2.        20.         6.973                       F028800200334 
     7.229      0.        40.        13.68                        F028800200335 
     7.231      2.        40.         4.27                        F028800200336 
     7.237      0.       140.        14.63                        F028800200337 
     7.24       0.        20.        17.53                        F028800200338 
     7.244      2.       140.         2.712                       F028800200339 
     7.256      0.        20.        16.51                        F028800200340 
     7.259      0.        80.        12.22                        F028800200341 
     7.259      2.        20.         6.985                       F028800200342 
     7.264      2.        80.         2.512                       F028800200343 
     7.267      0.       140.        15.67                        F028800200344 
     7.272      0.        20.        16.52                        F028800200345 
     7.275      0.        40.        13.7                         F028800200346 
     7.278      2.        40.         4.292                       F028800200347 
     7.279      2.        80.         3.06                        F028800200348 
     7.29       2.       140.         3.728                       F028800200349 
     7.306      0.        80.        12.24                        F028800200350 
     7.306      2.        20.         8.027                       F028800200351 
     7.306      2.       140.         3.234                       F028800200352 
     7.308      2.        40.         5.388                       F028800200353 
     7.314      0.       140.        14.66                        F028800200354 
     7.318      0.        20.        16.53                        F028800200355 
     7.321      2.        20.         7.52                        F028800200356 
     7.326      2.        80.         2.002                       F028800200357 
     7.337      0.        40.        12.72                        F028800200358 
     7.337      2.       140.         2.745                       F028800200359 
     7.339      2.        40.         4.862                       F028800200360 
     7.342      2.        80.         2.55                        F028800200361 
     7.349      0.        20.        15.52                        F028800200362 
     7.352      2.        20.         7.532                       F028800200363 
     7.357      2.        80.         2.017                       F028800200364 
     7.36       0.       140.        14.68                        F028800200365 
     7.367      0.        80.        13.31                        F028800200366 
     7.368      2.        20.         6.513                       F028800200367 
     7.37       2.        40.         4.336                       F028800200368 
     7.376      0.       140.        13.66                        F028800200369 
     7.384      0.        40.        11.24                        F028800200370 
     7.398      0.        80.        13.32                        F028800200371 
     7.398      0.        80.        12.28                        F028800200372 
     7.398      2.       140.         3.267                       F028800200373 
     7.401      2.        40.         4.891                       F028800200374 
     7.404      2.        80.         2.58                        F028800200375 
     7.414      2.        20.         7.043                       F028800200376 
     7.429      2.       140.         3.778                       F028800200377 
     7.431      0.        40.        11.26                        F028800200378 
     7.432      2.        40.         4.366                       F028800200379 
     7.432      2.        40.         5.446                       F028800200380 
     7.435      2.        80.         1.515                       F028800200381 
     7.438      0.       140.        13.17                        F028800200382 
     7.445      0.        80.        12.31                        F028800200383 
     7.445      2.        20.         7.567                       F028800200384 
     7.445      2.       140.         3.284                       F028800200385 
     7.454      0.       140.        12.66                        F028800200386 
     7.46       0.       160.        22.56                        F028800200387 
     7.465      2.        80.         2.61                        F028800200388 
     7.473      0.        20.        16.08                        F028800200389 
     7.476      0.        80.        12.32                        F028800200390 
     7.476      2.        20.         7.578                       F028800200391 
     7.477      0.        40.        11.27                        F028800200392 
     7.478      2.        40.         5.469                       F028800200393 
     7.491      0.       160.        22.06                        F028800200394 
     7.491      2.       140.         2.801                       F028800200395 
     7.493      0.        40.         9.777                       F028800200396 
     7.494      2.        40.         4.936                       F028800200397 
     7.501      0.       140.        11.66                        F028800200398 
     7.504      0.        20.        15.06                        F028800200399 
     7.507      0.        80.        11.3                         F028800200400 
     7.507      2.        20.         8.102                       F028800200401 
     7.522      0.       160.        21.05                        F028800200402 
     7.522      2.       140.         3.312                       F028800200403 
ENDDATA            390          0                                 F028800200404 
ENDSUBENT          403          0                                 F028800299999 
SUBENT        F0288003   19990409                             0000F028800300001 
BIB                  3          3                                 F028800300002 
REACTION   (5-B-11(P,EL)5-B-11,,DA,,,EXP)                         F028800300003 
ERR-ANALYS (DATA-ERR) Digitizing error                            F028800300004 
STATUS     (CURVE) Fig 2 f                                        F028800300005 
ENDBIB               3          0                                 F028800300006 
COMMON               2          3                                 F028800300007 
ANG        DATA-ERR                                               F028800300008 
ADEG       MB/SR                                                  F028800300009 
  150.0     0.5                                                   F028800300010 
ENDCOMMON            3          0                                 F028800300011 
DATA                 2         71                                 F028800300012 
EN         DATA                                                   F028800300013 
MEV        MB/SR                                                  F028800300014 
     5.398     71.05                                              F028800300015 
     5.412     70.12                                              F028800300016 
     5.454     69.67                                              F028800300017 
     5.481     71.56                                              F028800300018 
     5.51      69.69                                              F028800300019 
     5.539     67.35                                              F028800300020 
     5.58      70.19                                              F028800300021 
     5.608     69.73                                              F028800300022 
     5.622     70.21                                              F028800300023 
     5.663     72.1                                               F028800300024 
     5.704     73.53                                              F028800300025 
     5.717     76.35                                              F028800300026 
     5.745     76.36                                              F028800300027 
     5.787     76.85                                              F028800300028 
     5.815     76.39                                              F028800300029 
     5.83      72.17                                              F028800300030 
     5.873     70.78                                              F028800300031 
     5.902     67.51                                              F028800300032 
     5.931     63.76                                              F028800300033 
     5.975     59.56                                              F028800300034 
     5.99      55.34                                              F028800300035 
     6.006     49.24                                              F028800300036 
