ENTRY            F0790   20070126                             F026F079000000001 
SUBENT        F0790001   20070126                             F026F079000100001 
BIB                 12         49                                 F079000100002 
TITLE      The reaction 19F(d,n)20Ne.                             F079000100003 
AUTHOR     (R.H.Siemssen,R.Felst,M.Cosack,J.L.Weil)               F079000100004 
INSTITUTE  (2GERHAM,1USARIC)                                      F079000100005 
REFERENCE  (J,NP,52,273,1964)                                     F079000100006 
FACILITY   (VDG,2GERHAM)                                          F079000100007 
INC-SOURCE The deuteron bombarding energy is known to an accuracy F079000100008 
           of better than 2%.The beam was integrated in a current F079000100009 
           integrator with an absolute accuracy of +-3% and, in   F079000100010 
           addition, a long counter placed at 90 degr. was used toF079000100011 
           monitor the neutron yield.                             F079000100012 
DETECTOR   (SCIN)Neutrons were detected in a large (12.5 cm       F079000100013 
           diameter*2.5 cm) encapsulated liquid scintillator NE213F079000100014 
           viewed by a Philips 58 AVP photomultiplier. The        F079000100015 
           measurement of the absolute cross section was performedF079000100016 
           with a 4 cm diameter*2.5 cm stilbene detector and a 56 F079000100017 
           AVP phototube.                                         F079000100018 
METHOD     (TOF)                                                  F079000100019 
           (BCINT)                                                F079000100020 
           (PHD)                                                  F079000100021 
SAMPLE     Both CaF2 and PbF2 targets were used. The PbF2 targets F079000100022 
           were produced by etching 1 mm thick lead discs with    F079000100023 
           fluoric acid; however, these targets proved to be      F079000100024 
           rather inhomogeneous. Better results were obtained by  F079000100025 
           evaporating several layers of CaF2 onto a 0.1 mm thick F079000100026 
           gold backing.The thickness of the targets used varied  F079000100027 
           between 80 keV and 100 keV for 1.5 MeV protons, as     F079000100028 
           determined from the broadening of the 1.38MeV resonanceF079000100029 
           of the 19F(p,ag)16O reaction. In addition the          F079000100030 
           evaporated targets were weighed. Both measurements of  F079000100031 
           target thickness agreed within 10%. The targets were   F079000100032 
           contained in a cylindrical cup with 0.3 mm thick       F079000100033 
           aluminium walls,which also acted as a Faraday cup.     F079000100034 
CORRECTION The relative yields of the neutron groups and the      F079000100035 
           yields at different deuteron energies having been      F079000100036 
           corrected for neutron detection efficiency, solid angleF079000100037 
           variations,different target thickness,bias settings andF079000100038 
           accumulated charge.                                    F079000100039 
ERR-ANALYS The error in relative cross section of different       F079000100040 
           neutron groups due to uncertainties in counter         F079000100041 
           efficiency and incomplete resolution is estimated to beF079000100042 
           smaller than +-20%; the relative error in the          F079000100043 
           differential cross section between forward and backwardF079000100044 
           angles due to the same effects is smaller than +-10%.  F079000100045 
           The relative cross section for different deuteron      F079000100046 
           energies are believed to be correct within +-15%.      F079000100047 
           The angular resolution was +- 1.2 degr. for the flight F079000100048 
           path of 3 m and less for the longer paths.             F079000100049 
           The accuracy of the angle settings was +-1.5 degr.     F079000100050 
HISTORY    (20061024C)                                            F079000100051 
ENDBIB              49          0                                 F079000100052 
NOCOMMON             0          0                                 F079000100053 
ENDSUBENT           52          0                                 F079000199999 
SUBENT        F0790002   20070126                             F026F079000200001 
BIB                  3          5                                 F079000200002 
REACTION   (9-F-19(D,N)10-NE-20,PAR,DA,,REL)                      F079000200003 
ERR-ANALYS (ANG-ERR-D)Digitizing error                            F079000200004 
           (ERR-DIG)Digitizing error                              F079000200005 
           (ERR-S)Statistical error                               F079000200006 
STATUS     (CURVE)Fig.4,5(b,c,d)                                  F079000200007 
ENDBIB               5          0                                 F079000200008 
COMMON               2          3                                 F079000200009 
ANG-ERR-D  ERR-DIG                                                F079000200010 
ADEG       ARB-UNITS                                              F079000200011 
 0.1154     0.0046                                                F079000200012 
ENDCOMMON            3          0                                 F079000200013 
DATA                 5        305                                 F079000200014 
E-LVL      EN         ANG-CM     DATA-CM    ERR-S                 F079000200015 
MEV        MEV        ADEG       ARB-UNITS  ARB-UNITS             F079000200016 
 0.0000     2.5100    0.33008     1.2394    0.15845               F079000200017 
 0.0000     2.5100     7.6977     1.0845    0.10211               F079000200018 
 0.0000     2.5100     15.633     1.0141    0.88028E-01           F079000200019 
 0.0000     2.5100     23.567    0.79575    0.88028E-01           F079000200020 
 0.0000     2.5100     31.218    0.68307    0.84507E-01           F079000200021 
 0.0000     2.5100     38.869    0.57391    0.80986E-01           F079000200022 
 0.0000     2.5100     46.239    0.84151    0.70423E-01           F079000200023 
 0.0000     2.5100     61.543    0.93657    0.73944E-01           F079000200024 
 0.0000     2.5100     77.980    0.93304    0.91549E-01           F079000200025 
 0.0000     2.5100     92.433    0.83091    0.98592E-01           F079000200026 
 0.0000     2.5100     107.74    0.84499    0.84507E-01           F079000200027 
 0.0000     2.5100     122.47    0.89427    0.95070E-01           F079000200028 
 0.0000     2.5100     136.93    0.80271    0.80986E-01           F079000200029 
 0.0000     2.5100     151.66    0.89425    0.98592E-01           F079000200030 
 0.0000     2.6100    0.49467     1.2852    0.16151               F079000200031 
 0.0000     2.6100     10.944    0.96226    0.94802E-01           F079000200032 
 0.0000     2.6100     20.837    0.51993    0.63201E-01           F079000200033 
 0.0000     2.6100     30.993    0.42170    0.59690E-01           F079000200034 
 0.0000     2.6100     41.145    0.38668    0.77246E-01           F079000200035 
 0.0000     2.6100     51.003    0.57987    0.91291E-01           F079000200036 
 0.0000     2.6100     60.856    0.84681    0.77246E-01           F079000200037 
 0.0000     2.6100     71.565    0.94170    0.77246E-01           F079000200038 
 0.0000     2.6100     81.159    0.81187    0.87780E-01           F079000200039 
 0.0000     2.6100     91.601    0.63640    0.84269E-01           F079000200040 
 0.0000     2.6100     101.47    0.60839    0.77246E-01           F079000200041 
 0.0000     2.6100     111.33    0.71381    0.70224E-01           F079000200042 
 0.0000     2.6100     121.47    0.91403    0.84269E-01           F079000200043 
 0.0000     2.6100     131.62    0.97030    0.77246E-01           F079000200044 
 0.0000     2.6100     141.48     1.1389    0.84269E-01           F079000200045 
 0.0000     2.6100     151.63     1.1004    0.87780E-01           F079000200046 
 0.0000     2.6100     160.92     1.3778    0.98313E-01           F079000200047 
 0.0000     3.0400    0.27248     2.5037    0.16906               F079000200048 
 0.0000     3.0400     7.4255     1.7089    0.11511               F079000200049 
 0.0000     3.0400     15.693     1.1586    0.97122E-01           F079000200050 
 0.0000     3.0400     22.785     1.1227    0.93525E-01           F079000200051 
 0.0000     3.0400     31.587    0.97536    0.97122E-01           F079000200052 
 0.0000     3.0400     38.669     1.0546    0.10432               F079000200053 
 0.0000     3.0400     46.878     1.2310    0.89928E-01           F079000200054 
 0.0000     3.0400     53.128     1.0836    0.10432               F079000200055 
 0.0000     3.0400     62.213    0.93979    0.89928E-01           F079000200056 
 0.0000     3.0400     77.265    0.64502    0.79137E-01           F079000200057 
 0.0000     3.0400     91.164    0.57685    0.82734E-01           F079000200058 
 0.0000     3.0400     107.02    0.90080    0.82734E-01           F079000200059 
 0.0000     3.0400     121.46     1.1276    0.89928E-01           F079000200060 
 0.0000     3.0400     136.48     1.1890    0.89928E-01           F079000200061 
 0.0000     3.0400     151.25    0.93735    0.89928E-01           F079000200062 
 0.0000     3.3100    0.27997     2.0071    0.16071               F079000200063 
 0.0000     3.3100     7.0090     1.4750    0.75000E-01           F079000200064 
 0.0000     3.3100     15.981     1.1214    0.89286E-01           F079000200065 
 0.0000     3.3100     22.710    0.95714    0.78571E-01           F079000200066 
 0.0000     3.3100     30.841     1.0107    0.82143E-01           F079000200067 
 0.0000     3.3100     45.701     1.4321    0.78571E-01           F079000200068 
 0.0000     3.3100     60.560     1.3286    0.67857E-01           F079000200069 
 0.0000     3.3100     75.420    0.89286    0.89286E-01           F079000200070 
 0.0000     3.3100     90.561    0.58929    0.78571E-01           F079000200071 
 0.0000     3.3100     105.42    0.77857    0.78571E-01           F079000200072 
 0.0000     3.3100     120.28     1.1321    0.75000E-01           F079000200073 
 0.0000     3.3100     135.98     1.5250    0.82143E-01           F079000200074 
 0.0000     3.3100     150.56     1.2964    0.85714E-01           F079000200075 
 1.6300     2.5100     1.3914     5.0662    0.21698               F079000200076 
 1.6300     2.5100     7.3188     4.5379    0.18868               F079000200077 
 1.6300     2.5100     17.187     4.8399    0.23585               F079000200078 
 1.6300     2.5100     24.522     4.5664    0.20755               F079000200079 
 1.6300     2.5100     33.549     4.3684    0.16038               F079000200080 
 1.6300     2.5100     39.474     4.0948    0.14151               F079000200081 
 1.6300     2.5100     47.376     3.5666    0.17925               F079000200082 
 1.6300     2.5100     62.047     2.9253    0.16981               F079000200083 
 1.6300     2.5100     78.686     3.0198    0.16038               F079000200084 
 1.6300     2.5100     92.781     3.6991    0.16038               F079000200085 
 1.6300     2.5100     106.88     4.1616    0.15094               F079000200086 
