ENTRY            F0293   19991202                             0000F029300000001 
SUBENT        F0293001   19991202                             0000F029300100001 
BIB                  9         16                                 F029300100002 
TITLE      Alpha-cluster break-up and reation mechanism in        F029300100003 
            (p,alpha) reactions on light nuclei                   F029300100004 
AUTHOR     (W.BUCK,F.HOYLER,A.STABLER,G.STAUDT,H.V.KLAPDOR,       F029300100005 
           H.OESCHLER)                                            F029300100006 
INSTITUTE  (2GERTUE)                                              F029300100007 
REFERENCE  (J,NP/A,398,189,1983)                                  F029300100008 
MONIT-REF  (,BUCK+,J,NP/A,281,469,1977)                           F029300100009 
SAMPLE     The boron targets consisted of self-supporting         F029300100010 
           highly enriched boron foils with thickness between     F029300100011 
           40 and 180 mu-g/cm2 while the sodium targets were      F029300100012 
           prepared by evaporating either metallic sodium or      F029300100013 
           sodium-fluoride onto 20 mu-g/cm2 carbon foils. The     F029300100014 
           sodium target thickness was between 100 - 250 mu-g/cm2.F029300100015 
FACILITY   (VDGT)                                                 F029300100016 
DETECTOR   (SOLST) Silicon surface barrier with 300 mu-m thick    F029300100017 
HISTORY    (19850722C)                                            F029300100018 
ENDBIB              16          0                                 F029300100019 
NOCOMMON             0          0                                 F029300100020 
ENDSUBENT           19          0                                 F029300199999 
SUBENT        F0293002   19991202                             0000F029300200001 
BIB                  4          6                                 F029300200002 
REACTION   (5-B-11(P,A)4-BE-8,PAR,DA,,,EXP)                       F029300200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F029300200004 
           (DATA-ERR) Error from graphic bars (statistical error) F029300200005 
           and digitizing error                                   F029300200006 
STATUS     (CURVE) Fig.2                                          F029300200007 
EN-SEC     (E-LVL,4-BE-8)                                         F029300200008 
ENDBIB               6          0                                 F029300200009 
COMMON               2          3                                 F029300200010 
E-LVL      ANG-ERR                                                F029300200011 
MEV        ADEG                                                   F029300200012 
 0.0         3.0                                                  F029300200013 
ENDCOMMON            3          0                                 F029300200014 
DATA                 4        450                                 F029300200015 
EN         ANG-CM     DATA-CM    DATA-ERR                         F029300200016 
MEV        ADEG       MB/SR      MB/SR                            F029300200017 
     6.        21.71       0.3614     0.0164                      F029300200018 
     6.        28.01       0.4265     0.0163                      F029300200019 
     6.        34.22       0.4589     0.0327                      F029300200020 
     6.        38.47       0.524      0.0245                      F029300200021 
     6.        44.53       0.4993     0.0164                      F029300200022 
     6.        50.76       0.5398     0.0246                      F029300200023 
     6.        54.75       0.507  0.8164E-02                      F029300200024 
     6.        60.77       0.4659 0.8250E-02                      F029300200025 
     6.        66.84       0.4493     0.0164                      F029300200026 
     6.        72.82       0.3919 0.8250E-02                      F029300200027 
     6.        78.72       0.31       0.0245                      F029300200028 
     6.        82.7        0.269      0.0244                      F029300200029 
     6.        86.82       0.2852     0.0163                      F029300200030 
     6.        92.9        0.2686     0.0163                      F029300200031 
     6.        98.98       0.252      0.0163                      F029300200032 
     6.       103.1        0.26       0.0163                      F029300200033 
     6.       109.2        0.2679     0.0163                      F029300200034 
     6.       111.2        0.227      0.0162                      F029300200035 
     6.       117.3        0.2431     0.0163                      F029300200036 
     6.       123.6        0.3163 0.4300E-02                      F029300200037 
     6.       127.7        0.3243     0.0245                      F029300200038 
     6.       131.9        0.3404     0.0245                      F029300200039 
     6.       136.         0.3484     0.0327                      F029300200040 
     6.       142.         0.3074 0.4300E-02                      F029300200041 
     6.       146.         0.2827 0.4300E-02                      F029300200042 
     6.       152.         0.2416     0.0246                      F029300200043 
     6.       156.         0.1925 0.4300E-02                      F029300200044 
     6.       160.         0.1596     0.0163                      F029300200045 
     6.       163.9        0.1105 0.4300E-02                      F029300200046 
     6.       167.9        0.0777     0.0163                      F029300200047 
     6.       171.9        0.0367 0.4300E-02                      F029300200048 
     6.75      15.84       0.1231 0.5886E-02                      F029300200049 
     6.75      24.06       0.1808 0.5886E-02                      F029300200050 
