ENTRY            F0225   20200701                             F080F0225  0    1 
SUBENT        F0225001   20200701                             F080F0225  1    1 
BIB                 10         20                                 F0225  1    2 
TITLE      Neutrons from 9Be(alpha,n) reaction for E(alpha)       F0225  1    3 
           between 6 and 10 MeV                                   F0225  1    4 
AUTHOR     (V.V.Verbinski,F.G.Perey,K.Dickens,W.R.Burrus)         F0225  1    5 
INSTITUTE  (1USAORL)                                              F0225  1    6 
REFERENCE  (J,PR,170,916,1968)                                    F0225  1    7 
FACILITY   (VDG,1USAORL)                                          F0225  1    8 
SAMPLE     Beryllium metal target (1.mg/cm2 thick) was deposited  F0225  1    9 
           on a platinum backing.                                 F0225  1   10 
METHOD     (PSD,BCINT)                                            F0225  1   11 
DETECTOR   (SCIN) A 5-cm-diam by 5-cm-high cylinder of NE-213     F0225  1   12 
           liquid organic scintillator                            F0225  1   13 
ERR-ANALYS (ERR-SYS) Systematic error includes:                   F0225  1   14 
             * detector calibration,                              F0225  1   15 
             * current-integration,                               F0225  1   16 
             * Faraday-cup 'leakage', and                         F0225  1   17 
             * target-thickness uncertainty.                      F0225  1   18 
HISTORY    (19850313C)                                            F0225  1   19 
           (19990409U) CNPD: corrected 4-dig. year and lower casesF0225  1   20 
           (20200701A) SD: Corrections in all Subents. BIB updatedF0225  1   21 
           The accuracy of data presentation  has been revised.   F0225  1   22 
ENDBIB              20          0                                 F0225  1   23 
COMMON               1          3                                 F0225  1   24 
ERR-SYS                                                           F0225  1   25 
PER-CENT                                                          F0225  1   26 
  10.                                                             F0225  1   27 
ENDCOMMON            3          0                                 F0225  1   28 
ENDSUBENT           27          0                                 F0225  199999 
SUBENT        F0225002   20200701                             F080F0225  2    1 
BIB                  4          6                                 F0225  2    2 
REACTION   (4-BE-9(A,N)6-C-12,PAR,DA)                             F0225  2    3 
ERR-ANALYS (DATA-ERR) Error from graphic bars (No information on  F0225  2    4 
            the source of the uncertainty, probably statistical)  F0225  2    5 
STATUS     (CURVE) figs 4,6,7 from Phys.Rev.,170(1968)916         F0225  2    6 
HISTORY    (20200701A) SD: SF9=EXP deleted from REACTION code.    F0225  2    7 
           EN-SEC deleted. STATUS updated. ANG-ERR -> ANG-ERR-D.  F0225  2    8 
ENDBIB               6          0                                 F0225  2    9 
COMMON               1          3                                 F0225  2   10 
ANG-ERR-D                                                         F0225  2   11 
ADEG                                                              F0225  2   12 
 1.0                                                              F0225  2   13 
ENDCOMMON            3          0                                 F0225  2   14 
DATA                 5        148                                 F0225  2   15 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              F0225  2   16 
MEV        MEV        ADEG       MB/SR      MB/SR                 F0225  2   17 
       6.79         0.        0.2       5.86       0.18           F0225  2   18 
       6.79         0.       25.6       4.58       0.18           F0225  2   19 
       6.79         0.       49.8       2.16       0.14           F0225  2   20 
       6.79         0.       73.5       1.56       0.03           F0225  2   21 
       6.79         0.       97.5       1.68       0.09           F0225  2   22 
       6.79         0.      105.5       1.95       0.03           F0225  2   23 
       6.79         0.      119.8       2.39       0.03           F0225  2   24 
       6.79         0.      140.2       2.74       0.09           F0225  2   25 
       6.79         0.      155.3       3.00       0.14           F0225  2   26 
       6.79         0.      171.2       2.68       0.14           F0225  2   27 
       6.79       4.44        0.6      20.37       0.52           F0225  2   28 
       6.79       4.44       25.6       8.24       0.34           F0225  2   29 
       6.79       4.44       52.6       7.98       0.17           F0225  2   30 
       6.79       4.44       76.2       9.76       0.17           F0225  2   31 
       6.79       4.44       99.1       8.28       0.52           F0225  2   32 
       6.79       4.44      121.6      12.64       0.69           F0225  2   33 
       6.79       4.44      141.6      15.45       0.86           F0225  2   34 
       6.79       4.44      156.8      15.67       0.52           F0225  2   35 
       6.79       4.44      170.5      13.47       0.52           F0225  2   36 
       6.79       7.66        1.6       3.69       0.27           F0225  2   37 
       6.79       7.66       27.9       5.71       0.32           F0225  2   38 
       6.79       7.66       55.1       5.24       0.32           F0225  2   39 
       6.79       7.66       80.9       3.83       0.23           F0225  2   40 
       6.79       7.66      102.8       1.19       0.03           F0225  2   41 
       6.79       7.66      103.6       1.33       0.09           F0225  2   42 
       6.79       7.66      125.4       1.26       0.14           F0225  2   43 
       6.79       7.66      144.6       0.92       0.14           F0225  2   44 
       6.79       7.66      157.6       1.03       0.09           F0225  2   45 
       6.79       7.66      170.6       1.09       0.14           F0225  2   46 
       7.96         0.        0.2       5.03       0.18           F0225  2   47 
       7.96         0.        0.3       5.35       0.22           F0225  2   48 
       7.96         0.       25.4       3.18       0.18           F0225  2   49 
       7.96         0.       50.7       2.08       0.09           F0225  2   50 
       7.96         0.       74.8       3.60       0.18           F0225  2   51 
       7.96         0.       87.0       2.56       0.13           F0225  2   52 
       7.96         0.       98.4       2.47       0.09           F0225  2   53 
       7.96         0.      108.9       2.28       0.14           F0225  2   54 
       7.96         0.      119.4       2.01       0.14           F0225  2   55 
       7.96         0.      139.9       3.21       0.14           F0225  2   56 
       7.96         0.      156.0       4.42       0.13           F0225  2   57 
       7.96         0.      170.9       4.23       0.13           F0225  2   58 
       7.96       4.44        0.1      14.07       0.51           F0225  2   59 
       7.96       4.44       24.7      11.06       0.86           F0225  2   60 
       7.96       4.44       51.0       7.37       0.51           F0225  2   61 
       7.96       4.44       75.4       5.89       0.51           F0225  2   62 
       7.96       4.44       87.3       5.07       0.51           F0225  2   63 
       7.96       4.44       99.8       5.78       0.08           F0225  2   64 
       7.96       4.44      101.4       6.81       0.17           F0225  2   65 
       7.96       4.44      110.6       8.20       0.86           F0225  2   66 
       7.96       4.44      120.6       9.25       0.51           F0225  2   67 
       7.96       4.44      141.4      12.04       0.85           F0225  2   68 
       7.96       4.44      156.7      10.37       0.68           F0225  2   69 
       7.96       4.44      170.2       8.35       0.69           F0225  2   70 
       7.96       7.66        0.8       4.32       0.31           F0225  2   71 
       7.96       7.66       26.4       5.99       0.36           F0225  2   72 
       7.96       7.66       53.1       4.14       0.27           F0225  2   73 
