ENTRY            F0419   19990410                             0000F041900000001 
SUBENT        F0419001   19990410                             0000F041900100001 
BIB                  9         13                                 F041900100002 
TITLE       (alpha,n) reactions in light nuclei                   F041900100003 
AUTHOR     (G.DECONNINCK,M.DE VROEY,J.P.MEULDERS,J.SIMONET)       F041900100004 
INSTITUTE  (2BLGLVN)                                              F041900100005 
REFERENCE  (J,NP,49,424,196312)                                   F041900100006 
SAMPLE     The targets are 2.5 mg/cm**2 evaporated 9Be or a layer F041900100007 
           of polymerised acetylene (13C enriched) of             F041900100008 
           undertermined thickness                                F041900100009 
FACILITY   (CYCLO) Fixed energy cyclotron                         F041900100010 
DETECTOR   (SCIN) Neutron detected by stilbene crystal            F041900100011 
ERR-ANALYS (ANG-ERR) Digitizing error                             F041900100012 
           (ERR-1) Error from absolute calibration                F041900100013 
           (DATA-ERR) Arbitrary error                             F041900100014 
HISTORY    (19860709C)                                            F041900100015 
ENDBIB              13          0                                 F041900100016 
COMMON               2          3                                 F041900100017 
ERR-1      DATA-ERR                                               F041900100018 
PER-CENT   PER-CENT                                               F041900100019 
  20.0       5.0                                                  F041900100020 
ENDCOMMON            3          0                                 F041900100021 
ENDSUBENT           20          0                                 F041900199999 
SUBENT        F0419002   19990410                             0000F041900200001 
BIB                  3          3                                 F041900200002 
REACTION   (4-BE-9(A,N)6-C-12,PAR,DA,,,EXP)                       F041900200003 
EN-SEC     (E-LVL,6-C-12)                                         F041900200004 
STATUS     (CURVE) fig 1,2,4                                      F041900200005 
ENDBIB               3          0                                 F041900200006 
COMMON               1          3                                 F041900200007 
ANG-ERR                                                           F041900200008 
ADEG                                                              F041900200009 
  1.                                                              F041900200010 
ENDCOMMON            3          0                                 F041900200011 
DATA                 5        367                                 F041900200012 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR1             F041900200013 
MEV        MEV        ADEG       MB/SR      MB/SR                 F041900200014 
    12.9        0.         1.374      0.649      0.1491           F041900200015 
    12.9        0.        12.25       0.6328     0.0701           F041900200016 
    12.9        0.        23.94       0.8008     0.1052           F041900200017 
    12.9        0.        35.53       1.004      0.0789           F041900200018 
    12.9        0.        46.4        0.523      0.0438           F041900200019 
    12.9        0.        55.89       0.5154     0.044            F041900200020 
    12.9        0.        69.14       0.6134     0.0526           F041900200021 
    12.9        0.        89.71       0.5195     0.0438           F041900200022 
    12.9        0.        99.36       0.4593     0.0438           F041900200023 
    13.6        0.         1.202      0.5818     0.0455           F041900200024 
    13.6        0.        15.66       0.7282     0.0546           F041900200025 
    13.6        0.        28.56       1.038      0.0818           F041900200026 
    13.6        0.        37.87       1.057      0.091            F041900200027 
    13.6        0.        49.17       0.6031     0.0455           F041900200028 
    13.6        0.        61.29       0.513      0.0455           F041900200029 
    13.6        0.        73.55       0.3228     0.0272           F041900200030 
    13.6        0.        81.44       0.4052     0.0455           F041900200031 
    13.6        0.        91.89       0.5604     0.0545           F041900200032 
    13.6        0.       102.6        0.5247     0.0455           F041900200033 
    13.6        0.       112.1        0.4072     0.0455           F041900200034 
    13.6        0.       120.3        0.2804     0.0273           F041900200035 
    13.6        0.       131.         0.2175     0.0182           F041900200036 
    13.6        0.       140.1        0.3817     0.0273           F041900200037 
    13.6        0.       148.         0.5004     0.0364           F041900200038 
    13.6        0.       155.9        0.51       0.0455           F041900200039 
    13.6        0.       161.2        0.5376     0.0454           F041900200040 
    13.6        0.       171.9        0.5656     0.0455           F041900200041 
    13.6        4.44       1.097      2.533      0.4007           F041900200042 
    13.6        4.44      13.22       2.028      0.3341           F041900200043 
    13.6        4.44      25.67       1.855      0.3341           F041900200044 
    13.6        4.44      37.21       1.394      0.2669           F041900200045 
