ENTRY            F0396   20220603                             F091F0396  0    1 
SUBENT        F0396001   20220603                             F091F0396  1    1 
BIB                 10         18                                 F0396  1    2 
TITLE      Differential cross sections of the 9Be (6Li,alpha)11B  F0396  1    3 
           reaction                                               F0396  1    4 
AUTHOR     (J.J.Leigh,J.M.Blair)                                  F0396  1    5 
INSTITUTE  (1USAMIN)                                              F0396  1    6 
REFERENCE  (J,PR,121,246,1961)                                    F0396  1    7 
FACILITY   (VDG,1USAMIN)                                          F0396  1    8 
SAMPLE     Thin beryllium targets were prepared by evaporating    F0396  1    9 
           beryllium onto soaped glass slides. Four targets were  F0396  1   10 
           used, ranging in thickness from 116+-23 keV to         F0396  1   11 
           256 +-36 keV for 7Li ions incident at 3.25 MeV.        F0396  1   12 
METHOD     (EDE)                                                  F0396  1   13 
DETECTOR   (PROPC,SCIN) Two counters in tandem on the turntable.  F0396  1   14 
           The prop.counter filling 8 cm Hg of argon and 2-3mm Hg F0396  1   15 
           of carbon dioxide. Scintillator was 1-mm thick CsI(Tl).F0396  1   16 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  F0396  1   17 
HISTORY    (19860828C)                                            F0396  1   18 
           (20220603A) SD: Corrections in all Subents. Subents    F0396  1   19 
           002 and 003 were merged.                               F0396  1   20 
ENDBIB              18          0                                 F0396  1   21 
NOCOMMON             0          0                                 F0396  1   22 
ENDSUBENT           21          0                                 F0396  199999 
SUBENT        F0396002   20220603                             F091F0396  2    1 
BIB                  4          5                                 F0396  2    2 
REACTION   (4-BE-9(3-LI-6,A)5-B-11,PAR,SIG)                       F0396  2    3 
ANALYSIS   (INTAD)                                                F0396  2    4 
STATUS     (TABLE) Table 1 from Phys.Rev.121(1961)246             F0396  2    5 
HISTORY    (20220603A) SD: SF9=EXP deleted from REACTION code.    F0396  2    6 
           ERR-T -> DATA-ERR.                                     F0396  2    7 
ENDBIB               5          0                                 F0396  2    8 
COMMON               1          3                                 F0396  2    9 
DATA-ERR                                                          F0396  2   10 
PER-CENT                                                          F0396  2   11 
  40.0                                                            F0396  2   12 
ENDCOMMON            3          0                                 F0396  2   13 
DATA                 4          9                                 F0396  2   14 
E-LVL      E-LVL      EN         DATA                             F0396  2   15 
MEV        MEV        MEV        MB                               F0396  2   16 
         0.                  3.00       0.49                      F0396  2   17 
         0.                  3.25       0.70                      F0396  2   18 
         0.                  3.50       0.97                      F0396  2   19 
      2.124                  3.00       0.35                      F0396  2   20 
      2.124                  3.25       0.49                      F0396  2   21 
      2.124                  3.50       0.65                      F0396  2   22 
       4.44       5.02         3.       1.24                      F0396  2   23 
       4.44       5.02       3.25       1.79                      F0396  2   24 
       4.44       5.02        3.5       2.43                      F0396  2   25 
ENDDATA             11          0                                 F0396  2   26 
ENDSUBENT           25          0                                 F0396  299999 
NOSUBENT      F0396003   20220603                             F091F0396  3    1 
SUBENT        F0396004   20220603                             F091F0396  4    1 
BIB                  3          6                                 F0396  4    2 
REACTION   (4-BE-9(3-LI-6,A)5-B-11,PAR,DA,,REL)                   F0396  4    3 
            No explanation of relative units is given.            F0396  4    4 
STATUS     (CURVE) Figs 4,5 from Phys.Rev.121(1961)246            F0396  4    5 
HISTORY    (20220603A) SD: SF9=EXP deleted from REACTION code.    F0396  4    6 
           ANG-ERR -> ANG-ERR-D; DATA-ERR -> ERR-DIG;             F0396  4    7 
           DATA-ERR1 -> DATA-ERR.                                 F0396  4    8 
ENDBIB               6          0                                 F0396  4    9 
COMMON               2          3                                 F0396  4   10 
ANG-ERR-D  ERR-DIG                                                F0396  4   11 
ADEG       PER-CENT                                               F0396  4   12 
  0.10      0.4                                                   F0396  4   13 
ENDCOMMON            3          0                                 F0396  4   14 
DATA                 5        135                                 F0396  4   15 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              F0396  4   16 
MEV        MEV        ADEG       ARB-UNITS  ARB-UNITS             F0396  4   17 
         2.         0.       19.6  4.295E+00  3.265E-01           F0396  4   18 
         2.         0.       60.4  2.657E+00  2.537E-01           F0396  4   19 
         2.         0.       90.2  3.287E+00  2.921E-01           F0396  4   20 
         2.         0.      119.8  3.060E+00  3.488E-01           F0396  4   21 
         2.         0.      159.6  5.752E+00  5.016E-01           F0396  4   22 
         2.       2.12       20.2  1.151E+01  8.961E-01           F0396  4   23 
         2.       2.12       61.3  4.794E+00  5.884E-01           F0396  4   24 
         2.       2.12       90.8  2.879E+00  4.967E-01           F0396  4   25 
         2.       2.12      121.0  5.199E+00  7.906E-01           F0396  4   26 
         2.       2.12      160.4  7.769E+00  9.661E-01           F0396  4   27 
        2.5         0.       19.9  2.295E+01  1.035E+00           F0396  4   28 
        2.5         0.       60.0  1.345E+01  7.552E-01           F0396  4   29 
        2.5         0.       90.0  1.618E+01  1.478E+00           F0396  4   30 
        2.5         0.      119.9  1.494E+01  9.030E-01           F0396  4   31 
        2.5         0.      160.0  2.731E+01  2.382E+00           F0396  4   32 
        2.5       2.12       20.7  2.877E+01  2.621E+00           F0396  4   33 
        2.5       2.12       61.3  8.384E+00  6.328E-01           F0396  4   34 
        2.5       2.12       90.9  7.426E+00  9.388E-01           F0396  4   35 
        2.5       2.12      121.1  5.663E+00  8.437E-01           F0396  4   36 
        2.5       2.12      160.9  1.731E+01  2.833E+00           F0396  4   37 
         3.         0.       12.0  5.613E+01  2.619E+00           F0396  4   38 
         3.         0.       24.0  6.234E+01  5.434E+00           F0396  4   39 
         3.         0.       35.3  5.709E+01  3.487E+00           F0396  4   40 
         3.         0.       47.0  4.801E+01  1.935E+00           F0396  4   41 
         3.         0.       58.1  3.564E+01  3.647E+00           F0396  4   42 
         3.         0.       69.0  3.506E+01  2.118E+00           F0396  4   43 
         3.         0.       79.8  4.119E+01  2.075E+00           F0396  4   44 
         3.         0.       90.0  4.451E+01  3.632E+00           F0396  4   45 
         3.         0.      100.7  5.012E+01  5.037E+00           F0396  4   46 
         3.         0.      110.0  5.474E+01  3.255E+00           F0396  4   47 
         3.         0.      119.7  5.082E+01  2.633E+00           F0396  4   48 
         3.         0.      129.0  4.453E+01  4.030E+00           F0396  4   49 
         3.         0.      137.8  4.508E+01  2.463E+00           F0396  4   50 
         3.         0.      146.7  5.114E+01  3.621E+00           F0396  4   51 
         3.         0.      155.5  5.264E+01  3.779E+00           F0396  4   52 
         3.         0.      164.0  6.745E+01  5.598E+00           F0396  4   53 
         3.       2.12       13.2  9.273E+01  3.561E+00           F0396  4   54 
         3.       2.12       24.8  7.771E+01  2.549E+00           F0396  4   55 
         3.       2.12       36.7  6.317E+01  3.289E+00           F0396  4   56 
         3.       2.12       47.9  4.179E+01  1.895E+00           F0396  4   57 
         3.       2.12       59.0  3.016E+01  2.695E+00           F0396  4   58 
         3.       2.12       70.1  3.202E+01  1.765E+00           F0396  4   59 
         3.       2.12       80.7  2.774E+01  1.615E+00           F0396  4   60 
         3.       2.12       91.4  2.200E+01  1.382E+00           F0396  4   61 
         3.       2.12      101.2  1.876E+01  1.676E+00           F0396  4   62 
         3.       2.12      111.2  1.556E+01  1.235E+00           F0396  4   63 
         3.       2.12      121.6  1.684E+01  1.293E+00           F0396  4   64 
         3.       2.12      130.1  2.260E+01  3.249E+00           F0396  4   65 
         3.       2.12      138.8  3.160E+01  1.911E+00           F0396  4   66 
         3.       2.12      148.0  4.451E+01  3.140E+00           F0396  4   67 
         3.       2.12      156.6  5.534E+01  6.899E+00           F0396  4   68 
         3.       2.12      164.8  5.943E+01  7.649E+00           F0396  4   69 
       3.25         0.       11.6  7.050E+01  5.799E+00           F0396  4   70 
       3.25         0.       23.9  7.448E+01  3.320E+00           F0396  4   71 
