ENTRY            F0287   20210616                             F084F0287  0    1 
SUBENT        F0287001   20210616                             F084F0287  1    1 
BIB                  9         16                                 F0287  1    2 
TITLE      The mechanism of the reaction 10B(d,p)11B at low       F0287  1    3 
           deuteron energies                                      F0287  1    4 
AUTHOR     (M.N.H.Comsan,A.A.El Kamhawy,M.A.Farouk,A.H.Oraby)     F0287  1    5 
INSTITUTE  (3EGYCAI)                                              F0287  1    6 
REFERENCE  (J,AKE,32,189,1978)                                    F0287  1    7 
FACILITY   (VDG,3EGYCAI)                                          F0287  1    8 
SAMPLE     (5-B-10,ENR=0.966) Enriched (96.6%) 10B isotope        F0287  1    9 
           evaporated on thin Ni backing                          F0287  1   10 
DETECTOR   (SI) Silicon drifted semiconductor detectors of about  F0287  1   11 
           1.5-2.0 mm thickness                                   F0287  1   12 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty. F0287  1   13 
HISTORY    (19850715C)                                            F0287  1   14 
           (19990409U) CNPD: corrected 4-dig. year and lower casesF0287  1   15 
           (20210616A) SD: Corrections in all Subents. BIB updatedF0287  1   16 
           The accuracy of data presentation has been revised.    F0287  1   17 
           E-LVL values corrected according to the article.       F0287  1   18 
ENDBIB              16          0                                 F0287  1   19 
NOCOMMON             0          0                                 F0287  1   20 
ENDSUBENT           19          0                                 F0287  199999 
SUBENT        F0287002   20210616                             F084F0287  2    1 
BIB                  3          5                                 F0287  2    2 
REACTION   (5-B-10(D,P)5-B-11,PAR,DA)                             F0287  2    3 
STATUS     (CURVE) Fig 2,3 from Atomkernenergie,32(1978)189       F0287  2    4 
HISTORY    (20210616A) SD: SF9=EXP deleted from REACTION code.    F0287  2    5 
           EN-SEC, ERR-ANALYS deleted. STATUS updated. EN-ERR ->  F0287  2    6 
           EN-ERR-DIG; DATA-ERR -> ERR-DIG; DATA-ERR1 -> DATA-ERR.F0287  2    7 
ENDBIB               5          0                                 F0287  2    8 
COMMON               2          3                                 F0287  2    9 
EN-ERR-DIG ERR-DIG                                                F0287  2   10 
MEV        MB/SR                                                  F0287  2   11 
 0.003      0.006                                                 F0287  2   12 
ENDCOMMON            3          0                                 F0287  2   13 
DATA                 5        248                                 F0287  2   14 
E-LVL      ANG        EN         DATA       DATA-ERR              F0287  2   15 
MEV        ADEG       MEV        MB/SR      MB/SR                 F0287  2   16 
         0.        50.      1.009      0.763      0.066           F0287  2   17 
         0.        50.      1.063      0.744      0.033           F0287  2   18 
         0.        50.      1.109      0.739      0.033           F0287  2   19 
         0.        50.      1.149      0.759      0.040           F0287  2   20 
         0.        50.      1.202      0.786      0.033           F0287  2   21 
         0.        50.      1.255      0.879      0.053           F0287  2   22 
         0.        50.      1.301      0.959      0.046           F0287  2   23 
         0.        50.      1.347      1.045      0.040           F0287  2   24 
         0.        50.      1.397      1.151      0.040           F0287  2   25 
         0.        50.      1.452      1.369      0.039           F0287  2   26 
         0.        50.      1.502      1.396      0.046           F0287  2   27 
         0.        50.      1.548      1.535      0.039           F0287  2   28 
         0.        50.      1.597      1.608      0.046           F0287  2   29 
         0.        50.      1.646      1.760      0.040           F0287  2   30 
         0.        50.      1.698      1.985      0.059           F0287  2   31 
         0.        50.      1.746      1.795      0.040           F0287  2   32 
         0.        50.      1.793      1.848      0.033           F0287  2   33 
         0.        50.      1.836      1.869      0.033           F0287  2   34 
         0.        50.      1.895      2.054      0.040           F0287  2   35 
         0.        50.      1.945      2.061      0.033           F0287  2   36 
         0.        50.      1.985      2.062      0.040           F0287  2   37 
         0.        50.      2.045      2.128      0.033           F0287  2   38 
         0.        50.      2.088      2.123      0.033           F0287  2   39 
         0.        50.      2.151      2.104      0.033           F0287  2   40 
         0.        50.      2.185      2.065      0.040           F0287  2   41 
         0.        50.      2.249      2.046      0.040           F0287  2   42 
         0.        50.      2.296      2.007      0.033           F0287  2   43 
         0.        50.      2.353      1.923      0.033           F0287  2   44 
         0.        50.      2.389      2.016      0.033           F0287  2   45 
         0.        50.      2.443      1.872      0.039           F0287  2   46 
         0.        50.      2.480      1.879      0.026           F0287  2   47 
         0.       120.      1.007      0.587      0.165           F0287  2   48 
         0.       120.      1.057      0.615      0.040           F0287  2   49 
         0.       120.      1.111      0.596      0.040           F0287  2   50 
         0.       120.      1.164      0.624      0.040           F0287  2   51 
         0.       120.      1.197      0.611      0.033           F0287  2   52 
         0.       120.      1.254      0.665      0.040           F0287  2   53 
         0.       120.      1.304      0.712      0.046           F0287  2   54 
         0.       120.      1.364      0.714      0.053           F0287  2   55 
         0.       120.      1.404      0.807      0.040           F0287  2   56 
         0.       120.      1.451      0.848      0.040           F0287  2   57 
         0.       120.      1.501      0.901      0.040           F0287  2   58 
         0.       120.      1.551      0.902      0.033           F0287  2   59 
         0.       120.      1.601      0.910      0.046           F0287  2   60 
         0.       120.      1.655      0.924      0.066           F0287  2   61 
         0.       120.      1.714      0.998      0.033           F0287  2   62 
         0.       120.      1.761      1.006      0.040           F0287  2   63 
         0.       120.      1.808      1.060      0.040           F0287  2   64 
         0.       120.      1.865      1.101      0.026           F0287  2   65 
         0.       120.      1.905      1.128      0.040           F0287  2   66 
         0.       120.      1.961      1.255      0.040           F0287  2   67 
         0.       120.      2.004      1.216      0.033           F0287  2   68 
         0.       120.      2.061      1.270      0.040           F0287  2   69 
         0.       120.      2.111      1.330      0.033           F0287  2   70 
         0.       120.      2.151      1.338      0.046           F0287  2   71 
         0.       120.      2.201      1.405      0.040           F0287  2   72 
         0.       120.      2.245      1.274      0.033           F0287  2   73 
         0.       120.      2.299      1.242      0.026           F0287  2   74 
         0.       120.      2.356      1.283      0.033           F0287  2   75 
         0.       120.      2.400      1.211      0.026           F0287  2   76 
         0.       120.      2.447      1.127      0.040           F0287  2   77 
         0.       120.      2.500      1.167      0.040           F0287  2   78 
       2.14        50.      1.012      0.140      0.007           F0287  2   79 
       2.14        50.      1.072      0.131      0.007           F0287  2   80 
       2.14        50.      1.116      0.142      0.008           F0287  2   81 
       2.14        50.      1.156      0.137      0.007           F0287  2   82 
       2.14        50.      1.213      0.130      0.007           F0287  2   83 
       2.14        50.      1.260      0.149      0.007           F0287  2   84 
       2.14        50.      1.310      0.149      0.007           F0287  2   85 
       2.14        50.      1.360      0.139      0.007           F0287  2   86 
       2.14        50.      1.408      0.139      0.008           F0287  2   87 
       2.14        50.      1.457      0.159      0.007           F0287  2   88 
       2.14        50.      1.504      0.156      0.007           F0287  2   89 
       2.14        50.      1.550      0.178      0.007           F0287  2   90 
       2.14        50.      1.602      0.208      0.007           F0287  2   91 
       2.14        50.      1.663      0.203      0.007           F0287  2   92 
       2.14        50.      1.709      0.218      0.009           F0287  2   93 
       2.14        50.      1.754      0.198      0.007           F0287  2   94 
       2.14        50.      1.799      0.235      0.007           F0287  2   95 
       2.14        50.      1.850      0.213      0.007           F0287  2   96 
       2.14        50.      1.911      0.208      0.008           F0287  2   97 
       2.14        50.      1.952      0.203      0.008           F0287  2   98 
       2.14        50.      2.011      0.228      0.007           F0287  2   99 
       2.14        50.      2.053      0.186      0.007           F0287  2  100 
       2.14        50.      2.109      0.218      0.007           F0287  2  101 
       2.14        50.      2.149      0.198      0.007           F0287  2  102 
       2.14        50.      2.206      0.217      0.009           F0287  2  103 
       2.14        50.      2.258      0.242      0.007           F0287  2  104 
       2.14        50.      2.298      0.250      0.005           F0287  2  105 
       2.14        50.      2.352      0.252      0.007           F0287  2  106 
       2.14        50.      2.407      0.299      0.007           F0287  2  107 
       2.14        50.      2.452      0.339      0.007           F0287  2  108 
       2.14        50.      2.503      0.329      0.007           F0287  2  109 
       2.14       120.      1.008      0.163      0.005           F0287  2  110 
       2.14       120.      1.053      0.193      0.007           F0287  2  111 
       2.14       120.      1.104      0.181      0.007           F0287  2  112 
       2.14       120.      1.157      0.189      0.007           F0287  2  113 
       2.14       120.      1.194      0.197      0.007           F0287  2  114 
       2.14       120.      1.254      0.199      0.007           F0287  2  115 
       2.14       120.      1.296      0.219      0.007           F0287  2  116 
       2.14       120.      1.353      0.230      0.007           F0287  2  117 
       2.14       120.      1.403      0.230      0.007           F0287  2  118 
       2.14       120.      1.449      0.242      0.007           F0287  2  119 
       2.14       120.      1.492      0.248      0.005           F0287  2  120 
       2.14       120.      1.556      0.251      0.007           F0287  2  121 
       2.14       120.      1.602      0.257      0.007           F0287  2  122 
       2.14       120.      1.656      0.256      0.007           F0287  2  123 
       2.14       120.      1.699      0.267      0.008           F0287  2  124 
       2.14       120.      1.752      0.270      0.008           F0287  2  125 
       2.14       120.      1.797      0.243      0.007           F0287  2  126 
       2.14       120.      1.851      0.249      0.007           F0287  2  127 
       2.14       120.      1.893      0.263      0.005           F0287  2  128 
       2.14       120.      1.950      0.270      0.005           F0287  2  129 
       2.14       120.      2.001      0.254      0.005           F0287  2  130 
       2.14       120.      2.055      0.256      0.005           F0287  2  131 
       2.14       120.      2.095      0.251      0.005           F0287  2  132 
       2.14       120.      2.148      0.267      0.005           F0287  2  133 
       2.14       120.      2.209      0.245      0.007           F0287  2  134 
       2.14       120.      2.250      0.242      0.007           F0287  2  135 
       2.14       120.      2.306      0.258      0.005           F0287  2  136 
       2.14       120.      2.358      0.277      0.008           F0287  2  137 
       2.14       120.      2.409      0.260      0.005           F0287  2  138 
       2.14       120.      2.447      0.249      0.005           F0287  2  139 
       2.14       120.      2.497      0.242      0.007           F0287  2  140 
       4.46        50.      0.987      1.252      0.036           F0287  2  141 
       4.46        50.      1.045      1.161      0.036           F0287  2  142 
       4.46        50.      1.084      1.190      0.036           F0287  2  143 
       4.46        50.      1.138      1.234      0.029           F0287  2  144 
       4.46        50.      1.181      1.256      0.036           F0287  2  145 
       4.46        50.      1.234      1.342      0.036           F0287  2  146 
       4.46        50.      1.294      1.422      0.036           F0287  2  147 
       4.46        50.      1.337      1.473      0.043           F0287  2  148 
       4.46        50.      1.384      1.466      0.043           F0287  2  149 
       4.46        50.      1.441      1.546      0.036           F0287  2  150 
       4.46        50.      1.481      1.447      0.029           F0287  2  151 
       4.46        50.      1.531      1.505      0.036           F0287  2  152 
       4.46        50.      1.575      1.448      0.036           F0287  2  153 
       4.46        50.      1.632      1.542      0.064           F0287  2  154 
       4.46        50.      1.676      1.736      0.036           F0287  2  155 
       4.46        50.      1.721      1.608      0.036           F0287  2  156 
       4.46        50.      1.789      1.573      0.036           F0287  2  157 
       4.46        50.      1.833      1.546      0.036           F0287  2  158 
       4.46        50.      1.882      1.646      0.050           F0287  2  159 
       4.46        50.      1.931      1.840      0.043           F0287  2  160 
       4.46        50.      1.984      1.905      0.036           F0287  2  161 
       4.46        50.      2.038      1.906      0.043           F0287  2  162 
       4.46        50.      2.083      2.064      0.036           F0287  2  163 
       4.46        50.      2.130      2.065      0.043           F0287  2  164 
       4.46        50.      2.180      2.087      0.036           F0287  2  165 
       4.46        50.      2.230      2.167      0.043           F0287  2  166 
       4.46        50.      2.275      2.282      0.050           F0287  2  167 
       4.46        50.      2.326      2.240      0.029           F0287  2  168 
       4.46        50.      2.376      2.298      0.029           F0287  2  169 
       4.46        50.      2.423      2.270      0.029           F0287  2  170 
       4.46        50.      2.474      2.207      0.036           F0287  2  171 
       4.46       120.      1.018      0.462      0.035           F0287  2  172 
       4.46       120.      1.053      0.491      0.035           F0287  2  173 
       4.46       120.      1.089      0.513      0.036           F0287  2  174 
       4.46       120.      1.154      0.536      0.043           F0287  2  175 
       4.46       120.      1.200      0.572      0.028           F0287  2  176 
       4.46       120.      1.254      0.608      0.035           F0287  2  177 
       4.46       120.      1.312      0.595      0.043           F0287  2  178 
       4.46       120.      1.348      0.596      0.029           F0287  2  179 
       4.46       120.      1.402      0.597      0.035           F0287  2  180 
       4.46       120.      1.452      0.626      0.035           F0287  2  181 
       4.46       120.      1.503      0.634      0.035           F0287  2  182 
       4.46       120.      1.557      0.635      0.043           F0287  2  183 
       4.46       120.      1.603      0.699      0.035           F0287  2  184 
       4.46       120.      1.650      0.693      0.035           F0287  2  185 
       4.46       120.      1.697      0.694      0.035           F0287  2  186 
       4.46       120.      1.743      0.702      0.035           F0287  2  187 
       4.46       120.      1.801      0.731      0.035           F0287  2  188 
       4.46       120.      1.844      0.682      0.028           F0287  2  189 
       4.46       120.      1.902      0.697      0.035           F0287  2  190 
       4.46       120.      1.948      0.776      0.035           F0287  2  191 
       4.46       120.      1.988      0.770      0.036           F0287  2  192 
       4.46       120.      2.046      0.771      0.028           F0287  2  193 
       4.46       120.      2.100      0.772      0.035           F0287  2  194 
       4.46       120.      2.150      0.787      0.035           F0287  2  195 
       4.46       120.      2.197      0.823      0.035           F0287  2  196 
       4.46       120.      2.244      0.760      0.043           F0287  2  197 
       4.46       120.      2.297      0.818      0.035           F0287  2  198 
       4.46       120.      2.341      0.818      0.035           F0287  2  199 
       4.46       120.      2.398      0.855      0.035           F0287  2  200 
       4.46       120.      2.437      0.898      0.050           F0287  2  201 
       4.46       120.      2.487      0.927      0.035           F0287  2  202 
       5.03        50.      0.984      0.228      0.021           F0287  2  203 
       5.03        50.      1.017      0.193      0.014           F0287  2  204 
       5.03        50.      1.070      0.290      0.021           F0287  2  205 
       5.03        50.      1.121      0.308      0.018           F0287  2  206 
       5.03        50.      1.179      0.330      0.021           F0287  2  207 
       5.03        50.      1.229      0.399      0.018           F0287  2  208 
       5.03        50.      1.275      0.467      0.018           F0287  2  209 
       5.03        50.      1.329      0.481      0.018           F0287  2  210 
       5.03        50.      1.372      0.525      0.021           F0287  2  211 
       5.03        50.      1.414      0.593      0.018           F0287  2  212 
       5.03        50.      1.473      0.587      0.021           F0287  2  213 
       5.03        50.      1.528      0.757      0.021           F0287  2  214 
       5.03        50.      1.576      0.733      0.021           F0287  2  215 
       5.03        50.      1.628      0.702      0.018           F0287  2  216 
       5.03        50.      1.673      0.781      0.018           F0287  2  217 
       5.03        50.      1.722      0.739      0.018           F0287  2  218 
       5.03        50.      1.781      0.687      0.018           F0287  2  219 
       5.03        50.      1.822      0.677      0.014           F0287  2  220 
       5.03        50.      1.888      0.805      0.018           F0287  2  221 
       5.03        50.      1.926      0.777      0.018           F0287  2  222 
       5.03        50.      1.971      0.888      0.018           F0287  2  223 
       5.03        50.      2.021      0.758      0.018           F0287  2  224 
       5.03        50.      2.080      0.911      0.018           F0287  2  225 
       5.03        50.      2.129      0.809      0.018           F0287  2  226 
       5.03        50.      2.178      0.781      0.018           F0287  2  227 
       5.03        50.      2.235      0.832      0.018           F0287  2  228 
       5.03        50.      2.273      0.775      0.021           F0287  2  229 
       5.03        50.      2.330      0.819      0.018           F0287  2  230 
       5.03        50.      2.377      0.664      0.018           F0287  2  231 
       5.03        50.      2.439      0.682      0.018           F0287  2  232 
       5.03        50.      2.481      0.764      0.032           F0287  2  233 
       5.03       120.      1.004      0.263      0.018           F0287  2  234 
       5.03       120.      1.048      0.288      0.014           F0287  2  235 
       5.03       120.      1.103      0.317      0.018           F0287  2  236 
       5.03       120.      1.139      0.360      0.014           F0287  2  237 
       5.03       120.      1.201      0.375      0.018           F0287  2  238 
       5.03       120.      1.238      0.404      0.018           F0287  2  239 
       5.03       120.      1.293      0.405      0.018           F0287  2  240 
       5.03       120.      1.351      0.413      0.018           F0287  2  241 
       5.03       120.      1.406      0.446      0.021           F0287  2  242 
       5.03       120.      1.450      0.475      0.021           F0287  2  243 
