ENTRY            F0041   20030519                             0000F004100000001 
SUBENT        F0041001   20030519                             0000F004100100001 
BIB                 10         11                                 F004100100002 
TITLE      Effects of the interference in the reactions           F004100100003 
           7Li(d,n)8Be near 1 MeV rezonance                       F004100100004 
AUTHOR     (C.NUSSBAUM)                                           F004100100005 
INSTITUTE  (2SWTNEU)                                              F004100100006 
REFERENCE  (J,HPA,42,361,1969)                                    F004100100007 
SAMPLE     Natural lithium                                        F004100100008 
DETECTOR   (SCIN)                                                 F004100100009 
FACILITY   (VDG)                                                  F004100100010 
METHOD     (PHD)                                                  F004100100011 
ERR-ANALYS (DATA-ERR) Digitizing error                            F004100100012 
HISTORY    (19840105C)                                            F004100100013 
ENDBIB              11          0                                 F004100100014 
NOCOMMON             0          0                                 F004100100015 
ENDSUBENT           14          0                                 F004100199999 
SUBENT        F0041002   20030519                             0000F004100200001 
BIB                  4          5                                 F004100200002 
REACTION   (3-LI-7(D,N)4-BE-8,PAR,DA,,,EXP)                       F004100200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F004100200004 
           (DATA-ERR1) Error from graphic bars (statistic)        F004100200005 
EN-SEC     (E-LVL,4-BE-8)                                         F004100200006 
STATUS     (CURVE) Fig 13,14                                      F004100200007 
ENDBIB               5          0                                 F004100200008 
COMMON               2          3                                 F004100200009 
ANG-ERR    DATA-ERR                                               F004100200010 
ADEG       PER-CENT                                               F004100200011 
 0.5        0.2                                                   F004100200012 
ENDCOMMON            3          0                                 F004100200013 
DATA                 5        134                                 F004100200014 
EN         E-LVL      ANG        DATA       DATA-ERR1             F004100200015 
MEV        MEV        ADEG       MB/SR      MB/SR                 F004100200016 
  1.050      2.940      127.8      11.15      1.808               F004100200116 
  1.090      0.000      2.524      2.843     0.4104               F004100200117 
  1.090      0.000      15.23      2.895     0.3864               F004100200118 
  1.090      0.000      30.48      3.309     0.3623               F004100200119 
  1.090      0.000      45.73      3.627     0.3623               F004100200120 
  1.090      0.000      60.97      3.776     0.3864               F004100200121 
  1.090      0.000      75.86      3.973     0.4589               F004100200122 
  1.090      0.000      90.73      3.880     0.4829               F004100200123 
  1.090      0.000      106.0      3.812     0.4106               F004100200124 
  1.090      0.000      120.8      3.453     0.4106               F004100200125 
  1.090      0.000      135.4      3.626     0.3623               F004100200126 
  1.090      2.940      2.868      17.82      2.068               F004100200127 
  1.090      2.940      16.54      17.07      1.955               F004100200128 
  1.090      2.940      31.65      17.47      1.840               F004100200129 
  1.090      2.940      47.54      16.72      1.840               F004100200130 
  1.090      2.940      62.32      16.08      2.067               F004100200131 
  1.090      2.940      77.12      14.75      1.953               F004100200132 
  1.090      2.940      90.83      13.08      2.297               F004100200133 
  1.090      2.940      105.3      11.41      1.838               F004100200134 
  1.090      2.940      119.4      9.275      1.837               F004100200135 
  1.090      2.940      134.1      9.098      1.494               F004100200136 
  1.330      0.000      2.868      3.043     0.3704               F004100200137 
  1.330      0.000      23.42      3.155     0.3211               F004100200138 
  1.330      0.000      45.81      2.922     0.3455               F004100200139 
  1.330      0.000      68.90      2.936     0.3457               F004100200140 
  1.330      0.000      90.53      3.048     0.3951               F004100200141 
  1.330      0.000      112.5      3.309     0.4198               F004100200142 
  1.330      0.000      134.9      2.829     0.4193               F004100200143 
  1.330      2.940      3.713      8.323      1.927               F004100200144 
  1.330      2.940      16.38      8.773      1.448               F004100200145 
  1.330      2.940      38.60      7.657      1.326               F004100200146 
  1.330      2.940      62.25      7.029      1.447               F004100200147 
  1.330      2.940      82.65      5.545      1.808               F004100200148 
  1.330      2.940      103.3      5.026      1.444               F004100200149 
  1.330      2.940      125.9      4.393      1.447               F004100200150 
ENDDATA            136          0                                 F004100200151 
ENDSUBENT          150          0                                 F004100299999 
SUBENT        F0041003   20030519                             0000F004100300001 
BIB                  4          5                                 F004100300002 
REACTION   (3-LI-7(D,N)4-BE-8,PAR,SIG,,,EXP)                      F004100300003 
ERR-ANALYS (EN-ERR) Digitizing error                              F004100300004 
           (ERR-1) Systematic error                               F004100300005 
EN-SEC     (E-LVL,4-BE-8)                                         F004100300006 
STATUS     (CURVE) Fig.13,14                                      F004100300007 
ENDBIB               5          0                                 F004100300008 
COMMON               2          3                                 F004100300009 
EN-ERR     DATA-ERR                                               F004100300010 
MEV        MB                                                     F004100300011 
 0.001      0.2                                                   F004100300012 
ENDCOMMON            3          0                                 F004100300013 
DATA                 4         15                                 F004100300014 
EN         E-LVL      DATA       ERR-1                            F004100300015 
MEV        MEV        MB         PER-CENT                         F004100300016 
 0.9100      2.940      126.9      12.00                          F004100300017 
 0.9102      0.000      56.91      10.00                          F004100300018 
 0.9393      0.000      54.69      10.00                          F004100300019 
 0.9409      2.940      136.5      12.00                          F004100300020 
 0.9703      0.000      41.98      10.00                          F004100300021 
 0.9703      2.940      182.0      12.00                          F004100300022 
  1.010      0.000      39.23      10.00                          F004100300023 
  1.011      2.940      211.3      12.00                          F004100300024 
  1.027      0.000      40.53      10.00                          F004100300025 
  1.050      2.940      190.8      12.00                          F004100300026 
  1.051      0.000      44.30      10.00                          F004100300027 
  1.091      0.000      46.35      10.00                          F004100300028 
  1.092      2.940      153.5      12.00                          F004100300029 
  1.330      0.000      37.66      10.00                          F004100300030 
  1.331      2.940      69.11      12.00                          F004100300031 
ENDDATA             17          0                                 F004100300032 
ENDSUBENT           31          0                                 F004100399999 
SUBENT        F0041004   20030519                             0000F004100400001 
BIB                  4          5                                 F004100400002 
REACTION   (3-LI-7(D,N)4-BE-8,PAR,DA,,,EXP)                       F004100400003 
ERR-ANALYS (EN-ERR) Digitizing error                              F004100400004 
           (DATA-ERR1) Error from graphic bars (statistic)        F004100400005 
EN-SEC     (E-LVL,4-BE-8)                                         F004100400006 
STATUS     (CURVE) Fig.15                                         F004100400007 
ENDBIB               5          0                                 F004100400008 
COMMON               2          3                                 F004100400009 
EN-ERR     DATA-ERR                                               F004100400010 
MEV        MB/SR                                                  F004100400011 
