ENTRY            F0316   20210619                             F085F0316  0    1 
SUBENT        F0316001   20210619                             F085F0316  1    1 
BIB                  9         14                                 F0316  1    2 
TITLE      The population ratio of the 4.433 MeV and 7.656 MeV    F0316  1    3 
           states in 12C in the reaction 9Be(alpha,n)12C and the  F0316  1    4 
           parameters of the 7.656 MeV level                      F0316  1    5 
AUTHOR     (N.H.Gale,J.B.Garg)                                    F0316  1    6 
INSTITUTE  (2UK MAN)                                              F0316  1    7 
REFERENCE  (J,NC,19,742,1961)                                     F0316  1    8 
FACILITY   (VDG,2UK MAN) 6 MV                                     F0316  1    9 
SAMPLE     Beryllium target of 330 mu-g/cm**2 thickness           F0316  1   10 
METHOD     (TOF)                                                  F0316  1   11 
DETECTOR   (SCIN) NE211 for neutron liquid fluor contained in a   F0316  1   12 
           cylindrical glass cell 5.5 cm long by 7.8 cm diameter  F0316  1   13 
HISTORY    (19860619C)                                            F0316  1   14 
           (19990409U) CNPD: corrected 4-dig. year                F0316  1   15 
           (20210619A) SD: Corrections in all Subents.            F0316  1   16 
ENDBIB              14          0                                 F0316  1   17 
NOCOMMON             0          0                                 F0316  1   18 
ENDSUBENT           17          0                                 F0316  199999 
SUBENT        F0316002   20210619                             F085F0316  2    1 
BIB                  4         10                                 F0316  2    2 
REACTION   (4-BE-9(A,N)6-C-12,PAR,DA,,REL)                        F0316  2    3 
            Number of counts x 10**(-3)/7.5 microcoulomb in CM    F0316  2    4 
ERR-ANALYS (ERR-S) Error from graphic bars (statistical).         F0316  2    5 
           Errors are shown except when smaller than the          F0316  2    6 
           experimental points.                                   F0316  2    7 
STATUS     (CURVE) Figs 2,3,4 from Nuov.Cim.,19(1961)742          F0316  2    8 
HISTORY    (20210619A) SD: SF9=EXP deleted from REACTION code.    F0316  2    9 
           EN-SEC deleted. STATUS, ERR-ANALYS updated.            F0316  2   10 
           ANG-ERR -> ANG-ERR-D. Accuracy of digitized data       F0316  2   11 
           presentation revised. DATA-ERR -> ERR-S.               F0316  2   12 
ENDBIB              10          0                                 F0316  2   13 
COMMON               1          3                                 F0316  2   14 
ANG-ERR-D                                                         F0316  2   15 
ADEG                                                              F0316  2   16 
 0.9                                                              F0316  2   17 
ENDCOMMON            3          0                                 F0316  2   18 
DATA                 5        123                                 F0316  2   19 
E-LVL      EN         ANG-CM     DATA-CM    ERR-S                 F0316  2   20 
      4.433       5.76      154.3      2.187      0.044           F0316  2   88 
      4.433       5.76      167.4      1.835      0.044           F0316  2   89 
      4.433       5.76      173.4      1.247      0.044           F0316  2   90 
      4.433       5.97        0.2      3.952      0.044           F0316  2   91 
      4.433       5.97       16.6      3.898      0.234           F0316  2   92 
      4.433       5.97       34.0      2.909      0.044           F0316  2   93 
      4.433       5.97       50.6      2.094      0.044           F0316  2   94 
      4.433       5.97       67.1      1.456      0.044           F0316  2   95 
      4.433       5.97       81.0      1.167      0.044           F0316  2   96 
      4.433       5.97       99.2      1.171      0.044           F0316  2   97 
      4.433       5.97      114.8      1.526      0.044           F0316  2   98 
      4.433       5.97      127.8      1.763      0.044           F0316  2   99 
      4.433       5.97      140.8      1.766      0.044           F0316  2  100 
      4.433       5.97      153.8      1.594      0.044           F0316  2  101 
      4.433       5.97      166.8      1.246      0.044           F0316  2  102 
      4.433       5.97      173.8      0.839      0.044           F0316  2  103 
      7.656       5.53        0.9      4.425      0.056           F0316  2  104 
      7.656       5.53       20.0      6.328      0.522           F0316  2  105 
      7.656       5.53       26.9      7.367      0.608           F0316  2  106 
      7.656       5.53       36.3      6.145      0.435           F0316  2  107 
      7.656       5.53       44.9      5.445      0.434           F0316  2  108 
      7.656       5.53       54.3      4.136      0.434           F0316  2  109 
      7.656       5.53       71.4      2.997      0.056           F0316  2  110 
      7.656       5.53       88.5      1.858      0.056           F0316  2  111 
      7.656       5.53      104.8      0.893      0.056           F0316  2  112 
      7.656       5.53      118.6      0.886      0.056           F0316  2  113 
      7.656       5.53      132.4      1.053      0.056           F0316  2  114 
      7.656       5.53      144.4      1.046      0.056           F0316  2  115 
      7.656       5.53      156.5      1.127      0.056           F0316  2  116 
      7.656       5.53      162.5      1.037      0.056           F0316  2  117 
      7.656       5.53      170.2      0.685      0.056           F0316  2  118 
      7.656       5.76        0.5      3.228      0.030           F0316  2  119 
      7.656       5.76       20.4      4.680      0.177           F0316  2  120 
      7.656       5.76       28.2      5.384      0.132           F0316  2  121 
      7.656       5.76       36.8      5.470      0.265           F0316  2  122 
      7.656       5.76       45.4      5.072      0.220           F0316  2  123 
      7.656       5.76       54.7      3.658      0.177           F0316  2  124 
      7.656       5.76       73.5      2.418      0.177           F0316  2  125 
      7.656       5.76       90.7      1.577      0.030           F0316  2  126 
      7.656       5.76      107.0      1.309      0.030           F0316  2  127 
      7.656       5.76      119.8      0.688      0.030           F0316  2  128 
      7.656       5.76      132.7      0.156      0.030           F0316  2  129 
      7.656       5.76      146.5      0.109      0.030           F0316  2  130 
      7.656       5.76      156.8      0.107      0.030           F0316  2  131 
      7.656       5.76      168.0      0.060      0.030           F0316  2  132 
      7.656       5.97        0.3      1.058      0.031           F0316  2  133 
      7.656       5.97       17.0      2.299      0.311           F0316  2  134 
      7.656       5.97       37.7      3.896      0.267           F0316  2  135 
      7.656       5.97       55.8      3.315      0.178           F0316  2  136 
      7.656       5.97       72.0      1.979      0.133           F0316  2  137 
      7.656       5.97       88.3      1.532      0.031           F0316  2  138 
      7.656       5.97      105.5      1.040      0.031           F0316  2  139 
      7.656       5.97      119.2      0.549      0.031           F0316  2  140 
      7.656       5.97      132.1      0.325      0.031           F0316  2  141 
      7.656       5.97      145.9      0.233      0.031           F0316  2  142 
      7.656       5.97      156.2      0.187      0.031           F0316  2  143 
      7.656       5.97      168.2      0.185      0.031           F0316  2  144 
ENDDATA            125          0                                 F0316  2  145 
ENDSUBENT          144          0                                 F0316  299999 
ENDENTRY             2          0                                 F031699999999 
