ENTRY            F0524   20140310                             F054F052400000001 
SUBENT        F0524001   20140310                             F054F052400100001 
BIB                 11         28                                 F052400100002 
INSTITUTE  (4RUSEPA)                                              F052400100003 
REFERENCE  (J,IZV,64,440,2000)                                    F052400100004 
           (J,BAS,64,352,2000)  Engl. transl. of IZV,64,440       F052400100005 
           (C,2001SAROV,,186,2001) Two last Subents were derived. F052400100006 
AUTHOR     (L.N.Generalov,S.N.Abramovich,A.G.Zvenigorodskii)      F052400100007 
TITLE      9Be(d,p0,1) and 9Be(d,t0) reaction cross sections.     F052400100008 
FACILITY   (VDGT,4RUSEPA)                                         F052400100009 
SAMPLE     Two targets (40 and 267 mu-g/cm2 thick) of 9Be         F052400100010 
            evaporated onto thin (30 mu-g/cm2 thick)              F052400100011 
            poly-n-xylilene C8H8 backing.                         F052400100012 
           In additional experiments poly-n-xylilene C8H8 backing F052400100013 
            and Al2O3 backing were used as targets.               F052400100014 
DETECTOR   (TELES,SOLST,SOLST) Ten silicon diffusion-drift        F052400100015 
            detectors on the movable table.                       F052400100016 
           Monitor detector fixed at 20 degr.                     F052400100017 
ERR-ANALYS (ERR-SYS)   Systematic error                           F052400100018 
           (ERR-S)     Statistical error                          F052400100019 
REL-REF    (M,,S.Abramovich+,J,IZV,57,173,1993) Experim. method.  F052400100020 
STATUS     (APRVD)  Approved by Generalov L.N.                    F052400100021 
HISTORY    (20010205C)                                            F052400100022 
           (20030505A) Changed headings in sub.002,004,006, added F052400100023 
            reference and subents 007,008.                        F052400100024 
           (20040714C) Data error headings updated.               F052400100025 
           (20060828A) Common headings in sub007 updated. Sub009  F052400100026 
           was added.                                             F052400100027 
           (20090626) Error designations were changed. Energy     F052400100028 
           values in sub 9 were corrected.                        F052400100029 
           (20140310U) SD: Ref. on Engl.transl. added.            F052400100030 
ENDBIB              28          0                                 F052400100031 
COMMON               1          3                                 F052400100032 
ERR-SYS                                                           F052400100033 
PER-CENT                                                          F052400100034 
  3.0                                                             F052400100035 
ENDCOMMON            3          0                                 F052400100036 
ENDSUBENT           35          0                                 F052400199999 
SUBENT        F0524002   20090626                             F036F052400200001 
BIB                  2          2                                 F052400200002 
REACTION   (4-BE-9(D,P)4-BE-10,PAR,DA)                            F052400200003 
EN-SEC     (E-LVL,4-BE-10)                                        F052400200004 
ENDBIB               2          0                                 F052400200005 
NOCOMMON             0          0                                 F052400200006 
DATA                 5        760                                 F052400200007 
EN         E-LVL      ANG-CM     DATA-CM    ERR-S                 F052400200008 
MEV        MEV        ADEG       MB/SR      PER-CENT              F052400200009 
        3.0         0.       10.9       3.16         8.           F052400200010 
        3.0         0.       16.4        3.4        7.2           F052400200011 
        3.0         0.       21.8        3.8        7.3           F052400200012 
        3.0         0.       32.6       3.09         7.           F052400200013 
        3.0         0.        38.        2.7         7.           F052400200014 
        3.0         0.       43.4       1.87        8.3           F052400200015 
        3.0         0.       53.9       1.47        10.           F052400200016 
        3.0         0.       64.6      0.995         9.           F052400200017 
        3.0         0.        75.       0.96        7.1           F052400200018 
        3.0         0.       80.1       1.04        7.2           F052400200019 
        3.0         0.       83.5        1.1        7.4           F052400200020 
        3.0         0.       95.3      0.993        7.2           F052400200021 
        3.0         0.      100.3       1.07         7.           F052400200022 
        3.0         0.      105.2       0.94         7.           F052400200023 
        3.0         0.      110.1       1.04         7.           F052400200024 
        3.0         0.       115.       1.15        7.2           F052400200025 
        3.0         0.      119.8      0.931        7.1           F052400200026 
        3.0         0.      124.6      0.945        7.2           F052400200027 
        3.0         0.      129.3        0.8         7.           F052400200028 
        3.0         0.       134.      0.834        7.1           F052400200029 
        3.0         0.      143.4      0.782        7.2           F052400200030 
        3.0         0.      152.6      0.594        8.2           F052400200031 
        3.0         0.      161.8      0.634        9.4           F052400200032 
        3.0         0.      166.4      0.449        9.5           F052400200033 
        3.0      3.368       16.9       5.56         8.           F052400200034 
        3.0      3.368       22.5       6.72        10.           F052400200035 
        3.0      3.368       33.6       5.21         6.           F052400200036 
        3.0      3.368       39.1       5.08        7.2           F052400200037 
        3.0      3.368       44.6       3.86        8.7           F052400200038 
        3.0      3.368       55.5       2.32        7.4           F052400200039 
        3.0      3.368       60.9       1.51         7.           F052400200040 
        3.0      3.368       66.2       1.16        9.1           F052400200041 
        3.0      3.368       76.8      0.852         9.           F052400200042 
        3.0      3.368        82.      0.881        6.9           F052400200043 
        3.0      3.368       87.1      0.961        7.3           F052400200044 
        3.0      3.368       97.2        1.1         7.           F052400200045 
        3.0      3.368      102.2       1.02         7.           F052400200046 
        3.0      3.368      107.1       1.15        7.2           F052400200047 
        3.0      3.368       112.       1.18        7.4           F052400200048 
        3.0      3.368      121.5       1.39        7.3           F052400200049 
        3.0      3.368      126.2       1.69        7.3           F052400200050 
        3.0      3.368      135.5       1.74         7.           F052400200051 
        3.0      3.368      144.6        2.4        6.9           F052400200052 
        3.0      3.368      149.1       2.51        6.9           F052400200053 
        3.0      3.368      166.9       2.67        10.           F052400200054 
