ENTRY            F0488   19990410                             0000F048800000001 
SUBENT        F0488001   19990410                             0000F048800100001 
BIB                  7          8                                 F048800100002 
TITLE      A study of the 9Be(3He,p)11B and the 9Be(3He,d)10B     F048800100003 
           reactions in the energy range 5.7 to 10.2 MeV          F048800100004 
AUTHOR     (S.HINDS,R.MIDDLETON)                                  F048800100005 
INSTITUTE  (2UK ALD)                                              F048800100006 
REFERENCE  (J,PPS,75,754,196005)                                  F048800100007 
FACILITY   (VDG)                                                  F048800100008 
DETECTOR   (PLATE) 30 in. nuclear plate                           F048800100009 
HISTORY    (19860826C)                                            F048800100010 
ENDBIB               8          0                                 F048800100011 
NOCOMMON             0          0                                 F048800100012 
ENDSUBENT           11          0                                 F048800199999 
SUBENT        F0488002   19990410                             0000F048800200001 
BIB                  4          6                                 F048800200002 
REACTION   (4-BE-9(HE3,P)5-B-11,PAR,DA,,REL,EXP)                  F048800200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F048800200004 
           (DATA-ERR) Relative error from graph and digitizing    F048800200005 
           error                                                  F048800200006 
EN-SEC     (E-LVL,5-B-11)                                         F048800200007 
STATUS     (CURVE) Fig. 1                                         F048800200008 
ENDBIB               6          0                                 F048800200009 
COMMON               1          3                                 F048800200010 
ANG-ERR                                                           F048800200011 
ADEG                                                              F048800200012 
  1.                                                              F048800200013 
ENDCOMMON            3          0                                 F048800200014 
DATA                 5        357                                 F048800200015 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              F048800200016 
MEV        MEV        ADEG       ARB-UNITS  ARB-UNITS             F048800200017 
     5.7        4.46       6.616     21.37       0.1382           F048800200018 
     5.7        4.46      10.12      20.35       0.1382           F048800200019 
     5.7        4.46      14.8       17.04       0.1382           F048800200020 
     5.7        4.46      20.65      14.49       0.1382           F048800200021 
     5.7        4.46      24.17      10.41       0.1382           F048800200022 
     5.7        4.46      31.17       9.14       0.1382           F048800200023 
     5.7        4.46      41.67       8.888      0.1382           F048800200024 
     5.7        4.46      52.17       8.125      0.1382           F048800200025 
     5.7        4.46      63.83       9.658      0.1382           F048800200026 
     5.7        4.46      73.17       8.13       0.1382           F048800200027 
     5.7        4.46      82.51       5.582      0.1382           F048800200028 
     5.7        4.46      93.01       5.585      0.1382           F048800200029 
     5.7        5.04       5.595     17.87       0.1429           F048800200030 
     5.7        5.04       7.942     16.61       0.1429           F048800200031 
     5.7        5.04      13.81      13.08       0.1429           F048800200032 
     5.7        5.04      19.68       9.04       0.1429           F048800200033 
     5.7        5.04      24.37       7.526      0.1429           F048800200034 
     5.7        5.04      30.24       8.031      0.1429           F048800200035 
     5.7        5.04      43.15      11.31       0.1429           F048800200036 
     5.7        5.04      52.54      11.56       0.1429           F048800200037 
     5.7        5.04      63.11       9.797      0.1429           F048800200038 
     5.7        5.04      72.5        7.525      0.1429           F048800200039 
     5.7        5.04      84.24       5.506      0.1429           F048800200040 
     5.7        5.04      94.8        4.244      0.1429           F048800200041 
     5.7        6.76       6.955      9.828      0.0906           F048800200042 
     5.7        6.76      10.54      10.99       0.0906           F048800200043 
     5.7        6.76      17.61      11.81       0.0906           F048800200044 
     5.7        6.76      23.46      11.81       0.0906           F048800200045 
     5.7        6.76      28.19      12.64       0.0906           F048800200046 
     5.7        6.76      34.09      13.46       0.0906           F048800200047 
     5.7        6.76      44.69      14.45       0.0906           F048800200048 
     5.7        6.76      56.24      11.94       0.0906           F048800200049 
     5.7        6.76      66.72      10.92       0.0906           F048800200050 
     5.7        6.76      77.09       8.077      0.0906           F048800200051 
     5.7        6.76      87.54       6.731      0.0906           F048800200052 
     5.7        6.76      96.87       6.054      0.0906           F048800200053 
     5.7        6.81       6.663      9.677      0.0844           F048800200054 
     5.7        6.81      11.29      10.59       0.0844           F048800200055 
     5.7        6.81      18.23      11.86       0.0844           F048800200056 
     5.7        6.81      22.87      12.4        0.0844           F048800200057 
     5.7        6.81      27.55      11.69       0.0844           F048800200058 
     5.7        6.81      33.43      10.06       0.0844           F048800200059 
     5.7        6.81      44.01       6.811      0.0844           F048800200060 
     5.7        6.81      55.73       4.468      0.0844           F048800200061 
     5.7        6.81      65.02       5.199      0.0844           F048800200062 
     5.7        6.81      75.52       4.665      0.0844           F048800200063 
     5.7        6.81      87.2        3.588      0.0844           F048800200064 
     5.7        6.81      96.54       2.691      0.0844           F048800200065 
     5.7        7.3        8.286     18.05       0.1482           F048800200066 
     5.7        7.3       11.71      19.41       0.1482           F048800200067 
     5.7        7.3       16.31      19.69       0.1482           F048800200068 
     5.7        7.3       24.31      22.42       0.1482           F048800200069 
     5.7        7.3       27.82      20.52       0.1482           F048800200070 
     5.7        7.3       34.76      19.45       0.1482           F048800200071 
     5.7        7.3       45.17      18.1        0.1482           F048800200072 
