ENTRY            F0275   20081126                             F033F027500000001 
SUBENT        F0275001   20081126                             F033F027500100001 
BIB                  8         16                                 F027500100002 
TITLE      Differential cross sections for the reaction 11B(d,p)  F027500100003 
           12B for Ed=1-2.6 MeV.                                  F027500100004 
AUTHOR     (R.M.Tisinger,P.W.Keaton,G.E.Owen)                     F027500100005 
INSTITUTE  (1USAJHU)                                              F027500100006 
REFERENCE  (J,PR,135,B892,196408)                                 F027500100007 
SAMPLE     Self-supporting boron films 187 mu-g/cm2 thick.        F027500100008 
DETECTOR   (SOLST) Surface-barrier silicon detectors on the       F027500100009 
           turntable.                                             F027500100010 
ERR-ANALYS (ERR-1) The standard deviation on the absolute numbers.F027500100011 
HISTORY    (19801027C)                                            F027500100012 
           (19990409A) CNPD: corrected 4-dig. year                F027500100013 
           (20081013A) NDS: reference on Phys.Rev. corrected.     F027500100014 
                       PR/B,135,892,1964 ==> PR,135,B892,1964     F027500100015 
           (20081126A) E-LVL value was added to COMMON section.   F027500100016 
                       Reaction definition in sub 2,3 was changed.F027500100017 
                       Error definitions were changed.            F027500100018 
ENDBIB              16          0                                 F027500100019 
COMMON               1          3                                 F027500100020 
E-LVL                                                             F027500100021 
MEV                                                               F027500100022 
  0.0                                                             F027500100023 
ENDCOMMON            3          0                                 F027500100024 
ENDSUBENT           23          0                                 F027500199999 
SUBENT        F0275002   20081126                             F033F027500200001 
BIB                  2          2                                 F027500200002 
REACTION   (5-B-11(D,P)5-B-12,PAR,SIG)                            F027500200003 
STATUS     (TABLE) p.894                                          F027500200004 
ENDBIB               2          0                                 F027500200005 
NOCOMMON             0          0                                 F027500200006 
DATA                 3          4                                 F027500200007 
EN         DATA       ERR-1                                       F027500200008 
MEV        MB         PER-CENT                                    F027500200009 
     1.        24.        15.                                     F027500200010 
     1.5       25.        15.                                     F027500200011 
     2.        27.        20.                                     F027500200012 
     2.6       26.        20.                                     F027500200013 
ENDDATA              6          0                                 F027500200014 
ENDSUBENT           13          0                                 F027500299999 
SUBENT        F0275003   20081126                             F033F027500300001 
BIB                  3          4                                 F027500300002 
REACTION   (5-B-11(D,P)5-B-12,PAR,DA)                             F027500300003 
ERR-ANALYS (ANG-ERR-D) Angle digitizing error                     F027500300004 
           (DATA-ERR)  Error from graphic bars and digitizing     F027500300005 
STATUS     (CURVE) Fig. 2,3,4,5                                   F027500300006 
ENDBIB               4          0                                 F027500300007 
COMMON               1          3                                 F027500300008 
ANG-ERR-D                                                         F027500300009 
ADEG                                                              F027500300010 
 0.7                                                              F027500300011 
ENDCOMMON            3          0                                 F027500300012 
DATA                 5         51                                 F027500300013 
EN         ANG-CM     DATA-CM    DATA-ERR   ERR-1                 F027500300014 
MEV        ADEG       MB/SR      MB/SR      PER-CENT              F027500300015 
     1.        11.23       2.822      0.3052    15.               F027500300016 
     1.        16.45       2.98       0.2617    15.               F027500300017 
     1.        22.18       3.441      0.3052    15.               F027500300018 
     1.        27.04       3.817      0.2605    15.               F027500300019 
     1.        31.86       4.107      0.3473    15.               F027500300020 
     1.        47.54       4.668      0.3052    15.               F027500300021 
     1.        59.26       4.937      0.3052    15.               F027500300022 
     1.        74.12       4.198      0.3039    15.               F027500300023 
     1.        93.84       3.835      0.3486    15.               F027500300024 
     1.       107.6        3.62       0.3039    15.               F027500300025 
     1.       122.7        3.792      0.3039    15.               F027500300026 
     1.       137.         4.01       0.3026    15.               F027500300027 
     1.       151.4        4.488      0.2605    15.               F027500300028 
     1.       165.1        4.533      0.3039    15.               F027500300029 
     1.5       15.05       4.06       0.3443    15.               F027500300030 
     1.5       21.26       4.902      0.3002    15.               F027500300031 
     1.5       26.67       5.917      0.3871    15.               F027500300032 
     1.5       33.19       6.286      0.3871    15.               F027500300033 
     1.5       47.77       6.418      0.4289    15.               F027500300034 
     1.5       63.01       5.82       0.386     15.               F027500300035 
     1.5       78.56       4.748      0.342     15.               F027500300036 
     1.5       93.64       3.548      0.3014    15.               F027500300037 
     1.5      108.5        3.165      0.2573    15.               F027500300038 
     1.5      122.6        3.041      0.2133    15.               F027500300039 
     1.5      138.4        2.913      0.2156    15.               F027500300040 
     1.5      152.1        3.134      0.2573    15.               F027500300041 
     1.5      165.4        3.141      0.1716    15.               F027500300042 
     2.        20.64       9.044      0.5177    20.               F027500300043 
     2.        26.36       9.557      0.5181    20.               F027500300044 
     2.        32.52       9.693      0.5177    20.               F027500300045 
     2.        47.44       7.279      0.4235    20.               F027500300046 
     2.        63.8        4.957      0.3297    20.               F027500300047 
     2.        78.87       4.19       0.3301    20.               F027500300048 
     2.        93.45       3.283      0.3301    20.               F027500300049 
     2.       108.6        3.553      0.3297    20.               F027500300050 
     2.       123.2        3.164      0.3297    20.               F027500300051 
     2.       137.         3.388      0.2347    20.               F027500300052 
     2.       151.1        2.952      0.2826    20.               F027500300053 
     2.       163.9        3.224      0.2351    20.               F027500300054 
     2.6       21.55       6.042      0.3456    20.               F027500300055 
     2.6       26.82       8.701      0.395     20.               F027500300056 
     2.6       33.69      12.35       0.5431    20.               F027500300057 
     2.6       48.27       7.832      0.4437    20.               F027500300058 
     2.6       65.03       4.944      0.3463    20.               F027500300059 
     2.6       80.46       2.997      0.2962    20.               F027500300060 
     2.6       95.58       2.482      0.1975    20.               F027500300061 
     2.6      110.3        2.461      0.2476    20.               F027500300062 
     2.6      124.1        3.182      0.1968    20.               F027500300063 
