ENTRY            F0096   20030513                             0000F009600000001 
SUBENT        F0096001   20030513                             0000F009600100001 
BIB                  8          8                                 F009600100002 
TITLE      Angular distributions of the 9Be(d,n)10B neutrons      F009600100003 
AUTHOR     (G.C.MORRISON,A.T.G.FERGUSON,J.E.EVANS)                F009600100004 
INSTITUTE  (2UK HAR,1USAMTR)                                      F009600100005 
REFERENCE  (C,61MANCH,,575,1961)                                  F009600100006 
METHOD     (TOF)                                                  F009600100007 
FACILITY   (VDG,2UK HAR)                                          F009600100008 
DETECTOR   Time-of-flight neutron spectrometer                    F009600100009 
HISTORY    (19830822C)                                            F009600100010 
ENDBIB               8          0                                 F009600100011 
NOCOMMON             0          0                                 F009600100012 
ENDSUBENT           11          0                                 F009600199999 
SUBENT        F0096002   20030513                             0000F009600200001 
BIB                  4          5                                 F009600200002 
REACTION   (4-BE-9(D,N)5-B-10,PAR,DA,,REL,EXP)                    F009600200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F009600200004 
           (DATA-ERR) Digitizing error                            F009600200005 
STATUS     (CURVE) fig. 1                                         F009600200006 
EN-SEC     (E-LVL,5-B-10)                                         F009600200007 
ENDBIB               5          0                                 F009600200008 
COMMON               2          3                                 F009600200009 
ANG-ERR    DATA-ERR                                               F009600200010 
ADEG       ARB-UNITS                                              F009600200011 
 1.          5.0                                                  F009600200012 
ENDCOMMON            3          0                                 F009600200013 
DATA                 4        170                                 F009600200014 
EN         E-LVL      ANG-CM     DATA-CM                          F009600200015 
MEV        MEV        ADEG       ARB-UNITS                        F009600200016 
  4.000      0.000      134.8      91.96                          F009600200112 
  4.000      0.000      143.6      71.68                          F009600200113 
  4.000      0.000      153.3      87.38                          F009600200114 
  4.000      0.000      157.4      60.59                          F009600200115 
  4.000      0.000      162.5      82.43                          F009600200116 
  4.000     0.7200      12.04      287.1                          F009600200117 
  4.000     0.7200      17.31      333.6                          F009600200118 
  4.000     0.7200      23.23      340.1                          F009600200119 
  4.000     0.7200      28.06      354.6                          F009600200120 
  4.000     0.7200      31.74      348.5                          F009600200121 
  4.000     0.7200      33.86      309.1                          F009600200122 
  4.000     0.7200      38.97      284.9                          F009600200123 
  4.000     0.7200      44.37      229.4                          F009600200124 
  4.000     0.7200      44.51      209.4                          F009600200125 
  4.000     0.7200      49.90      149.3                          F009600200126 
  4.000     0.7200      55.32      102.4                          F009600200127 
  4.000     0.7200      65.43      84.78                          F009600200128 
  4.000     0.7200      76.45      63.77                          F009600200129 
  4.000     0.7200      86.20      53.46                          F009600200130 
  4.000     0.7200      96.54      56.48                          F009600200131 
  4.000     0.7200      106.9      66.82                          F009600200132 
  4.000     0.7200      110.9      60.03                          F009600200133 
  4.000     0.7200      116.1      71.87                          F009600200134 
  4.000     0.7200      125.9      74.90                          F009600200135 
  4.000     0.7200      134.8      86.62                          F009600200136 
  4.000     0.7200      145.3      72.96                          F009600200137 
  4.000     0.7200      153.3      92.05                          F009600200138 
  4.000     0.7200      158.7      65.88                          F009600200139 
  4.000     0.7200      162.1      95.77                          F009600200140 
  4.000      1.740      12.22      54.43                          F009600200141 
  4.000      1.740      16.86      65.62                          F009600200142 
  4.000      1.740      22.60      74.11                          F009600200143 
  4.000      1.740      28.13      73.27                          F009600200144 
  4.000      1.740      31.06      61.18                          F009600200145 
  4.000      1.740      33.83      62.42                          F009600200146 
  4.000      1.740      39.14      45.59                          F009600200147 
  4.000      1.740      44.28      38.10                          F009600200148 
  4.000      1.740      49.95      15.92                          F009600200149 
  4.000      1.740      55.66      13.08                          F009600200150 
  4.000      1.740      65.98      8.093                          F009600200151 
  4.000      1.740      76.14      11.11                          F009600200152 
  4.000      1.740      86.65      8.785                          F009600200153 
  4.000      1.740      96.80      9.803                          F009600200154 
  4.000      1.740      106.4      10.84                          F009600200155 
  4.000      1.740      111.5      6.678                          F009600200156 
  4.000      1.740      116.5      6.524                          F009600200157 
  4.000      1.740      126.1      9.559                          F009600200158 
  4.000      1.740      135.2      8.612                          F009600200159 
  4.000      1.740      144.6      10.99                          F009600200160 
