ENTRY            F0555   20030530                             0000F055500000001 
SUBENT        F0555001   20030530                             0000F055500100001 
BIB                  8         26                                 F055500100002 
TITLE      Stopping power,electron screening and the astrophysicalF055500100003 
           S(E) factor of d(3He,p)4He                             F055500100004 
AUTHOR     (H.Costantini,A.Formicola,M.Junker,R.Bonetti,          F055500100005 
           C.Broggini,L.Campajola,P.Corvisiero,A.d'Onofrio,       F055500100006 
           A.Fubini,G.Gervino,L.Gialanella,U.Greife,              F055500100007 
           A.Guglielmetti,C.Gustavino,G.Imbriani,A.Ordine,        F055500100008 
           P.G.Prada Moroni,P.Prati,V.Roca,D.Rogalla,C.Rolfs,     F055500100009 
           M.Romano,F.Schumann,O.Straniero,F.Strieder,F.Terrasi,  F055500100010 
           H.P.Trautvetter,S.Zavatarelli)                         F055500100011 
INSTITUTE  (2ITYGVA,2ITYNAP,2ITYMIL,2ITYITY,2ITYLGS,              F055500100012 
           2ITYFSN,2GERBOC,1USACSM)                               F055500100013 
REFERENCE  (J,PL/B,482,43,2000)                                   F055500100014 
FACILITY   (ACCEL,2ITYLGS) The LUNA underground accelerator       F055500100015 
           facility situated at the Laboratori Nazionali del Gran F055500100016 
           Sasso (LNGS).The 50 kV accelerator facility consists   F055500100017 
           of a duoplasmatron ion source                          F055500100018 
DETECTOR   (SOLST) The detector setup consisted of eight, 1 mm    F055500100019 
           thick Si detectors of 5*5 cm**2 area (each) placed     F055500100020 
           around the beam axis:they formed a 14 cm long          F055500100021 
           parallelepiped in the target chamber.Each detector was F055500100022 
           shielded by a 27 mu-m thick Al foil in order to stop   F055500100023 
           the 4He ejectiles,the elastic scattering products,and  F055500100024 
           the light induced by the beam                          F055500100025 
SAMPLE     The 2D gas pressure in the target chamber, p=0.05 to   F055500100026 
           0.30 mbar                                              F055500100027 
HISTORY    (20010505C)                                            F055500100028 
ENDBIB              26          0                                 F055500100029 
NOCOMMON             0          0                                 F055500100030 
ENDSUBENT           29          0                                 F055500199999 
SUBENT        F0555002   20030530                             0000F055500200001 
BIB                  5          6                                 F055500200002 
REACTION   (1-H-2(HE3,P)2-HE-4,,SIG,,SFC)                         F055500200003 
ERR-ANALYS (ERR-1) Systematic error                               F055500200004 
           (ERR-S) Accidental error                               F055500200005 
MISC-COL   (MISC) D2 gas pressure in the target chamber in mbar   F055500200006 
HISTORY    (20041020A) Changed reaction code in SF6 field         F055500200007 
STATUS     (TABLE) Tab.1                                          F055500200008 
ENDBIB               6          0                                 F055500200009 
NOCOMMON             0          0                                 F055500200010 
DATA                 5         55                                 F055500200011 
EN         DATA       ERR-S      ERR-1      MISC                  F055500200012 
KEV        B*MEV      B*MEV      B*MEV      NO-DIM                F055500200013 
  10.98      9.700      1.650     0.7900     0.3000               F055500200014 
  11.92      9.000     0.6700     0.6900     0.3000               F055500200015 
  11.93      8.090     0.6200     0.4100     0.1000               F055500200016 
  12.89      9.820      1.010     0.4900     0.1000               F055500200017 
  12.90      8.950     0.7000     0.6000     0.3000               F055500200018 
  13.94      8.860     0.4800     0.6400     0.3000               F055500200019 
  13.94      8.870     0.5500     0.4200     0.5000E-01           F055500200020 
  13.95      9.680     0.7000     0.4800     0.1000               F055500200021 
  13.95      8.010     0.3900     0.4700     0.2000               F055500200022 
  14.93      8.930     0.3600     0.5200     0.2000               F055500200023 
  14.93      8.740     0.2500     0.4400     0.1000               F055500200024 
  14.93      8.310     0.5500     0.3900     0.5000E-01           F055500200025 
  14.94      8.990     0.3100     0.6200     0.3000               F055500200026 
  15.93      8.100     0.2300     0.3900     0.1000               F055500200027 
  15.96      8.150     0.2900     0.4600     0.2000               F055500200028 
  16.91      8.260     0.4800     0.5500     0.3000               F055500200029 
  16.94      8.320     0.1600     0.4000     0.1000               F055500200030 
  16.97      8.030     0.2600     0.5100     0.3000               F055500200031 
  17.88      8.320     0.2800     0.4000     0.2000               F055500200032 
  17.92      7.900     0.2700     0.4400     0.3000               F055500200033 
  18.85      7.900     0.1800     0.2600     0.1000               F055500200034 
  18.87      7.690     0.1500     0.3000     0.2000               F055500200035 
  18.90      7.830     0.2600     0.2400     0.5000E-01           F055500200036 
  18.92      7.700     0.1600     0.3700     0.3000               F055500200037 
  20.89      7.310     0.2500     0.2800     0.2000               F055500200038 
  20.90      7.310     0.1100     0.3300     0.3000               F055500200039 
  20.93      7.850     0.2400     0.2500     0.1000               F055500200040 
  20.94      7.430     0.2400     0.2800     0.2000               F055500200041 
  20.94      7.510     0.2200     0.2300     0.5000E-01           F055500200042 
  21.90      7.380     0.2200     0.3300     0.3000               F055500200043 
  21.91      7.650     0.2300     0.2800     0.2000               F055500200044 
  21.96      7.820     0.2800     0.2500     0.1000               F055500200045 
  22.87      7.360     0.1900     0.2700     0.2000               F055500200046 
  22.91      7.660     0.1700     0.2500     0.1000               F055500200047 
  22.96      7.600     0.2400     0.2300     0.5000E-01           F055500200048 
  23.87      7.540     0.2300     0.3300     0.3000               F055500200049 
  23.89      7.470     0.1400     0.2700     0.2000               F055500200050 
  23.90      7.590     0.1300     0.2400     0.1000               F055500200051 
  24.88      7.520     0.1900     0.2400     0.1000               F055500200052 
  24.89      7.240     0.1800     0.2200     0.5000E-01           F055500200053 
  24.90      7.320     0.2200     0.2600     0.2000               F055500200054 
  25.88      7.390     0.1900     0.3100     0.3000               F055500200055 
  25.91      7.350     0.1400     0.2600     0.2000               F055500200056 
  25.94      7.440     0.1700     0.2300     0.1000               F055500200057 
  27.87      7.410     0.1700     0.2300     0.1000               F055500200058 
  27.89      7.350     0.1300     0.2600     0.2000               F055500200059 
  27.90      7.380     0.1600     0.3000     0.3000               F055500200060 
  29.86      7.240     0.1400     0.2800     0.3000               F055500200061 
  29.88      7.350     0.1100     0.2300     0.1000               F055500200062 
  29.95      7.210     0.1200     0.2500     0.2000               F055500200063 
  31.87      7.310     0.1400     0.2300     0.1000               F055500200064 
  31.88      7.310     0.1300     0.2500     0.2000               F055500200065 
  31.91      7.580     0.1400     0.3000     0.3000               F055500200066 
  32.93      7.360     0.1300     0.2300     0.1000               F055500200067 
  34.84      7.230     0.1300     0.2200     0.1000               F055500200068 
ENDDATA             57          0                                 F055500200069 
ENDSUBENT           68          0                                 F055500299999 
ENDENTRY             2          0                                 F055599999999 
