ENTRY            F0353   20040615                             0000F035300000001 
SUBENT        F0353001   20040615                             0000F035300100001 
BIB                  7         13                                 F035300100002 
TITLE      Analysis of the angular distributions and excitation   F035300100003 
           functions of the elastic scattering of 20-24 MeV alpha-F035300100004 
           particles by carbon and oxygen.                        F035300100005 
AUTHOR     (J.Aguilar,C.Fernandez Pineda,J.Catala,J.L.Ferrero,    F035300100006 
           A.Garcia)                                              F035300100007 
INSTITUTE  (2SPNJNE,2SPNVAL)                                      F035300100008 
REFERENCE  (J,ARS,65,201,1969)                                    F035300100009 
METHOD     The experimetal method is given in ref.J,These Anales/AF035300100010 
           LXIII,35,217,1967.                                     F035300100011 
ERR-ANALYS (DATA-ERR1)Error from the graphic bars                 F035300100012 
           (ANG-ERR-D)Digitizing error                            F035300100013 
           (ERR-DIG)Digitizing error                              F035300100014 
HISTORY    (20040318C)                                            F035300100015 
ENDBIB              13          0                                 F035300100016 
NOCOMMON             0          0                                 F035300100017 
ENDSUBENT           16          0                                 F035300199999 
SUBENT        F0353002   20040615                             0000F035300200001 
BIB                  2          2                                 F035300200002 
REACTION   (6-C-12(A,EL)6-C-12,,DA)                               F035300200003 
STATUS     (CURVE)Fig.1-4                                         F035300200004 
ENDBIB               2          0                                 F035300200005 
COMMON               2          3                                 F035300200006 
ANG-ERR-D  ERR-DIG                                                F035300200007 
ADEG       PER-CENT                                               F035300200008 
 0.27       0.2                                                   F035300200009 
ENDCOMMON            3          0                                 F035300200010 
DATA                 5        198                                 F035300200011 
EN         EN-ERR     ANG-CM     DATA-CM    DATA-ERR1             F035300200012 
 20.600    0.23000     88.054     8.9852    0.48698               F035300200081 
 20.600    0.23000     91.045     8.0319    0.43581               F035300200082 
 20.600    0.23000     92.873     4.4473    0.19418               F035300200083 
 20.600    0.23000     96.313     2.0367    0.15272               F035300200084 
 20.600    0.23000     98.080    0.73841    0.55459E-01           F035300200085 
 20.600    0.23000     102.15    0.58375    0.43844E-01           F035300200086 
 20.600    0.23000     104.88    0.57691    0.49208E-01           F035300200087 
 20.600    0.23000     106.65     1.4706    0.12544               F035300200088 
 20.600    0.23000     108.69     3.5059    0.33438               F035300200089 
 20.600    0.23000     115.61     6.1107    0.45895               F035300200090 
 20.600    0.23000     121.10     7.2130    0.46654               F035300200091 
 20.600    0.23000     123.84     7.6214    0.41306               F035300200092 
 20.600    0.23000     126.02     7.5329    0.40780               F035300200093 
 20.600    0.23000     127.96     8.8008    0.66046               F035300200094 
 20.600    0.23000     131.17     5.4458    0.17906               F035300200095 
 20.600    0.23000     133.35     5.3826    0.34815               F035300200096 
 20.600    0.23000     134.70     4.7601    0.30788               F035300200097 
 20.600    0.23000     136.50     2.1091    0.15828               F035300200098 
 20.600    0.23000     138.36     1.4273    0.15052               F035300200099 
 20.600    0.23000     142.01     2.7831    0.23739               F035300200100 
 20.600    0.23000     143.38     2.9416    0.19008               F035300200101 
 20.600    0.23000     144.98     2.2756    0.19410               F035300200102 
 20.600    0.23000     146.87     1.8820    0.17960               F035300200103 
 20.600    0.23000     148.57     2.8413    0.18378               F035300200104 
 20.600    0.23000     151.22     1.6447    0.10628               F035300200105 
 20.600    0.23000     152.92     2.4831    0.16060               F035300200106 
 20.600    0.23000     154.20     1.3751    0.11729               F035300200107 
 20.600    0.23000     156.12     1.4371    0.10794               F035300200108 
 20.600    0.23000     157.01     2.2190    0.25601               F035300200109 
 20.600    0.23000     159.24     3.1331    0.36147               F035300200110 
 20.600    0.23000     161.48     4.3746    0.28295               F035300200111 
 20.600    0.23000     162.88     5.7142    0.36959               F035300200112 
 20.600    0.23000     165.16     10.780     1.0281               F035300200113 
 20.600    0.23000     167.09     11.649    0.87420               F035300200114 
 20.600    0.23000     168.79     18.803     1.2162               F035300200115 
 20.600    0.23000     169.23     58.597     4.3975               F035300200116 
 20.600    0.23000     170.90     71.585     5.3722               F035300200117 
 20.600    0.23000     173.10     77.353     5.8050               F035300200118 
 21.800    0.16000     16.188     749.11     49.893               F035300200119 
 21.800    0.16000     22.066     140.33     9.3462               F035300200120 
 21.800    0.16000     24.435     84.895     4.0783               F035300200121 
 21.800    0.16000     27.641     151.68     8.7016               F035300200122 
 21.800    0.16000     30.839     250.49     12.033               F035300200123 
 21.800    0.16000     33.996     276.26     15.859               F035300200124 
 21.800    0.16000     37.569     157.51     10.491               F035300200125 
 21.800    0.16000     40.410     85.501     6.4798               F035300200126 
 21.800    0.16000     44.540     9.5073    0.63284               F035300200127 
 21.800    0.16000     48.456     14.367     1.0883               F035300200128 
 21.800    0.16000     51.233     43.690     2.9115               F035300200129 
 21.800    0.16000     53.713     78.072     5.9138               F035300200130 
 21.800    0.16000     56.157     97.874     7.4100               F035300200131 
 21.800    0.16000     60.271     96.847     7.3359               F035300200132 
 21.800    0.16000     63.837     51.540     3.9040               F035300200133 
 21.800    0.16000     66.722     42.725     4.0047               F035300200134 
 21.800    0.16000     70.444     9.9430    0.75316               F035300200135 
 21.800    0.16000     73.482     3.4652    0.23079               F035300200136 
 21.800    0.16000     76.787     1.5447    0.10288               F035300200137 
 21.800    0.16000     78.858     5.7203    0.43308               F035300200138 
 21.800    0.16000     82.244     5.5506    0.47050               F035300200139 
 21.800    0.16000     84.629     3.9309    0.40351               F035300200140 
 21.800    0.16000     87.708     2.0513    0.17396               F035300200141 
 21.800    0.16000     94.180     1.1128    0.94329E-01           F035300200142 
 21.800    0.16000     98.657     3.5538    0.20387               F035300200143 
 21.800    0.16000     103.52     4.2394    0.16372               F035300200144 
 21.800    0.16000     108.50     1.5669    0.89886E-01           F035300200145 
 21.800    0.16000     113.80     1.2239    0.92751E-01           F035300200146 
 21.800    0.16000     118.77     4.6659    0.43735               F035300200147 
 21.800    0.16000     123.47     11.310    0.75281               F035300200148 
 21.800    0.16000     126.86     12.596     1.0682               F035300200149 
 21.800    0.16000     131.93     10.438    0.79104               F035300200150 
 21.800    0.16000     135.79     9.6408    0.64210               F035300200151 
 21.800    0.16000     140.35     6.5615    0.43726               F035300200152 
 21.800    0.16000     144.52     11.381    0.75797               F035300200153 
 21.800    0.16000     147.87     7.3027    0.61957               F035300200154 
 21.800    0.16000     151.94     4.7786    0.31845               F035300200155 
 21.800    0.16000     156.37     10.192    0.67879               F035300200156 
 21.800    0.16000     159.04     10.914    0.92553               F035300200157 
 21.800    0.16000     162.22     14.371     1.4752               F035300200158 
 21.800    0.16000     164.97     34.165     1.9613               F035300200159 
 21.800    0.16000     165.57     109.18     11.211               F035300200160 
 21.800    0.16000     168.25     127.75     10.829               F035300200161 
 21.800    0.16000     169.33     355.64     33.349               F035300200162 
 23.900    0.18000     18.982     459.30     28.017               F035300200163 
 23.900    0.18000     24.842     100.45     6.1276               F035300200164 
 23.900    0.18000     27.048     69.613     4.2496               F035300200165 
 23.900    0.18000     30.502     114.05     10.280               F035300200166 
 23.900    0.18000     33.648     253.27     20.398               F035300200167 
 23.900    0.18000     37.152     275.61     22.198               F035300200168 
 23.900    0.18000     39.610     223.55     9.1967               F035300200169 
 23.900    0.18000     43.755     105.12     6.4172               F035300200170 
 23.900    0.18000     46.317     36.075     2.5540               F035300200171 
 23.900    0.18000     50.786     10.919    0.98372               F035300200172 
 23.900    0.18000     57.675     34.302     1.4095               F035300200173 
 23.900    0.18000     60.319     55.603     3.9366               F035300200174 
