ENTRY            F0453   19990412                             0000F045300000001 
SUBENT        F0453001   19990412                             0000F045300100001 
BIB                  8         11                                 F045300100002 
TITLE      Experimental study of the reaction 11B(d,a)9Be         F045300100003 
           at the energies Ed = 3.0,3.3,3.5,3.7 and 3.9 MeV       F045300100004 
AUTHOR     (A.CASTELLANOS,J.CASANOVA,B.LEROUX,R.CHASTEL)          F045300100005 
INSTITUTE  (2FR GRA)                                              F045300100006 
REFERENCE  (J,ARS,70,50,197401)                                   F045300100007 
SAMPLE     The targets were from 11B (98.55%, 30 mu-g/cm2)        F045300100008 
           evaporated onto carbon (20 mu-g/cm2)                   F045300100009 
FACILITY   (VDG)                                                  F045300100010 
DETECTOR   (SOLST) Silicon surface-barrier detectors.             F045300100011 
HISTORY    (19921215C)                                            F045300100012 
           (19990409A) CNPD: corrected 4-dig. year                F045300100013 
ENDBIB              11          0                                 F045300100014 
NOCOMMON             0          0                                 F045300100015 
ENDSUBENT           14          0                                 F045300199999 
SUBENT        F0453002   19990412                             0000F045300200001 
BIB                  4          5                                 F045300200002 
REACTION   (5-B-11(D,A)4-BE-9,PAR,DA,,REL,EXP)                    F045300200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F045300200004 
           (DATA-ERR) Error from graphic bars and digitizing errorF045300200005 
EN-SEC     (E-LVL,4-BE-9)                                         F045300200006 
STATUS     (CURVE) Fig.4,5                                        F045300200007 
ENDBIB               5          0                                 F045300200008 
COMMON               1          3                                 F045300200009 
ANG-ERR                                                           F045300200010 
ADEG                                                              F045300200011 
  2.                                                              F045300200012 
ENDCOMMON            3          0                                 F045300200013 
DATA                 5        166                                 F045300200014 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              F045300200015 
MEV        MEV        ADEG       ARB-UNITS  ARB-UNITS             F045300200016 
     3.         0.        11.79    1208.       145.8              F045300200017 
     3.         0.        19.05    1791.       208.4              F045300200018 
     3.         0.        24.22    1916.       166.7              F045300200019 
     3.         0.        29.4     2249.       187.5              F045300200020 
     3.         0.        35.59    2228.       166.7              F045300200021 
     3.         0.        39.71    2270.       187.5              F045300200022 
     3.         0.        45.9     2228.       104.2              F045300200023 
     3.         0.        57.22    2123.       125.               F045300200024 
     3.         0.        67.5     1727.       145.8              F045300200025 
     3.         0.        78.83    1560.       104.2              F045300200026 
     3.         0.        88.05     913.6       83.34             F045300200027 
     3.         0.        97.31     767.5       20.31             F045300200028 
     3.         0.       106.6      538.        20.31             F045300200029 
     3.         0.       127.2      953.9       20.31             F045300200030 
     3.         0.       136.5     1412.        20.31             F045300200031 
     3.         0.       155.1     1974.       104.2              F045300200032 
     3.         0.       163.4     2286.       125.               F045300200033 
     3.         0.       170.6     2307.       145.8              F045300200034 
     3.         2.429     24.73    2055.       235.1              F045300200035 
     3.         2.429     29.35    1898.       156.7              F045300200036 
     3.         2.429     34.93    1818.       176.5              F045300200037 
     3.         2.429     41.33    1406.       176.6              F045300200038 
     3.         2.429     45.96    1287.        98.04             F045300200039 
     3.         2.429     58.06    1148.        78.57             F045300200040 
     3.         2.429     68.27     950.4       98.04             F045300200041 
     3.         2.429     78.55     968.4       78.29             F045300200042 
     3.         2.429     89.72     829.5       78.57             F045300200043 
     3.         2.429     99.09     906.4       78.43             F045300200044 
     3.         2.429    109.3      846.        12.29             F045300200045 
     3.         2.429    118.7      805.4       78.43             F045300200046 
     3.         2.429    128.       862.8       98.18             F045300200047 
     3.         2.429    137.4      841.7      137.1              F045300200048 
     3.         2.429    155.1      799.8       12.29             F045300200049 
     3.         2.429    164.4      719.9       98.18             F045300200050 
     3.         2.429    170.       621.        78.43             F045300200051 
     3.3        0.        22.85    1691.       185.1              F045300200052 
     3.3        0.        28.22    2044.       259.2              F045300200053 
     3.3        0.        34.89    1860.       184.9              F045300200054 
     3.3        0.        39.66    1714.       148.1              F045300200055 
     3.3        0.        45.33    1622.       129.6              F045300200056 
     3.3        0.        55.71    1477.        92.57             F045300200057 
     3.3        0.        67.16    1128.        73.81             F045300200058 
     3.3        0.        77.51    1020.        25.1              F045300200059 
     3.3        0.        86.14     688.8       25.1              F045300200060 
     3.3        0.        96.51     561.8       25.1              F045300200061 
     3.3        0.       105.9      508.7       25.1              F045300200062 
     3.3        0.       116.1      622.5       25.1              F045300200063 
     3.3        0.       125.2      958.2       55.54             F045300200064 
     3.3        0.       134.4     1275.        92.57             F045300200065 
     3.3        0.       143.5     1630.        92.57             F045300200066 
     3.3        0.       152.6     1910.       147.9              F045300200067 
     3.3        0.       161.8     2208.       110.8              F045300200068 
     3.3        0.       168.2     2340.        92.57             F045300200069 
     3.3        2.429     23.72    2228.       250.2              F045300200070 
     3.3        2.429     30.19    1997.       250.1              F045300200071 
     3.3        2.429     34.79    1746.       211.6              F045300200072 
     3.3        2.429     39.35    1361.       134.6              F045300200073 
     3.3        2.429     44.94    1321.       115.4              F045300200074 
     3.3        2.429     56.07    1031.        15.18             F045300200075 
     3.3        2.429     68.18     876.        15.18             F045300200076 
     3.3        2.429     79.4      893.8       15.18             F045300200077 
     3.3        2.429     88.73     854.2       96.18             F045300200078 
     3.3        2.429     99.03     910.6       15.18             F045300200079 
     3.3        2.429    108.4      890.2       15.18             F045300200080 
     3.3        2.429    117.7      966.        15.18             F045300200081 
     3.3        2.429    127.1      964.8       76.94             F045300200082 
     3.3        2.429    144.8      866.4       76.94             F045300200083 
     3.3        2.429    153.2      846.1       96.18             F045300200084 
     3.3        2.429    161.6      902.7       76.94             F045300200085 
     3.3        2.429    168.2      901.9       57.71             F045300200086 
     3.5        0.        22.8     1610.       192.3              F045300200087 
     3.5        0.        29.4     1705.       192.3              F045300200088 
     3.5        0.        33.98    1550.       153.9              F045300200089 
     3.5        0.        44.22    1489.       115.4              F045300200090 
     3.5        0.        55.31    1275.       115.4              F045300200091 
     3.5        0.        65.42     984.1       76.92             F045300200092 
     3.5        0.        75.66     904.6      115.4              F045300200093 
     3.5        0.        85.75     594.4       17.77             F045300200094 
     3.5        0.        96.91     495.5       17.77             F045300200095 
     3.5        0.       107.2      473.7       17.77             F045300200096 
     3.5        0.       116.6      606.        17.77             F045300200097 
     3.5        0.       127.1      949.6       96.39             F045300200098 
     3.5        0.       134.7     1256.       115.4              F045300200099 
     3.5        0.       143.3     1580.        96.15             F045300200100 
     3.5        0.       152.8     1790.       134.6              F045300200101 
     3.5        0.       161.2     1845.       115.4              F045300200102 
     3.5        0.       169.6     1805.        96.39             F045300200103 
     3.5        2.429     22.5     1955.       244.9              F045300200104 
     3.5        2.429     28.9     1933.       245.2              F045300200105 
     3.5        2.429     35.18    1761.       207.8              F045300200106 
     3.5        2.429     40.37    1401.       188.9              F045300200107 
     3.5        2.429     45.94    1474.       150.9              F045300200108 
     3.5        2.429     56.8     1300.        94.31             F045300200109 
     3.5        2.429     66.84    1240.        94.31             F045300200110 
     3.5        2.429     78.9     1386.       113.5              F045300200111 
     3.5        2.429     88.76    1119.        94.65             F045300200112 
     3.5        2.429     98.78    1040.        56.92             F045300200113 
     3.5        2.429    107.9      941.8       94.31             F045300200114 
     3.5        2.429    117.3     1259.        15.07             F045300200115 
     3.5        2.429    135.5     1083.        15.07             F045300200116 
     3.5        2.429    145.5      984.4       94.65             F045300200117 
     3.5        2.429    151.1     1058.        75.45             F045300200118 
     3.5        2.429    161.2     1054.        94.31             F045300200119 
     3.5        2.429    167.4      825.4       93.97             F045300200120 
     3.7        0.        22.57    1697.       192.1              F045300200121 
     3.7        0.        27.4     1563.       211.7              F045300200122 
     3.7        0.        33.15    1488.       192.3              F045300200123 
     3.7        0.        38.88    1450.       153.9              F045300200124 
     3.7        0.        44.66    1336.        96.15             F045300200125 
     3.7        0.        57.13    1166.        95.95             F045300200126 
     3.7        0.        66.8      879.4       16.96             F045300200127 
     3.7        0.        78.23     862.6       16.96             F045300200128 
     3.7        0.        88.86     557.2       16.96             F045300200129 
     3.7        0.        98.39     559.2       16.96             F045300200130 
     3.7        0.       108.8      599.9       16.96             F045300200131 
     3.7        0.       118.3      659.6       16.96             F045300200132 
     3.7        0.       127.7      950.1       16.96             F045300200133 
     3.7        0.       136.1     1279.        16.96             F045300200134 
     3.7        0.       136.1     1260.        95.95             F045300200135 
     3.7        0.       144.5     1531.        95.95             F045300200136 
     3.7        0.       153.      1725.        76.92             F045300200137 
     3.7        0.       170.      1921.       115.4              F045300200138 
     3.7        2.429     23.04    2244.       249.8              F045300200139 
     3.7        2.429     28.41    1762.       249.8              F045300200140 
     3.7        2.429     34.06    1742.       173.1              F045300200141 
     3.7        2.429     40.55    1548.       173.1              F045300200142 
     3.7        2.429     46.16    1469.       154.1              F045300200143 
     3.7        2.429     68.71    1310.        96.39             F045300200144 
     3.7        2.429     89.4     1208.        76.92             F045300200145 
     3.7        2.429    100.8     1244.        77.16             F045300200146 
     3.7        2.429    109.2     1146.        17.44             F045300200147 
     3.7        2.429    128.9     1083.        17.44             F045300200148 
     3.7        2.429    137.5     1197.        17.44             F045300200149 
     3.7        2.429    146.9     1194.        17.44             F045300200150 
     3.7        2.429    170.5     1208.        96.39             F045300200151 
     3.9        0.        18.53    1346.       211.5              F045300200152 
     3.9        0.        24.08    1750.       230.8              F045300200153 
     3.9        0.        29.64    1538.       173.1              F045300200154 
     3.9        0.        37.05    1461.       173.1              F045300200155 
     3.9        0.        41.67    1346.       153.8              F045300200156 
     3.9        0.        58.34    1096.        96.15             F045300200157 
     3.9        0.        68.52     884.4       96.15             F045300200158 
     3.9        0.        79.63     730.6      115.4              F045300200159 
     3.9        0.        89.82     615.2       13.51             F045300200160 
     3.9        0.       100.       653.6       13.51             F045300200161 
     3.9        0.       108.3      576.6       13.51             F045300200162 
     3.9        0.       119.4      807.4       13.51             F045300200163 
     3.9        0.       129.6      980.4      115.4              F045300200164 
     3.9        0.       138.      1365.        96.15             F045300200165 
     3.9        0.       154.6     1750.       115.4              F045300200166 
     3.9        0.       163.9     1942.       115.4              F045300200167 
     3.9        2.429     17.92    1916.       195.9              F045300200168 
     3.9        2.429     24.86    2345.       293.9              F045300200169 
     3.9        2.429     31.      1755.       215.6              F045300200170 
     3.9        2.429     36.66    1753.       195.6              F045300200171 
     3.9        2.429     42.17    1555.       176.4              F045300200172 
     3.9        2.429     47.67    1357.       117.6              F045300200173 
     3.9        2.429     58.94    1295.       137.2              F045300200174 
     3.9        2.429     70.11    1095.       117.3              F045300200175 
     3.9        2.429     80.54    1170.       117.3              F045300200176 
     3.9        2.429     90.9     1147.        97.66             F045300200177 
     3.9        2.429    100.4     1202.        97.66             F045300200178 
     3.9        2.429    110.8     1199.        97.98             F045300200179 
     3.9        2.429    129.6     1212.       137.5              F045300200180 
     3.9        2.429    138.1     1151.        78.38             F045300200181 
     3.9        2.429    164.5     1240.        78.07             F045300200182 
ENDDATA            168          0                                 F045300200183 
ENDSUBENT          182          0                                 F045300299999 
ENDENTRY             2          0                                 F045399999999 
