ENTRY            F0110   20240207                             F096F0110  0    1 
SUBENT        F0110001   20240207                             F096F0110  1    1 
BIB                 10         34                                 F0110  1    2 
TITLE      Spectroscopy of 10B levels from the 9Be(d,n)10B        F0110  1    3 
           reaction                                               F0110  1    4 
AUTHOR     (Y.S.Park,A.Niiler,R.A.Lindgren)                       F0110  1    5 
INSTITUTE  (1USAABD)                                              F0110  1    6 
REFERENCE  (J,PR/C,8,1557,1973)                                   F0110  1    7 
FACILITY   (VDGT,1USAABD)                                         F0110  1    8 
SAMPLE     The targets used were self-supporting foils of 9Be withF0110  1    9 
           thicknesses of 2.75 and 0.13 mg/cm2                    F0110  1   10 
METHOD     (TOF,BCINT)                                            F0110  1   11 
DETECTOR   (SCIN) The neutron detector consisted of a NE-213      F0110  1   12 
           liquid scintillator, 2.5cm thickness and 17.8cm in     F0110  1   13 
           diam., held in a light-tight aluminum can and          F0110  1   14 
           Lucite-coupled to a XP1041 photomultiplier (PM) tube.  F0110  1   15 
           (SIBAR) All cross-section measurements were monitored  F0110  1   16 
           by both a 2-mm-thick silicon-surface-barrier detector  F0110  1   17 
           and the beam-current integration.                      F0110  1   18 
ERR-ANALYS (DATA-ERR) Relative errors from graphic bars           F0110  1   19 
           representing mainly counting statistics background     F0110  1   20 
           subtraction, and the error associated with the         F0110  1   21 
           computer fitting procedure.                            F0110  1   22 
           (ERR-SYS,,20.) The resulting over-all uncertainty on   F0110  1   23 
           the absolute scale factor includes:                    F0110  1   24 
           (ERR-1) The uncertainty in the target thickness        F0110  1   25 
           (ERR-2)  The uncertainty in the neutron detector       F0110  1   26 
           efficiencies                                           F0110  1   27 
           (ERR-3) The uncertainty in the beam-current integrationF0110  1   28 
           (ERR-4,,2.) The uncertainty in the detector solid angleF0110  1   29 
HISTORY    (19820111C)                                            F0110  1   30 
           (19990412U) corrected 4-dig. year and lower cases.     F0110  1   31 
           (20200504A) SD: Corrections in all Subents. BIB updatedF0110  1   32 
           Subents 002, 003 merged. Subent 004 added.             F0110  1   33 
           ERR-3 ->ERR-SYS; DATA-ERR1->DATA-ERR.                  F0110  1   34 
           (20240207U) SD: Ref. corrected. Small corrections in   F0110  1   35 
           all Subents.                                           F0110  1   36 
ENDBIB              34          0                                 F0110  1   37 
COMMON               3          3                                 F0110  1   38 
ERR-1      ERR-2      ERR-3                                       F0110  1   39 
PER-CENT   PER-CENT   PER-CENT                                    F0110  1   40 
  15.0      8.0         1.0                                       F0110  1   41 
ENDCOMMON            3          0                                 F0110  1   42 
ENDSUBENT           41          0                                 F0110  199999 
SUBENT        F0110002   20240207                             F096F0110  2    1 
BIB                  3          8                                 F0110  2    2 
REACTION   (4-BE-9(D,N)5-B-10,PAR,DA)                             F0110  2    3 
STATUS     (CURVE,,Y.S.Park+,J,PR/C,8,1557,1973) figs 4-7         F0110  2    4 
HISTORY    (20200504A) SD: SF9=EXP deleted from REACTION code.    F0110  2    5 
           ANG-ERR -> ANG-ERR-D; DATA-ERR -> ERR-DIG;             F0110  2    6 
           DATA-ERR1 -> DATA-ERR. EN-SEC deleted. STATUS updated. F0110  2    7 
           Data from Subent 003 added. Data re-digitized.         F0110  2    8 
           (20240207A) SD: EN deleted from COMMON section.        F0110  2    9 
           STATUS updated.                                        F0110  2   10 
ENDBIB               8          0                                 F0110  2   11 
COMMON               2          3                                 F0110  2   12 
ANG-ERR-D  ERR-DIG                                                F0110  2   13 
ADEG       PER-CENT                                               F0110  2   14 
 1.0        1.0                                                   F0110  2   15 
ENDCOMMON            3          0                                 F0110  2   16 
DATA                 5        542                                 F0110  2   17 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              F0110  2   18 
MEV        MEV        ADEG       MB/SR      MB/SR                 F0110  2   19 
         7.         0.        6.2   3.54E+00   4.98E-01           F0110  2   20 
         7.         0.       11.6   6.13E+00   7.29E-01           F0110  2   21 
         7.         0.       17.0   9.39E+00   1.07E+00           F0110  2   22 
         7.         0.       22.8   1.01E+01   1.38E+00           F0110  2   23 
         7.         0.       27.8   1.03E+01   1.08E+00           F0110  2   24 
         7.         0.       33.6   7.16E+00   5.65E-01           F0110  2   25 
         7.         0.       39.2   6.19E+00   5.57E-01           F0110  2   26 
         7.         0.       44.4   4.39E+00   4.92E-01           F0110  2   27 
         7.         0.       49.2   2.83E+00   2.98E-01           F0110  2   28 
         7.         0.       54.8   2.48E+00   1.96E-01           F0110  2   29 
         7.         0.       60.4   2.06E+00   1.97E-01           F0110  2   30 
         7.         0.       65.2   1.83E+00   1.74E-01           F0110  2   31 
         7.         0.       70.7   1.92E+00   2.16E-01           F0110  2   32 
         7.       0.72        6.3   3.03E+00   2.93E-01           F0110  2   33 
         7.       0.72       11.6   5.85E+00   5.13E-01           F0110  2   34 
         7.       0.72       17.0   8.77E+00   8.49E-01           F0110  2   35 
         7.       0.72       22.6   1.01E+01   1.21E+00           F0110  2   36 
         7.       0.72       27.7   1.03E+01   1.41E+00           F0110  2   37 
         7.       0.72       34.1   7.73E+00   8.72E-01           F0110  2   38 
         7.       0.72       38.9   5.28E+00   4.19E-01           F0110  2   39 
         7.       0.72       44.6   3.63E+00   3.90E-01           F0110  2   40 
         7.       0.72       49.6   2.23E+00   2.64E-01           F0110  2   41 
         7.       0.72       55.2   1.38E+00   1.32E-01           F0110  2   42 
         7.       0.72       60.5   1.08E+00   9.74E-02           F0110  2   43 
         7.       0.72       65.8   1.07E+00   9.65E-02           F0110  2   44 
         7.       0.72       71.0   1.13E+00   8.93E-02           F0110  2   45 
         7.       1.74        6.4   1.06E+00   9.73E-02           F0110  2   46 
         7.       1.74       11.5   1.79E+00   1.56E-01           F0110  2   47 
         7.       1.74       17.1   2.41E+00   2.85E-01           F0110  2   48 
         7.       1.74       22.7   2.49E+00   3.08E-01           F0110  2   49 
         7.       1.74       27.9   2.39E+00   2.16E-01           F0110  2   50 
         7.       1.74       34.0   1.55E+00   1.72E-01           F0110  2   51 
         7.       1.74       39.4   9.90E-01   1.27E-01           F0110  2   52 
         7.       1.74       44.2   6.66E-01   7.53E-02           F0110  2   53 
         7.       1.74       49.3   3.37E-01   3.24E-02           F0110  2   54 
         7.       1.74       55.2   2.60E-01   2.51E-02           F0110  2   55 
         7.       1.74       60.5   2.88E-01   3.18E-02           F0110  2   56 
         7.       1.74       65.8   2.97E-01   2.69E-02           F0110  2   57 
         7.       1.74       71.2   3.65E-01   4.53E-02           F0110  2   58 
         7.       2.15        6.4   1.44E+00   1.69E-01           F0110  2   59 
         7.       2.15       11.6   2.49E+00   2.55E-01           F0110  2   60 
         7.       2.15       17.1   3.07E+00   3.45E-01           F0110  2   61 
         7.       2.15       22.9   4.02E+00   5.12E-01           F0110  2   62 
         7.       2.15       28.2   3.96E+00   5.44E-01           F0110  2   63 
         7.       2.15       34.1   2.84E+00   3.76E-01           F0110  2   64 
         7.       2.15       39.4   2.07E+00   2.84E-01           F0110  2   65 
         7.       2.15       44.3   1.86E+00   2.56E-01           F0110  2   66 
         7.       2.15       50.0   1.46E+00   2.22E-01           F0110  2   67 
         7.       2.15       55.4   1.23E+00   1.50E-01           F0110  2   68 
         7.       2.15       60.6   1.15E+00   1.70E-01           F0110  2   69 
         7.       2.15       66.0   1.08E+00   1.22E-01           F0110  2   70 
         7.       2.15       71.5   1.04E+00   1.63E-01           F0110  2   71 
