ENTRY            F0114   19990412                             0000F011400000001 
SUBENT        F0114001   19990412                             0000F011400100001 
BIB                 10         14                                 F011400100002 
TITLE      Investigation of the reactions 9Be(d,a0)7Li,           F011400100003 
           9Be(d,a1)7Li* 9Be(d,t)8Be and 9Be(d,p0)10Be            F011400100004 
           in the energy interval from 300 keV to 1000 keV        F011400100005 
AUTHOR     (F.BERTRAND,G.GRENIER,J.PORNET)                        F011400100006 
INSTITUTE  (2FR VNV)                                              F011400100007 
REFERENCE  (R,CEA-R-3504,,196805)                                 F011400100008 
MONITOR    (4-BE-9(D,A)3-LI-7,PAR,DA)                             F011400100009 
MONIT-REF  (,BIGGERSTAFF+,J,NP,36,(4),631,196208)                 F011400100010 
ERR-ANALYS (MONIT-ERR) Systematic error                           F011400100011 
           (DATA-ERR) Digitizing error                            F011400100012 
           (DATA-ERR1) Relative error from graphic bars           F011400100013 
FACILITY   (CCW) Philips                                          F011400100014 
DETECTOR   (SOLST) Semiconductor                                  F011400100015 
HISTORY    (19860204C)                                            F011400100016 
ENDBIB              14          0                                 F011400100017 
COMMON               4          3                                 F011400100018 
EN-NRM     ANG-NRM    MONIT      MONIT-ERR                        F011400100019 
MEV        ADEG       MB/SR      PER-CENT                         F011400100020 
  1.         100.0      2.850      5.                             F011400100021 
ENDCOMMON            3          0                                 F011400100022 
ENDSUBENT           21          0                                 F011400199999 
SUBENT        F0114002   19990412                             0000F011400200001 
BIB                  4          4                                 F011400200002 
REACTION   (4-BE-9(D,A)3-LI-7,PAR,DA,,,EXP)                       F011400200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             F011400200004 
STATUS     (CURVE) Fig 8-11                                       F011400200005 
EN-SEC     (E-LVL,3-LI-7)                                         F011400200006 
ENDBIB               4          0                                 F011400200007 
COMMON               2          3                                 F011400200008 
ANG-ERR    DATA-ERR                                               F011400200009 
ADEG       MB/SR                                                  F011400200010 
 0.2        0.002                                                 F011400200011 
ENDCOMMON            3          0                                 F011400200012 
DATA                 5        226                                 F011400200013 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR1             F011400200014 
MEV        MEV        ADEG       MB/SR      MB/SR                 F011400200015 
     0.3        0.        16.2        0.1199     0.0286           F011400200016 
     0.3        0.        25.46       0.1395     0.0238           F011400200017 
     0.3        0.        36.86       0.1354     0.0238           F011400200018 
     0.3        0.        47.54       0.1789     0.0191           F011400200019 
     0.3        0.        57.99       0.1747     0.0286           F011400200020 
     0.3        0.        68.44       0.1991     0.0191           F011400200021 
     0.3        0.        77.94       0.1997     0.0238           F011400200022 
     0.3        0.        88.63       0.1908     0.0333           F011400200023 
     0.3        0.        99.07       0.2342     0.0286           F011400200024 
     0.3        0.       103.6        0.263      0.0238           F011400200025 
     0.3        0.       114.         0.2589     0.0238           F011400200026 
     0.3        0.       129.9        0.2883     0.0238           F011400200027 
     0.3        0.       133.         0.2933     0.0238           F011400200028 
     0.3        0.       152.3        0.2991     0.0429           F011400200029 
     0.3        0.       161.5        0.3378     0.0238           F011400200030 
     0.3        0.48      16.04       0.3324     0.0286           F011400200031 
     0.3        0.48      26.67       0.3366     0.0238           F011400200032 
     0.3        0.48      36.81       0.3265     0.0191           F011400200033 
     0.3        0.48      48.89       0.3353     0.0238           F011400200034 
     0.3        0.48      58.56       0.3538     0.0286           F011400200035 
     0.3        0.48      67.97       0.3342     0.0286           F011400200036 
     0.3        0.48      77.87       0.3146     0.0286           F011400200037 
     0.3        0.48      88.98       0.3187     0.0238           F011400200038 
     0.3        0.48     103.         0.2894     0.0191           F011400200039 
     0.3        0.48     113.6        0.2745     0.0238           F011400200040 
     0.3        0.48     123.5        0.2453     0.0333           F011400200041 
     0.3        0.48     133.4        0.2638     0.0286           F011400200042 
     0.3        0.48     152.5        0.2532     0.0238           F011400200043 
     0.3        0.48     162.4        0.2479     0.0286           F011400200044 
     0.4        0.        26.61       0.2718     0.0282           F011400200045 
     0.4        0.        36.57       0.2961     0.0235           F011400200046 
     0.4        0.        47.95       0.3393     0.0235           F011400200047 
     0.4        0.        58.38       0.3824     0.0188           F011400200048 
     0.4        0.        69.06       0.4067     0.0235           F011400200049 
     0.4        0.        83.53       0.4596     0.0235           F011400200050 
     0.4        0.        94.17       0.5591     0.0235           F011400200051 
     0.4        0.       104.3        0.6446     0.047            F011400200052 
     0.4        0.       114.3        0.6077     0.0188           F011400200053 
     0.4        0.       124.         0.6884     0.0329           F011400200054 
     0.4        0.       132.8        0.7125     0.0282           F011400200055 
     0.4        0.       143.2        0.7651     0.0235           F011400200056 
     0.4        0.       152.2        0.8128     0.0282           F011400200057 
     0.4        0.48      26.65       0.6579     0.0193           F011400200058 
     0.4        0.48      36.8        0.6717     0.0145           F011400200059 
     0.4        0.48      48.15       0.6807     0.0241           F011400200060 
     0.4        0.48      58.78       0.6994     0.0241           F011400200061 
     0.4        0.48      68.92       0.6843     0.0241           F011400200062 
     0.4        0.48      83.9        0.6594     0.0241           F011400200063 
     0.4        0.48      93.8        0.6202     0.0241           F011400200064 
     0.4        0.48     103.9        0.5811     0.0241           F011400200065 
     0.4        0.48     113.9        0.5902     0.0434           F011400200066 
     0.4        0.48     124.         0.5558     0.0193           F011400200067 
     0.4        0.48     131.2        0.5458     0.0193           F011400200068 
     0.4        0.48     143.1        0.5114     0.0386           F011400200069 
     0.4        0.48     152.5        0.5976     0.0241           F011400200070 
     0.4        0.48     162.2        0.6115     0.053            F011400200071 
     0.5        0.        32.64       0.5171     0.0238           F011400200072 
     0.5        0.        43.57       0.5749     0.0333           F011400200073 
     0.5        0.        54.02       0.647      0.019            F011400200074 
     0.5        0.        64.95       0.6716     0.0333           F011400200075 
     0.5        0.        74.69       0.7626     0.0285           F011400200076 
     0.5        0.        85.14       0.8585     0.038            F011400200077 
     0.5        0.        95.59       0.921      0.0333           F011400200078 
     0.5        0.       105.6        1.05       0.019            F011400200079 
     0.5        0.       115.5        1.117      0.0285           F011400200080 
     0.5        0.       125.         1.194      0.0238           F011400200081 
     0.5        0.       134.5        1.209      0.057            F011400200082 
     0.5        0.       143.3        1.371      0.0238           F011400200083 
     0.5        0.       153.1        1.439      0.076            F011400200084 
     0.5        0.       163.1        1.596      0.0855           F011400200085 
     0.5        0.48      31.64       1.272      0.0192           F011400200086 
     0.5        0.48      42.75       1.214      0.0192           F011400200087 
     0.5        0.48      54.11       1.146      0.0144           F011400200088 
