ENTRY            F0712   20130320                             F050F071200000001 
SUBENT        F0712001   20130320                             F050F071200100001 
BIB                 14         37                                 F071200100002 
TITLE      Absolute cross sections of the 16O(d,p)17O reaction andF071200100003 
           spectroscopic factors of states in 17O.                F071200100004 
AUTHOR     (I.M.Naqib,L.L.Green)                                  F071200100005 
INSTITUTE  (2UK LVP)                                              F071200100006 
REFERENCE  (J,NP/A,112,76,1968)                                   F071200100007 
           #doi:10.1016/0375-9474(68)90220-0                      F071200100008 
FACILITY   (VDGT,2UK LVP)                                         F071200100009 
INC-SPECT  Over-all spread in the incident beam energy is less    F071200100010 
           than 5 keV.                                            F071200100011 
SAMPLE     Target consisted of a thin layer (about 15 mu-g/cm2)   F071200100012 
           of tungsten trioxide (WO3) evaporated on to a thin filmF071200100013 
            (about 12 mu-g/cm2) of carbon.                        F071200100014 
DETECTOR   (SOLST)Single-solid state detector, capable of stoppingF071200100015 
           15 MeV protons in depletion layer, was used. The       F071200100016 
           collimated surface on the counter subtended an angular F071200100017 
           width of about 25 degrees as viewed from a point sourceF071200100018 
           on the target.                                         F071200100019 
MONITOR    Solid-state detector positioned at a fixed angle (30   F071200100020 
           degrees) was used as monitor.                          F071200100021 
           The beam was monitored by the quantity of charge       F071200100022 
           collected in the Faraday cup and by the number of      F071200100023 
           counts in the deuteron elastic peak from tungsten in   F071200100024 
           the monitor spectrum.                                  F071200100025 
METHOD     (BCINT)                                                F071200100026 
ADD-RES    (COMP) Comparison with DWBA calculations               F071200100027 
REL-REF    (R,,J.L.Alty+,J,NP/A,97,541,1967) Information          F071200100028 
           about the facility is given.                           F071200100029 
ERR-ANALYS (ANG-ERR-D)  Angle digitizing error                    F071200100030 
           (ERR-DIG)    Data digitizing error                     F071200100031 
           (DATA-ERR)   Error from the graphic bars               F071200100032 
           Errors resulted from statistical uncertainties and     F071200100033 
           background subtraction. Typical error values were      F071200100034 
           about +-5% for the ground state results and about      F071200100035 
           +-11% for 0.87 MeV state.                              F071200100036 
HISTORY    (20050329C)                                            F071200100037 
           (20130320A) SAMPLE in sub 001 was corrected. Data      F071200100038 
           presentation in sub 002 was changed.                   F071200100039 
ENDBIB              37          0                                 F071200100040 
COMMON               3          3                                 F071200100041 
EN-RSL-FW  ANG-ERR-D  ERR-DIG                                     F071200100042 
KEV        ADEG       PER-CENT                                    F071200100043 
        25.        0.2        0.1                                 F071200100044 
ENDCOMMON            3          0                                 F071200100045 
ENDSUBENT           44          0                                 F071200199999 
SUBENT        F0712002   20130320                             F050F071200200001 
BIB                  2          2                                 F071200200002 
REACTION   (8-O-16(D,P)8-O-17,PAR,DA)                             F071200200003 
STATUS     (CURVE)Fig.3,4                                         F071200200004 
ENDBIB               2          0                                 F071200200005 
NOCOMMON             0          0                                 F071200200006 
DATA                 5         86                                 F071200200007 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              F071200200008 
MEV        MEV        ADEG       MB/SR      MB/SR                 F071200200009 
        6.0         0.     26.356     26.103     1.8979           F071200200010 
        6.0         0.     30.731     29.313     2.6879           F071200200011 
        6.0         0.     36.398     26.216     2.4075           F071200200012 
        6.0         0.     41.418     26.272     2.1586           F071200200013 
        6.0         0.     48.009     21.721     1.9918           F071200200014 
        6.0         0.     52.558     17.022     1.2377           F071200200015 
        6.0       0.87     25.934     18.407     2.3897           F071200200016 
        6.0       0.87     31.854     7.7715    0.93267           F071200200017 
        6.0       0.87     37.143     10.022    0.91201           F071200200018 
        6.0       0.87     42.463     11.641     1.0612           F071200200019 
        6.0       0.87     47.765     14.372     1.0377           F071200200020 
        6.0       0.87     52.531     14.515    0.91524           F071200200021 
       7.50         0.     20.533     25.884     2.8316           F071200200022 
       7.50         0.     25.768     31.642     3.1627           F071200200023 
       7.50         0.     30.803     30.619     2.7635           F071200200024 
       7.50         0.     38.193     30.172     1.8803           F071200200025 
       7.50         0.     46.608     21.224     1.7162           F071200200026 
       7.50         0.     52.065     15.043     1.2181           F071200200027 
       7.50       0.87     20.652     30.826     3.0783           F071200200028 
       7.50       0.87     26.287     12.538     1.3717           F071200200029 
       7.50       0.87     31.310     8.4962     1.9608           F071200200030 
       7.50       0.87     39.247     12.329     1.1143           F071200200031 
       7.50       0.87     48.082     12.657     1.0248           F071200200032 
       7.50       0.87     53.397     9.3520    0.84517           F071200200033 
       7.85         0.     20.033     23.664     1.8914           F071200200034 
       7.85         0.     25.570     29.339     2.3395           F071200200035 
       7.85         0.     30.573     30.926     2.7551           F071200200036 
       7.85         0.     38.007     26.807     1.8941           F071200200037 
       7.85         0.     44.287     21.511     1.9164           F071200200038 
       7.85         0.     51.811     14.435    0.83705           F071200200039 
       7.85       0.87     20.870     21.735     1.9769           F071200200040 
       7.85       0.87     26.125     11.729     1.4039           F071200200041 
       7.85       0.87     31.334     8.1459     1.3810           F071200200042 
       7.85       0.87     39.269     11.653     1.1704           F071200200043 
       7.85       0.87     45.281     10.881     1.0928           F071200200044 
       7.85       0.87     52.473     8.3185    0.91501           F071200200045 
       8.20         0.     20.988     27.332     3.0006           F071200200046 
       8.20         0.     26.147     27.122     2.2038           F071200200047 
       8.20         0.     31.868     28.356     2.3041           F071200200048 
       8.20         0.     38.759     26.487     2.4035           F071200200049 
       8.20         0.     44.861     17.481     1.5853           F071200200050 
       8.20         0.     52.703     10.400     1.1417           F071200200051 
       8.20       0.87     19.465     25.812     2.3546           F071200200052 
       8.20       0.87     25.535     9.3961     1.2203           F071200200053 
       8.20       0.87     31.204     8.5540    0.94366           F071200200054 
       8.20       0.87     38.525     10.394    0.94693           F071200200055 
       8.20       0.87     45.724     8.4523    0.85087           F071200200056 
       8.20       0.87     52.001     7.4324    0.82178           F071200200057 
       8.55         0.     21.876     24.817     1.7400           F071200200058 
