ENTRY            F0463   20240207                             F097F0463  0    1 
SUBENT        F0463001   20240207                             F097F0463  1    1 
BIB                 10         17                                 F0463  1    2 
TITLE      A study of the 11B(3He,p)13C and 11B(3He,3He)11B       F0463  1    3 
           reactions                                              F0463  1    4 
AUTHOR     (H.L.Adair)                                            F0463  1    5 
INSTITUTE  (1USAORL)                                              F0463  1    6 
REFERENCE  ((R,ORNL-4339,1969)=(T,ADAIR,1968)) Master thesis      F0463  1    7 
           presented to Univ. of Tenesee                          F0463  1    8 
FACILITY   (VDG,1USAORL)                                          F0463  1    9 
SAMPLE     Self - supporting films of 11B                         F0463  1   10 
METHOD     (PHD,BCINT)                                            F0463  1   11 
ERR-ANALYS In addition to the statistical error, the absolute     F0463  1   12 
           cross sections could vary +-15% due to errors in foil  F0463  1   13 
           thickness measurements and +-5%  due to the acceptance F0463  1   14 
           angle measurement.                                     F0463  1   15 
DETECTOR   (SIBAR)                                                F0463  1   16 
HISTORY    (19930208C)                                            F0463  1   17 
           (20240207A) SD: Corrections in all Subents.            F0463  1   18 
           Subents 003-005 were merged.                           F0463  1   19 
ENDBIB              17          0                                 F0463  1   20 
NOCOMMON             0          0                                 F0463  1   21 
ENDSUBENT           20          0                                 F0463  199999 
SUBENT        F0463002   20240207                             F097F0463  2    1 
BIB                  4          7                                 F0463  2    2 
REACTION   (5-B-11(HE3,P)6-C-13,PAR,DA)                           F0463  2    3 
ERR-ANALYS (ERR-S) Statistical error                              F0463  2    4 
           (ERR-1) Absolute error                                 F0463  2    5 
STATUS     (CURVE,,H.L.Adair,R,ORNL-4339,1969) Fig.12-20          F0463  2    6 
HISTORY    (20240207A) SD: SF9=EXP deleted from REACTION code.    F0463  2    7 
           ANG-ERR -> ANG-ERR-D; DATA-ERR -> ERR-S;               F0463  2    8 
           DATA-ERR1 -> ERR-1. STATUS updated.                    F0463  2    9 
ENDBIB               7          0                                 F0463  2   10 
COMMON               2          3                                 F0463  2   11 
ERR-1      ANG-ERR-D                                              F0463  2   12 
PER-CENT   ADEG                                                   F0463  2   13 
  16.           1.                                                F0463  2   14 
ENDCOMMON            3          0                                 F0463  2   15 
DATA                 5        143                                 F0463  2   16 
EN         E-LVL      ANG-CM     DATA-CM    ERR-S                 F0463  2   17 
        10.       3.09        96.   6.84E-02   5.20E-04           F0463  2   79 
        10.       3.09       106.   6.67E-02   5.20E-04           F0463  2   80 
        10.       3.09       115.   8.72E-02   7.65E-03           F0463  2   81 
        10.       3.68        22.   2.30E-01   6.65E-03           F0463  2   82 
        10.       3.68        33.   2.38E-01   7.59E-03           F0463  2   83 
        10.       3.68        38.   2.21E-01   6.65E-03           F0463  2   84 
        10.       3.68        44.   1.88E-01   7.60E-03           F0463  2   85 
        10.       3.68        55.   1.54E-01   6.65E-03           F0463  2   86 
        10.       3.68        60.   1.55E-01   6.65E-03           F0463  2   87 
        10.       3.68        65.   1.71E-01   7.60E-03           F0463  2   88 
        10.       3.68        70.   1.81E-01   6.67E-03           F0463  2   89 
        10.       3.68        75.   2.00E-01   4.74E-03           F0463  2   90 
        10.       3.68        86.   1.89E-01   6.65E-03           F0463  2   91 
        10.       3.68        96.   1.65E-01   6.65E-03           F0463  2   92 
        10.       3.68       106.   1.32E-01   5.70E-03           F0463  2   93 
        10.       3.68       116.   1.15E-01   8.56E-03           F0463  2   94 
        10.       6.86        16.   1.49E-01   8.22E-03           F0463  2   95 
        10.       6.86        22.   1.38E-01   8.22E-03           F0463  2   96 
        10.       6.86        28.   1.27E-01   7.19E-03           F0463  2   97 
        10.       6.86        33.   1.17E-01   7.19E-03           F0463  2   98 
        10.       6.86        38.   1.25E-01   7.19E-03           F0463  2   99 
        10.       6.86        44.   1.39E-01   8.22E-03           F0463  2  100 
        10.       6.86        49.   1.38E-01   8.23E-03           F0463  2  101 
        10.       6.86        55.   1.44E-01   9.25E-03           F0463  2  102 
        10.       6.86        60.   1.33E-01   6.17E-03           F0463  2  103 
        10.       6.86        65.   1.16E-01   6.17E-03           F0463  2  104 
        10.       6.86        71.   1.16E-01   7.21E-03           F0463  2  105 
        10.       6.86        76.   1.09E-01   8.21E-03           F0463  2  106 
        10.       6.86        81.   1.17E-01   7.19E-03           F0463  2  107 
        10.       6.86        86.   1.31E-01   8.10E-03           F0463  2  108 
        10.       6.86        97.   1.60E-01   8.22E-03           F0463  2  109 
        10.       6.86       107.   1.70E-01   1.03E-02           F0463  2  110 
        10.       6.86       116.   1.56E-01   5.15E-03           F0463  2  111 
        10.       7.55        23.   5.27E-01   1.96E-02           F0463  2  112 
        10.       7.55        28.   6.45E-01   2.23E-02           F0463  2  113 
        10.       7.55        34.   6.71E-01   1.95E-02           F0463  2  114 
        10.       7.55        40.   7.08E-01   1.95E-02           F0463  2  115 
        10.       7.55        44.   6.37E-01   1.39E-02           F0463  2  116 
        10.       7.55        50.   5.40E-01   1.95E-02           F0463  2  117 
        10.       7.55        55.   4.26E-01   1.39E-02           F0463  2  118 
        10.       7.55        61.   4.22E-01   1.67E-02           F0463  2  119 
        10.       7.55        66.   3.89E-01   1.96E-02           F0463  2  120 
        10.       7.55        71.   3.29E-01   1.67E-02           F0463  2  121 
        10.       7.55        76.   3.32E-01   1.95E-02           F0463  2  122 
        10.       7.55        86.   2.84E-01   1.12E-02           F0463  2  123 
        10.       7.55        96.   2.46E-01   1.68E-02           F0463  2  124 
        10.        9.5        23.   2.84E-01   9.80E-03           F0463  2  125 
        10.        9.5        29.   2.34E-01   9.80E-03           F0463  2  126 
        10.        9.5        34.   1.71E-01   7.84E-03           F0463  2  127 
        10.        9.5        39.   1.53E-01   6.90E-03           F0463  2  128 
        10.        9.5        45.   1.28E-01   8.86E-03           F0463  2  129 
        10.        9.5        50.   1.18E-01   7.88E-03           F0463  2  130 
        10.        9.5        56.   1.41E-01   8.82E-03           F0463  2  131 
        10.        9.5        61.   1.29E-01   7.81E-03           F0463  2  132 
        10.        9.5        66.   8.92E-02   6.86E-03           F0463  2  133 
        10.        9.5        71.   1.12E-01   6.86E-03           F0463  2  134 
        10.        9.5        77.   9.28E-02   6.86E-03           F0463  2  135 
        10.        9.5        88.   9.25E-02   6.86E-03           F0463  2  136 
        10.        9.5        97.   1.19E-01   8.82E-03           F0463  2  137 
        10.        9.5       107.   1.33E-01   7.84E-03           F0463  2  138 
        10.        9.5       127.   8.62E-02   6.90E-03           F0463  2  139 
        10.        9.5       135.   5.64E-02   7.88E-03           F0463  2  140 
        10.        9.5       145.   8.16E-02   6.86E-03           F0463  2  141 
        10.        9.5       154.   1.19E-01   8.86E-03           F0463  2  142 
        10.        9.9        13.   1.19E-01   7.16E-03           F0463  2  143 
        10.        9.9        16.   1.14E-01   6.14E-03           F0463  2  144 
        10.        9.9        20.   1.11E-01   6.14E-03           F0463  2  145 
        10.        9.9        22.   1.02E-01   6.14E-03           F0463  2  146 
        10.        9.9        24.   1.09E-01   5.12E-03           F0463  2  147 
        10.        9.9        25.   1.22E-01   8.19E-03           F0463  2  148 
        10.        9.9        28.   1.42E-01   7.16E-03           F0463  2  149 
        10.        9.9        30.   1.52E-01   5.76E-04           F0463  2  150 
        10.        9.9        33.   1.76E-01   8.19E-03           F0463  2  151 
        10.        9.9        39.   1.81E-01   6.14E-03           F0463  2  152 
        10.        9.9        45.   1.79E-01   7.16E-03           F0463  2  153 
        10.        9.9        50.   1.20E-01   5.12E-03           F0463  2  154 
        10.        9.9        56.   8.49E-02   5.76E-04           F0463  2  155 
        10.        9.9        66.   5.13E-02   5.12E-03           F0463  2  156 
        10.        9.9        76.   5.46E-02   5.76E-04           F0463  2  157 
        10.        9.9        92.   5.38E-02   5.76E-04           F0463  2  158 
        10.        9.9        97.   6.41E-02   5.76E-04           F0463  2  159 
        10.        9.9       106.   6.22E-02   5.76E-04           F0463  2  160 
        10.        9.9       116.   5.53E-02   5.76E-04           F0463  2  161 
ENDDATA            145          0                                 F0463  2  162 
ENDSUBENT          161          0                                 F0463  299999 
SUBENT        F0463003   20240207                             F097F0463  3    1 
BIB                  4          7                                 F0463  3    2 
REACTION   (5-B-11(HE3,EL)5-B-11,,DA)                             F0463  3    3 
ERR-ANALYS (DATA-ERR) From graphic bars and digitizing error      F0463  3    4 
           No information about source of uncertainty             F0463  3    5 
STATUS     (CURVE,,H.L.Adair,R,ORNL-4339,1969) Fig.22             F0463  3    6 
HISTORY    (20240207A) SD: SF9=EXP deleted from REACTION code.    F0463  3    7 
           ANG-ERR -> ANG-ERR-D. Data from Subents 004, 005 were  F0463  3    8 
           added. STATUS updated.                                 F0463  3    9 
ENDBIB               7          0                                 F0463  3   10 
COMMON               1          3                                 F0463  3   11 
ANG-ERR-D                                                         F0463  3   12 
ADEG                                                              F0463  3   13 
         1.                                                       F0463  3   14 
ENDCOMMON            3          0                                 F0463  3   15 
DATA                 4         71                                 F0463  3   16 
EN         ANG-CM     DATA-CM    DATA-ERR                         F0463  3   17 
MEV        ADEG       MB/SR      MB/SR                            F0463  3   18 
         8.        25.   1.17E+03   1.44E+02                      F0463  3   19 
         8.        32.   4.30E+02   6.17E+01                      F0463  3   20 
         8.        38.   1.71E+02   2.04E+01                      F0463  3   21 
         8.        44.   6.47E+01   8.43E+00                      F0463  3   22 
         8.        50.   2.87E+01   3.99E+00                      F0463  3   23 
         8.        56.   2.20E+01   3.01E+00                      F0463  3   24 
         8.        62.   2.49E+01   2.87E+00                      F0463  3   25 
         8.        68.   2.48E+01   3.02E+00                      F0463  3   26 
         8.        74.   2.00E+01   2.57E+00                      F0463  3   27 
         8.        79.   1.42E+01   1.61E+00                      F0463  3   28 
         8.        85.   8.72E+00   1.18E+00                      F0463  3   29 
         8.        90.   5.48E+00   6.67E-01                      F0463  3   30 
         8.        95.   3.20E+00   3.68E-01                      F0463  3   31 
         8.       101.   2.20E+00   3.07E-01                      F0463  3   32 
         8.       105.   2.31E+00   3.01E-01                      F0463  3   33 
         8.       115.   2.30E+00   2.80E-01                      F0463  3   34 
         8.       125.   3.36E+00   4.11E-01                      F0463  3   35 
        10.        22.   8.58E+01   1.35E+01                      F0463  3   36 
        10.        25.   5.01E+01   7.36E+00                      F0463  3   37 
        10.        28.   3.20E+01   4.03E+00                      F0463  3   38 
        10.        31.   1.96E+01   2.47E+00                      F0463  3   39 
        10.        35.   9.14E+00   1.27E+00                      F0463  3   40 
        10.        38.   5.77E+00   8.34E-01                      F0463  3   41 
        10.        41.   2.11E+00   2.76E-01                      F0463  3   42 
        10.        44.   1.36E+00   1.78E-01                      F0463  3   43 
        10.        47.   1.30E+00   1.77E-01                      F0463  3   44 
        10.        50.   1.51E+00   2.06E-01                      F0463  3   45 
        10.        56.   2.23E+00   2.75E-01                      F0463  3   46 
        10.        62.   1.83E+00   2.44E-01                      F0463  3   47 
        10.        68.   1.41E+00   1.84E-01                      F0463  3   48 
        10.        73.   8.75E-01   1.19E-01                      F0463  3   49 
        10.        85.   3.12E-01   4.25E-02                      F0463  3   50 
        10.        90.   1.85E-01   2.38E-02                      F0463  3   51 
        10.        95.   1.24E-01   1.75E-02                      F0463  3   52 
        10.       100.   1.27E-01   1.63E-02                      F0463  3   53 
        10.       105.   1.21E-01   1.74E-02                      F0463  3   54 
        10.       111.   1.52E-01   1.99E-02                      F0463  3   55 
        10.       116.   1.83E-01   2.30E-02                      F0463  3   56 
        10.       120.   2.27E-01   2.74E-02                      F0463  3   57 
        10.       124.   2.49E-01   3.46E-02                      F0463  3   58 
        10.       129.   2.50E-01   3.34E-02                      F0463  3   59 
        10.       133.   2.56E-01   2.63E-02                      F0463  3   60 
        10.       137.   3.06E-01   4.01E-02                      F0463  3   61 
        10.       146.   2.99E-01   4.08E-02                      F0463  3   62 
        12.        19.   1.61E+03   2.42E+02                      F0463  3   63 
        12.        22.   9.15E+02   1.17E+02                      F0463  3   64 
        12.        25.   5.88E+02   8.03E+01                      F0463  3   65 
        12.        28.   3.30E+02   4.86E+01                      F0463  3   66 
        12.        31.   1.62E+02   1.63E+01                      F0463  3   67 
        12.        38.   2.16E+01   2.65E+00                      F0463  3   68 
        12.        44.   9.05E+00   1.26E+00                      F0463  3   69 
