Seq. Update date/time           Trans(N1) Trans(N2)  Centre Tape
   0 2025-05-19 22:43:20.755466 1001      20150311          EXFOR-2015-03-11.bck
   1 2025-05-19 22:52:20.699835 L025      20150313   NNDC   trans/trans.l025
   2 2025-05-19 22:52:21.574422 C146      20150323   NNDC   trans/trans.c146
   3 2025-05-19 22:52:22.637562 4167      20150410   CJD    trans/trans.4167
   4 2025-05-19 22:52:23.719352 M077      20150413   CDFE   trans/trans.m077
   5 2025-05-19 22:52:24.762937 C147      20150419   NNDC   trans/trans.c147
   6 2025-05-19 22:52:25.779907 L026      20150428   NNDC   trans/trans.l026
   7 2025-05-19 22:52:26.896396 D098      20150429   NDS    trans/trans.d098
   8 2025-05-19 22:52:28.084405 G032      20150429   NDS    trans/trans.g032
   9 2025-05-19 22:52:29.139321 E095      20150429   JCPRG  trans/trans.e095
  10 2025-05-19 22:52:30.008202 E096      20150429   JCPRG  trans/trans.e096
  11 2025-05-19 22:52:30.996805 R028      20150429   JCPRG  trans/trans.r028
  12 2025-05-19 22:52:31.957057 4168      20150512   CJD    trans/trans.4168
  13 2025-05-19 22:52:33.006516 3169      20150513   NDS    trans/trans.3169
  14 2025-05-19 22:52:34.052285 2241      20150518   NEADB  trans/trans.2241
  15 2025-05-19 22:52:35.817959 M078      20150519   CDFE   trans/trans.m078
  16 2025-05-19 22:52:36.763504 A083      20150528   CNPD   trans/trans.a083
  17 2025-05-19 22:52:37.756502 1405      20150604   NNDC   trans/trans.1405
  18 2025-05-19 22:52:38.951900 C148      20150615   NNDC   trans/trans.c148
  19 2025-05-19 22:52:39.974274 M079      20150622   CDFE   trans/trans.m079
  20 2025-05-19 22:52:40.887332 K015      20150624   JCPRG  trans/trans.k015
  21 2025-05-19 22:52:41.702596 E097      20150625   JCPRG  trans/trans.e097
  22 2025-05-19 22:52:42.660467 3170      20150706   NDS    trans/trans.3170
  23 2025-05-19 22:52:43.762683 O054      20150707   NEADB  trans/trans.o054
  24 2025-05-19 22:52:44.825014 D099      20150715   NDS    trans/trans.d099
  25 2025-05-19 22:52:45.975352 1406      20150718   NNDC   trans/trans.1406
  26 2025-05-19 22:52:47.031511 L027      20150722   NNDC   trans/trans.l027
  27 2025-05-19 22:52:47.936948 C149      20150724   NNDC   trans/trans.c149
  28 2025-05-19 22:52:48.892020 G033      20150807   NDS    trans/trans.g033
  29 2025-05-19 22:52:49.877821 4169      20150810   CJD    trans/trans.4169
  30 2025-05-19 22:52:50.882006 F058      20150810   CNPD   trans/trans.f058
  31 2025-05-19 22:52:52.095617 V033      20150713   NDS    trans/trans.v033
  32 2025-05-19 22:52:53.188201 1407      20150817   NNDC   trans/trans.1407
  33 2025-05-19 22:52:54.737433 3171      20150925   NDS    trans/trans.3171
  34 2025-05-19 22:52:55.650109 E098      20150924   JCPRG  trans/trans.e098
  35 2025-05-19 22:52:56.602323 E099      20150925   JCPRG  trans/trans.e099
  36 2025-05-19 22:52:57.613034 3172      20150925   NDS    trans/trans.3172
  37 2025-05-19 22:52:58.530733 G034      20150928   NDS    trans/trans.g034
  38 2025-05-19 22:52:59.436990 D100      20150928   NDS    trans/trans.d100
  39 2025-05-19 22:53:00.612020 C150      20150928   NNDC   trans/trans.c150
  40 2025-05-19 22:53:01.702527 M080      20150922   CDFE   trans/trans.m080
  41 2025-05-19 22:53:02.698449 C151      20151005   NNDC   trans/trans.c151
  42 2025-05-19 22:53:03.721671 C152      20151008   NNDC   trans/trans.c152
  43 2025-05-19 22:53:04.945902 D101      20151109   NDS    trans/trans.d101
  44 2025-05-19 22:53:06.246654 4170      20151113   CJD    trans/trans.4170
  45 2025-05-19 22:53:07.338149 4171      20151116   CJD    trans/trans.4171
  46 2025-05-19 22:53:08.639636 2242      20151116   NEADB  trans/trans.2242
  47 2025-05-19 22:53:10.273827 C153      20151122   NNDC   trans/trans.c153
  48 2025-05-19 22:53:11.763091 1408      20160121   NNDC   trans/trans.1408
  49 2025-05-19 22:53:15.756190 C154      20160113   NNDC   trans/trans.c154
  50 2025-05-19 22:53:16.834335 D102      20160202   NDS    trans/trans.d102
  51 2025-05-19 22:53:17.893140 1409      20160203   NNDC   trans/trans.1409
  52 2025-05-19 22:53:19.041610 1410      20160124   NNDC   trans/trans.1410
  53 2025-05-19 22:53:20.042075 E100      20160205   JCPRG  trans/trans.e100
  54 2025-05-19 22:53:21.377320 2243      20160209   NEADB  trans/trans.2243
  55 2025-05-19 22:53:22.668522 2244      20151123   NEADB  trans/trans.2244
  56 2025-05-19 22:53:24.199194 F059      20160215   CNPD   trans/trans.f059
  57 2025-05-19 22:53:25.532239 4172      20160216   CJD    trans/trans.4172
  58 2025-05-19 22:53:26.733396 4173      20160210   CJD    trans/trans.4173
  59 2025-05-19 22:53:28.224234 1411      20160222   NNDC   trans/trans.1411
  60 2025-05-19 22:53:30.306991 L028      20160222   NNDC   trans/trans.l028
  61 2025-05-19 22:53:31.252827 S019      20160223   CNDC   trans/trans.s019
  62 2025-05-19 22:53:32.347507 F060      20160309   CNPD   trans/trans.f060
  63 2025-05-19 22:53:33.308119 M081      20160311   CDFE   trans/trans.m081
  64 2025-05-19 22:53:34.285935 C155      20160324   NNDC   trans/trans.c155
  65 2025-05-19 22:53:35.334494 3173      20160408   NDS    trans/trans.3173
