ENTRY            14104   20061027                             13421410400000001 
SUBENT        14104001   20061027                             13421410400100001 
BIB                 12         22                                 1410400100002 
INSTITUTE  (1USABNL,4ZZZDUB,3CZRCTI)                              1410400100003 
REFERENCE  (J,NP/A,729,679,2003)                                  1410400100004 
AUTHOR     (C.Granja,,S.Pospisil,S.A.Telezhnikov,R.E.Chrien)      1410400100005 
TITLE      Levels of 159Gd populated in average resonance         1410400100006 
            neutron capture                                       1410400100007 
FACILITY   (REAC,1USABNL) the high flux beam reactor at Brookhaven1410400100008 
            national laboratory                                   1410400100009 
INC-SOURCE (REAC) In addition to the standard 2 keV and 24 keV    1410400100010 
            neutron beams, a non-standard non-thermal beam was    1410400100011 
            assembled to produce a wide-energy neutron beam above 1410400100012 
            thermal energies in order to target the first neutron 1410400100013 
            resonance in 158Gd at 22.3 eV                         1410400100014 
DETECTOR   (GELI) A pair spectrometer using a Ge(Li) and two      1410400100015 
            NaI(Tl) detectors in a three coincidence setup        1410400100016 
SAMPLE     The sample target consisted of 80 g of Gd2O3 enriched  1410400100017 
            in 158Gd (152    154   155   156  157   158    160    1410400100018 
                     <0.05  <0.05  0.6   0.7  1.7   95.8   1.1 %) 1410400100019 
PART-DET   (G)                                                    1410400100020 
MONITOR    A thermal beam was also used namely as reference for   1410400100021 
            calibration and background identification.            1410400100022 
STATUS     (TABLE) Data taken from Table 3                        1410400100023 
HISTORY    (20061027C) DR                                         1410400100024 
ENDBIB              22          0                                 1410400100025 
NOCOMMON             0          0                                 1410400100026 
ENDSUBENT           25          0                                 1410400199999 
SUBENT        14104002   20061027                             13421410400200001 
BIB                  2          3                                 1410400200002 
REACTION   (64-GD-158(N,G)64-GD-159,,SPC,,REL)                    1410400200003 
             Intensities normalized to the strongest transitions  1410400200004 
ERR-ANALYS (ERR-T) Total uncertainty                              1410400200005 
ENDBIB               3          0                                 1410400200006 
NOCOMMON             0          0                                 1410400200007 
DATA                 5        287                                 1410400200008 
EN         E          E-ERR      DATA       ERR-T                 1410400200009 
KEV        KEV        KEV        ARB-UNITS  ARB-UNITS             1410400200010 
 2.        5945.25      0.03      100.0      0.4                  1410400200011 
 2.        5877.79      0.08       19.7      2.7                  1410400200012 
 2.        5437.54      0.07       26.7      2.5                  1410400200013 
 2.        5386.79      0.04       53.6      0.3                  1410400200014 
 2.        5342.98      0.14       12.2      2.9                  1410400200015 
 2.        5298.83      0.23        6.3      2.3                  1410400200016 
 2.        5200.83      0.12        8.9      2.4                  1410400200017 
 2.        5163.49      0.14       10.3      2.3                  1410400200018 
 2.        5145.2       0.6         2.4      1.0                  1410400200019 
 2.        5126.6       0.6         2.5      1.2                  1410400200020 
 2.        5086.28      0.18        8.1      2.2                  1410400200021 
 2.        5065.2       0.6         2.3      1.0                  1410400200022 
 2.        5030.0       0.6         2.8      2.2                  1410400200023 
 2.        4971.14      0.12       12.8      2.6                  1410400200024 
 2.        4943.66      0.23        6.9      2.1                  1410400200025 
 2.        4884.08      0.10       18.2      2.5                  1410400200026 
 2.        4865.83      0.05       38.4      0.3                  1410400200027 
 2.        4834.94      0.08       21.5      2.8                  1410400200028 
 2.        4816.00      0.19        8.5      2.3                  1410400200029 
 2.        4804.85      0.13       13.4      2.6                  1410400200030 
 2.        4799.11      0.10       19.4      2.8                  1410400200031 
 2.        4785.8       0.6         2.5      2.1                  1410400200032 
 2.        4768.0       0.9         1.7      2.0                  1410400200033 
 2.        4660.76      1.5         7.2      2.6                  1410400200034 
 2.        4620.6       1.0         2.0      2.2                  1410400200035 
 2.        4601.9       0.6         2.6      2.3                  1410400200036 
 2.        4550.80      0.29        5.2      2.2                  1410400200037 
 2.        4544.9       0.6         2.6      2.1                  1410400200038 
 2.        4513.91      0.19        8.3      2.7                  1410400200039 
 2.        4499.2       0.7         1.7      1.2                  1410400200040 
 2.        4477.35      0.27        5.5      2.3                  1410400200041 
 2.        4466.98      0.20        8.5      2.5                  1410400200042 
 2.        4438.9       1.1         2.0      2.0                  1410400200043 
 2.        4424.28      0.15       12.3      3.2                  1410400200044 
 2.        4405.3       0.8         2.2      2.0                  1410400200045 
 2.        4399.4       0.4         3.9      2.1                  1410400200046 
 2.        4384.76      0.15       11.8      3.4                  1410400200047 
 2.        4373.26      0.17       10.7      2.8                  1410400200048 
 2.        4365.8       0.4         5.3      2.3                  1410400200049 
 2.        4360.95      0.28        6.1      2.7                  1410400200050 
 2.        4352.29      0.26        6.3      2.9                  1410400200051 
 2.        4341.90      0.13       15.6      0.3                  1410400200052 
 2.        4302.68      0.13       14.2      0.3                  1410400200053 
 2.        4288.3       0.5         2.7      2.0                  1410400200054 
 2.        4271.97      0.11       14.9      0.3                  1410400200055 
