ENTRY            12175   20240314                             150812175000    1 
SUBENT        12175001   20240314                             150812175001    1 
BIB                  8         15                                 12175001    2 
INSTITUTE  (1USAANL)                                              12175001    3 
REFERENCE  (R,ANL-6727,1963)                                      12175001    4 
           (W,SMITH,1962) Angular distribution data               12175001    5 
AUTHOR     (A.B.Smith)                                            12175001    6 
TITLE      Fast neutron scattering from Ta-181.                   12175001    7 
INC-SOURCE (P-LI7)                                                12175001    8 
METHOD     (TOF)                                                  12175001    9 
STATUS     (SCSRS)                                                12175001   10 
           (SPSDD,10631001)                                       12175001   11 
HISTORY    (19760803T) Translated from SCISRS                     12175001   12 
           (19821012A) Converted to reaction formalism            12175001   13 
           (19830401A) Data superseded.                           12175001   14 
           (20230911A) OS. REACTIONs corrected, added INC-SOURCE, 12175001   15 
            ERR-ANALYS, converted to lower and upper case         12175001   16 
           (20240314A) On. Major alterations in 002-004.          12175001   17 
ENDBIB              15          0                                 12175001   18 
COMMON               1          3                                 12175001   19 
EN-RSL                                                            12175001   20 
KEV                                                               12175001   21 
 20.                                                              12175001   22 
ENDCOMMON            3          0                                 12175001   23 
ENDSUBENT           22          0                                 1217500199999 
SUBENT        12175002   20240314                             150812175002    1 
BIB                  5          8                                 12175002    2 
REACTION   (73-TA-181(N,SCT)73-TA-181,PAR,DA)                     12175002    3 
DETECTOR   (SCIN)     Biased scintillator                         12175002    4 
MONITOR    (6-C-0(N,EL)6-C-0,,SIG)                                12175002    5 
ERR-ANALYS (DATA-ERR) No information on sources of uncertainties  12175002    6 
HISTORY    (20230911A) (N,EL) changed to (N,SCT),PAR.             12175002    7 
             COMMON added                                         12175002    8 
           (20240314A) On. DATA -> DATA-CM;                       12175002    9 
                           ERR-ANALYS moved from 001.             12175002   10 
ENDBIB               8          0                                 12175002   11 
COMMON               2          3                                 12175002   12 
LVL-NUMB   LVL-NUMB                                               12175002   13 
NO-DIM     NO-DIM                                                 12175002   14 
  0.          1.                                                  12175002   15 
ENDCOMMON            3          0                                 12175002   16 
DATA                 4        127                                 12175002   17 
EN         COS-CM     DATA-CM    DATA-ERR                         12175002   18 
MEV        NO-DIM     MB/SR      MB/SR                            12175002   19 
 5.70   -01 0.70434    8.533  +02 6.85   +01                      12175002   51 
 5.70   -01 0.49585    6.763  +02 5.37   +01                      12175002   52 
 5.70   -01 0.25366    4.786  +02 3.79   +01                      12175002   53 
 5.70   -01-0.0055     3.700  +02 3.00   +01                      12175002   54 
 5.70   -01-0.2640     2.989  +02 2.41   +01                      12175002   55 
 5.70   -01-0.5041     3.087  +02 2.51   +01                      12175002   56 
 5.70   -01-0.7099     3.326  +02 2.62   +01                      12175002   57 
 5.70   -01-0.8674     3.736  +02 3.03   +01                      12175002   58 
 6.00   -01 0.86464    1.119  +03 8.9    +01                      12175002   59 
 6.00   -01 0.70434    9.228  +02 7.34   +01                      12175002   60 
 6.00   -01 0.49585    5.271  +02 4.18   +01                      12175002   61 
 6.00   -01 0.25866    3.590  +02 2.89   +01                      12175002   62 
 6.00   -01-0.0055     3.000  +02 2.40   +01                      12175002   63 
 6.00   -01-0.2640     2.176  +02 1.71   +01                      12175002   64 
 6.00   -01-0.5041     2.242  +02 1.81   +01                      12175002   65 
 6.00   -01-0.7099     2.419  +02 1.92   +01                      12175002   66 
 6.00   -01-0.8210     2.422  +02 1.92   +01                      12175002   67 
 6.50   -01 0.93287    1.485  +03 1.18   +02                      12175002   68 
 6.50   -01 0.86464    1.307  +03 1.09   +02                      12175002   69 
 6.50   -01 0.70434    9.525  +02 7.64   +01                      12175002   70 
 6.50   -01 0.49585    6.265  +02 4.97   +01                      12175002   71 
 6.50   -01 0.33714    4.583  +02 3.69   +01                      12175002   72 
 6.50   -01-0.0055     2.750  +02 2.20   +01                      12175002   73 
 6.50   -01-0.2640     2.156  +02 1.71   +01                      12175002   74 
 6.50   -01-0.5041     1.961  +02 1.61   +01                      12175002   75 
 6.50   -01-0.7099     2.117  +02 1.71   +01                      12175002   76 
 6.50   -01-0.7901     2.018  +02 1.61   +01                      12175002   77 
 6.70   -01 0.93287    1.316  +03 1.09   +02                      12175002   78 
 6.70   -01 0.86464    1.149  +03 8.9    +01                      12175002   79 
 6.70   -01 0.70434    8.335  +02 6.65   +01                      12175002   80 
 6.70   -01 0.49585    5.669  +02 4.58   +01                      12175002   81 
 6.70   -01 0.25366    3.689  +02 2.99   +01                      12175002   82 
 6.70   -01-0.0055     2.600  +02 2.10   +01                      12175002   83 
 6.70   -01-0.2640     1.986  +02 1.61   +01                      12175002   84 
 6.70   -01-0.5041     1.850  +02 1.51   +01                      12175002   85 
 6.70   -01-0.7099     1.905  +02 1.51   +01                      12175002   86 
 6.70   -01-0.7901     1.977  +02 1.61   +01                      12175002   87 
 7.20   -01 0.93287    1.128  +03 8.9    +01                      12175002   88 
 7.20   -01 0.86464    1.020  +03 7.9    +01                      12175002   89 
 7.20   -01 0.70434    7.938  +02 6.35   +01                      12175002   90 
 7.20   -01 0.49585    5.271  +02 4.18   +01                      12175002   91 
 7.20   -01 0.25366    3.291  +02 2.59   +01                      12175002   92 
 7.20   -01-0.0055     2.150  +02 1.70   +01                      12175002   93 
 7.20   -01-0.2640     1.845  +02 1.50   +01                      12175002   94 
 7.20   -01-0.5041     1.840  +02 1.51   +01                      12175002   95 
 7.20   -01-0.7099     1.764  +02 1.41   +01                      12175002   96 
 7.20   -01-0.8006     2.078  +02 1.61   +01                      12175002   97 
 7.70   -01 0.93287    1.336  +03 1.09   +02                      12175002   98 
 7.70   -01 0.86464    1.060  +03 8.9    +01                      12175002   99 
 7.70   -01 0.70434    7.243  +02 5.76   +01                      12175002  100 
 7.70   -01 0.49585    4.973  +02 3.98   +01                      12175002  101 
 7.70   -01 0.25366    3.191  +02 2.59   +01                      12175002  102 
 7.70   -01-0.0055     1.900  +02 1.50   +01                      12175002  103 
 7.70   -01-0.2640     1.504  +02 1.20   +01                      12175002  104 
 7.70   -01-0.5041     1.508  +02 1.21   +01                      12175002  105 
 7.70   -01-0.7099     1.542  +02 1.21   +01                      12175002  106 
 7.70   -01-0.7901     1.654  +02 1.31   +01                      12175002  107 
 8.70   -01 0.93287    1.445  +03 1.18   +02                      12175002  108 
 8.70   -01 0.86464    1.238  +03 9.9    +01                      12175002  109 
 8.70   -01 0.70434    9.228  +02 7.34   +01                      12175002  110 
 8.70   -01 0.49585    5.072  +02 4.08   +01                      12175002  111 
 8.70   -01 0.25366    2.991  +02 2.39   +01                      12175002  112 
 8.70   -01-0.0055     1.700  +02 1.40   +01                      12175002  113 
 8.70   -01-0.2640     1.454  +02 1.20   +01                      12175002  114 
 8.70   -01-0.5041     1.549  +02 1.21   +01                      12175002  115 
 8.70   -01-0.7901     1.745  +02 1.41   +01                      12175002  116 
 9.50   -01 0.86464    1.149  +03 8.9    +01                      12175002  117 
 9.50   -01 0.70434    8.037  +02 6.45   +01                      12175002  118 
