ENTRY            14794   20221121                             150514794000    1 
SUBENT        14794001   20221121                             150514794001    1 
BIB                 10         27                                 14794001    2 
TITLE      Unifying measurement of 239Pu(n,g) in the keV to MeV   14794001    3 
           energy regime                                          14794001    4 
AUTHOR     (S.Mosby,T.A.Bredeweg,A.Couture,M.Jandel,T.Kawano,     14794001    5 
           J.L.Ullmann,R.A.Henderson,C.Y.Wu)                      14794001    6 
INSTITUTE  (1USALAS,1USALRL)                                      14794001    7 
REFERENCE  (J,PR/C,97,041601,2018)                                14794001    8 
           (J,NDS,148,312,2018)                                   14794001    9 
FACILITY   (LINAC,1USALAS) Experiment performed at the the Manuel 14794001   10 
           Lujan Jr. Neutron Scattering Center at the Los Alamos  14794001   11 
           Neutron Science Center                                 14794001   12 
SAMPLE     Two samples of 239Pu were used. Thin sample (approx.   14794001   13 
           1 mg of 239Pu) was measured in a parallel plate        14794001   14 
           avalanche counter to measure capture cross section.    14794001   15 
           A second target with mass of 50 mg of 239Pu was        14794001   16 
           measured to achieve good statistics at higher energies.14794001   17 
           Scattered neutron background was measured using 208Pb  14794001   18 
           target with Ni foils on both sides to represent thick  14794001   19 
            (200 mg/cm2) cladding which surrounded the 239Pu.     14794001   20 
DETECTOR   (BAF2) Gamma rays were detected using DANCE array,     14794001   21 
           consisting of 160 BaF2 crystals covering the whole     14794001   22 
           4Pi solid angle. DANCE is located on the 20 m neutron  14794001   23 
           flight path 14. Coincidence window was set to 6 ns.    14794001   24 
INC-SOURCE (SPALL) Neutrons were produced by spallation reaction  14794001   25 
           of 800 MeV protons on tungsten target                  14794001   26 
METHOD     (TOF) Incident neutron energy was determined by        14794001   27 
           time of flight                                         14794001   28 
HISTORY    (20221008C) Compiled by S.H.                           14794001   29 
ENDBIB              27          0                                 14794001   30 
NOCOMMON             0          0                                 14794001   31 
ENDSUBENT           30          0                                 1479400199999 
SUBENT        14794002   20221008                             150514794002    1 
BIB                  3          6                                 14794002    2 
REACTION   (94-PU-239(N,G)94-PU-240,,SIG)                         14794002    3 
ERR-ANALYS (DATA-ERR) Origin of uncertainties not described       14794002    4 
           At all incident neutron energies, systematic           14794002    5 
           uncertainty from the background subtraction is the     14794002    6 
           dominant source of uncertainty.                        14794002    7 
STATUS     (TABLE)  Table 1 of J,NDS,148,312,2018                 14794002    8 
ENDBIB               6          0                                 14794002    9 
NOCOMMON             0          0                                 14794002   10 
DATA                 5         61                                 14794002   11 
EN-MIN     EN-MAX     DATA       +DATA-ERR  -DATA-ERR             14794002   12 
199.       223.       0.189        7.0       11.9                 14794002   58 
223.       251.       0.174        7.3       12.8                 14794002   59 
251.       281.       0.159        7.6       13.9                 14794002   60 
281.       316.       0.156        8.1       15.2                 14794002   61 
316.       354.       0.133        8.6       16.7                 14794002   62 
354.       398.       0.131        9.2       18.3                 14794002   63 
398.       446.       0.126        10.0      20.2                 14794002   64 
446.       501.       0.113        10.8      22.3                 14794002   65 
501.       562.       0.099        11.7      24.7                 14794002   66 
562.       630.       0.094        12.6      27.3                 14794002   67 
630.       707.       0.078        13.7      30.3                 14794002   68 
707.       794.       0.081        14.7      33.4                 14794002   69 
794.       891.       0.053        16.8      37.5                 14794002   70 
891.       1000.      0.052        18.2      41.6                 14794002   71 
1000.      1122.      0.042        20.8      46.6                 14794002   72 
1122.      1258.      0.029        24.8      52.8                 14794002   73 
1258.      1412.      0.028        26.5      58.5                 14794002   74 
ENDDATA             63          0                                 14794002   75 
ENDSUBENT           74          0                                 1479400299999 
ENDENTRY             2          0                                 1479499999999 
