ENTRY            10976   20030529                             00001097600000001 
SUBENT        10976001   20030529                             00001097600100001 
BIB                 12         29                                 1097600100002 
INSTITUTE  (1USAORL)                                              1097600100003 
REFERENCE  (J,NSE,61,337,197611)                                  1097600100004 
           (R,ORNL-TM-5241,197602)                                1097600100005 
AUTHOR     (G.L.Morgan,F.G.Perey)                                 1097600100006 
TITLE      Cross sections for the Al(n,xn) and Al(n,x-gamma)      1097600100007 
            reactions between 1 and 20 MeV                        1097600100008 
FACILITY   (LINAC) Oak Ridge Electron Linear Accelerator          1097600100009 
SAMPLE     1132-grams of aluminum, better than 99% pure, shaped   1097600100010 
            in annular ring, 25-cm outer diameter, 15-cm inner    1097600100011 
            diameter, 1.3-cm thick.                               1097600100012 
METHOD     (TOF) Time of flight used to determine incident neutron1097600100013 
            energy and flux. Sample and shadow bar were removed   1097600100014 
            for this measurement. Sample placed 37.7-meters from  1097600100015 
            neutron source. Pulse shape discrimination used to    1097600100016 
            separate neutron and gamma events. Background         1097600100017 
            measurements made with sample removed.                1097600100018 
DETECTOR   (SCIN) NE-213 scintillator with shadow bar placed on   1097600100019 
            samples ring axis.                                    1097600100020 
           Plastic scintillator placed on edge of incident neutron1097600100021 
            beam 30-meters from source for normalization of data. 1097600100022 
CORRECTION Data corrected only for gamma-ray self-absorption.     1097600100023 
ERR-ANALYS (ERR-S) Statistical errors, which include contributions1097600100024 
            due to background.                                    1097600100025 
           Uncertainty due to overall normalization about 10%.    1097600100026 
STATUS     (APRVD) Approved by G.L.Morgan, 1982/3/12.             1097600100027 
HISTORY    (19810908C)                                            1097600100028 
           (19830330U) Reference corrected.                       1097600100029 
           (20030529A) Reactions corrected. Converted to new date 1097600100030 
                       formats, lower case.                       1097600100031 
ENDBIB              29          0                                 1097600100032 
COMMON               1          3                                 1097600100033 
ANG                                                               1097600100034 
ADEG                                                              1097600100035 
 127.                                                             1097600100036 
ENDCOMMON            3          0                                 1097600100037 
ENDSUBENT           36          0                                 1097600199999 
SUBENT        10976002   20030529                             00001097600200001 
BIB                  1          1                                 1097600200002 
REACTION   (13-AL-27(N,X)0-NN-1,,DA/DE)                           1097600200003 
ENDBIB               1          0                                 1097600200004 
NOCOMMON             0          0                                 1097600200005 
DATA                 5        542                                 1097600200006 
EN-MIN     EN-MAX     E          DATA       ERR-S                 1097600200007 
MEV        MEV        MEV        MB/SR/MEV  MB/SR/MEV             1097600200008 
  1.00       1.25       0.811     199.62     2.50                 1097600200009 
  1.00       1.25       0.907     353.25     1.11                 1097600200010 
  1.00       1.25       1.007     351.79     0.71                 1097600200011 
  1.00       1.25       1.107     223.68     0.52                 1097600200012 
  1.00       1.25       1.205     103.19     0.34                 1097600200013 
  1.00       1.25       1.310      34.05     0.21                 1097600200014 
  1.00       1.25       1.412       9.31     0.13                 1097600200015 
  1.25       1.50       0.811       7.64     2.32                 1097600200016 
  1.25       1.50       0.907      43.16     1.15                 1097600200017 
  1.25       1.50       1.007     140.37     0.98                 1097600200018 
  1.25       1.50       1.107     247.36     0.83                 1097600200019 
  1.25       1.50       1.205     266.63     0.66                 1097600200020 
  1.25       1.50       1.310     191.87     0.51                 1097600200021 
  1.25       1.50       1.412     101.38     0.38                 1097600200022 
  1.25       1.50       1.511      42.95     0.25                 1097600200023 
  1.25       1.50       1.610      14.87     0.16                 1097600200024 
  1.25       1.50       1.709       4.13     0.11                 1097600200025 
  1.50       1.75       0.811       2.84     1.97                 1097600200026 
  1.50       1.75       0.907       2.62     1.07                 1097600200027 
  1.50       1.75       1.007       9.29     1.02                 1097600200028 
  1.50       1.75       1.107      46.64     0.97                 1097600200029 
  1.50       1.75       1.205     129.22     0.86                 1097600200030 
  1.50       1.75       1.310     219.11     0.77                 1097600200031 
  1.50       1.75       1.412     237.68     0.63                 1097600200032 
  1.50       1.75       1.511     187.00     0.50                 1097600200033 
  1.50       1.75       1.610     114.36     0.38                 1097600200034 
  1.50       1.75       1.709      56.95     0.26                 1097600200035 
  1.50       1.75       1.813      22.95     0.18                 1097600200036 
  1.50       1.75       1.932       6.35     0.12                 1097600200037 
  1.50       1.75       2.100       0.48     0.08                 1097600200038 
  1.75       2.00       0.811      39.19     1.84                 1097600200039 
  1.75       2.00       0.907      27.28     1.02                 1097600200040 
  1.75       2.00       1.007      12.61     0.99                 1097600200041 
  1.75       2.00       1.107       5.83     1.01                 1097600200042 
  1.75       2.00       1.205      11.58     0.96                 1097600200043 
  1.75       2.00       1.310      42.21     0.95                 1097600200044 
  1.75       2.00       1.412     103.96     0.85                 1097600200045 
  1.75       2.00       1.511     169.74     0.74                 1097600200046 
  1.75       2.00       1.610     197.59     0.62                 1097600200047 
