ENTRY            14831   20240822                             15141483100000001 
SUBENT        14831001   20240822                             15141483100100001 
BIB                 10         15                                 1483100100002 
TITLE      Neutron capture cross section of 83Kr                  1483100100003 
AUTHOR     (S.Fiebiger,B.Baramsai,A.Couture,M.Krticka,Sh.Mosby,   1483100100004 
           J.O'Donnell,R.Reifarth,G.Rusev,J.Ullmann,M.Weigand,    1483100100005 
           C.Wolf)                                                1483100100006 
REFERENCE  (J,EPJ/A,59,36,2023)                                   1483100100007 
           #doi:10.1140/epja/s10050-023-00945-5                   1483100100008 
INSTITUTE  (2GERFRK,1USALAS,3CZRCHU,1USANOT)                      1483100100009 
FACILITY   (LINAC,1USALAS) Lujan Neutron Scattering Center at     1483100100010 
           LANL.                                                  1483100100011 
ERR-ANALYS (ERR-S) Statistical uncertaities.                      1483100100012 
           (ERR-SYS)  No details on sources of uncertaities.      1483100100013 
MONITOR    (79-AU-197(N,G)79-AU-198,,SIG)                         1483100100014 
MONIT-REF  ((MONIT),M.B.Chadwick+,J,NDS,112,2887,2011)            1483100100015 
STATUS     (APRVD) Approved by R.Reifarth on August 22, 2024.     1483100100016 
HISTORY    (20240822C) BP                                         1483100100017 
ENDBIB              15          0                                 1483100100018 
NOCOMMON             0          0                                 1483100100019 
ENDSUBENT           18          0                                 1483100199999 
SUBENT        14831002   20240822                             15141483100200001 
BIB                  6         24                                 1483100200002 
REACTION   ((36-KR-83(N,G)36-KR-84,,SIG)/                         1483100200003 
           (79-AU-197(N,G)79-AU-198,,SIG))                        1483100200004 
DETECTOR   (D4PI) The 4piBaF2 Detector for Advanced Neutron       1483100200005 
           Capture Experiments (DANCE).                           1483100200006 
SAMPLE     (36-KR-83,ENR=0.99933) The total amount of gas in the  1483100200007 
           sphere was 26.12+-0.01 mg at a pressure of 13.79 bar.  1483100200008 
METHOD     (TOF) To measure an energy depended cross section the  1483100200009 
           time of flight method was employed, which uses the     1483100200010 
           neutron flight time between production at the          1483100200011 
           spallation target and the (n,gamma)-reaction in the    1483100200012 
           detector. With a flight path of 20.28 m it is          1483100200013 
           possible to determine the neutron energy of a          1483100200014 
           reaction. To account for the high count rates in the   1483100200015 
           resonances at 28 eV and 229 eV the sample was          1483100200016 
           measured twice. The 40 microA measurement reduced      1483100200017 
           pile-up in those resonances while the second 100       1483100200018 
           microA measurement collected enough statistics in the  1483100200019 
           in regions between the resonances. Both measurements   1483100200020 
           were then combined.                                    1483100200021 
CORRECTION To correct for effects of scattering and absorption    1483100200022 
           in the sample Monte Carlo simulations were performed   1483100200023 
           using the evaluated capture and elastic scatter cross  1483100200024 
           sections.                                              1483100200025 
STATUS     (TABLE,,S.Fiebiger+,J,EPJ/A,59,36,2023) Author's data. 1483100200026 
ENDBIB              24          0                                 1483100200027 
NOCOMMON             0          0                                 1483100200028 
DATA                 5        206                                 1483100200029 
EN-MIN     EN-MAX     DATA       ERR-S      ERR-SYS               1483100200030 
KEV        KEV        NO-DIM     NO-DIM     NO-DIM                1483100200031 
   2.605E-5   2.717E-5      3.305      0.027      0.211           1483100200032 
   2.717E-5   2.839E-5      3.305      0.027      0.211           1483100200033 
   2.839E-5   2.973E-5      3.313      0.027      0.212           1483100200034 
   2.973E-5   3.113E-5      3.225      0.026      0.206           1483100200035 
   3.113E-5   3.259E-5      3.224      0.026      0.206           1483100200036 
   3.259E-5   3.413E-5      3.237      0.026      0.207           1483100200037 
   3.413E-5   3.574E-5      3.217      0.026      0.206           1483100200038 
   3.574E-5   3.742E-5      3.261      0.026      0.208           1483100200039 
   3.742E-5   3.919E-5       3.17      0.025      0.203           1483100200040 
   3.919E-5   4.104E-5      3.144      0.025      0.201           1483100200041 
   4.104E-5   4.297E-5      3.118      0.025      0.199           1483100200042 
   4.297E-5   4.499E-5      3.093      0.025      0.198           1483100200043 
   4.499E-5   4.711E-5      3.032      0.025      0.194           1483100200044 
   4.711E-5   4.933E-5      3.008      0.025      0.192           1483100200045 
   4.933E-5   5.166E-5       2.97      0.025       0.19           1483100200046 
   5.166E-5   5.409E-5       2.95      0.025      0.189           1483100200047 
   5.409E-5   5.664E-5      2.914      0.025      0.186           1483100200048 
   5.664E-5   5.931E-5      2.837      0.025      0.181           1483100200049 
   5.931E-5   6.210E-5      2.879      0.026      0.184           1483100200050 
   6.210E-5   6.503E-5      2.764      0.026      0.177           1483100200051 
   6.503E-5   6.810E-5      2.763      0.026      0.177           1483100200052 
   6.810E-5   7.131E-5       2.73      0.027      0.174           1483100200053 
   7.131E-5   7.467E-5      2.755      0.027      0.176           1483100200054 
   7.467E-5   7.818E-5       2.69      0.028      0.172           1483100200055 
   7.818E-5   8.187E-5      2.673      0.029      0.171           1483100200056 
   8.187E-5   8.573E-5      2.647       0.03      0.169           1483100200057 
   8.573E-5   8.977E-5      2.565       0.03      0.164           1483100200058 
   8.977E-5   9.400E-5      2.556      0.031      0.163           1483100200059 
   9.400E-5   9.843E-5      2.548      0.033      0.163           1483100200060 
   9.843E-5   1.031E-4      2.525      0.034      0.161           1483100200061 
   1.031E-4   1.079E-4      2.555      0.036      0.163           1483100200062 
   1.079E-4   1.130E-4       2.47      0.037      0.158           1483100200063 
   1.130E-4   1.184E-4      2.521      0.039      0.161           1483100200064 
   1.184E-4   1.240E-4      2.443      0.041      0.156           1483100200065 
   1.240E-4   1.298E-4      2.423      0.043      0.155           1483100200066 
   1.298E-4   1.359E-4      2.436      0.045      0.156           1483100200067 
   1.359E-4   1.423E-4      2.417      0.047      0.154           1483100200068 
   1.423E-4   1.490E-4      2.466      0.051      0.158           1483100200069 
   1.490E-4   1.560E-4      2.381      0.052      0.152           1483100200070 
   1.560E-4   1.634E-4      2.438      0.056      0.156           1483100200071 
   1.634E-4   1.711E-4      2.414      0.058      0.154           1483100200072 
   1.711E-4   1.791E-4      2.474      0.061      0.158           1483100200073 
   1.791E-4   1.876E-4      2.236      0.061      0.143           1483100200074 
   1.876E-4   1.964E-4      2.414      0.066      0.154           1483100200075 
   1.964E-4   2.057E-4      2.364      0.067      0.151           1483100200076 
   2.057E-4   2.154E-4       2.45      0.071      0.157           1483100200077 
   2.154E-4   2.255E-4      2.319      0.071      0.148           1483100200078 
   2.255E-4   2.361E-4      2.373      0.074      0.152           1483100200079 
   2.361E-4   2.472E-4      2.242      0.073      0.143           1483100200080 
   2.472E-4   2.589E-4      2.298      0.075      0.147           1483100200081 
   2.589E-4   2.711E-4      2.324      0.077      0.149           1483100200082 
   2.711E-4   2.839E-4       2.06      0.073      0.132           1483100200083 
   2.839E-4   2.973E-4      2.148      0.077      0.137           1483100200084 
   2.973E-4   3.113E-4      2.233       0.08      0.143           1483100200085 
   3.113E-4   3.259E-4      2.239       0.08      0.143           1483100200086 
   3.259E-4   3.413E-4      2.063      0.078      0.132           1483100200087 
   3.413E-4   3.574E-4      2.249      0.082      0.144           1483100200088 
   3.574E-4   3.742E-4      2.063       0.08      0.132           1483100200089 
   3.742E-4   3.919E-4      2.266      0.084      0.145           1483100200090 
   3.919E-4   4.104E-4      2.123      0.082      0.136           1483100200091 
   4.104E-4   4.297E-4      2.077      0.082      0.133           1483100200092 
   4.297E-4   4.499E-4      1.962       0.08      0.125           1483100200093 
   4.499E-4   4.711E-4      2.131      0.086      0.136           1483100200094 
   4.711E-4   4.933E-4      2.025      0.085      0.129           1483100200095 
   4.933E-4   5.166E-4      1.876      0.082       0.12           1483100200096 
   5.166E-4   5.409E-4      2.003      0.086      0.128           1483100200097 
   5.409E-4   5.664E-4      1.911      0.085      0.122           1483100200098 
   5.664E-4   5.931E-4      1.818      0.083      0.116           1483100200099 
   5.931E-4   6.210E-4      1.861      0.086      0.119           1483100200100 
   6.210E-4   6.503E-4      1.781      0.084      0.114           1483100200101 
   6.503E-4   6.842E-4      1.764      0.085      0.113           1483100200102 
   6.842E-4   7.222E-4      1.778      0.086      0.114           1483100200103 
   7.222E-4   7.660E-4      1.477      0.054      0.094           1483100200104 
   7.660E-4   8.289E-4        1.6      0.058      0.102           1483100200105 
   8.289E-4   9.088E-4      1.513      0.056      0.097           1483100200106 
   9.088E-4   9.963E-4      1.463      0.058      0.093           1483100200107 
   9.963E-4   1.093E-3      1.419      0.056      0.091           1483100200108 
   1.093E-3   1.198E-3      1.106      0.046      0.071           1483100200109 
   1.198E-3   1.314E-3      1.173      0.052      0.075           1483100200110 
   1.314E-3   1.441E-3      1.074      0.048      0.069           1483100200111 
   1.441E-3   1.580E-3      0.948      0.045      0.061           1483100200112 
   1.580E-3   1.742E-3      0.861      0.042      0.055           1483100200113 
