ENTRY            12930   19901019                             00001293000000001 
SUBENT        12930001   19901019                             00001293000100001 
BIB                 12         19                                 1293000100002 
INSTITUTE  (1USATNL)                                              1293000100003 
REFERENCE  (J,NP/A,438,187,8505)                                  1293000100004 
AUTHOR     (P.P.GUSS,R.C.BYRD,C.E.FLOYD,C.R.HOWELL,K.MURPHY,      1293000100005 
           G.TUNGATE,R.S.PEDRONI,R.L.WALTER,J.P.DELAROCHE,        1293000100006 
           T.B.CLEGG)                                             1293000100007 
TITLE      CROSS SECTIONS AND ANALYZING POWERS FOR FAST NEUTRON   1293000100008 
           SCATTERING TO THE GROUND AND FIRST EXCITED STATES OF   1293000100009 
           58NI AND 60NI.                                         1293000100010 
FACILITY   (VDGT)                                                 1293000100011 
INC-SOURCE (D-D) AT 0 DEGREES. BEAM POLARIZATION UNKNOWN.         1293000100012 
METHOD     (TOF) VERSUS DEUTERON RECOIL ENERGY                    1293000100013 
DETECTOR   (SCIN) NE 213 LIQUID SCINTILLATORS                     1293000100014 
CORRECTION CORRECTED FOR FINITE GEOMETRY AND MULTIPLE SCATTERING  1293000100015 
            USING MONTE CARLO TECHNIQUES.                         1293000100016 
MONITOR    (1-H-1(N,EL)1-H-1,,SIG)                                1293000100017 
STATUS     NO REPLY TO AUTHOR PROOF.                              1293000100018 
HISTORY    (860206C)                                              1293000100019 
           (870114A) BIB UPDATE.                                  1293000100020 
           (901019U) BIB UPDATE                                   1293000100021 
ENDBIB              19          0                                 1293000100022 
NOCOMMON             0          0                                 1293000100023 
ENDSUBENT           22          0                                 1293000199999 
SUBENT        12930002   19860402                             00001293000200001 
BIB                  4          6                                 1293000200002 
REACTION   (28-NI-58(N,EL)28-NI-58,,DA)                           1293000200003 
SAMPLE     CYLINDRICAL SAMPLE, 1.6 CM IN DIAMETER, AND            1293000200004 
           2.4 CM IN HEIGHT. ENRICHED TO 99.93 PERCENT.           1293000200005 
ERR-ANALYS OVERALL UNCERTAINTY, EXCEPT FOR A 5 PERCENT            1293000200006 
           NORMALIZATION UNCERTAINTY.                             1293000200007 
STATUS     DATA TAKEN FROM PRIVATE COMM., W.TORNOW, 85/11/10      1293000200008 
ENDBIB               6          0                                 1293000200009 
NOCOMMON             0          0                                 1293000200010 
DATA                 5        105                                 1293000200011 
EN         EN-ERR     ANG-CM     DATA       DATA-ERR              1293000200012 
MEV        MEV        ADEG       MB/SR      MB/SR                 1293000200013 
 7.904      0.19        25.07     1015.98     26.26               1293000200014 
 7.904      0.19        29.97      726.57     30.44               1293000200015 
 7.904      0.19        34.87      366.44     11.39               1293000200016 
 7.904      0.19        39.72      250.22     11.43               1293000200017 
 7.904      0.19        44.48      119.49      7.08               1293000200018 
 7.904      0.19        49.03       44.68      3.71               1293000200019 
 7.904      0.19        53.53       14.27      1.80               1293000200020 
 7.904      0.19        62.08        5.16      1.01               1293000200021 
 7.904      0.19        66.75       14.78      2.02               1293000200022 
 7.904      0.19        71.12       18.29      0.82               1293000200023 
 7.904      0.19        75.82       21.13      0.79               1293000200024 
 7.904      0.19        80.72       21.71      0.85               1293000200025 
 7.904      0.19        81.71       21.18      0.77               1293000200026 
 7.904      0.19        85.70       22.78      0.94               1293000200027 
 7.904      0.19        90.65       20.01      0.66               1293000200028 
 7.904      0.19        95.52       17.58      0.74               1293000200029 
 7.904      0.19       100.35       14.64      0.73               1293000200030 
 7.904      0.19       105.22       12.57      0.70               1293000200031 
 7.904      0.19       110.22        7.83      0.49               1293000200032 
 7.904      0.19       115.31        6.29      0.46               1293000200033 
 7.904      0.19       120.26        4.49      0.45               1293000200034 
 7.904      0.19       125.00        3.44      0.46               1293000200035 
 7.904      0.19       129.88        2.27      0.36               1293000200036 
 7.904      0.19       135.74        2.03      0.27               1293000200037 
 7.904      0.19       141.20        4.70      0.42               1293000200038 
 7.904      0.19       145.87        7.21      0.62               1293000200039 
 7.904      0.19       150.47       11.95      0.62               1293000200040 
 7.904      0.19       153.26       12.47      0.77               1293000200041 
 7.904      0.19       156.07       15.90      1.01               1293000200042 
 9.958      0.14        24.99      992.98     35.28               1293000200043 
 9.958      0.14        29.83      589.98     22.97               1293000200044 
 9.958      0.14        34.66      326.97     14.80               1293000200045 
 9.958      0.14        39.47      149.22      7.66               1293000200046 
 9.958      0.14        44.22       70.03      5.74               1293000200047 
 9.958      0.14        48.86       19.05      1.76               1293000200048 
 9.958      0.14        53.91        4.70      1.27               1293000200049 
 9.958      0.14        61.76        3.07      0.49               1293000200050 
 9.958      0.14        71.29        9.10      0.79               1293000200051 
 9.958      0.14        80.93       13.84      0.68               1293000200052 
 9.958      0.14        90.73       17.49      0.81               1293000200053 
 9.958      0.14        95.62       15.31      0.62               1293000200054 
 9.958      0.14       100.47       13.21      0.63               1293000200055 
 9.958      0.14       105.31       12.34      0.72               1293000200056 
 9.958      0.14       115.08        5.56      0.38               1293000200057 
 9.958      0.14       125.61        3.41      0.49               1293000200058 
 9.958      0.14       135.65        5.78      0.46               1293000200059 
 9.958      0.14       140.54        7.76      0.63               1293000200060 
 9.958      0.14       145.44        8.31      0.72               1293000200061 
 9.958      0.14       150.32       10.38      0.73               1293000200062 
 9.958      0.14       155.14       12.82      0.68               1293000200063 
 11.952     0.12        24.84      776.96     33.96               1293000200064 
