ENTRY            13834   20020501                             00001383400000001 
SUBENT        13834001   20020501                             00001383400100001 
BIB                 14         32                                 1383400100002 
INSTITUTE  (1USAANL)                                              1383400100003 
REFERENCE  (C,69STUDSVIK,,389,196908))                            1383400100004 
AUTHOR     (H.H.Bolotin,D.A.McClure)                              1383400100005 
TITLE      Level Structure of Low-Lying Excited States of 187W.   1383400100006 
FACILITY   (REAC) Argonne CP-5 research reactor. External-beam    1383400100007 
            facility employed.                                    1383400100008 
INC-SOURCE (THCOL) Highly collimated external beam of thermal     1383400100009 
            neutrons, (height ~2 cm, width ~0.5 cm, thermal flux  1383400100010 
            ~5E7 neutrons/cm2/s) effectively free of fast         1383400100011 
            neutrons and pile gamma rays, extracted from a        1383400100012 
            modified thermal-column at the CP-5 reactor.          1383400100013 
INC-SPECT  Thermal spectrum (cadmium ratio ~570).                 1383400100014 
SAMPLE     Targets consisted of pressed cylindrical pellets of    1383400100015 
            of WO3 enriched to 97.2% in 186W and contained in     1383400100016 
            thin-walled (4.5 mg/cm2) aluminum holders.            1383400100017 
DETECTOR   (GELI) Two coaxially drifted Ge(Li) detectors (active  1383400100018 
            volumes ~20 and ~30 cm3) mounted at 180 deg to        1383400100019 
            each other and positioned 2.5 cm from the beam axis.  1383400100020 
            Energy resolution of both detectors ~2.7 keV at 1.33  1383400100021 
            MeV. The detectors shielded from scattered neutrons by1383400100022 
            thin (0.25 cm thick) 6LiF disks.                      1383400100023 
METHOD     Study of the primary and secondary transitions in W187 1383400100024 
            USING singles and coincidence gamma-ray techniques.   1383400100025 
MONITOR    Intensities relative to intensity of 145.7-keV         1383400100026 
            transition, taken as 100.                             1383400100027 
ERR-ANALYS (E-ERR) Uncertainties in gamma-ray energies.           1383400100028 
           (DATA-ERR1) Upper limit of the uncertainties in line   1383400100029 
            intensities.                                          1383400100030 
           (DATA-ERR2) Lower limit of the uncertainties in line   1383400100031 
            intensities.                                          1383400100032 
STATUS     Data taken from Table I of reference.                  1383400100033 
HISTORY    (20020417C) IS                                         1383400100034 
ENDBIB              32          0                                 1383400100035 
COMMON               1          3                                 1383400100036 
EN-DUMMY                                                          1383400100037 
EV                                                                1383400100038 
0.0253                                                            1383400100039 
ENDCOMMON            3          0                                 1383400100040 
ENDSUBENT           39          0                                 1383400199999 
SUBENT        13834002   20020501                             00001383400200001 
BIB                  1          1                                 1383400200002 
REACTION   (74-W-186(N,G)74-W-187,,SPC,,REL/MXW)                  1383400200003 
ENDBIB               1          0                                 1383400200004 
NOCOMMON             0          0                                 1383400200005 
DATA                 5        124                                 1383400200006 
E          E-ERR      DATA       DATA-ERR1  DATA-ERR2             1383400200007 
KEV        KEV        ARB-UNITS  PER-CENT   PER-CENT              1383400200008 
 101.8     0.2          1.4        20.        10.                 1383400200009 
 124.3     0.4          5.4        20.        10.                 1383400200010 
 127.7     0.2         12.3        10.         5.                 1383400200011 
 139.8     0.6          4.2        20.        10.                 1383400200012 
 145.7     0.1        100.         10.         5.                 1383400200013 
 149.0     0.4          4.1        20.        10.                 1383400200014 
 157.4     0.2          3.6        20.        10.                 1383400200015 
 171.6     0.2          1.7        20.        10.                 1383400200016 
 175.1     0.8          0.8        20.        10.                 1383400200017 
 198.2     0.4          3.0        20.        10.                 1383400200018 
 201.4     0.1         51.6        10.         5.                 1383400200019 
 204.9     0.3         23.0        10.         5.                 1383400200020 
 219.0     0.5          1.0        20.        10.                 1383400200021 
 225.9     0.2         13.6        10.         5.                 1383400200022 
 227.4     0.6          2.6        20.        10.                 1383400200023 
 250.7     0.8          0.7        20.        10.                 1383400200024 
 253.4     0.2          6.0        20.        10.                 1383400200025 
 273.0     0.1         51.8        10.         5.                 1383400200026 
 276.3     0.6          2.5        20.        10.                 1383400200027 
 287.0     0.3          1.6        20.        10.                 1383400200028 
 289.9     0.1         11.6        10.         5.                 1383400200029 
 294.3     0.3          1.0        20.        10.                 1383400200030 
 303.3     0.1         10.4        10.         5.                 1383400200031 
 330.7     0.3          3.1        20.        10.                 1383400200032 
 337.7     0.6          1.1        20.        10.                 1383400200033 
 354.8     0.2          6.2        20.        10.                 1383400200034 
 376.7     0.1          8.8        20.        10.                 1383400200035 
 390.6     0.4          2.7        20.        10.                 1383400200036 
 423.9     0.2          9.0        20.        10.                 1383400200037 
 428.1     0.2          2.9        20.        10.                 1383400200038 
 466.0     0.5          2.6        20.        10.                 1383400200039 
 469.0     0.6          2.3        20.        10.                 1383400200040 
 474.0     0.1         12.0        10.         5.                 1383400200041 
 489.4     0.3          1.9        20.        10.                 1383400200042 
 495.0     0.4          2.8        20.        10.                 1383400200043 
 500.0     0.2          8.6        20.        10.                 1383400200044 
 528.0     0.3          5.7        20.        10.                 1383400200045 
 531.3     0.3          9.2        20.        10.                 1383400200046 
 533.3     0.6          3.5        20.        10.                 1383400200047 
 541.1     0.4          3.5        20.        10.                 1383400200048 
 546.3     0.7          2.8        20.        10.                 1383400200049 
 548.0     0.8          3.8        20.        10.                 1383400200050 
 557.2     0.1         23.4        10.         5.                 1383400200051 
 566.7     0.6          2.2        20.        10.                 1383400200052 
 574.2     0.9          2.3        20.        10.                 1383400200053 
 577.3     0.1         36.8        10.         5.                 1383400200054 
 580.9     0.8          1.9        20.        10.                 1383400200055 
 588.8     0.4          3.3        20.        10.                 1383400200056 
