ENTRY            10110   20000202                             00001011000000001 
SUBENT        10110001   20000202                             00001011000100001 
BIB                 10         19                                 1011000100002 
INSTITUTE  (1USAORL)                                              1011000100003 
REFERENCE  (R,ORNL-4551,197010)                                   1011000100004 
AUTHOR     (F.G.PEREY,W.E.KINNEY)                                 1011000100005 
TITLE      V neutron elastic and inelastic scattering cross       1011000100006 
            sections from 4.19 to 8.56 MeV                        1011000100007 
FACILITY   (VDG,1USAORL) ORNL Van de Graaff, pulsed at 2 mhz and  1011000100008 
            bunched.                                              1011000100009 
INC-SOURCE (D-D) Deuterons on deuterium                           1011000100010 
METHOD     (PHD,TOF) Pulse-height discrimination                  1011000100011 
                     Time-of-flight                               1011000100012 
DETECTOR   (SCIN) Liquid NE-213 scintillators                     1011000100013 
STATUS     (APRVD) Approved by author                             1011000100014 
HISTORY    (19741204C)                                            1011000100015 
           (19820511A) CONVERTED TO REACTION FORMALISM,           1011000100016 
                     ENERGY ERROR TO ENERGY RESOLUTION.           1011000100017 
           (19840418A) BIB CORRECTIONS.                           1011000100018 
           (19860319A) REACTION SF4 ADDED.                        1011000100019 
           (20000202A) Converted to new date format, lower case.  1011000100020 
                       BIB corrections.                           1011000100021 
ENDBIB              19          0                                 1011000100022 
NOCOMMON             0          0                                 1011000100023 
ENDSUBENT           22          0                                 1011000199999 
SUBENT        10110002   20000202                             00001011000200001 
BIB                  2         10                                 1011000200002 
REACTION   (23-V-0(N,EL)23-V-0,,DA)                               1011000200003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011000200004 
            . geometric parameters,                               1011000200005 
            . finite size corrections,                            1011000200006 
            . statistics,                                         1011000200007 
            . residual background effects due to peak stripping   1011000200008 
              procedures.                                         1011000200009 
            Does not include absolute error of + or - 7%,         1011000200010 
             estimated error in the absolute value of the         1011000200011 
             detector efficiency.                                 1011000200012 
ENDBIB              10          0                                 1011000200013 
NOCOMMON             0          0                                 1011000200014 
DATA                 6         97                                 1011000200015 
EN         EN-RSL     ANG-CM     DATA-CM    +DATA-ERR  -DATA-ERR  1011000200016 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1011000200017 
5.44       0.17        22.42     1307.31     4.5        5.7       1011000200018 
5.44       0.17        28.02     1053.20     4.6        5.7       1011000200019 
5.44       0.17        32.60      793.71     4.5        5.9       1011000200020 
5.44       0.17        32.60      783.39     4.5        6.4       1011000200021 
5.44       0.17        38.19      537.67     4.6        5.6       1011000200022 
5.44       0.17        38.19      529.75     4.7        7.7       1011000200023 
5.44       0.17        42.76      389.05     4.6        7.3       1011000200024 
5.44       0.17        43.77      340.55     4.9        7.0       1011000200025 
5.44       0.17        48.33      235.34     5.1        7.2       1011000200026 
5.44       0.17        53.90      127.49     5.8        8.3       1011000200027 
5.44       0.17        57.95       72.18     7.0       11.6       1011000200028 
5.44       0.17        63.51       32.69     9.8       16.2       1011000200029 
5.44       0.17        69.05       18.23    14.4       19.7       1011000200030 
5.44       0.17        73.08       12.01    18.3       27.4       1011000200031 
5.44       0.17        78.61       20.92    10.8       16.1       1011000200032 
5.44       0.17        84.13       34.76     7.5       14.0       1011000200033 
5.44       0.17        89.14       38.23     7.3       12.3       1011000200034 
5.44       0.17        94.63       50.36     6.8       12.0       1011000200035 
5.44       0.17       100.12       59.49     6.0       10.0       1011000200036 
5.44       0.17       103.11       55.19     6.4       10.8       1011000200037 
5.44       0.17       108.58       54.18     5.9        7.8       1011000200038 
5.44       0.17       114.04       53.58     6.4       11.7       1011000200039 
6.44       0.13        15.30     1959.60     3.8        4.2       1011000200040 
6.44       0.13        22.93     1331.45     4.4        4.7       1011000200041 
6.44       0.13        22.94     1379.43     3.8        4.3       1011000200042 
6.44       0.13        28.02     1115.82     4.7        5.0       1011000200043 
6.44       0.13        32.60      690.89     4.6        4.7       1011000200044 
6.44       0.13        33.11      783.23     4.5        5.1       1011000200045 
6.44       0.13        38.19      429.85     5.1        6.2       1011000200046 
6.44       0.13        43.77      266.09     4.9        5.4       1011000200047 
6.44       0.13        47.82      170.89     5.6        6.1       1011000200048 
6.44       0.13        53.40       92.17     5.9        7.4       1011000200049 
