ENTRY            12263   19840821                             00001226300000001 
SUBENT        12263001   19840821                             00001226300100001 
BIB                  8         13                                 1226300100002 
INSTITUTE  (1USAMTR)                                              1226300100003 
REFERENCE  (J,NSE,28,133,67)                                      1226300100004 
           (C,66WASH,,67,6603) EXP. PROCEDURE                     1226300100005 
           (R,IN-1014,6607) TABULATED DATA                        1226300100006 
           (J,NSE,20,235,6410) PRELIMINARY RESULTS, 0.01 - 1.0 EV.1226300100007 
           (C,61SACLAY,,85,61)                                    1226300100008 
AUTHOR     (F.B.SIMPSON,J.W.CODDING JR)                           1226300100009 
TITLE      TOTAL NEUTRON CROSS SECTION OF PROTACTINIUM-233.       1226300100010 
FACILITY   (CHOPF) MTR FAST CHOPPER                               1226300100011 
METHOD     (TOF)                                                  1226300100012 
STATUS     (SCSRS)                                                1226300100013 
HISTORY    (760803T) TRANSLATED FROM SCISRS                       1226300100014 
           (840821A) CONVERTED TO REACTION FORMALISM              1226300100015 
ENDBIB              13          0                                 1226300100016 
NOCOMMON             0          0                                 1226300100017 
ENDSUBENT           16          0                                 1226300199999 
SUBENT        12263002   19840821                             00001226300200001 
BIB                  2          2                                 1226300200002 
REACTION   (91-PA-233(N,TOT),,SIG)                                1226300200003 
FLAG       (1.) WEIGHTED AVERAGE OF 5 RUNS.                       1226300200004 
ENDBIB               2          0                                 1226300200005 
NOCOMMON             0          0                                 1226300200006 
DATA                 5        847                                 1226300200007 
EN         EN-RSL     DATA       THICKNESS  FLAG                  1226300200008 
MEV        NSEC/M     B          B          NO-DIM                1226300200009 
 1.1    -08 2000.      7.70   +01            1.                   1226300200010 
 1.2    -08 2000.      8.00   +01            1.                   1226300200011 
 1.3    -08 2000.      7.83   +01            1.                   1226300200012 
 1.4    -08 2000.      7.42   +01            1.                   1226300200013 
 1.6    -08 2000.      6.87   +01            1.                   1226300200014 
 1.7    -08 2000.      6.45   +01            1.                   1226300200015 
 1.9    -08 2000.      6.55   +01            1.                   1226300200016 
 2.1    -08 2000.      6.28   +01            1.                   1226300200017 
 2.3    -08 2000.      6.05   +01            1.                   1226300200018 
 2.5    -08 2000.      5.52   +01            1.                   1226300200019 
 2.8    -08 2000.      5.22   +01            1.                   1226300200020 
 3.1    -08 2000.      4.98   +01            1.                   1226300200021 
 3.4    -08 2000.      4.65   +01            1.                   1226300200022 
 3.7    -08 2000.      4.37   +01            1.                   1226300200023 
 4.1    -08 2000.      4.28   +01            1.                   1226300200024 
 4.5    -08 2000.      3.93   +01            1.                   1226300200025 
 5.0    -08 2000.      3.74   +01            1.                   1226300200026 
 5.5    -08 2000.      3.56   +01            1.                   1226300200027 
 6.0    -08 2000.      3.51   +01            1.                   1226300200028 
 6.6    -08 2000.      3.35   +01            1.                   1226300200029 
 7.2    -08 2000.      3.21   +01            1.                   1226300200030 
 8.0    -08 2000.      3.04   +01            1.                   1226300200031 
 8.8    -08 2000.      3.03   +01            1.                   1226300200032 
 9.7    -08 2000.      2.77   +01            1.                   1226300200033 
 1.06   -07 2000.      2.84   +01            1.                   1226300200034 
 1.17   -07 2000.      2.71   +01            1.                   1226300200035 
 1.29   -07 2000.      2.59   +01            1.                   1226300200036 
 1.42   -07 2000.      2.64   +01            1.                   1226300200037 
 1.56   -07 2000.      2.50   +01            1.                   1226300200038 
 1.71   -07 2000.      2.48   +01            1.                   1226300200039 
 1.88   -07 2000.      2.28   +01            1.                   1226300200040 
 2.07   -07 2000.      2.24   +01            1.                   1226300200041 
 2.28   -07 2000.      2.34   +01            1.                   1226300200042 
 2.50   -07 2000.      2.40   +01            1.                   1226300200043 
 2.76   -07 2000.      2.20   +01            1.                   1226300200044 
 3.03   -07 2000.      2.28   +01            1.                   1226300200045 
 3.33   -07 2000.      2.28   +01            1.                   1226300200046 
 3.67   -07 2000.      2.32   +01            1.                   1226300200047 
 4.05   -07 2000.      2.27   +01            1.                   1226300200048 
 4.44   -07 2000.      2.26   +01            1.                   1226300200049 
 4.86   -07 2000.      2.22   +01            1.                   1226300200050 
 5.35   -07 2000.      2.23   +01            1.                   1226300200051 
 5.91   -07 2000.      2.42   +01            1.                   1226300200052 
 6.50   -07 2000.      1.97   +01            1.                   1226300200053 
 7.13   -07 2000.      2.70   +01            1.                   1226300200054 
 7.54   -07 2000.      3.39   +01            1.                   1226300200055 
 7.69   -07 2000.      5.13   +01            1.                   1226300200056 
 7.84   -07 2000.      6.20   +01            1.                   1226300200057 
 8.00   -07 2000.      5.23   +01            1.                   1226300200058 
 8.16   -07 2000.      5.36   +01            1.                   1226300200059 
 8.32   -07 2000.      4.04   +01            1.                   1226300200060 
 8.49   -07 2000.      2.78   +01            1.                   1226300200061 
 8.67   -07 2000.      2.63   +01            1.                   1226300200062 
 8.94   -07 2000.      3.28   +01            1.                   1226300200063 
 9.33   -07 2000.      3.49   +01            1.                   1226300200064 
 9.85   -07 2000.      3.20   +01            1.                   1226300200065 
 1.004  -06  180.      5.11   +01 340.                            1226300200066 
 1.053  -06  180.      4.01   +01 340.                            1226300200067 
 1.103  -06  180.      4.87   +01 340.                            1226300200068 
 1.154  -06  180.      7.43   +01 340.                            1226300200069 
 1.204  -06  180.      1.175  +02 340.                            1226300200070 
 1.230  -06  180.      1.379  +02 340.                            1226300200071 
 1.233  -06  180.      1.779  +02 340.                            1226300200072 
 1.237  -06  180.      1.806  +02 340.                            1226300200073 
 1.241  -06  180.      1.949  +02 340.                            1226300200074 
