ENTRY            14462   20170211                             142614462  0    1 
SUBENT        14462001   20170211                             142614462  1    1 
BIB                 12         40                                 14462  1    2 
TITLE      Neutron cross section measurements for 56Fe            14462  1    3 
AUTHOR     (A.P.D.Ramirez,M.T.McEllistrem,S.Mukhopadhyay,         14462  1    4 
           E.E.Peters,S.W.Yates,J.R.Vanhoy,T.D.Harrison,B.G.Rice, 14462  1    5 
           B.K.Thompson,S.F.Hicks,T.J.Howard,D.T.Jackson,         14462  1    6 
           P.D.Lenzen,T.D.Nguyen,d R.L.Pecha)                     14462  1    7 
INSTITUTE  (1USAKTY,1USAANA,1USADLS)                              14462  1    8 
REFERENCE  (J,NP/A,,2017)   to be published                       14462  1    9 
FACILITY   (VDG,1USAKTY) Experiment performed using 7-MV CN Van   14462  1   10 
           de Graaff accelerator at the University of Kentucky    14462  1   11 
           Accelerator Laboratory.                                14462  1   12 
SAMPLE     (26-FE-56,ENR=0.99) Enriched iron sample with weight   14462  1   13 
           of 18.178 g, diameter of 1.52 cm and height of 1.45 cm 14462  1   14 
DETECTOR   (SCIN) Scattered neutrons were registered using a      14462  1   15 
           neutron detector consisting of a C6D6 liquid           14462  1   16 
           scintillator coupled to a photomultiplier tube.        14462  1   17 
METHOD     (TOF) The ion beam was pulsed at a repetition rate of  14462  1   18 
           1.875 MHz and bunched to a width of about 1 ns with a  14462  1   19 
           klystron buncher. Time of flight was used to           14462  1   20 
           determine scattered neutron energy and discriminate    14462  1   21 
           against prompt gamma rays.                             14462  1   22 
           (PSD) The C6D6 liquid scintillator has pulse-shape     14462  1   23 
           discrimination properties that allowed the separation  14462  1   24 
           of neutron and unwanted gamma -ray events.             14462  1   25 
INC-SOURCE (P-T) for neutron energies below 5 MeV                 14462  1   26 
           (D-D) for neutron energies between 5 and 8 MeV         14462  1   27 
           Accelerated ions impinged on a gas cell attached to    14462  1   28 
           the end of the beam line that contained the tritium    14462  1   29 
           or deuterium gas typically at 1 atm pressure. The      14462  1   30 
           3-cm long gas cell assembly consisted of a tantalum    14462  1   31 
           lined stainless steel cylinder with a 3.3-mu-m thick   14462  1   32 
           molybdenum entrance foil window.                       14462  1   33 
CORRECTION Data were corrected for selfabsorption and             14462  1   34 
           multiple scattering                                    14462  1   35 
ERR-ANALYS (ERR-1,0.,5.) Uncertainty in corrections for multiple  14462  1   36 
                scattering and finite size                        14462  1   37 
           (ERR-2) Uncertainty in detector efficiency             14462  1   38 
           (ERR-S,1.,2.) Statistical uncertainty                  14462  1   39 
           (ERR-T) Overall uncertainty obtained by combining      14462  1   40 
                individual contributions in quadrature.           14462  1   41 
HISTORY    (20170211C) Compiled by S.H.                           14462  1   42 
ENDBIB              40          0                                 14462  1   43 
COMMON               1          3                                 14462  1   44 
ERR-2                                                             14462  1   45 
PER-CENT                                                          14462  1   46 
3.                                                                14462  1   47 
ENDCOMMON            3          0                                 14462  1   48 
ENDSUBENT           47          0                                 14462  199999 
SUBENT        14462002   20170211                             142614462  2    1 
BIB                  2          3                                 14462  2    2 
REACTION   (26-FE-56(N,EL)26-FE-56,,DA)                           14462  2    3 
STATUS     (TABLE) Data presented in fig. 3 of the reference      14462  2    4 
                   sent by author (J.V.)                          14462  2    5 
ENDBIB               3          0                                 14462  2    6 
NOCOMMON             0          0                                 14462  2    7 
DATA                 4        192                                 14462  2    8 
EN         ANG        DATA       ERR-T                            14462  2    9 
MEV        ADEG       MB/SR      MB/SR                            14462  2   10 
        1.3      30.52     525.25      43.95                      14462  2   11 
        1.3      45.73     343.71       28.9                      14462  2   12 
        1.3      60.89     200.92      16.64                      14462  2   13 
        1.3      70.97     129.34       10.7                      14462  2   14 
        1.3      81.02      93.13       7.69                      14462  2   15 
        1.3      91.03      84.61       6.97                      14462  2   16 
        1.3     101.02      90.32        7.5                      14462  2   17 
        1.3     110.97     112.42       9.55                      14462  2   18 
        1.3     125.85     144.91      12.23                      14462  2   19 
        1.3     140.66     194.65      16.35                      14462  2   20 
        1.3     154.45     241.05      20.22                      14462  2   21 
        1.5      30.52     552.07      43.12                      14462  2   22 
        1.5      45.73     328.42      25.42                      14462  2   23 
        1.5      60.89     156.08      12.12                      14462  2   24 
        1.5      70.97      91.56       7.15                      14462  2   25 
        1.5      81.02      59.05       4.76                      14462  2   26 
        1.5      91.03      57.83       4.76                      14462  2   27 
        1.5     101.02      70.98       5.62                      14462  2   28 
        1.5     110.97       96.8       7.56                      14462  2   29 
        1.5     125.85     125.78       9.75                      14462  2   30 
        1.5     140.66     158.93      12.38                      14462  2   31 
        1.5     154.45     177.82      13.78                      14462  2   32 
        1.8      30.52      519.7      42.59                      14462  2   33 
        1.8      40.66      381.3       31.1                      14462  2   34 
        1.8      50.79     256.18       20.4                      14462  2   35 
        1.8      60.89     156.91      12.43                      14462  2   36 
        1.8      70.97      92.21       7.36                      14462  2   37 
        1.8      81.02      64.64       5.21                      14462  2   38 
        1.8      91.03      63.51       5.12                      14462  2   39 
        1.8     101.02      78.43       6.28                      14462  2   40 
        1.8     110.97     101.64       8.12                      14462  2   41 
        1.8     120.89     124.98        10.                      14462  2   42 
        1.8     130.79     146.26      11.75                      14462  2   43 
        1.8     140.66     168.69      13.59                      14462  2   44 
        1.8     150.52     185.15      14.62                      14462  2   45 
         2.      30.52     548.48       50.3                      14462  2   46 
         2.      40.66     383.23      35.15                      14462  2   47 
         2.      50.79     227.79      20.89                      14462  2   48 
         2.      60.89     128.73      11.81                      14462  2   49 
         2.      70.97      67.03       6.15                      14462  2   50 
         2.      81.02      51.77       4.76                      14462  2   51 
         2.      91.03      57.61       5.29                      14462  2   52 
         2.     101.02      73.22       6.72                      14462  2   53 
         2.     110.97      88.21       8.09                      14462  2   54 
         2.     120.89     100.63       9.23                      14462  2   55 
         2.     130.79       107.       9.82                      14462  2   56 
         2.     140.66     114.41       10.5                      14462  2   57 
         2.     150.52     121.95      11.19                      14462  2   58 
         2.     154.45     128.62       11.8                      14462  2   59 
       2.25      30.52     649.53      51.03                      14462  2   60 
       2.25      35.59     518.85      40.85                      14462  2   61 
       2.25      40.66     425.54      33.58                      14462  2   62 
       2.25      45.73     324.91      25.71                      14462  2   63 
       2.25      50.79     235.24      18.69                      14462  2   64 
       2.25      60.89     108.57       8.66                      14462  2   65 
       2.25      70.97      50.78        4.1                      14462  2   66 
       2.25      81.02      44.94        3.7                      14462  2   67 
       2.25      91.03      56.98       4.66                      14462  2   68 
       2.25     101.02      72.98       5.97                      14462  2   69 
       2.25     110.97       87.8       7.22                      14462  2   70 
       2.25     120.89      93.91       7.76                      14462  2   71 
       2.25     130.79     101.17        8.4                      14462  2   72 
       2.25     140.66     112.26       9.36                      14462  2   73 
       2.25     154.45     134.98      11.29                      14462  2   74 
        2.5      30.52     810.71      64.44                      14462  2   75 
        2.5      40.66     521.41       41.4                      14462  2   76 
        2.5      50.79     273.74      21.77                      14462  2   77 
        2.5      60.89     124.96       9.93                      14462  2   78 
        2.5      70.97      60.98       4.85                      14462  2   79 
        2.5      81.02      55.34       4.41                      14462  2   80 
        2.5      91.03      78.37       6.24                      14462  2   81 
        2.5     101.02     100.56       7.98                      14462  2   82 
        2.5     110.97     111.41       8.84                      14462  2   83 
        2.5     120.89     113.43         9.                      14462  2   84 
        2.5     130.79     116.95       9.29                      14462  2   85 
        2.5     140.66     128.38      10.19                      14462  2   86 
        2.5     150.52     156.29      12.38                      14462  2   87 
        2.5     154.45     169.52      13.41                      14462  2   88 
       2.75      30.52     854.72      69.68                      14462  2   89 
       2.75      35.59     710.32      57.94                      14462  2   90 
       2.75      40.66     547.26      45.07                      14462  2   91 
       2.75      45.73     373.54      30.55                      14462  2   92 
       2.75      50.79     258.59      21.22                      14462  2   93 
       2.75      60.89      95.52       7.83                      14462  2   94 
       2.75      70.97      40.12       3.43                      14462  2   95 
       2.75      81.02      43.68       3.68                      14462  2   96 
       2.75      91.03      74.35       6.06                      14462  2   97 
       2.75     101.02     106.43       8.64                      14462  2   98 
       2.75     110.97     120.29       9.76                      14462  2   99 
       2.75     120.89     113.36        9.2                      14462  2  100 
       2.75     130.79      94.89       7.73                      14462  2  101 
       2.75     140.66      83.38        6.8                      14462  2  102 
       2.75     154.45      92.53       7.53                      14462  2  103 
         3.      30.52     772.29      68.02                      14462  2  104 
         3.      40.66     459.95      40.51                      14462  2  105 
         3.      50.79     218.71      19.27                      14462  2  106 
         3.      60.89      88.73       7.84                      14462  2  107 
         3.      70.97      40.53       3.73                      14462  2  108 
         3.      81.02      47.85       4.37                      14462  2  109 
         3.      91.03      80.05       7.09                      14462  2  110 
         3.     101.02     100.61       8.88                      14462  2  111 
         3.     110.97     107.42        9.5                      14462  2  112 
         3.     120.89     104.27       9.22                      14462  2  113 
         3.     130.79        93.       8.26                      14462  2  114 
         3.     140.66      87.94       7.84                      14462  2  115 
         3.     150.52      92.15       8.18                      14462  2  116 
         3.     154.45      94.64       8.38                      14462  2  117 
        3.5      30.52     906.26      72.32                      14462  2  118 
        3.5      35.59     622.02      49.69                      14462  2  119 
        3.5      40.66     508.57      41.79                      14462  2  120 
        3.5      50.79     291.95      23.07                      14462  2  121 
        3.5      60.89     104.42       8.54                      14462  2  122 
        3.5      70.97      32.75       2.65                      14462  2  123 
        3.5      81.02      28.29       2.41                      14462  2  124 
        3.5      91.03      52.63        4.3                      14462  2  125 
        3.5     101.02      74.93       6.01                      14462  2  126 
        3.5     110.97      77.91       6.27                      14462  2  127 
        3.5     120.89      68.25       5.76                      14462  2  128 
        3.5     130.79       51.3       4.17                      14462  2  129 
        3.5     140.66      39.94        3.2                      14462  2  130 
        3.5      151.5      40.93        3.4                      14462  2  131 
         4.      30.52     948.88      84.89                      14462  2  132 
         4.      40.66     478.52      44.62                      14462  2  133 
         4.      50.79     171.65       15.3                      14462  2  134 
         4.      60.89      64.36       6.01                      14462  2  135 
         4.      70.97      21.82       2.33                      14462  2  136 
         4.      81.02      27.07       2.47                      14462  2  137 
         4.      91.03        51.       4.82                      14462  2  138 
         4.     101.02      62.97       5.77                      14462  2  139 
         4.     110.97       67.3       6.17                      14462  2  140 
         4.     120.89      58.54       5.39                      14462  2  141 
         4.     130.79      45.11        4.2                      14462  2  142 
         4.     140.66      35.87       3.76                      14462  2  143 
         4.     154.45       40.8       3.77                      14462  2  144 
        4.5      30.52     918.17      76.55                      14462  2  145 
        4.5      35.59      646.7      53.32                      14462  2  146 
        4.5      40.66     466.91      38.94                      14462  2  147 
        4.5      50.79      160.8      15.57                      14462  2  148 
        4.5      60.89      36.05       3.93                      14462  2  149 
        4.5      81.02      33.91       3.33                      14462  2  150 
        4.5      91.03      62.91       5.94                      14462  2  151 
        4.5     101.02      77.72       7.14                      14462  2  152 
        4.5     110.97      73.16       6.68                      14462  2  153 
        4.5     120.89      61.44       5.71                      14462  2  154 
        4.5     130.79      38.96       3.92                      14462  2  155 
        4.5     140.66      28.18       2.99                      14462  2  156 
        4.5     154.45      31.91       3.38                      14462  2  157 
        4.9      30.52     979.97      96.18                      14462  2  158 
        4.9      35.59     654.34      65.11                      14462  2  159 
        4.9      40.66     419.98      41.81                      14462  2  160 
        4.9      50.79     154.18      15.46                      14462  2  161 
        4.9      60.89        31.       3.13                      14462  2  162 
        4.9      70.97       10.1       1.24                      14462  2  163 
        4.9      81.02      25.93       2.78                      14462  2  164 
        4.9      91.03      44.66       4.33                      14462  2  165 
        4.9     101.02      48.87       4.75                      14462  2  166 
        4.9     110.97      49.85       4.83                      14462  2  167 
        4.9     120.89      37.57        3.9                      14462  2  168 
        4.9     130.79      22.79       2.24                      14462  2  169 
