ENTRY            12403   19760804                             00001240300000001 
SUBENT        12403001   19760804                             00001240300100001 
BIB                  6          8                                 1240300100002 
INSTITUTE  (1USACOL)                                              1240300100003 
REFERENCE  (J,NSE,3,435,58)                                       1240300100004 
AUTHOR     (E.MELKONIAN,V.PEREZ-MENDEZ,M.L.MELKONIAN,             1240300100005 
           W.W.HAVENS JR,L.J.RAINWATER)                           1240300100006 
TITLE      SLOW NEUTRON VELOCITY SPECTROMETER STUDIES OF THE TOTAL1240300100007 
           AND FISSION CROSS SECTIONS OF U235.                    1240300100008 
STATUS     (SCSRS)                                                1240300100009 
HISTORY    (760804T) TRANSLATED FROM SCISRS                       1240300100010 
ENDBIB               8          0                                 1240300100011 
NOCOMMON             0          0                                 1240300100012 
ENDSUBENT           11          0                                 1240300199999 
SUBENT        12403002   19860829                             00001240300200001 
BIB                  3          3                                 1240300200002 
REACTION   (92-U-235(N,TOT),,SIG)                                 1240300200003 
METHOD     (TOF) TIME-OF-FLIGHT                                   1240300200004 
HISTORY    (860828A) DATA POINT CORRECTED.                        1240300200005 
ENDBIB               3          0                                 1240300200006 
NOCOMMON             0          0                                 1240300200007 
DATA                 3        223                                 1240300200008 
EN         DATA       DATA-ERR                                    1240300200009 
MEV        B          B                                           1240300200010 
 1.19   -06 1.072  +02 3.9    +00                                 1240300200094 
 1.21   -06 9.07   +01 3.7    +00                                 1240300200095 
 1.24   -06 6.32   +01 3.5    +00                                 1240300200096 
 1.26   -06 5.98   +01 3.4    +00                                 1240300200097 
 1.29   -06 4.78   +01 3.5    +00                                 1240300200098 
 1.32   -06 4.59   +01 3.3    +00                                 1240300200099 
 1.345  -06 4.63   +01 3.3    +00                                 1240300200100 
 1.37   -06 3.96   +01 3.2    +00                                 1240300200101 
 1.40   -06 3.96   +01 3.2    +00                                 1240300200102 
 1.43   -06 3.89   +01 3.1    +00                                 1240300200103 
 1.46   -06 3.02   +01 3.1    +00                                 1240300200104 
 1.50   -06 3.05   +01 3.2    +00                                 1240300200105 
 1.54   -06 3.74   +01 3.1    +00                                 1240300200106 
 1.57   -06 3.71   +01 3.1    +00                                 1240300200107 
 1.61   -06 3.09   +01 3.1    +00                                 1240300200108 
 1.64   -06 2.85   +01 3.1    +00                                 1240300200109 
 1.68   -06 2.37   +01 3.0    +00                                 1240300200110 
 1.73   -06 2.99   +01 3.0    +00                                 1240300200111 
 1.77   -06 2.99   +01 3.0    +00                                 1240300200112 
 1.81   -06 2.82   +01 3.0    +00                                 1240300200113 
 1.86   -06 3.71   +01 3.0    +00                                 1240300200114 
 1.91   -06 3.45   +01 3.1    +00                                 1240300200115 
 1.96   -06 4.37   +01 3.1    +00                                 1240300200116 
 2.01   -06 6.02   +01 3.1    +00                                 1240300200117 
 2.06   -06 7.02   +01 3.3    +00                                 1240300200118 
 2.12   -06 4.65   +01 3.0    +00                                 1240300200119 
 2.18   -06 3.61   +01 3.1    +00                                 1240300200120 
 2.24   -06 3.30   +01 3.2    +00                                 1240300200121 
 2.30   -06 3.19   +01 3.1    +00                                 1240300200122 
 2.36   -06 2.64   +01 2.9    +00                                 1240300200123 
 2.43   -06 2.76   +01 3.1    +00                                 1240300200124 
 2.51   -06 2.70   +01 3.0    +00                                 1240300200125 
 2.58   -06 2.65   +01 2.8    +00                                 1240300200126 
 2.625  -06 4.15   +01 4.6    +00                                 1240300200127 
 2.66   -06 3.01   +01 2.8    +00                                 1240300200128 
 2.74   -06 2.85   +01 2.8    +00                                 1240300200129 
 2.825  -06 3.31   +01 2.9    +00                                 1240300200130 
 2.915  -06 3.71   +01 2.9    +00                                 1240300200131 
 3.01   -06 4.74   +01 3.1    +00                                 1240300200132 
 3.11   -06 6.38   +01 3.2    +00                                 1240300200133 
 3.21   -06 6.89   +01 3.1    +00                                 1240300200134 
 3.32   -06 4.86   +01 3.1    +00                                 1240300200135 
 3.44   -06 4.66   +01 3.1    +00                                 1240300200136 
 3.55   -06 7.29   +01 3.7    +00                                 1240300200137 
 3.68   -06 8.31   +01 3.4    +00                                 1240300200138 
 3.82   -06 3.89   +01 2.8    +00                                 1240300200139 
 3.96   -06 1.84   +01 2.8    +00                                 1240300200140 
 4.11   -06 1.97   +01 2.9    +00                                 1240300200141 
 4.26   -06 1.99   +01 2.8    +00                                 1240300200142 
 4.43   -06 1.81   +01 2.8    +00                                 1240300200143 
 4.61   -06 2.50   +01 2.7    +00                                 1240300200144 
 4.80   -06 4.97   +01 2.9    +00                                 1240300200145 
 4.99   -06 7.67   +01 3.1    +00                                 1240300200146 
 5.21   -06 7.03   +01 3.2    +00                                 1240300200147 
 5.43   -06 4.40   +01 2.8    +00                                 1240300200148 
 5.68   -06 2.80   +01 4.1    +00                                 1240300200149 
 5.79   -06 4.47   +01 4.0    +00                                 1240300200150 
 5.93   -06 5.77   +01 4.3    +00                                 1240300200151 
 6.06   -06 1.06   +01 4.8    +00                                 1240300200152 
 6.20   -06 1.66   +01 5.9    +00                                 1240300200153 
 6.35   -06 1.70   +01 5.8    +00                                 1240300200154 
 6.50   -06 1.285  +02 4.9    +00                                 1240300200155 
 6.66   -06 8.86   +01 4.5    +00                                 1240300200156 
 6.82   -06 8.81   +01 4.5    +00                                 1240300200157 
 6.99   -06 7.60   +01 4.4    +00                                 1240300200158 
 7.16   -06 3.96   +01 4.0    +00                                 1240300200159 
 7.35   -06 1.67   +01 3.8    +00                                 1240300200160 
 7.53   -06 1.82   +01 3.9    +00                                 1240300200161 
 7.72   -06 2.68   +01 3.9    +00                                 1240300200162 
 7.93   -06 3.62   +01 3.9    +00                                 1240300200163 
 8.14   -06 5.71   +01 6.1    +00                                 1240300200164 
 8.36   -06 1.102  +02 4.5    +00                                 1240300200165 
 8.60   -06 2.121  +02 5.9    +00                                 1240300200166 
 8.83   -06 1.956  +02 5.7    +00                                 1240300200167 
 9.09   -06 1.226  +02 4.7    +00                                 1240300200168 
 9.34   -06 7.95   +01 4.2    +00                                 1240300200169 
 9.60   -06 5.68   +01 3.9    +00                                 1240300200170 
 9.89   -06 4.21   +01 3.8    +00                                 1240300200171 
 1.019  -05 3.64   +01 3.7    +00                                 1240300200172 
 1.050  -05 3.53   +01 3.6    +00                                 1240300200173 
 1.082  -05 3.51   +01 3.7    +00                                 1240300200174 
 1.115  -05 7.16   +01 3.9    +00                                 1240300200175 
 1.152  -05 1.075  +02 4.3    +00                                 1240300200176 
 1.190  -05 1.150  +02 4.5    +00                                 1240300200177 
 1.228  -05 1.211  +02 4.4    +00                                 1240300200178 
 1.268  -05 6.82   +02 3.9    +00                                 1240300200179 
 1.312  -05 5.66   +02 4.2    +00                                 1240300200180 
 1.358  -05 7.82   +02 5.3    +00                                 1240300200181 
 1.406  -05 6.89   +02 5.2    +00                                 1240300200182 
 1.455  -05 4.97   +02 5.0    +00                                 1240300200183 
 1.509  -05 5.87   +02 5.0    +00                                 1240300200184 
 1.562  -05 5.47   +02 5.2    +00                                 1240300200185 
 1.622  -05 6.57   +02 5.2    +00                                 1240300200186 
 1.685  -05 4.70   +02 4.8    +00                                 1240300200187 
 1.75   -05 4.63   +02 4.9    +00                                 1240300200188 
 1.82   -05 8.45   +02 5.4    +00                                 1240300200189 
 1.90   -05 1.150  +02 5.7    +00                                 1240300200190 
 1.98   -05 9.39   +01 5.4    +00                                 1240300200191 
 2.06   -05 8.86   +01 5.2    +00                                 1240300200192 
 2.15   -05 6.12   +01 5.1    +00                                 1240300200193 
 2.25   -05 6.31   +01 5.0    +00                                 1240300200194 
 2.35   -05 9.26   +01 5.3    +00                                 1240300200195 
 2.46   -05 7.77   +01 5.6    +00                                 1240300200196 
